Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:43:44
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;13;100.01;6.85;;;1.79;1.71;36.66;;511.39;;51.83;0.0088;Distortion. End flame at 47s.;2010-07-28;c_LSFIRE_IN8-3_75c;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.015099881;1.79;0.196254485
3;6.386380955;1.8229708;0.162200145
5;7.970444863;1.79627361;0.172034884
7;8.027790881;1.79809211;0.205768636
9;7.19957659;1.74800198;0.301085227
11;1.635463588;1.78435912;0.968169257
13;-6.409535599;1.72471773;2.741402089
15;4.974422625;1.71446822;4.792564174
17;31.46927428;1.66485697;7.187970763
19;54.19212857;1.51808671;9.146334277
21;71.45187312;1.45888053;10.29476089
23;79.13469449;1.34233968;10.80746681
25;81.80044439;1.18075843;11.35647067
27;87.27541671;1.23198546;10.71949845
29;99.18162066;1.07207336;10.64914202
31;100.0060252;0.96936945;10.50479584
33;97.00876774;0.89361279;9.58240977
35;88.96749989;0.84653767;7.997426843
37;82.66500506;0.78216914;7.179506852
39;80.17662617;0.75976156;5.472077548
41;73.04255029;0.69683729;3.838204873
43;59.48150791;0.59565076;2.454245698
45;43.1121107;0.68192824;1.40032888
47;33.13212954;0.65792462;0.406407418
49;26.14092174;0.64675929;0.129197125
51;20.93764596;0.65496367;0.13401696
53;18.10713999;0.63579286;0.216539791
55;15.84602116;0.62627659;0.259330152
57;14.3254369;0.62370962;0.228156099
59;13.18967573;0.64922438;0.196600052
61;12.44623164;0.58792145;0.16727953
63;11.00111537;0.62693253;0.084756699
65;10.65871377;0.67947355;0.016404558
67;10.08552734;0.62441061;0.013839241
69;9.291392156;0.60648136;0.095091054
71;8.945008769;0.62334682;0.185326339
73;8.585012888;0.59013393;0.283347558
75;8.12186954;0.59590683;0.393936791
77;8.074880645;0.48956593;0.418360823
79;8.055958692;0.60259973;0.33710901
81;7.92580732;0.58482813;0.234082624
83;7.870299553;0.61764704;0.136061405
85;7.662053854;0.60095864;0.025472171
87;7.148009596;0.54862069;0.026306044
89;6.680800657;0.66260012;0.054113374
91;6.31271753;0.52616528;0.12597576
93;6.235466662;0.55095687;0.205103722
95;5.792910975;0.49651281;0.255611431
97;5.903077714;0.50719753;0.326895286
99;5.752825454;0.52599376;0.351208533
101;5.831350694;0.67866929;0.293581397
103;5.500221926;0.52756415;0.232745625
105;5.319497652;0.50698304;0.214463766
107;4.972589169;0.49823533;0.208364657
109;4.978642035;0.48465808;0.169571818
111;5.05775585;0.48649825;0.247696408
113;5.176215549;0.45943839;0.287675713
115;4.987918756;0.50111987;0.293198965
117;5.036998443;0.47174687;0.201708176
119;5.002940167;0.55523265;0.188380437
121;4.736408994;0.48976082;0.127093345
123;4.581616307;0.59457291;0.087384152
125;4.132101291;0.46071925;0.138069552
127;4.147846088;0.476304;0.195945603
129;4.173933773;0.45776145;0.248562222
131;4.13083352;0.46425992;0.311987025
133;4.053758276;0.47117562;0.330040133
135;4.224948522;0.50490065;0.241605631
137;3.908037291;0.47895829;0.208694976
139;3.842610038;0.45397543;0.175492816
141;3.619181394;0.46935747;0.181407781
143;3.598050422;0.4502965;0.225133363
145;3.493434893;0.45626068;0.329919431
147;3.507990047;0.43961802;0.378370515
149;3.618077114;0.45454683;0.358956057
151;3.511774593;0.45522218;0.258965724
153;3.569531282;0.44158795;0.178624732
155;3.481848353;0.4440371;0.084553502
157;3.531982724;0.4440371;0.011137022
159;3.539138159;0.4440371;0.091605874
161;3.596056198;0.42139285;0.21367102
163;3.554578934;0.43920394;0.235083659
165;3.530531021;0.42089456;0.229751443
167;3.522140074;0.50903004;0.236738543
169;3.526851639;0.45660164;0.18889314
171;3.518024243;0.45142544;0.140637362
173;3.498215746;0.44228929;0.227618713
175;3.488897368;0.43389571;0.309779403
177;3.439109968;0.46908476;0.346484591
179;3.513525104;0.37295558;0.335298926
181;3.558148532;0.41219744;0.298525397
183;3.565404133;0.43287974;0.190131407
185;3.539820986;0.42578663;0.145889386
187;3.483083789;0.39577967;0.156470002
189;3.537619673;0.44143063;0.224317349
191;3.563499625;0.39357863;0.208900101
193;3.511779107;0.38269709;0.260360579
195;3.481999047;0.3965815;0.217059289
197;3.421297799;0.42508875;0.162786385
199;3.550263124;0.42837923;0.114193924
201;3.502381911;0.38794953;0.123306505
203;3.495081752;0.39032522;0.15201614
205;3.478863962;0.39251483;0.252201807
207;3.50753517;0.39853791;0.33848141
209;3.574968685;0.41136442;0.336212819
211;3.494966458;0.39644359;0.327745417
213;3.523320035;0.42298299;0.271010106
215;3.570722009;0.41121231;0.248309391
217;3.600803937;0.39288907;0.238364622
219;3.499066783;0.38802819;0.217946001
221;3.556897551;0.39488463;0.208461961
223;3.482491563;0.42798525;0.230489792
225;3.541358834;0.37408452;0.15300484
227;3.544583644;0.37372415;0.076670006
229;3.514410981;0.3865957;0.058664546
231;3.511674645;0.3991658;0.065763571
233;3.547768458;0.36460323;0.066622542
235;3.560593922;0.34998838;0.132358728
237;3.488006362;0.36239526;0.132358728
239;3.510766138;0.36098219;0.157867809
241;3.510069938;0.39538292;0.137566871
243;3.522966744;0.39648621;0.126389825
245;3.486818576;0.39775549;0.219810038
247;3.468527754;0.3597888;0.298682046
249;3.487445262;0.36942323;0.32249274
251;3.571121514;0.35730603;0.358209741
253;3.572918153;0.38192056;0.352772285
255;3.472989162;0.38117174;0.297099224
257;3.48752342;0.36714353;0.218227215
259;3.602969646;0.37748727;0.249944203
261;3.629636411;0.35372032;0.273481557
263;3.491952814;0.32375842;0.277765168
265;3.553143771;0.32458589;0.17428183
267;3.483753252;0.34737602;0.17428183
269;3.523506601;0.34271231;0.093245068
271;3.53664572;0.3840821;0.101808562
273;3.485793683;0.37156503;0.140003728
275;3.540545065;0.36561506;0.222713458
277;3.529846506;0.3043596;0.222713458
279;3.519815332;0.3043596;0.276362817
281;3.55593853;0.37413788;0.248942901
283;3.513541114;0.37756628;0.262677359
285;3.53321987;0.36253318;0.286983807
287;3.540731066;0.35441543;0.361665601
289;3.526064422;0.31971357;0.34038916
291;3.515191439;0.32503324;0.325303297
293;3.519691178;0.35216933;0.244194399
295;3.506908768;0.33538287;0.169796974
297;3.533390694;0.35283949;0.190737062
299;3.535194734;0.33437799;0.202119501
301;3.592014097;0.31168314;0.178363368
303;3.544640196;0.32489775;0.17355193
305;3.500232413;0.33480247;0.140933177
307;3.503741795;0.32177359;0.089399226
309;3.475822831;0.35817543;0.136246959
311;3.501554363;0.3186775;0.188175443
313;3.529288657;0.32913976;0.188175443
315;3.479523313;0.33067065;0.188175443
317;3.500952586;0.3335474;0.167280101
319;3.507365042;0.34209829;0.124450682
321;3.490981155;0.34235436;0.149206539
323;3.512089636;0.32797721;0.181620524
325;3.537081893;0.31899872;0.182018902
327;3.583744065;0.3418734;0.19818639
329;3.497161391;0.34687219;0.188416964
331;3.539095422;0.31997796;0.182552693
333;3.544561563;0.31913663;0.274536209
335;3.565314198;0.31308202;0.374803627
337;3.535519137;0.31884106;0.379525787
339;3.430690044;0.30755133;0.357332276
341;3.528153421;0.34064605;0.346737047
343;3.525200535;0.33981858;0.289175406
345;3.482948385;0.26820517;0.2746995
347;3.478212041;0.3060738;0.255090867
349;3.456290144;0.33956251;0.257752109
351;3.523050631;0.33371649;0.195971328
353;3.501215894;0.31876794;0.157625173
355;3.522811586;0.32530352;0.071435283
357;3.535510872;0.30778765;0.066897265
359;3.574118954;0.29498124;0.04842529
361;3.537686973;0.28411356;0.11662197
363;3.549101922;0.30895852;0.098704785
365;3.551182589;0.33608318;0.1031375
367;3.597055489;0.33608318;0.187283756
369;3.573183804;0.30777067;0.306208292
371;3.505586098;0.29904236;0.246906242
373;3.511540315;0.30840098;0.236333724
375;3.490384746;0.30089447;0.266191592
377;3.46811172;0.32866122;0.16210975
379;3.452940499;0.31651041;0.115775697
381;3.518949516;0.32738606;0.249036783
383;3.47439532;0.29708353;0.329738104
385;3.497924245;0.26834308;0.352389666
387;3.462427027;0.31735174;0.352389666
389;3.450327448;0.31116511;0.305690306
391;3.525039883;0.3203269;0.218932232
393;3.490320627;0.27784238;0.207370057
395;3.562755942;0.29488525;0.183047359
397;3.524741039;0.27305461;0.189403792
399;3.515191768;0.27461115;0.195921419
401;3.424002284;0.28576851;0.165824614
403;3.576024168;0.29851601;0.121249046
405;3.53061336;0.30500411;0.162783101
407;3.536047934;0.28143398;0.205395925
409;3.510144796;0.28263014;0.228464045
411;3.51963281;0.25875057;0.203163208
413;3.506363273;0.26674982;0.196678486
415;3.436775807;0.29752533;0.122524983
417;3.506226316;0.28888989;0.084473958
419;3.466872262;0.29551002;0.11082637
421;3.495810185;0.26250226;0.154965548
423;3.491842126;0.27221016;0.200062432
425;3.532181978;0.300365;0.207858864
427;3.550288613;0.31051193;0.196940631
429;3.545786669;0.30086329;0.173130554
431;3.568166945;0.31130579;0.197737339
433;3.536923178;0.28263846;0.203802975
435;3.515971947;0.29387448;0.269911622
437;3.51741052;0.29485961;0.352623785
439;3.498482249;0.28844254;0.30523112
441;3.480462381;0.29228433;0.256631039
443;3.498116687;0.29423485;0.258251434
445;3.496748765;0.24491363;0.279709875
447;3.512209051;0.2410521;0.247530095
449;3.54289508;0.26483291;0.241838993
451;3.459354;0.28091594;0.221693111
453;3.487597651;0.27638425;0.15083134
455;3.500570152;0.25196724;0.068290036
457;3.475363327;0.25789781;0.085441336
459;3.535794495;0.26780252;0.137003687
461;3.444201958;0.23375627;0.151528134
463;3.482213466;0.27624911;0.151528134
465;3.531694366;0.27929738;0.138705919
467;3.532664481;0.29226146;0.110226692
469;3.538147432;0.27862168;0.147791118
471;3.495535154;0.25425526;0.192891863
473;3.54793925;0.24404943;0.299377709
475;3.523349022;0.25376841;0.299377709
477;3.539180711;0.299287;0.260173252
479;3.497387241;0.27180197;0.225082632
481;3.534208006;0.23046614;0.297070183
483;3.531274952;0.2469234;0.319626294
485;3.489464607;0.23210687;0.388048154
487;3.535436457;0.27054101;0.422363823
489;3.496058173;0.27320084;0.363392228
491;3.501997597;0.27320084;0.293093375
493;3.513501649;0.25670407;0.238146413
495;3.509069046;0.26537312;0.300647144
497;3.490237647;0.23226731;0.380778558
499;3.510560874;0.2663191;0.427630639
501;3.529373315;0.25869409;0.36631675
503;3.478493594;0.23869581;0.306622592
505;3.517989386;0.25452866;0.175700001
507;3.52701266;0.24880081;0.147807799
509;3.566803714;0.31617761;0.123884347
511;3.530895469;0.30291207;0.195118394
513;3.496947114;0.26802691;0.210335615
515;3.522173683;0.25412517;0.303664386
517;3.497537169;0.26695722;0.270343792
519;3.519886581;0.31543122;0.291257375
521;3.510175564;0.29887554;0.237515203
523;3.538224015;0.31195812;0.245577832
525;3.52267425;0.28705392;0.269450014
527;3.427711012;0.28806712;0.288670737
529;3.504432089;0.28188603;0.289695292
531;3.435195575;0.29239333;0.285093939
533;3.509486199;0.28055195;0.333317636
535;3.452404477;0.29349662;0.248957414
537;3.49533852;0.28986552;0.248509661
539;3.517069834;0.30219929;0.266401774
541;3.485432438;0.22767864;0.329819084
543;3.525709526;0.2624141;0.317774107
545;3.560242053;0.27732904;0.310237233
547;3.518008367;0.24357282;0.238229977
549;3.513947367;0.26657156;0.175471097
551;3.440870573;0.28530853;0.102272933
553;3.48731654;0.29460824;0.076052896
555;3.518765069;0.26167117;0.10789007
557;3.496136679;0.24072726;0.204376698
559;3.516042336;0.25969536;0.294900956
561;3.432822944;0.25534663;0.394631536
563;3.457465013;0.29221591;0.383771649
565;3.515900183;0.29321491;0.326630619
567;3.559114777;0.19826838;0.230143991
569;3.487114428;0.29712184;0.185762739
571;3.510848193;0.29790427;0.091386959
573;3.536428516;0.26976883;0.139814056
