Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Woolfabric, mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 09:06:43
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;16;177.91;8.52;;;4.01;3.90;19.25;;337.30;;83.66;0.0088;Distortion. End flame at 79s.
;2010-11-10;c_LSFIRE_IN-8-1_35a;0.5;0.5;;;;;;;;;;0.39;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.627212826;4.01;0.187953428
3;6.335631538;4.09427843;0.17211925
5;6.535009811;4.09427843;0.182818909
7;6.812050183;3.95546557;0.214221353
9;6.38089571;3.97138151;0.282445339
11;5.892655022;3.71550176;0.363824198
13;4.724720865;3.90216113;0.459962455
15;3.826171212;3.88341632;0.447371322
17;6.580316687;3.98913941;0.574743635
19;18.99854749;3.7213759;0.814571894
21;42.41646049;3.75526127;1.195306166
23;75.44470559;3.5609752;1.894247528
25;111.2822995;3.40579581;2.717768333
27;144.5296927;3.22592145;3.517213807
29;172.0862075;2.96715985;4.054384963
31;177.1965203;2.80264244;4.483598889
33;177.9114447;2.72265626;4.592282854
35;173.3330231;2.57701471;4.530248391
37;167.0150077;2.38222951;4.180258772
39;158.1954046;2.26168782;3.886064037
41;144.2236777;2.28728639;3.515525048
43;130.0693129;2.20951752;3.054170384
45;112.8624364;2.16780927;2.676923811
47;102.5074181;2.09984478;2.39876206
49;92.03135829;2.03443371;2.197917399
51;82.88960376;1.99106268;2.040381311
53;73.11238027;1.84023015;1.886409975
55;67.01787824;1.92250038;1.672270542
57;58.74178735;1.87096469;1.511880217
59;53.92701975;1.82141617;1.309969565
61;48.84701166;1.80858231;1.092970395
63;44.42443686;1.80858231;0.905967834
65;38.77937086;1.79410224;0.785809778
67;34.24338413;1.79410224;0.66400291
69;30.98965692;1.79410224;0.527397637
71;27.68460316;1.7658649;0.391623775
73;24.79498105;1.71357973;0.309229767
75;21.8700377;1.71357973;0.250943301
77;19.44303612;1.75523257;0.220117531
79;16.56632081;1.80505006;0.232868525
81;14.4958785;1.77342527;0.240161086
83;13.06361935;1.66571462;0.223165196
85;12.1669956;1.66571462;0.218188549
87;10.92159891;1.7243872;0.197163878
89;10.17914373;1.7224874;0.184669479
91;9.66128136;1.70537827;0.185799007
93;9.551511461;1.70537827;0.192905731
95;9.296158188;1.72877571;0.191362122
97;9.023558829;1.68215516;0.175396063
99;8.684836357;1.67983915;0.16578086
101;8.018372309;1.66158416;0.16282782
103;7.798609964;1.66360813;0.186684221
105;7.466406373;1.69144464;0.19511545
107;7.578268048;1.65472069;0.20291706
109;7.458318839;1.64924658;0.190857876
111;7.793794565;1.60851391;0.186303703
113;7.563913483;1.59847251;0.177738705
115;7.603625803;1.60673909;0.18855532
117;7.622465701;1.58847035;0.192887478
119;7.701149533;1.66715251;0.201326154
121;8.205172577;1.53641532;0.192150251
123;8.49774751;1.53641532;0.166739256
125;8.476196783;1.67256434;0.16834605
127;8.451775356;1.64031181;0.17757978
129;8.343405538;1.67608324;0.18739491
131;8.912746556;1.67371425;0.198484754
133;9.450878784;1.61960249;0.192829174
135;9.728514914;1.61596184;0.18526043
137;9.570204608;1.57388593;0.18496984
139;9.625415851;1.63796345;0.192960244
141;9.751514636;1.63771025;0.201023456
143;9.903129487;1.61999361;0.215756421
145;9.975962686;1.56342105;0.200391522
147;10.17955507;1.57360967;0.183776607
149;10.20691353;1.51578851;0.176879018
151;10.00329511;1.54833306;0.179933666
153;9.784732787;1.61077086;0.179388621
155;10.06621514;1.57054419;0.192655445
157;10.35921853;1.53491756;0.187626675
159;10.66365632;1.53734884;0.173116255
161;10.53857859;1.48510007;0.164144034
163;10.58616494;1.49275226;0.176073991
165;10.32471579;1.5401316;0.182581027
167;10.41861412;1.53760163;0.195308654
169;10.63144831;1.50734355;0.189254672
171;11.11395152;1.4613831;0.17978609
173;10.96371447;1.45793984;0.178266299
175;10.90168884;1.45789413;0.180103786
177;10.89950858;1.50514242;0.179746347
179;10.87227797;1.50084815;0.202075093
181;11.11375909;1.44450533;0.198267413
183;11.06280432;1.39047203;0.180709475
185;11.22808535;1.39553884;0.181623101
187;10.88836963;1.37513125;0.189781118
189;10.64389687;1.40801435;0.190987955
191;10.71398689;1.44445275;0.195359541
193;10.80955273;1.41084322;0.195599815
195;10.83839103;1.20888878;0.167657625
197;10.89516624;1.15243108;0.149174064
199;10.64995327;1.38855646;0.144599988
201;10.37250824;1.37544634;0.173735928
203;10.43367763;1.35557467;0.178211536
205;10.51314711;1.31799971;0.176849105
207;10.32505006;1.30526453;0.188707527
209;10.34103814;1.3267464;0.177307373
211;10.547406;1.33030453;0.155369904
213;10.03741145;1.31787796;0.169131095
215;10.09055477;1.33501298;0.17867229
217;10.09202088;1.30227751;0.162468174
219;10.07849384;1.29133617;0.168413969
221;9.993435326;1.28485047;0.155054848
223;9.555057514;1.28908893;0.152640004
225;9.684392329;1.20121353;0.173833637
227;9.50787367;1.26420991;0.17576098
229;9.701024274;1.20840584;0.1757017
231;9.895492762;1.2678372;0.173605615
233;9.543584514;1.19708995;0.169813197
235;9.262917048;1.20741691;0.178740566
237;9.208408115;1.29376461;0.191652422
239;9.306463702;1.21997452;0.180697427
241;9.247025097;1.19843077;0.188483413
243;9.259153415;1.15786839;0.190684518
245;8.924406397;1.13937678;0.175034912
247;8.808441764;1.13937678;0.181712559
249;8.875121652;1.14426238;0.197492096
251;9.160283435;1.16533695;0.200327049
253;9.12606797;1.07268677;0.19705998
255;8.732044777;1.14958199;0.183102864
257;8.288180952;1.12908906;0.187920942
259;8.377111605;1.20649026;0.177068005
261;8.367735071;1.14080294;0.182147562
263;8.627214105;1.17383731;0.178356555
265;8.311417805;1.10847195;0.187279578
267;8.023880139;1.14945054;0.185345728
269;7.9926124;1.09452053;0.206497594
271;8.055892458;1.11305178;0.207566083
273;8.152320076;1.11305178;0.189178989
275;8.146049674;1.08758425;0.179901831
277;7.741899454;1.0299993;0.185928863
279;7.711392451;1.04672701;0.183163645
281;7.601476382;1.0935316;0.181304382
283;7.763153235;1.04872793;0.1830043
285;7.680435113;1.02492319;0.185192915
287;7.410835425;0.61784324;0.179439074
289;6.905023963;1.01333145;0.17461776
291;7.375241559;1.03876904;0.175061681
293;7.054901447;1.01879868;0.183352825
295;7.311595734;0.96755503;0.185076578
297;7.161298939;0.93018028;0.181849833
299;7.257697889;0.98547835;0.182674998
301;7.060998372;0.91178736;0.185813256
303;7.448702902;0.94683883;0.184249975
305;7.602046025;0.93940343;0.170411389
307;7.551900691;0.90297151;0.171828318
309;7.80866052;0.9129401;0.180828416
311;7.86602242;0.89150435;0.195312762
313;7.872242825;0.92236994;0.204857235
315;8.168351238;0.89419529;0.218315292
317;7.911410158;0.87547354;0.198061971
319;7.369303045;0.87425446;0.201286406
321;7.036851342;0.87384069;0.193348423
323;6.782301764;0.92663185;0.200107541
325;6.647508566;0.9076569;0.19798408
327;6.464385601;0.87545736;0.201459372
329;6.2522168;0.83599635;0.177197128
331;6.144075934;0.83602871;0.177692401
333;5.491902111;0.86089842;0.187772229
335;5.615404867;0.85719549;0.204407414
337;5.580152691;0.83320671;0.201688253
339;5.577371276;0.81407078;0.202939159
341;5.477596485;0.82543925;0.208328343
343;5.301711834;0.79368625;0.194779825
345;5.124642615;0.83754669;0.201076735
347;4.995895691;0.8530258;0.223070473
349;4.892146429;0.82193006;0.236773216
351;4.935613086;0.75482345;0.234932613
353;5.067134817;0.77399862;0.249732141
355;4.762289111;0.79024299;0.25628411
357;4.582169146;0.80365201;0.264598559
359;4.471870307;0.80630655;0.270344882
361;4.637751432;0.77441239;0.266969505
363;4.649353821;0.76420718;0.244507019
365;4.75690327;0.7703875;0.218932858
367;4.428859746;0.78487727;0.212449462
