Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Woolfabric, mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 09:13:46
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;15;165.12;9.68;;;4.02;3.64;23.32;;251.31;;78.06;0.0088;Distortion. End flame at 81s.
;2010-11-10;c_LSFIRE_IN-8-1_35c;0.5;;;;;;;;;;;0.39;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.650387309;4.02;0.05779508
3;6.797825657;3.99507918;0.103464945
5;6.728504219;3.95629709;0.144400176
7;6.230619876;3.86127145;0.174272417
9;6.138437025;3.82522327;0.209853348
11;5.688787037;3.79659387;0.236701934
13;5.186552596;3.82296362;0.288608312
15;5.537436721;3.72878822;0.289220235
17;8.191575876;3.68830277;0.32816032
19;13.95679551;3.66321179;0.538824455
21;35.83670974;3.66321179;0.885557084
23;66.34776151;3.31799424;1.273190147
25;97.8926612;3.26411877;1.949395195
27;129.3718514;3.04972028;2.79681259
29;148.7610798;2.82877408;3.490348651
31;161.1282417;2.56453929;3.876047916
33;165.1185819;2.31193551;4.113796962
35;160.6507297;2.31193551;4.213274294
37;151.4284716;2.03937936;4.095836368
39;141.9945842;2.02682816;3.762680226
41;132.1787573;1.82430741;3.689563437
43;123.9229668;1.66748016;3.533332286
45;114.3335434;1.58548265;3.243559492
47;104.9486972;1.41389582;3.026428025
49;95.42507372;1.3363327;2.856757516
51;89.11289974;1.39743575;2.557214123
53;83.31513158;1.30671366;2.320866749
55;76.07101162;1.26277779;1.959036485
57;67.2489695;1.15761762;1.532543416
59;59.16373567;1.17652;1.257797202
61;53.01651793;1.07986331;0.99297312
63;45.62978864;1.16461502;0.776235825
65;40.63428493;1.08431853;0.659452258
67;35.45240932;1.03068659;0.552790651
69;31.29288343;0.97797754;0.414148509
71;25.5443348;0.99024728;0.296583792
73;22.29178169;1.02103273;0.221582445
75;19.87412175;1.03646044;0.190710956
77;16.16170861;1.00937076;0.142522186
79;13.64360167;0.98161349;0.133605451
81;11.18823812;0.95910934;0.137258921
83;9.367565354;0.92063167;0.110089369
85;8.060052468;1.07409695;0.118155494
87;7.024588183;1.01912823;0.137396122
89;6.015911751;1.03282501;0.112278561
91;5.606787924;0.97492799;0.080552443
93;5.251305641;0.89939968;0.066148565
95;4.818424512;0.89385443;0.057374817
97;4.299505888;0.90597196;0.061649589
99;4.109884909;0.96113187;0.094656719
101;3.762611189;0.90805857;0.128616676
103;3.452383688;0.93737373;0.141884064
105;3.684094402;1.06427485;0.123555534
107;3.604730696;1.06703866;0.108397427
109;3.521841284;0.98652053;0.09315843
111;3.498652202;1.00360973;0.087041086
113;3.296561317;1.04836488;0.097427451
115;3.487845624;1.03153149;0.108795127
117;3.439159818;1.01425163;0.103849342
119;3.568973834;0.98959144;0.091939264
121;3.766663695;1.01039457;0.074821851
123;3.964643397;0.95838087;0.073882613
125;3.854717586;1.01428207;0.096227258
127;3.894294831;1.02151873;0.115280405
129;4.331381348;1.01003888;0.116671835
131;4.379250641;0.99694987;0.112742934
133;4.768305487;0.95504026;0.107263243
135;4.894530144;0.88484785;0.089489445
137;5.14606249;0.96847214;0.105902576
139;4.883988181;0.93591625;0.128460601
141;5.299507248;0.94217235;0.131652419
143;5.427085857;0.98387848;0.120366225
145;5.765873419;0.88212302;0.115416077
147;5.930834481;0.86893414;0.087515253
149;6.072425567;0.83952393;0.082249418
151;6.176620144;0.91786786;0.111520774
153;6.254519047;0.92215004;0.131052893
155;6.366656339;0.8846652;0.131053632
157;6.394623291;0.85856943;0.117129255
159;6.716594075;0.81453368;0.09394358
161;7.090460494;0.81247751;0.065695407
163;7.007527411;0.81693273;0.062910026
165;6.97030706;0.8237448;0.073624304
167;6.79560859;0.8503175;0.094243035
169;7.078853646;0.81009982;0.105524862
171;7.109846254;0.79403444;0.108875568
173;7.605625139;0.74920025;0.095167823
175;7.456460318;0.73365131;0.106781907
177;7.265031365;0.78910603;0.11209727
179;7.171796061;0.83455974;0.12157116
181;7.332096373;0.76200727;0.130098003
183;7.506461327;0.79042465;0.137190721
185;7.50812582;0.73405881;0.103733618
187;7.875080033;0.70559016;0.098153076
189;7.773105602;0.76653246;0.104105383
191;7.797345118;0.79793422;0.114304066
193;7.87213211;0.73907854;0.114908786
195;7.942931482;0.74339971;0.110140213
197;8.276700852;0.6844009;0.097164673
199;8.250214228;0.63638739;0.079448407
201;8.273339842;0.68485646;0.077823405
203;8.155852822;0.68342034;0.092511459
205;8.273506719;0.67120294;0.11060402
207;7.338209752;0.67208415;0.118389324
209;7.672017256;0.66807488;0.110450077
211;7.823265903;0.64890334;0.095254602
213;7.922319048;0.63913305;0.098812045
215;7.80567464;0.69328196;0.116120046
217;7.742761245;0.66290347;0.121619941
219;7.773269309;0.62694608;0.125556428
