Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Woolfabric, mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 09:19:32
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;10;251.39;9.01;;;3.98;3.63;21.84;;276.15;;120.96;0.0088;Distortion. End flame at 59s.
;2010-11-11;c_LSFIRE_IN-8-1_50b;0.5;;;;;;;;;;;0.39;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.913579142;3.98;0.067319683
3;8.650378591;3.81378994;0.098090612
5;8.211699229;3.70434569;0.198328845
7;7.236960799;3.55501294;0.30453023
9;0.315030745;3.63692679;0.374676702
11;-3.308096868;3.72545416;0.856433901
13;25.09349899;3.5320697;1.337754127
15;84.29662273;3.35744028;2.242263978
17;150.6808114;3.09869879;3.245358791
19;218.6290839;2.94037411;4.565105782
21;250.0618904;2.59119287;5.199003165
23;251.3929205;2.41514211;5.747481072
25;235.4097853;2.242931;5.557069989
27;218.0082222;1.9975095;5.187217195
29;194.6850187;1.9975095;4.511931783
31;175.6217491;1.79126846;4.132133487
33;153.2524202;1.73285683;3.706888382
35;134.7240443;1.66714074;3.436816667
37;119.8343428;1.61316634;3.281926497
39;109.195378;1.52188922;2.93893456
41;95.62938934;1.44655732;2.551477552
43;84.11745163;1.36441901;2.088469861
45;72.98043369;1.36730379;1.724697685
47;62.83172913;1.31868947;1.214944104
49;54.2305185;1.38724782;0.871344109
51;45.11487993;1.37341883;0.530438023
53;38.14872589;1.35947541;0.346831453
55;31.62694743;1.32874369;0.155048042
57;25.91394775;1.28600592;0.082542635
59;21.83121701;1.2833136;0.077967754
61;18.93503234;1.30003132;0.08918811
63;16.47221573;1.3232021;0.118878094
65;14.70197126;1.22286465;0.146186018
67;14.06255892;1.22625537;0.135998948
69;13.5335535;1.24312566;0.107997648
71;13.42445288;1.2212618;0.086357998
73;13.04396314;1.20665988;0.081491792
75;13.12919936;1.251086;0.0806632
77;12.75690477;1.23054309;0.11944316
79;12.7046672;1.27701354;0.135858843
81;13.33483353;1.21721258;0.126982025
83;13.45048441;1.18735681;0.112484761
85;13.73262177;1.20473304;0.091779177
87;14.0721212;1.1609983;0.076390806
89;14.26502483;1.14162728;0.090982334
91;14.01314664;1.20533893;0.114244717
93;14.30790298;1.16279011;0.129271343
95;14.35170414;1.09590915;0.136037812
97;14.53221282;1.08021031;0.109248747
99;14.40606182;1.05432529;0.094773287
101;14.62220759;1.09688156;0.079151049
103;14.28472747;1.16922914;0.08699787
105;14.16956799;1.13636364;0.093957219
107;14.08066132;1.1578965;0.113744135
109;14.11633678;1.0347903;0.108309764
111;14.22793767;1.07118856;0.087909695
113;14.47073545;1.0410978;0.071308804
115;14.36728891;1.05586369;0.084899438
117;14.13428913;1.03203046;0.100645619
119;13.85675458;1.07170195;0.109431637
121;13.63301435;1.1158637;0.137265129
123;13.18049398;1.0290957;0.13201673
125;13.30412731;1.01991437;0.106012672
127;13.54387631;0.98097328;0.070479575
129;13.21252803;0.98984816;0.072261576
131;13.04984535;1.00478152;0.079578752
133;12.71155129;1.01226793;0.114356374
135;12.56985697;1.02150977;0.141600575
137;12.74628705;1.01895949;0.157501402
139;12.44219525;0.96459402;0.132057785
141;12.35421185;0.94679385;0.1086433
143;12.20025533;0.95362439;0.08995359
145;11.88133947;0.94409057;0.100001813
147;11.29817734;0.95634214;0.088001496
149;11.55025052;0.87162154;0.089631168
151;11.73943446;0.83365287;0.077347334
153;11.43771804;0.8352658;0.062000938
155;11.33682444;0.82558249;0.038996336
157;11.11886039;0.9053025;0.066186716
159;10.76981225;0.89588617;0.097009342
161;10.66428763;0.8841366;0.117656459
163;10.92477649;0.85118604;0.10561782
165;10.67352444;0.79633919;0.087218657
167;10.3987159;0.77153355;0.080301219
169;10.11875682;0.80299568;0.100080626
171;10.23391745;0.8637936;0.107900836
173;9.59943166;0.8637936;0.114518111
175;9.968605172;0.785103;0.126516913
177;10.10824645;0.74580548;0.109213411
179;9.535519916;0.72010942;0.098372091
181;9.371056811;0.81579219;0.102023457
183;9.188268424;0.82179325;0.13202775
185;9.397148758;0.77562223;0.130070225
187;9.135462581;0.74531402;0.123200274
189;9.029368018;0.71321093;0.101366809
191;9.093757285;0.75605918;0.104933457
193;8.762008433;0.75552826;0.098836052
195;8.547073241;0.65818257;0.129690234
197;8.614547488;0.61629971;0.142303962
199;8.391619117;0.70573197;0.123998334
201;8.668902125;0.67888901;0.108600841
203;8.115003863;0.64335618;0.109419792
205;8.008492878;0.66611748;0.114365179
207;8.142199922;0.69910047;0.118832552
209;7.980434603;0.6975476;0.117581261
211;8.074115838;0.58089884;0.097472269
213;7.945640068;0.57788209;0.111492508
215;7.551718926;0.58441363;0.109407763
217;7.450196644;0.66735688;0.135951221
219;7.511752703;0.69231246;0.152792385
221;7.395384324;0.67640669;0.156651536
223;7.853151308;0.65028711;0.120267182
225;7.472210337;0.57892903;0.096455876
227;7.175610227;0.20133443;0.106136163
229;7.137782509;0.56698743;0.137105237
231;6.890833704;0.56698743;0.152062987
233;7.245471996;0.57040314;0.160259081
235;7.065117508;0.57830604;0.149810551
237;6.839523789;0.51935297;0.131834792
239;6.630549109;0.58922526;0.120795581
241;6.708779208;0.62199124;0.130007047
243;6.658607665;0.59072114;0.132847542
245;6.85822724;0.42063942;0.125855236
247;6.65713673;0.46436714;0.123990258
249;6.277777179;0.5391155;0.129549466
251;6.206778505;0.56825884;0.151610876
253;6.197921224;0.56529952;0.13542179
255;6.11962649;0.50478657;0.141523172
257;6.232651938;0.50560202;0.124511435
259;5.91813931;0.52666095;0.119125537
261;5.891469846;0.59477781;0.096401075
263;5.518956595;0.53668272;0.126204825
265;5.897593818;0.53266902;0.124941773
267;5.671761573;0.49930153;0.133340396
269;5.392249999;0.40751541;0.112722238
271;5.496143091;0.42143383;0.123897737
273;5.035294947;0.40994073;0.120304919
275;5.131931869;0.49265951;0.139068999
277;5.150110908;0.46034291;0.129978921
279;5.170167218;0.46034291;0.121366935
281;5.142842237;0.4541529;0.10450608
283;4.847852733;0.41373391;0.117482049
285;4.608067293;0.4486363;0.144373379
287;4.519831107;0.43915553;0.148987041
289;4.490849834;0.45168812;0.158039877
291;4.661906603;0.40659648;0.15561015
293;4.183546315;0.43933002;0.1348823
295;3.905733181;0.44381722;0.124345309
297;4.004502642;0.47655821;0.145175394
299;3.548580457;0.49647725;0.154964637
301;3.737308924;0.40754741;0.152388558
303;3.797181483;0.39473336;0.144617746
305;3.738090234;0.31079314;0.109299456
307;3.630783542;0.33139261;0.082172645
309;3.210758793;0.36528356;0.099870377
311;3.212449925;0.45204105;0.115645941
313;2.982517859;0.46907881;0.109094925
315;3.302847626;0.42040794;0.106062724
317;3.152663115;0.33080118;0.101026512
319;2.693565261;0.31864212;0.088962763
321;2.550324831;0.40318823;0.101184465
323;2.436582057;0.44986474;0.121552347
325;2.545225298;0.37848956;0.122486361
327;2.640894131;0.37878155;0.132278693
329;2.415838798;0.26682649;0.120880462
331;2.231520149;0.41340949;0.119444922
333;2.085804869;0.38633548;0.113988744
335;2.081260189;0.41466336;0.12512757
337;2.040430113;0.39980496;0.126452198
339;2.131701353;0.32561208;0.11083915
341;1.98752921;0.32561208;0.10468586
343;1.897530333;0.32242128;0.124016324
345;1.715527101;0.2677989;0.146748157
347;1.814686084;0.36530855;0.143759207
349;1.826846994;0.29527932;0.152046956
351;2.065110387;0.31013771;0.127850466
353;1.71510237;0.28573103;0.134198775
355;1.49396503;0.27082266;0.126172964
357;1.345369203;0.32110691;0.142473533
359;1.270340496;0.32768141;0.138355454
361;1.168246122;0.32768141;0.133273382
363;1.000944593;0.28396816;0.097357854
365;1.099808437;0.27523533;0.096998714
367;1.059282936;0.29645077;0.104356263
369;0.891490846;0.33255704;0.148967876
371;0.897668091;0.36640547;0.164753656
373;0.880303384;0.35311048;0.15206143
375;0.873430757;0.20078597;0.118556692
377;0.880754245;0.29744115;0.099381284
379;0.883513957;0.28087644;0.094005023
381;0.881164903;0.25761666;0.100082471
383;0.882083981;0.29645822;0.142786004
385;0.87130708;0.31089266;0.16320362
387;0.881300982;0.25813311;0.14603744
389;0.880607361;0.26451515;0.102732612
391;0.857847151;0.31254857;0.090072465
393;0.885539981;0.19378094;0.083151802
395;0.862957862;0.32814788;0.105378862
397;0.878866823;0.32592906;0.116232799
399;0.866081866;0.31840757;0.130437705
401;0.874365455;0.22452713;0.116152192
403;0.8836936;0.29435689;0.092758862
405;0.880298765;0.3145004;0.095305397
407;0.885801947;0.28533909;0.117382304
409;0.88070903;0.53551478;0.125464353
411;0.865959373;0.30206031;0.164374731
413;0.882128195;0.26826186;0.151985191
415;0.87161632;0.25411195;0.118937055
417;0.873986035;0.2585426;0.089152788
419;0.871482888;0.30498061;0.101243164
421;0.873033082;0.28538512;0.100954411
423;0.8870744;0.2867315;0.121123015
425;0.897079899;0.2902042;0.142359101
427;0.869584279;0.27515334;0.153809983
429;0.883760133;0.20390224;0.127902435
431;0.880757505;0.28700244;0.127316575
433;0.867707042;0.26880331;0.126366997
435;0.886258363;0.31527333;0.120547476
437;0.857887084;0.31527333;0.120080345
439;0.889728672;0.25769163;0.115820795
441;0.886945091;0.26358921;0.084023253
443;0.862217541;0.20442264;0.092287193
445;0.875744406;0.28511462;0.103483203
447;0.881797311;0.21538482;0.131892717
449;0.873914007;0.24803637;0.160793911
451;0.882294902;0.20553008;0.180155546
453;0.886692572;0.22224385;0.170505953
455;0.887695143;0.20014851;0.154592831
457;0.880591943;0.21048726;0.128797331
459;0.865369207;0.26898131;0.146504478
461;0.861167803;0.21098267;0.160498104
463;0.869380581;0.25512382;0.145030631
465;0.892705214;0.27037021;0.123248843
467;0.868438913;0.22922828;0.121947
469;0.876103808;0.23101614;0.099898297
471;0.885298715;0.19451792;0.093751517
473;0.883207606;0.23219504;0.128235181
475;0.888529115;0.24146187;0.14952616
477;0.891926335;0.20603601;0.141581891
479;0.857477181;0.1098473;0.134382828
481;0.888734032;0.24785443;0.114005507
483;0.867909592;0.25154414;0.114762979
485;0.889769074;0.27402442;0.120535852
487;0.893184191;0.24703195;0.140985639
489;0.862264448;0.19091369;0.127248469
491;0.885823322;0.19091369;0.111786245
493;0.8881044;0.19091369;0.097555062
495;0.878173866;0.17114415;0.117742603
497;0.880717223;0.25187559;0.125611069
499;0.873885807;0.15364298;0.144566967
501;0.877769083;0.21518534;0.181698036
503;0.887096672;0.14709346;0.171746469
505;0.868156761;0.1559188;0.143909721
507;0.875850835;0.17093415;0.127442914
509;0.883157395;0.20337526;0.140320491
511;0.877710318;0.19901257;0.170700013
513;0.881981068;0.18914731;0.187359311
515;0.872372162;0.21068016;0.19605459
517;0.881569141;0.19051122;0.192790696
519;0.877174928;0.18930777;0.166238816
521;0.882539696;0.0896183;0.136307044
523;0.87813864;0.09068322;0.156494424
525;0.881989543;0.13624878;0.169913206
527;0.871313624;0.15528836;0.175609736
529;0.881813584;0.16365774;0.171326913
531;0.881600276;0.12646156;0.153210077
533;0.869625116;0.12514061;0.149990983
535;0.871983348;0.18086693;0.145451507
537;0.880534804;0.21451193;0.16582612
539;0.884924337;0.13386248;0.186000709
541;0.881287649;0.19335348;0.189286944
543;0.883305959;0.113409;0.165314359
545;0.883866412;0.16605457;0.147515555
547;0.86936163;0.14905231;0.144452654
549;0.872244888;0.2291213;0.155928783
551;0.878252985;0.10153491;0.178626722
553;0.869410243;0.21068016;0.181879699
555;0.889050515;0.21068016;0.171466941
557;0.898821667;0.21068016;0.176032376
559;0.865822249;0.08919479;0.189484967
561;0.884756177;0.17468787;0.18638254
563;0.888876028;0.26587556;0.197654592
565;0.868305198;0.18470264;0.21347519
567;0.882521355;0.06352372;0.179000775
569;0.878407097;0.17892605;0.171064551
571;0.875273736;0.13350297;0.187637627
573;0.879896126;0.1958963;0.191365118
575;0.889320102;0.22489014;0.187304906
577;0.875566572;0.13889112;0.189691724
579;0.883361857;0.20690145;0.181919003
