Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Woolfabric, mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 09:39:04
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;7;353.21;9.58;;;4.00;3.82;22.61;;473.21;;171.24;0.0088;Distortion. End flame at 53s.
;2010-11-09;c_LSFIRE_IN-8-1_75a;0.5;;;;;;;;;;;0.39;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.388320265;4;0.194459058
3;4.113188458;4;0.349537777
5;2.646370538;3.96727172;0.499578301
7;-0.862203423;3.9242155;1.452145877
9;33.66935837;3.83265377;2.680319711
11;132.982053;3.61860031;4.309269624
13;251.9723592;3.20459881;6.179029769
15;323.0131545;3.1749725;7.636774936
17;353.2149209;2.55569088;7.983301955
19;320.2550757;2.42912117;7.932169386
21;277.9596119;2.31157071;7.303675873
23;235.5420949;2.18455267;6.350966895
25;203.9726969;2.09424955;5.523484624
27;170.8627144;2.03595878;4.738226472
29;149.3729369;1.98054116;3.85850488
31;124.1771858;1.88094759;2.980121432
33;104.5300195;1.89939463;1.928314378
35;86.27028882;1.85911073;1.163656727
37;69.98053178;1.85179096;0.687507878
39;58.58018027;1.85273135;0.416297218
41;49.19670594;1.85276389;0.262850876
43;43.05855068;1.84225829;0.241375896
45;39.48060433;1.8461765;0.225595077
47;36.59364237;1.8054729;0.198631109
49;34.96117483;1.81350962;0.203801723
51;34.31570352;1.72047291;0.233594414
53;32.93231654;1.79565405;0.266411894
55;31.66641442;1.80012918;0.271280567
57;30.29832706;1.74659434;0.266185903
59;29.35713642;1.71980528;0.249011253
61;28.48264675;1.70826368;0.246961271
63;28.71289065;1.69718036;0.252008799
