Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Woolfabric, mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 09:43:46
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;5;325.00;9.54;;;4.08;3.98;21.45;;405.93;;172.23;0.0088;Distortion. End flame at 42s.;2010-11-09;c_LSFIRE_IN-8-1_75c;0.5;;;;;;;;;;;0.39;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;2.71294555;4.08;0.268813545
3;3.279821567;4.07202565;0.374543816
5;-0.903734531;4.0403775;0.614283992
7;2.271664926;3.96799324;1.557011195
9;57.61157888;3.54229094;2.874216137
11;160.5674915;3.26709111;4.594175164
13;257.5799467;2.87720347;6.262256667
15;310.5275131;2.35283933;7.799511637
17;325.0037128;2.06474548;8.099904064
19;303.2334818;2.06474548;7.757595482
21;273.6903716;1.61767113;7.104574823
23;239.5403226;1.3963205;6.24617051
25;214.8422467;1.29415659;5.076894387
27;180.8783424;1.16344113;4.386397137
29;153.478424;1.11406253;3.696866163
31;128.721994;1.03260864;2.586907304
33;107.7263395;0.98739414;1.66503066
35;87.40610532;0.98531604;1.041238522
37;71.56977364;0.94869121;0.52309956
39;59.09586391;0.96144544;0.216885792
41;51.58354153;0.95465108;0.190320532
43;44.55547595;0.9278233;0.186327689
45;39.78726332;1.04252922;0.209695377
47;38.46201672;0.88196425;0.191465145
49;36.21440081;0.69268843;0.189500397
51;34.99470286;0.91090496;0.175237033
53;33.97663429;0.86186164;0.168081007
55;32.56863363;0.81579176;0.154698419
57;30.53635845;0.80872248;0.165643554
59;29.87194504;0.80260751;0.180945151
61;29.50979106;0.80963917;0.188183387
