Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Aluminium Honey comb coated with HPL;;;;IN10A-1;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 09:49:22
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;188;142.80;46.88;;;102.54;23.56;17.45;;578.69;;46.33;0.0088;Projection of particles. Raising of the surface. Glowing. Unidentifiable end flame.
;2011-02-24;c_LSFIRE_IN-10A-1_35a;22.7;22.7;;;;;;;;;;10.25;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.555678842;102.54;0.006484661
3;5.694728238;102.5004858;0.010546234
5;6.342280498;102.7535445;0.022884771
7;6.01922553;102.5555342;0.038555957
9;4.888406728;102.4850063;0.059677495
11;3.896485513;102.5798574;0.083732973
13;2.718378228;102.5520653;0.107447792
15;1.67235948;102.6327303;0.120808225
17;1.136126015;102.6228517;0.136133326
19;0.636912399;102.7267134;0.146688772
21;0.546145414;102.6108667;0.144601295
23;0.519277288;102.5646658;0.148146713
25;0.476750576;102.5975211;0.143988935
27;0.624834241;102.5955401;0.127788996
29;0.418558488;102.6227689;0.105357136
31;0.335495485;102.5211615;0.078341092
33;0.083375824;102.5675279;0.047604652
35;-0.007743546;102.5654511;0.026063461
37;-0.004243691;102.4374022;0.011267112
39;-0.017382064;102.5113656;0.002021989
41;-0.017833366;102.5058751;0.000585371
43;-0.017176645;102.4552144;-5.79398E-17
45;-0.018046936;102.4554326;-5.79398E-17
47;-0.018042709;102.4432425;0.005353159
49;-0.017549815;102.4294967;0.011616576
51;-0.017711836;102.4402706;0.01900624
53;-0.017336086;102.4377922;0.036492057
55;-0.056510399;102.4401733;0.07943956
57;-0.110427972;102.4193708;0.145368503
59;-0.157416667;102.3239545;0.247586124
61;-0.19673996;102.3032894;0.403586848
63;-0.236827781;102.237124;0.544284362
65;-0.281516534;102.1572294;0.668731414
67;-0.323942716;102.1547805;0.770131272
69;-0.38719795;102.1372523;0.870445687
71;-0.342135278;102.002089;0.872812917
73;-0.153577799;101.9316313;0.879612767
75;0.026368943;101.82009;0.882770407
77;-0.250822429;101.7851987;0.875459338
79;-0.133728963;101.8292957;0.852369073
81;-0.125990518;101.6431838;0.883052964
83;-0.094608856;101.5442604;0.92994256
85;0.345557723;101.5222322;0.943343891
87;0.558933937;101.4786583;0.984734603
89;0.604362684;101.3568832;0.982883546
91;0.505463748;101.2419999;0.978508303
93;0.22106212;101.2181688;0.963016965
95;0.179946136;101.2211146;1.001767776
97;0.310121656;101.1505465;0.995159416
99;0.430090364;101.1122158;1.036914936
101;0.434163018;101.0419797;1.07531038
103;0.391826826;100.9524927;1.089224651
105;0.098376505;100.7540393;1.13557016
107;0.043718858;100.8475965;1.217505108
109;0.245827373;100.8193496;1.293647905
111;0.474955513;100.7243611;1.383929038
113;0.816047637;100.5588485;1.480900165
115;0.699523657;100.4759805;1.533427338
117;0.581282972;100.3633118;1.603208469
119;0.277905262;100.173432;1.65487884
121;0.292944362;100.1783303;1.693673053
123;0.098586406;100.0596224;1.771850657
125;0.169802975;99.9691189;1.780461442
127;0.218720924;99.8048968;1.748885767
129;0.408732283;99.7287284;1.704076106
131;0.638841533;99.6562069;1.695737376
133;0.550199387;99.5408833;1.589663209
135;0.900966785;99.397561;1.587908063
137;1.404073904;99.3632067;1.537810664
139;1.565831188;99.2809314;1.503985634
141;1.714252158;99.2540602;1.444790015
143;1.704502109;99.1535134;1.424226289
145;1.796842938;99.0656518;1.355151119
147;1.979718387;98.9554887;1.320597192
149;2.031564355;98.8638979;1.282897694
151;1.926892295;98.7424252;1.214824229
153;1.654704305;98.6741139;1.178708853
155;1.561847044;98.5920994;1.140004317
157;1.505294636;98.4834614;1.109103867
159;1.630939214;98.4422695;1.095259362
161;1.633067812;98.3632961;1.053794721
163;1.63717116;98.1410827;0.998370325
165;1.834086183;98.1394177;0.974341387
167;1.598647943;98.0062083;0.960540739
169;1.558228379;97.9729955;0.907814191
171;1.631514271;97.8440107;0.88484322
173;1.433881848;97.8111685;0.925677782
175;1.586086487;97.819299;0.91699694
177;1.31114913;97.7120381;0.887330561
179;1.297857037;97.611037;0.862747252
181;0.641377666;97.5829421;0.843614688
183;1.175496665;97.521882;0.800321604
185;0.995386018;97.4137409;0.77845033
187;1.327161408;97.3264431;0.652412951
189;3.571515209;97.3202374;0.522938013
191;9.810637205;97.0359473;0.4203254
193;16.66656595;97.1085917;0.298646071
195;24.62242817;97.0923985;0.218139584
197;36.4609243;97.2118772;0.307285963
199;52.62515028;97.2258687;0.635061048
201;66.9135328;96.6433222;1.086468185
203;85.04695985;96.4369168;1.638303774
205;110.7819584;96.2861927;2.001526161
207;128.6811114;95.8048534;2.293270414
209;141.1734937;95.8338836;2.346984007
211;142.8021114;95.5296842;2.125666569
213;138.2724641;95.365436;1.696723961
215;130.8767179;95.2060444;1.389161898
217;126.3431781;95.1058964;1.159171096
219;123.0917587;94.9329254;0.910369875
221;115.8176462;94.860074;0.770240828
223;109.131199;94.7374037;0.708786311
225;104.9057083;94.574146;0.676363315
227;101.7080303;94.4748104;0.575199961
229;96.29650728;94.7146749;0.500058536
231;92.27969755;94.2987848;0.44805558
233;88.15306416;94.1543215;0.415861214
235;86.5172169;94.1593286;0.385683525
237;84.13645206;94.0617272;0.383077214
239;80.23599555;93.9999374;0.381840211
241;81.20568054;93.9148417;0.346166951
243;82.0583074;93.8757808;0.298516085
245;80.19939933;93.7991875;0.237575027
247;81.69933933;93.6135581;0.182744107
249;83.58922344;93.5241142;0.123347445
251;84.83248453;93.2179208;0.130268659
253;85.1701456;93.3637186;0.179702093
255;86.09530799;93.4347947;0.215154077
257;87.47681724;93.4393765;0.25186382
259;87.53491713;93.19339;0.316597448
261;89.52578679;93.1085826;0.34278514
263;92.34466066;93.1109768;0.33029301
265;93.77817633;93.0596992;0.330438841
267;97.40145946;92.8737402;0.32029117
269;98.8678812;92.667267;0.287664713
271;99.01123665;92.7546332;0.258305586
273;99.06688302;92.5995204;0.245027216
275;95.68475071;92.6359113;0.227064249
277;91.90662658;92.3740747;0.200576556
279;87.9024055;92.2413061;0.192471824
281;83.93021867;92.4160103;0.156590281
283;81.26275257;92.3041546;0.130265173
285;76.75661112;92.2080105;0.121372977
287;74.96045885;92.2670204;0.109155708
289;73.01985691;91.99138389;0.10158966
291;69.6054545;92.0653216;0.124506335
293;67.74159087;92.00164774;0.151571507
295;64.74714007;92.02210624;0.16964843
297;63.03272912;91.94152302;0.186712074
299;61.46546028;91.95308025;0.194005353
301;60.33123452;91.86692526;0.171571101
303;58.33334319;91.81030909;0.130341419
305;56.25658577;91.75059759;0.085837848
307;55.231132;91.3533921;0.059279056
309;51.90174893;91.65073892;0.024075465
311;49.30424911;91.30359994;0.031300225
313;48.78226518;91.41022747;0.056849811
315;46.82277449;91.39762507;0.095425326
317;43.98910875;91.26425066;0.135735693
319;42.7246227;91.28945642;0.187623119
321;41.13004666;91.1799668;0.215584831
323;39.52950453;91.1351556;0.227840854
325;38.91995509;91.05486124;0.213349086
327;37.73624566;91.05330657;0.199493312
329;37.5433849;90.96229498;0.17019905
331;36.37910315;90.89621333;0.156511182
333;36.29442728;90.84405505;0.131322181
335;35.98641279;90.80942496;0.107238434
337;36.44226668;90.82556348;0.074885171
339;35.70099709;90.35085701;0.050394231
341;35.88920326;90.52728133;0.036097264
343;34.72690561;90.54431404;0.026980861
345;34.33474957;90.56043901;0.046320684
347;34.98438054;90.40878012;0.07366456
349;34.93334757;90.41149027;0.111325482
351;34.79660075;90.37758985;0.144999963
353;34.84090454;90.4858819;0.178332433
355;34.75415843;90.27614893;0.201101126
357;33.95713792;90.1312318;0.210446377
359;33.48751075;90.39920433;0.197874853
361;33.89472379;90.01897686;0.17988012
363;34.33909511;90.02366847;0.15547978
365;33.6681507;89.92317689;0.127340986
367;33.23651444;89.85384848;0.103073144
369;33.13515699;89.81969984;0.091953483
371;33.04411589;89.70319362;0.078782749
373;33.21412;89.71843795;0.07564312
375;32.27917452;89.72312955;0.098487882
377;31.66148413;89.54329346;0.108090573
379;32.66358488;89.61432848;0.1282224
381;32.33928315;89.57865274;0.140798306
383;32.10082261;89.50715031;0.168546599
385;32.9297708;89.47443295;0.174548497
387;32.31645054;89.51213078;0.200819072
389;32.02473736;89.41916532;0.219233016
391;33.14387106;89.41146066;0.227742951
393;32.50510364;89.3354592;0.225402671
395;32.66917933;89.29250557;0.232675831
397;32.79966085;89.20758881;0.225087295
399;32.86053943;89.21613298;0.206044835
401;32.2560515;89.10290111;0.198810084
403;32.35279331;89.04438671;0.175984236
405;32.54761989;88.94965997;0.145715966
407;32.07405567;88.94101999;0.128791765
409;32.14186266;88.87116851;0.127980492
411;31.93608002;88.83718536;0.140352655
413;31.78878752;88.70814545;0.168219202
415;31.50708369;88.71631802;0.187730514
417;30.94525549;88.63380899;0.221711145
419;30.65670689;88.71988123;0.241335353
421;31.33855694;88.59008456;0.266414615
423;31.36699862;88.74543054;0.277244414
425;31.73070346;88.84101035;0.303343654
427;32.177474;88.51474358;0.313295934
429;31.13014679;88.44941871;0.336004856
431;31.33258782;88.2512154;0.319481519
433;31.37065064;88.32347461;0.315964453
435;31.11634114;88.062629;0.312834206
437;31.05627646;88.03643325;0.298597869
439;31.33508499;88.08051526;0.273349405
441;31.22947178;87.90400867;0.266712005
443;31.44488318;87.87482744;0.243456615
445;32.00651855;87.84021138;0.251607815
