Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Aluminium Honey comb coated with HPL;;;;IN10A-1;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 09:55:35
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;171;121.32;46.63;;;102.55;22.50;18.29;;450.13;;45.77;0.0088;Projection of particles. Raising of the surface. Glowing. Unidentifiable end flame.
;2011-02-24;c_LSFIRE_IN-10A-1_35c;22.7;;;;;;;;;;;10.25;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.525132006;102.55;0.049524327
3;6.906285615;102.4984559;0.054497799
5;6.686822421;102.7724304;0.081274859
7;5.886478071;102.7632954;0.10258855
9;5.12363246;103.0108941;0.125102106
11;4.400031837;102.8545494;0.117283044
13;3.346954391;102.7464514;0.119143698
15;2.525044448;102.5722766;0.085361791
17;1.681512708;102.7390226;0.056419066
19;1.284236079;102.748983;0.048693837
21;1.287821716;102.6248041;0.073718923
23;1.443859267;102.621133;0.087496794
25;1.234813522;102.7415697;0.103822585
27;1.474385024;102.8296475;0.102835921
29;1.718297746;102.7573477;0.088153087
31;1.417236441;102.7090304;0.055690027
33;1.383257781;102.6983538;0.033112204
35;1.441567197;102.6996631;0.039980159
37;1.389533496;102.8930558;0.075374017
39;1.006848757;102.8055711;0.092468356
41;0.848330073;102.7643367;0.121754295
43;0.452308213;102.7670449;0.120309015
45;0.494716875;102.7571396;0.10625237
47;0.26395282;102.5870642;0.101438614
49;0.420332531;102.6379412;0.34438613
51;0.096316564;102.5257317;0.568346132
53;0.25123268;102.6427286;0.874417191
55;0.273120857;102.475417;1.09933957
57;-0.03133465;102.480425;1.343567305
59;-0.114413563;102.3982353;1.341731165
61;0.204606295;102.4086129;1.325697114
63;0.60297909;102.2556916;1.224217427
65;0.886636385;102.1381557;1.208585464
67;1.171431828;102.0099993;1.180009427
69;1.513706779;101.9627112;1.166397967
71;1.429013052;101.9948929;1.204664096
73;0.921621138;101.9648456;1.212367242
75;1.051856962;102.1337099;1.179178052
77;0.749619518;101.8852267;1.145932255
79;0.73742767;101.7788822;1.108761189
81;1.078074954;101.9832418;1.036910792
83;1.525877333;101.6480447;1.043626361
85;2.01946867;101.6255525;1.09648862
87;2.283401697;101.6465472;1.087699988
89;1.894313459;101.9076284;1.130540765
91;1.424565679;101.5274155;1.154115629
93;1.425115268;101.3948443;1.169269027
95;1.464420572;101.4432995;1.142613679
97;1.537584391;101.1977369;1.13034825
99;1.322165629;101.1199302;1.070992092
101;1.609478047;101.0528508;1.082571964
103;1.589273217;101.4058509;1.072239565
105;1.600533769;101.0791951;1.139679638
107;1.696312794;100.8569105;1.166474103
109;1.467489286;100.847237;1.19411708
111;1.581278333;100.6583254;1.184800962
113;1.743349648;100.6198428;1.204715159
115;1.947896996;100.4779871;1.143585228
117;1.914519895;100.4248659;1.189210404
119;1.593180107;100.3640284;1.216829947
121;1.818448361;100.3481517;1.191961684
123;1.80429168;100.1859033;1.201426161
125;1.759571282;100.3127547;1.232363796
127;1.566545008;100.0994367;1.247757537
129;1.142868245;100.0476399;1.21708327
131;1.37206879;99.9049311;1.265507465
133;1.024606135;99.8946678;1.262640095
135;1.515405839;100.6306447;1.284486413
137;1.649078319;99.5791957;1.253502447
