Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Aluminium Honey comb coated with HPL;;;;IN10A-1;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 09:59:42
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;96;200.78;48.69;;;102.28;24.73;17.18;;688.90;;74.29;0.0088;Projection of particles. Raising of the surface. Flashing from 65s. Glowing. End flame at 935s.
;2011-02-25;c_LSFIRE_IN-10A-1_50a;22.7;;;;;;;;;;;10.25;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.397490737;102.28;0.092454722
3;4.994717128;102.3472334;0.077494379
5;5.23509112;102.112895;0.074646581
7;5.534497816;102.2290899;0.081663084
9;5.602352481;102.1793275;0.076299363
11;4.764255522;102.30582;0.092575743
13;3.516355739;102.4339961;0.127003423
15;2.189074503;102.2972462;0.139848463
17;1.115474512;102.1669007;0.140740026
19;0.765219437;102.3072234;0.143399178
21;0.259074639;102.3677486;0.115669149
23;0.032980163;102.3651811;0.093414406
25;0.103075617;102.1483729;0.077971961
27;-0.057033609;102.2361055;0.102901378
29;-0.791345732;102.2514823;0.131879364
31;-0.842378507;102.2231151;1.033804516
33;-0.675962814;102.0448451;1.759641185
35;0.211211398;102.0312469;2.10193556
37;0.284672626;101.9695747;2.40723469
39;0.573395219;101.8696794;2.676256736
41;0.554163743;101.7753642;2.0797474
43;0.393426154;101.7138692;1.536199638
45;0.521953206;101.6360628;1.388992708
47;0.670307044;101.605333;1.246634891
49;0.724317828;101.6309084;1.127216305
51;0.781895204;101.6224763;0.982425968
53;0.792913014;101.5282563;1.02338086
55;0.643763498;101.2362918;1.127691045
57;0.672742303;101.1887381;1.217813396
59;0.409956415;101.1387155;1.334079465
61;0.399582927;101.1073391;1.582203298
63;0.226979392;101.1265256;1.798170913
65;0.169226128;100.9960422;1.981656869
67;0.56625034;100.8795439;2.158743541
69;1.175461466;100.7851302;2.243515143
71;2.841524566;100.6011465;2.283479356
73;3.595230388;100.441511;2.317803212
75;3.457678271;100.3239913;2.306680932
77;3.414755758;100.292394;2.302795193
79;2.982711376;100.0960185;2.251701557
81;2.934663697;100.0035097;2.300304871
83;2.860251967;99.9495001;2.300469027
85;3.242604422;99.8037904;2.140847522
87;3.286393137;99.6321621;2.032940941
89;3.774758161;99.577888;2.02635635
91;4.230888232;99.4607232;1.772136837
93;4.618955211;99.1612781;1.53997433
95;4.24911128;99.1048073;1.261918897
97;9.568459628;98.9402466;0.951266194
99;22.76310766;98.8612494;0.73005139
101;40.28032459;98.7044577;0.611127816
103;59.07494336;98.4635964;0.615411275
105;75.022731;98.2108026;0.898654667
107;86.46848412;98.0032707;1.20961985
109;92.88650987;97.7022396;1.406644831
111;104.3329468;97.4687701;1.665506823
113;114.0374264;97.364734;1.824582362
115;127.7119192;96.9040961;1.995282918
117;140.0876626;96.7573258;2.228987096
119;158.9139714;96.4280533;2.524383468
121;170.6741189;96.1690793;2.629203206
123;175.5981687;95.8587846;2.782478604
125;178.0471522;95.6809699;2.843929969
127;173.6918807;95.4267158;2.750981114
129;162.3331002;95.1939245;2.493818955
131;156.5881125;95.0072083;2.190394581
133;142.3733582;94.8176639;1.780275111
135;131.6073134;94.730925;1.340253001
137;119.8212967;94.7214283;0.990238119
139;114.7375867;94.5707783;0.825947482
141;107.6790393;94.8619967;0.745792541
143;102.1611705;94.4644111;0.717312542
145;99.69697965;94.2944523;0.757092223
147;94.37009526;94.1541018;0.717962004
149;92.64344467;94.0580871;0.638324675
151;92.00510222;94.0565964;0.613962855
153;89.61743885;93.8806593;0.583402068
155;88.09375634;93.9644443;0.537376226
157;85.73681853;93.7515298;0.515770022
159;86.68579957;93.7236321;0.49815426
161;85.74200493;93.6416694;0.530231814
163;83.94712286;93.4962122;0.508820303
165;84.09006924;93.4963224;0.4771172
167;84.8044057;93.3378223;0.426299073
169;84.75295829;93.2964959;0.394038294
171;83.88638658;93.2555281;0.323361368
173;87.11249944;93.1852403;0.293288
175;86.29005591;92.9837822;0.268218482
177;86.8682309;93.3460865;0.278784993
179;83.85106453;92.9863774;0.258120366
181;84.2087286;92.5010748;0.239447868
183;82.56694465;92.6130031;0.230645973
185;81.39945679;92.5743116;0.180027531
187;81.41924801;92.5918816;0.153280032
189;79.26817011;92.5141001;0.143524421
191;79.91504099;92.5260259;0.154852816
193;78.34724818;92.4838159;0.15133769
195;76.38882804;92.3812585;0.172046203
197;75.90440599;92.4378918;0.152526605
199;76.22530625;92.3268469;0.149209027
201;73.34746155;92.2860297;0.115005014
203;72.49055837;92.1908436;0.093286802
205;71.15907247;92.1127029;0.096061598
207;69.42665506;92.1524682;0.112944781
209;68.69765391;92.0642113;0.126891832
211;66.84908056;92.0534025;0.140990859
213;64.31228943;91.9700316;0.13429329
215;63.2716797;91.8730105;0.109183216
217;60.11215832;91.761288;0.09277012
219;60.45091425;91.7286023;0.062792712
221;59.55796339;91.8596192;0.055659606
223;56.85873974;91.3511805;0.115194718
225;54.79298999;91.6665238;0.154116151
227;52.58921894;91.3325566;0.184107022
229;49.51637376;91.4325189;0.211499182
231;47.60144293;91.2164724;0.230870681
233;46.86396608;91.2520697;0.195425884
235;46.02586036;91.2072223;0.188537592
237;43.93993773;91.0445538;0.194867772
239;43.83942109;91.5959704;0.214378573
241;43.11338963;91.0870929;0.236720234
243;43.41776604;91.0532752;0.236331073
245;43.39629424;91.0160342;0.237557226
247;43.8780355;90.8707852;0.193744218
249;44.53715485;90.8298306;0.152708952
251;44.35112847;90.801326;0.105508106
253;44.34947221;90.75155;0.10464136
255;43.84106156;90.6961166;0.103577792
257;42.71239975;90.6945151;0.144787966
259;43.73475681;90.6751912;0.14155656
261;44.14364366;90.6680135;0.173753359
263;43.71118831;90.5043916;0.164269272
265;42.62600546;90.4695778;0.164434927
267;43.48145926;90.2846586;0.141984952
269;43.53257842;90.3529163;0.146615013
271;44.10304902;90.3351381;0.150762899
273;43.0936195;90.3213346;0.164050941
275;43.46310324;90.2410559;0.174348203
277;42.90269404;90.2083552;0.198556013
279;44.12937101;90.1749516;0.197753674
281;43.71167564;90.038809;0.156799656
283;43.38923238;89.9680818;0.14751999
