Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Aluminium Honey comb coated with HPL;;;;IN10A-1;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 10:07:07
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;34;353.40;56.64;;;102.59;30.08;16.34;;757.70;;118.44;0.0088;Projection of particles. Raising. Flashing from 18s. Glowing. End flame at 603s.
;2011-02-28;c_LSFIRE_IN-10A-1_75a;22.7;;;;;;;;;;;10.25;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.550227573;102.59;0.054574743
3;5.643954085;102.4871288;0.073048151
5;5.457213531;102.6044177;0.092942458
7;2.883300602;102.7396462;0.102317936
9;3.372370688;102.7659061;0.091410583
11;3.337764444;102.9272849;0.087668481
13;1.576111578;102.7141784;0.113532952
15;-3.317777023;102.7786429;0.410814851
17;1.842580762;102.6957531;0.489905809
19;31.0579322;102.3945435;0.772933924
21;45.06662413;102.5211843;1.293898528
23;49.02296961;102.1195933;1.731702384
25;43.55752251;102.012584;1.964154688
27;32.70779634;101.8092392;2.418760993
29;21.58172879;101.7084973;2.333668247
31;16.27706836;101.437183;1.975438128
33;17.36141501;101.3154392;1.539535666
35;21.83482689;101.1835957;1.032692195
37;30.80554877;100.8644681;0.523588504
39;41.05794571;100.5259328;0.394308685
41;54.14357607;100.5955347;0.279945148
43;67.33010421;100.0678597;0.322897973
45;76.55802798;100.0458531;0.440042144
47;82.27243606;99.7059368;0.603818993
49;86.64107206;99.4249323;0.772876036
51;92.389061;99.1072793;1.133263015
53;98.30315524;98.904584;1.515062345
55;104.1068042;98.6565761;1.868280878
57;110.831383;98.2603309;2.186866544
59;117.0453108;97.9231606;2.509327973
61;132.3201789;97.5638091;2.609560934
63;150.5706002;97.2302307;2.733474313
65;168.5765201;96.9251729;2.887846995
67;191.5115487;96.5535109;3.129517556
69;211.2223327;96.0942579;3.29299484
71;220.6375822;95.7124256;3.433556839
73;213.3687767;95.4367981;3.4856572
75;204.5089912;95.1396997;3.197550366
77;201.1790129;95.0877809;2.730703253
79;184.2083481;94.671739;2.285050957
81;179.1029666;94.652588;1.932778133
83;176.1973787;94.3593382;1.609175021
85;172.4048834;93.7745974;1.530171601
87;172.9484006;94.0572833;1.635705578
89;174.7241932;93.7545459;1.598285732
91;169.3622681;93.5966341;1.478336398
93;165.8992992;93.6699377;1.458391941
95;162.7823181;93.3138507;1.475007056
97;152.911784;93.154831;1.363305251
99;148.4656531;93.0594949;1.417755812
101;140.2726238;93.0088165;1.499381042
103;134.3597992;92.8729059;1.404150527
105;131.3700607;92.7529323;1.249620156
107;125.2044707;92.6025545;1.045191335
109;119.9077946;92.5650992;0.867932896
111;117.8460082;92.4200869;0.68162269
113;108.7083239;92.2491272;0.512245386
115;105.6629296;92.2855141;0.423327702
117;103.3671132;92.2112667;0.424964024
119;99.41935087;92.0805147;0.384155929
121;98.56084159;91.9453409;0.354071841
123;91.62296631;91.9542944;0.374285872
125;88.37943611;92.0575971;0.354234778
127;85.32626119;91.7516278;0.321642074
129;82.88092055;91.7386342;0.304165626
131;77.46327325;91.5410057;0.31184052
133;74.07176835;91.6402568;0.293570548
135;73.13911266;91.5776926;0.265679728
137;69.54275347;91.4429945;0.228987313
139;69.33106161;91.2866384;0.164274273
141;64.61942847;91.336303;0.116934837
143;63.16502529;91.3697653;0.081321078
145;62.95209074;91.4389472;0.047533808
147;61.24421887;91.1354225;0.03229679
149;59.35921864;91.2044677;0.033864998
151;58.46972859;91.0773622;0.036127079
153;57.32862362;91.050775;0.024638767
155;57.71313308;91.0749176;0.034922737
157;56.77138746;91.0684481;0.033005739
159;56.56556909;90.9035873;0.06396083
161;56.03688264;91.0546558;0.057059551
163;55.33948843;91.0197589;0.069754805
165;54.08961169;90.9020941;0.112159528
167;55.20119332;90.8074016;0.115494721
169;55.03218414;90.6378459;0.087567491
171;55.2479947;90.7037403;0.091472192
173;54.63474739;90.4764128;0.076933213
175;53.94310581;90.4864702;0.02424452
177;53.02558401;90.6110797;0.01700182
179;51.89909247;90.2224285;0.022945034
181;50.56541157;89.9509347;0.021473496
183;48.50269163;90.0936233;0.034372893
185;47.2843885;89.9820766;0.046706405
187;45.3930467;89.9146112;0.060320716
189;45.01399494;89.9990672;0.061685144
191;44.1672066;89.8270976;0.069367825
193;44.19207377;89.7251288;0.073853685
195;43.48870268;89.7393934;0.095768632
197;43.02468671;89.5506752;0.082154321
199;43.46703875;89.5810021;0.070250611
201;43.0249366;89.3707318;0.058175743
203;43.64683766;89.2295105;0.040790486
205;43.82881985;89.3373445;0.014918716
207;45.14807049;89.1782864;0.017216035
209;43.43175822;89.176664;0.03977755
211;43.3994092;88.9589993;0.059334993
213;43.83561747;89.0000384;0.095715686
215;43.60592399;88.8814736;0.117315836
217;44.48435284;88.8307443;0.195458465
219;44.35360709;88.7870149;0.235195235
221;46.35337382;88.6829715;0.282966426
223;46.7458887;88.6148662;0.303657648
225;47.57012132;88.5515619;0.322197071
227;47.99322987;88.4638539;0.296630823
229;50.52894453;88.3338243;0.271869401
231;50.77626219;88.1457377;0.230055077
233;53.31939028;87.9957272;0.216515705
235;53.71629948;87.8315917;0.193331644
237;55.98748396;87.7302814;0.157420497
239;61.66056411;87.5525648;0.156329745
241;65.89396171;87.3487549;0.172169569
243;70.03386052;87.2567499;0.167830594
245;74.84971143;86.9469593;0.190829817
247;76.48207126;87.3308998;0.197799118
249;79.27735454;87.0262107;0.180844665
251;83.98516296;86.8830545;0.138389634
253;87.27387391;86.5529945;0.121317366
255;90.70288592;86.4488427;0.106300998
257;94.41545723;86.3108029;0.101699301
259;98.71221737;86.0814833;0.09279872
261;103.3149103;85.8339142;0.116811196
263;103.7520613;85.7224616;0.126396187
265;107.896124;85.4855806;0.156887802
267;111.8657161;85.4184853;0.189831647
269;114.017348;85.273676;0.241758843
271;117.4768983;85.156531;0.346661185
273;121.814483;84.8721809;0.479924518
275;127.9706471;84.7416181;0.581538291
277;130.1699305;84.5836669;0.677604105
279;138.1926946;84.4220825;0.882623695
281;142.3618347;84.2174936;1.063270347
283;147.0617082;84.0743499;1.209613773
285;152.9951098;83.8510352;1.398705004
287;158.3624967;83.8058989;1.677986393
289;170.8248716;83.5347757;1.904607141
291;176.6067681;83.3935947;2.142418623
293;185.3249406;83.2519246;2.391741754
295;199.4263982;83.0285408;2.666736146
297;210.7842948;82.8311432;3.087129707
299;227.3069068;82.5798497;3.417905017
