Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Aluminium Honey comb coated with HPL;;;;IN10A-1;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 10:09:23
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;34;342.17;52.55;;;102.31;29.00;15.75;;498.59;;116.97;0.0088;Projection of particles. Raising of the surface. Flashing from 21s. Glowing. End flame at 685s.
;2011-02-28;c_LSFIRE_IN-10A-1_75b;22.7;;;;;;;;;;;10.25;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.752632436;102.31;0.019350343
3;4.736606092;102.3987284;0.038057087
5;4.073134347;102.2589836;0.096771321
7;3.521023769;102.2585036;0.128412462
9;4.261428169;102.2118817;0.149289341
11;4.100582051;101.9516468;0.170394832
13;3.197912068;101.9708473;0.173580071
15;1.192791635;102.1091296;1.043140931
17;-0.20101293;102.2655798;2.281769484
19;-0.18903119;102.1881952;3.32670163
21;-1.621071164;102.034982;3.84784539
23;9.175100786;101.9313659;4.229332153
25;29.6253836;101.6769769;3.8487197
27;40.13648856;101.2659404;3.102877972
29;34.29039085;101.1140488;2.519416014
31;22.61640414;100.9795883;2.112749367
33;15.74722198;100.8649014;1.812006129
35;21.74339104;100.6122481;1.354823884
37;29.576333;100.4738684;0.878722894
39;39.8732009;100.2992891;0.466771304
41;50.53843978;99.914582;0.408438022
43;61.19515393;99.7921043;0.393386895
45;71.6699728;99.7318619;0.485040772
47;79.29730478;99.1057158;0.697236174
49;86.58336901;98.869047;0.974031619
51;94.4592809;98.6379539;1.356027521
53;101.7716811;97.8617608;1.871137869
55;109.6683559;97.998842;2.38648384
57;125.9355573;97.6653496;2.808595625
59;140.6136182;96.8726003;3.169429547
61;153.8400757;96.8176801;3.605490478
63;169.2047067;96.4379915;3.601366575
