Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Aluminium Honey comb coated with HPL;;;;IN10A-1;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 10:11:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;33;336.09;56.38;;;102.03;28.90;16.90;;887.89;;128.17;0.0088;Projection of particles. Raising of the surface. Flashing from 16s. Glowing. End flame at 521s.
;2011-02-28;c_LSFIRE_IN-10A-1_75c;22.7;;;;;;;;;;;10.25;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;2.433861795;102.03;0.066400751
3;2.294196059;102.1037256;0.051165145
5;3.314694046;101.9936851;0.03808581
7;3.767655227;101.8975771;0.021200995
9;3.781011952;101.9248181;0.032897866
11;3.488574102;101.9896296;0.072115026
13;0.281475539;102.053076;0.098657207
15;-7.026936943;101.9283614;2.008611413
17;-4.715370969;101.9313254;2.310693963
19;26.58398431;101.6484874;2.7654625
21;44.57084315;101.6028869;3.452028786
23;43.53592164;101.2453402;4.458299306
25;32.19050543;100.7560478;3.00860184
27;22.11231645;100.9378536;3.169704367
29;18.49095577;100.6157093;2.883529949
31;21.43560323;100.4396083;2.273644897
33;26.74775813;100.2422328;1.295531683
35;39.41204267;99.9025757;0.940305194
37;56.90370312;99.5729957;0.617285023
39;75.35013019;99.4050293;0.706736467
41;97.47044434;98.8763813;0.954963571
43;114.8450047;98.4741898;1.464948281
45;140.6084872;98.3898571;2.136886008
47;162.244643;97.8647693;2.827392588
49;177.389705;97.1893747;3.419381429
51;184.5458844;96.9764136;3.894209183
53;192.2872109;96.5684242;4.149865786
55;199.9339425;96.2315832;3.963399375
57;198.3714827;95.8068067;3.743590823
59;196.1182222;95.4825763;3.403556293
61;199.6582537;95.3024246;3.178042859
63;198.8225066;95.1178781;2.88940781
65;193.9722425;94.8980501;2.795813297
67;195.5362072;94.6014816;2.610049029
69;192.1199316;94.3100179;2.439751373
71;191.9294876;94.1026522;2.115431516
73;185.9459508;93.784536;1.819535431
75;180.593702;93.5179502;1.622926215
77;176.4081868;93.5242282;1.445760414
79;176.2102707;93.2956229;1.434550762
81;174.8525791;93.0119928;1.493075043
83;169.5977118;92.8348944;1.631886237
85;166.8752315;92.6679144;1.651684858
87;162.2975745;92.5664016;1.70148346
89;156.4031598;92.4817421;1.608376031
91;150.7809154;92.2950514;1.507523602
93;143.6670988;92.2656144;1.371610158
95;135.4127364;91.9655952;1.252986051
97;129.5596816;91.9360613;1.168912343
99;118.2887769;91.8626083;1.094423766
101;113.7150861;91.7709768;0.98077543
103;108.8629857;92.0572666;0.828998332
105;103.2983084;91.8203395;0.71379477
107;97.21211347;91.2431165;0.56424712
109;93.54159669;91.5092347;0.456088927
111;90.42248234;91.4987256;0.378115341
113;85.79563885;91.3041499;0.358375721
115;82.66388894;91.3240603;0.335192834
117;77.44057816;91.2587266;0.304209743
119;76.0380311;91.1203099;0.257757905
121;74.59980642;91.0437029;0.228970412
123;71.20034918;91.0582392;0.191902509
125;68.89217032;91.0154002;0.173153182
127;67.10551042;91.0051493;0.171228275
129;65.14570914;90.9272078;0.165742039
131;63.11460357;90.8744179;0.145423121
133;62.78025341;90.7776787;0.123997543
135;60.54830879;90.7221864;0.090498143
137;59.56422608;90.709127;0.079393333
139;58.17539741;90.7348363;0.082899375
141;57.14793975;90.6787315;0.097524063
143;56.34595271;90.6272794;0.098227384
145;55.37609823;90.5479546;0.092079244
147;55.48295214;90.4426901;0.088346053
149;55.67546548;90.438444;0.093146737
151;53.79514254;90.4198166;0.113826089
153;52.94741979;90.4290029;0.125378083
155;53.00232376;90.3409046;0.128182109
157;52.03332667;90.0994042;0.149873722
159;52.16190907;90.1629605;0.192070473
161;50.81318775;90.1331266;0.206797539
163;50.54978877;89.926525;0.261147834
165;48.93344377;89.9794666;0.313456997
167;47.82638784;89.7405202;0.31301795
169;46.80320618;89.5910093;0.280527657
171;46.42355586;89.4675629;0.247769613
173;47.07014094;89.4048067;0.203702304
175;47.27932279;89.2777061;0.190400112
177;46.54112255;89.2737754;0.198777564
179;46.24098737;89.211432;0.203643016
181;46.88447687;89.0421163;0.212954431
183;46.23330316;88.9635989;0.246361224
185;46.10244927;88.8850147;0.270661704
187;46.63063662;88.9333978;0.284378103
189;45.6639768;88.8330557;0.327269723
191;45.49229684;88.7812061;0.364969915
193;46.51748652;88.6691966;0.363642786
195;47.28771636;88.5839918;0.387862527
197;46.43824695;88.5086011;0.383625436
199;49.16277483;88.4482776;0.336616916
201;53.1120641;88.2736666;0.299243552
203;58.34309096;88.2276067;0.259271651
205;61.60856093;88.0646938;0.185381982
207;63.60826043;87.9282302;0.15847181
209;65.15266472;87.8695171;0.146640885
211;68.18118485;87.7289414;0.162287295
213;72.600561;87.6262402;0.157793101
215;74.87422196;87.5112158;0.155886592
217;76.9037447;87.2987189;0.13513856
219;81.7963798;87.0928272;0.136812306
221;82.21203129;86.971307;0.114487102
223;85.9694599;86.8740101;0.130840144
225;92.12851145;86.7302434;0.155975292
227;93.72139852;86.582003;0.168236452
229;98.45865637;86.3126491;0.155962957
231;102.3251189;86.0853427;0.164306132
233;106.5275684;85.9900661;0.179554008
235;112.0876793;85.8185126;0.191852322
237;117.5625462;85.6984387;0.23474806
239;119.4169603;85.3884437;0.271728051
241;128.2232766;85.201153;0.303975383
243;133.48912;85.0967722;0.376230493
245;141.2219381;84.8281675;0.433438584
247;143.0985693;84.6911678;0.551650389
249;151.3341586;84.5025821;0.739725588
251;158.5777914;84.8839574;1.041452164
253;165.8826994;84.1531973;1.287957098
255;171.4476111;83.6253403;1.595519641
257;179.5818702;83.6632416;1.9007934
259;187.6400521;83.318688;2.172821858
261;197.6325539;83.2417416;2.449190926
263;206.8775395;83.1006754;2.740109305
265;224.1628994;82.8820219;3.037474275
267;229.6050682;82.6206806;3.289263214
269;244.9394785;82.4387549;3.681456116
271;256.2699463;82.2351835;3.729908597
273;279.1027299;81.8460014;3.998922742
275;288.4767505;81.8887594;4.276763255
277;303.7119687;81.5491464;4.567304044
279;318.3681619;81.1543411;5.007839446
281;325.5488356;80.9495563;5.536472103
283;323.0160791;80.699555;5.803354033
285;328.660956;80.5384829;6.02696849
287;334.9921957;80.2749302;6.154738552
289;336.0935315;80.089045;6.099013653
291;333.3513337;79.8323016;6.349611107
293;331.4345576;79.636823;6.577561017
295;322.5394741;79.4445922;6.585655356
297;321.2048883;79.1684002;6.626511468
299;308.4892709;78.9805243;6.696841139
301;299.2815225;78.8886053;6.573035539
303;291.2113499;78.7139688;6.436354067
305;274.9342354;78.5644978;6.66306368
307;257.8244506;78.5067672;6.724858173
309;253.5939567;78.2019149;6.678186859
311;244.9513948;77.9879986;6.449213855
313;235.4178009;77.9121293;6.440355662
315;219.498375;77.8839331;6.007613309
317;211.6287808;77.7891624;5.813255799
319;202.8672988;77.7533376;5.43398921
321;189.9553758;77.62160832;5.117364648
323;181.2180958;77.37800736;4.681162643
325;173.5710165;77.19728304;4.363939469
327;165.7799072;77.27604384;4.096488947
329;160.4811917;77.1656736;3.822126613
331;156.5965187;77.101296;3.720646855
333;149.4883938;76.98086736;3.557746733
335;146.666185;76.83397632;3.426301706
337;144.0478743;76.7611512;3.303010514
339;142.58351;76.58431584;3.289880248
341;138.3367959;76.64608608;3.080531933
343;134.5257712;76.70676432;3.041717925
345;129.0438255;76.54935024;2.989605405
347;126.8134778;76.35675168;2.911033961
349;121.2131802;76.33071168;2.732229555
351;120.6913622;76.22228016;2.782187286
353;113.8939602;76.16749776;2.615072277
355;112.0106744;76.06586256;2.572656502
357;107.9516211;75.99820992;2.397659725
359;106.8158289;76.04758704;2.327001601
361;103.5238316;75.38733168;2.185846968
363;101.8168966;75.74898528;2.084371932
365;98.74185893;75.76065408;1.914060781
367;96.75600774;75.6409632;1.831610516
369;93.59061464;75.5758632;1.757294761
371;91.89468954;75.58319232;1.644505233
373;88.38528535;75.60191712;1.506924613
375;85.6140766;75.56901168;1.401887011
377;83.73520651;75.41941776;1.284476861
379;81.31333364;75.3526248;1.129581424
381;79.75673826;75.29470368;1.043903046
383;78.58559845;75.24622656;0.978493032
385;77.07602684;75.18845472;0.978101237
387;73.84441889;75.63905184;0.881088468
389;72.31685696;75.15336576;0.849555235
391;70.67111462;75.1989768;0.751128941
393;69.10524394;75.03520368;0.645706528
395;67.71247389;74.96055024;0.481731686
397;64.76609719;74.8665984;0.399970236
399;64.75804014;74.88341232;0.328114073
401;63.38143966;74.77342416;0.289946566
403;62.01190157;74.88446304;0.284136071
405;60.3744391;74.83451184;0.286220245
407;60.9705745;74.73339552;0.284129976
409;60.54296623;74.66592048;0.250905704
411;57.9351603;74.5837464;0.24342073
413;57.59604985;74.6505936;0.203100809
415;54.9287708;74.64562608;0.173859526
417;54.79878594;74.52400992;0.141853767
419;54.15376899;74.54139696;0.14553433
421;53.03029455;74.5018728;0.095110814
423;52.56093294;74.4441288;0.081091207
425;52.27201573;74.47116528;0.062222786
427;51.24521563;74.41914;0.090538352
429;52.11276275;74.39760336;0.101613426
431;50.21532963;74.39447856;0.109807088
433;49.21565852;74.37991584;0.101970157
435;47.69394943;74.3935632;0.112924928
437;48.42128092;74.32600656;0.073977162
