Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Solid acrylic;;;;IN10A-2;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 10:14:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;254;113.78;71.54;;;207.00;45.49;15.95;;202.92;;59.57;0.0088;Flashing from 229s. End flame > 1200s.;2011-02-24;c_LSFIRE_IN-10A-2_35a;12.3;12.3;;;;;;;;;;20.44;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.874582198;207;0.073983763
3;7.721304911;207.2029834;0.095038172
5;7.895179122;207.035353;0.122599458
7;7.382770931;207.0938538;0.151762477
9;6.98123496;207.1059835;0.151678913
11;6.18647586;207.0944543;0.165139689
13;5.139023933;207.0197215;0.150069776
15;3.720556488;206.8103544;0.128831879
17;2.356857929;207.0657255;0.100104413
19;1.665301423;207.0438507;0.075345936
21;1.175301569;207.112252;0.056158414
23;0.76479609;206.9677718;0.085484332
25;0.622231095;207.1106083;0.091057197
27;0.375974281;207.2286232;0.125728236
29;0.149489935;207.1292891;0.140700855
31;-0.197150701;207.1057609;0.145761553
33;-0.306399548;207.1919149;0.113708289
35;-0.479942119;207.0471846;0.107653137
37;-0.469754411;207.0842485;0.067304841
39;-0.665175708;207.0968504;0.055703846
41;-0.774257975;207.1648671;0.056007404
43;-0.836322391;207.1791204;0.068214445
45;-0.613955219;207.1350099;0.086230136
47;-0.63258493;207.1808236;0.124368007
49;-0.575029937;207.0974262;0.13536819
51;-0.906082681;207.2436169;0.131188427
53;-0.852529306;207.1985715;0.112341781
55;-0.578787637;207.1649222;0.082928473
57;-0.468640201;207.1376789;0.060725505
59;-0.611777897;207.1255768;0.072761299
61;-0.625296222;207.0860117;0.080497939
63;-0.75779717;207.1881799;0.102808606
65;-1.025684979;207.2437069;0.13342627
67;-0.968821383;207.2165463;0.137907257
69;-0.716808509;207.0795458;0.120465181
71;-1.288411828;207.0932737;0.108920293
73;-1.023374752;207.0882104;0.088597663
75;-1.002844303;207.1296491;0.063416295
77;-0.838274464;207.0961628;0.066902495
79;-1.105653209;207.1312178;0.091101067
81;-1.459502942;207.1997846;0.118444217
83;-1.574328441;207.1426342;0.142853961
85;-1.570818532;207.2688236;0.149596861
87;-1.688178144;207.030868;0.146151223
89;-1.759363689;207.1560645;0.117707738
91;-1.536712623;206.9859871;0.091247628
93;-1.887153254;206.6235201;0.066438142
95;-1.701566394;207.0399183;0.056167933
97;-1.575490095;207.0631392;0.058106903
99;-1.485708371;207.0413442;0.080544284
101;-1.514536361;207.1643992;0.10474147
103;-1.607152391;207.1824746;0.118709817
105;-1.689079978;207.1357555;0.129689465
107;-1.626234596;207.0806185;0.113205402
109;-1.421892561;207.0456986;0.084874458
111;-1.619822777;206.9999172;0.053708732
113;-1.53477521;207.0239912;0.051764462
115;-1.459725804;207.0370591;0.048039276
117;-1.279783581;207.1172673;0.065337776
119;-1.305023327;207.179313;0.080559823
121;-1.161580131;207.0742851;0.116182979
123;-1.35282987;207.059727;0.122667943
125;-1.16487693;206.9903371;0.116421878
127;-1.253760808;207.0330415;0.09149225
129;-1.134969913;206.9094156;0.078470722
131;-1.238595835;206.8983292;0.064620597
133;-1.124447655;206.8179008;0.066745588
135;-1.550653306;206.98272;0.090113511
137;-1.558163518;206.9596597;0.128091644
139;-1.406870002;206.8617061;0.144609187
141;-1.697485355;206.8999778;0.134605711
143;-1.594125277;206.7618788;0.110344177
145;-1.642337924;206.7574214;0.082653911
147;-1.510558736;206.5384011;0.057267339
149;-1.635581406;206.8019718;0.05954356
151;-1.406001601;206.7317241;0.06823907
153;-1.58618221;206.7166733;0.1007161
155;-1.996045748;206.7994402;0.121545615
157;-1.725869309;206.7257783;0.117082289
159;-1.447393988;206.6175564;0.101584465
161;-1.370407012;206.6679355;0.073313944
163;-1.12121023;206.5916321;0.039297101
165;-1.319836368;206.5985659;0.030963457
167;-1.201936684;206.4965928;0.033352704
169;-1.30394142;206.6133443;0.050395193
171;-1.348947258;206.4055478;0.084532374
173;-1.316071058;206.5934853;0.111940442
175;-1.448289902;206.5650067;0.114988014
177;-1.681908311;206.3907743;0.124182241
179;-1.96631711;206.4442651;0.100414119
181;-1.946536346;206.409095;0.073986035
183;-1.680356265;206.2296349;0.046577968
185;-1.562412505;206.2501641;0.066448242
187;-1.434546507;206.2816698;0.084514301
189;-1.509070599;206.262001;0.113777739
191;-1.559756205;206.3195065;0.154942537
193;-1.802282852;206.2791179;0.181798685
195;-1.480654571;206.2364962;0.165402825
197;-1.465104528;206.1608533;0.127625058
199;-1.473725575;206.1036502;0.106296937
201;-1.426371595;206.0918161;0.071477554
203;-1.456333759;206.0907429;0.069464077
205;-1.462968012;205.9935025;0.091547496
207;-1.527397006;205.9618593;0.135648115
