Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Solid acrylic;;;;IN10A-2;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 10:24:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;99;119.83;85.05;;;206.52;56.61;13.76;;293.15;;78.39;0.0088;Flashing from 67s. End flame > 1200s.;2011-02-25;c_LSFIRE_IN-10A-2_50b;12.2;;;;;;;;;;;20.44;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.481465666;206.52;0.140131095
3;8.906465138;206.0522713;0.110581829
5;9.42442669;206.1873144;0.088168754
7;9.32725921;206.175141;0.090088045
9;8.579148544;206.2930646;0.110980333
11;7.304275499;206.4058284;0.145424592
13;5.758675577;206.4369364;0.151709581
15;4.41191077;206.2464681;0.138065532
17;3.398517319;206.2740407;0.116448491
19;2.445182431;206.259493;0.076221136
21;2.229946421;206.2480691;0.073562427
23;1.686369149;206.5519109;0.088822184
25;1.494198467;206.3647854;0.103598541
27;1.145533064;206.4034891;0.09413545
29;0.840646825;206.3436702;0.095488449
31;0.652018422;206.1109076;0.071547195
33;0.645578232;206.1807721;0.071093967
35;0.458440119;206.2985622;0.077943946
37;0.646719048;206.2772815;0.080769602
39;0.538998743;206.3128661;0.079416602
41;0.659209628;206.2890437;0.063839183
43;0.619916557;206.1632754;0.058728267
45;0.246211173;206.2464453;0.06116309
47;0.036144829;206.2908582;0.074653379
49;-0.027682105;206.316089;0.087427293
51;0.208145068;206.2723936;0.085123031
53;0.347563265;206.1632754;0.080496656
55;0.120505273;206.208133;0.074535967
57;-0.037137308;206.2441817;0.075391361
59;0.068781166;206.399072;0.10542908
61;0.160016326;206.236839;0.108048891
63;0.313396247;206.2404021;0.094823439
65;0.287459443;206.0786705;0.075860546
67;0.55817967;205.8914023;0.071192963
69;1.161086123;206.1648744;0.063154639
71;1.793201486;206.0703292;0.094374737
73;2.039405527;206.1858561;0.08887568
75;3.281329782;206.1036755;0.093228381
77;4.421074294;206.0722617;0.078888784
79;6.478258484;205.9303773;0.064040749
81;9.275890126;205.8981882;0.058812661
83;14.19164316;205.7046817;0.079305775
85;20.40170659;205.9707902;0.104461874
87;22.09942813;205.825014;0.09853901
89;19.41283515;205.6767232;0.08811954
91;16.91742272;205.6046529;0.078033685
93;16.60490229;205.6043218;0.085297758
95;17.17991645;205.555738;0.088875432
97;18.00315458;205.5837838;0.108990997
99;19.57651701;205.5031814;0.102627433
101;22.08008153;205.2841134;0.092822034
103;24.36089194;205.315502;0.076225641
105;28.11839636;205.122575;0.073586214
107;31.2948185;204.9974121;0.104100606
109;35.8890144;205.1023613;0.128809573
111;40.73077864;205.1862211;0.140946989
113;51.3555376;204.9602769;0.150041278
115;61.83535982;204.7182166;0.130677416
117;72.06485267;204.523445;0.121898067
119;80.29809001;204.7421818;0.144676329
121;88.66053398;204.4668558;0.18239338
123;95.66687534;204.2559331;0.227104739
125;99.35406587;204.0201918;0.252114622
127;106.0305543;203.8747748;0.233503333
129;108.7177092;203.7154723;0.233621815
131;113.8558044;203.6348675;0.229738906
133;116.07485;203.4181433;0.216763091
135;116.6448813;203.2103652;0.234869043
137;115.065597;203.0601725;0.257353113
139;114.4100994;202.9781822;0.243974318
141;116.8733252;202.8130855;0.222738168
143;119.8339159;202.5571377;0.20924998
145;118.7747926;202.3845303;0.190466778
147;119.7612433;202.3636918;0.192127895
149;117.8428122;202.194284;0.22070895
151;119.3537027;202.1518584;0.246679171
153;116.0028874;201.9152589;0.249326144
155;116.5745876;201.7177222;0.248561752
157;118.5986134;201.6578509;0.219734989
159;117.5710159;201.5421584;0.195162134
161;113.9283756;201.3591141;0.1929504
163;114.1523335;201.3632267;0.207924476
165;113.4704362;201.1250868;0.233065804
167;113.4146069;200.9738703;0.25826553
169;112.4918912;200.7684661;0.264771951
171;113.3708252;200.6405473;0.209881326
173;112.5950391;200.4973056;0.164013674
175;111.2350757;200.3224623;0.136046774
177;108.332533;200.1792483;0.132383904
179;108.3907279;200.1823454;0.125683884
181;108.7976483;200.00907;0.167757037
183;107.7603243;199.8781454;0.20010744
185;108.812882;199.7119423;0.219016566
187;106.4797612;199.6313103;0.187429712
189;106.4162729;199.5246717;0.192337673
191;103.6932038;199.3356094;0.162690852
193;102.4538511;199.2665681;0.173036745
195;104.7775085;199.1018559;0.168562199
197;103.0566371;199.0396327;0.188250551
199;100.8581262;198.8983566;0.152189772
201;102.1650748;198.8450523;0.178400268
203;101.6058007;198.6443413;0.172855695
205;101.8870296;198.425773;0.171747879
207;101.8330226;198.3946596;0.218449831
209;101.2913872;198.2723171;0.257877767
