Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Solid acrylic;;;;IN10A-2;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 10:39:39
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;46;144.92;110.77;;;207.07;71.80;16.00;;978.21;;100.81;0.0088;Flashing from 31s. End flame > 1200s.;2011-11-28;c_LSFIRE_IN-10A-2_75c;12.3;;;;;;;;;;;20.44;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.320945061;207.07;0.247762329
3;7.696262563;206.7184912;0.202753241
5;7.168225119;206.9530691;0.197245267
7;6.646951101;206.9397741;0.192002875
9;5.640869065;207.0245805;0.213518173
11;4.86200916;207.0091336;0.205640301
13;3.669884619;207.0446992;0.218625582
15;2.698902277;206.9204786;0.207104717
17;1.891990414;206.9617197;0.197771758
19;1.38408529;206.9239682;0.170341239
21;1.042865576;206.8949282;0.202773992
23;0.70491973;207.0380939;0.229674297
25;1.103845397;207.1350467;0.218162841
27;0.58211225;206.8899078;0.194992185
29;-1.752190452;206.9487563;0.205315727
31;-2.4601063;206.8953942;0.202788111
33;6.850506077;206.9891512;0.219589925
35;21.38962579;206.9307102;0.260400091
37;33.95442945;206.8111317;0.306699459
39;42.06190712;206.7012659;0.321706497
41;43.74240488;206.4493557;0.289088533
43;43.57690856;206.2642667;0.269571914
45;44.85671007;206.1835293;0.264947275
47;52.88489438;206.0524576;0.301429333
49;64.17155089;206.0192642;0.333970482
51;74.95285257;205.8914949;0.377542691
53;87.89864962;205.7236518;0.394408802
55;96.06321666;205.5071478;0.444562796
57;108.7002987;205.178872;0.444050285
59;117.7600149;205.2770512;0.489367353
61;125.8527;205.1065672;0.535709183
63;130.1842266;205.1077955;0.571738017
65;134.1008572;204.4924235;0.55499043
67;138.4788373;204.3961235;0.566950258
69;144.9164386;204.2546541;0.549951428
71;139.4268819;204.0066222;0.564863607
73;141.968741;203.8421406;0.597494991
75;138.3801181;203.6546474;0.619632003
77;141.7019379;203.4702405;0.588305405
79;141.7152337;203.3087118;0.58386847
81;143.2030862;203.0795157;0.551214853
83;138.5287856;202.9306202;0.505752025
85;137.3339637;203.0636027;0.50880201
87;137.2297459;202.6767467;0.561887495
89;136.0766683;202.757645;0.586098126
91;132.7771962;202.4223746;0.607996573
93;134.0313892;202.24072;0.593690071
95;131.636457;202.0559306;0.565210147
97;129.4491116;201.848705;0.560526503
99;130.3469918;201.6821267;0.580212825
101;126.9927114;201.6809555;0.601264664
103;125.1143604;201.472529;0.649769137
105;125.6074635;201.267375;0.673750248
107;122.2054772;201.0944622;0.673127753
109;122.9890322;200.9870282;0.644178005
111;119.2892766;200.8381298;0.643079232
113;121.164379;200.6517846;0.696839496
115;119.3429202;200.5796954;0.741530573
117;117.6354275;200.3963531;0.83853118
119;118.7555497;200.2379531;0.856927143
