Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
synthetic rubber;glue;plywood;;IN16-1;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 12:16:39
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;195;113.42;78.50;;;137.16;67.82;11.15;;435.86;;65.35;0.0088;Swelling. End flame > 1200s.
;2010-07-23;c_LSFIRE_IN16-1_35b;14.8;2.6;12.2;;;;;;;;14.19;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.047491445;137.16;0.024224861
3;6.871099633;136.9006281;0.07337435
5;6.292135335;136.8468821;0.07337435
7;5.448581055;135.0092769;0.101560237
9;4.025001024;136.8684362;0.101560237
11;3.007940428;136.9579859;0.077335376
13;2.162922697;137.0803726;0.037501381
15;1.361912828;137.0984481;0.061484245
17;0.935324614;136.8799423;0.037728396
19;0.931200838;136.873806;0.037728396
21;0.929439512;137.0036372;0.037728396
23;0.921999614;136.8861925;0.028412902
25;0.926386082;136.6635699;0.004430038
27;0.939998694;136.9703353;0.027853682
29;0.929414825;136.9072584;0.027853682
31;0.918579675;137.0077121;0.027853682
33;0.91553101;137.0077121;0.027853682
35;0.920487587;136.9501683;0.033761485
37;0.932019525;137.0967737;0.037009975
39;0.929097543;136.9015753;0.037009975
41;0.919339838;137.0029084;0.059724784
43;0.922933824;136.9156012;0.059724784
45;0.934819632;136.9770625;0.053816981
47;0.932201784;137.0565039;0.022714808
49;0.922475188;137.0115395;0.049271823
51;0.937338325;137.0098397;0.037110154
53;0.934932481;137.0006059;0.037110154
55;0.933468668;136.9996354;0.037110154
57;0.938267879;136.9611619;0.037110154
59;0.928949994;136.8439165;0.023552943
61;0.926233888;136.9279088;0.040487056
63;0.927594928;136.9488358;0.080717246
65;0.914128241;136.9842048;0.080717246
67;0.931068401;136.9076989;0.080717246
69;0.939757806;136.9847407;0.067717443
71;0.91717357;136.8995431;0.100631029
73;0.92730278;136.8798638;0.091704203
75;0.934028633;136.924587;0.091704203
77;0.924933621;136.924587;0.091704203
79;0.925403509;136.3856333;0.091704203
81;0.928200963;136.7314081;0.104514066
83;0.933291387;136.7297204;0.134807701
85;0.930847159;136.8063595;0.178338076
87;0.924299315;136.76659;0.224008487
89;0.909782925;136.7322943;0.224008487
91;0.936007554;136.6917595;0.150797785
93;0.924237536;136.6351926;0.172406076
95;0.918141474;136.6128726;0.178420027
97;0.933564708;136.6128726;0.238818384
99;0.902539473;136.4642849;0.324514869
101;0.925594516;136.5407728;0.334559157
103;0.928111707;136.5115342;0.305718582
105;0.92423229;136.3970551;0.329279342
107;0.92019687;136.2556818;0.398213156
109;0.939831934;136.4664909;0.46912628
111;0.922225418;136.1839494;0.553417758
113;0.926967567;135.9986363;0.560864179
115;0.921689554;136.0892281;0.610077602
117;0.909704955;136.0491157;0.516587021
119;0.919971203;134.2999572;0.546519683
121;0.930475547;135.9415563;0.658335679
123;0.924610028;135.4516535;0.688904448
125;0.921360539;135.8487759;0.709956637
127;0.914623769;135.789677;0.732049731
129;0.926199864;135.702822;0.65384765
131;1.105697301;135.5886265;0.677448969
133;1.364448862;135.5496171;0.750692315
135;1.559662433;135.4608932;0.746264208
137;1.482717814;135.3823259;0.779068006
139;1.171805844;133.5219316;0.784894918
141;0.865845612;135.0624505;0.746230091
143;1.160236081;133.291051;0.816091281
145;1.618290441;135.1492154;0.968874554
147;1.017841992;135.1273777;1.041318209
149;0.832064907;135.0945767;1.128865966
151;0.829460905;134.9435413;1.030486619
153;1.462629076;134.7883053;1.062707959
155;1.946866241;134.8517018;1.022386634
157;2.108037375;134.837537;1.056679736
159;1.702906152;134.7488136;1.11764197
161;1.289952551;134.7440099;1.135172808
163;1.07993112;134.5997134;1.10516001
