Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
synthetic rubber;glue;plywood;;IN16-1;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 12:23:32
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;209;130.25;78.55;;;140.08;69.80;10.60;;557.28;;65.40;0.0088;Swelling. End flame > 1200s.;2010-07-23;c_LSFIRE_IN16-1_35d;14.8;2.6;12.2;;;;;;;;14.19;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.326791877;140.08;0.021935349
3;5.797211066;140.5845726;0.021935349
5;6.777772549;140.4011703;0.070757311
7;6.344454981;140.3446145;0.120869066
9;4.762070572;140.3383346;0.098933717
11;3.483969879;140.3935568;0.098933717
13;1.739642314;140.5042387;0.098933717
15;0.854911771;140.4117483;0.057003899
17;1.110078444;140.3966496;0.048560443
19;1.02223945;140.3688749;0.068177278
21;0.878517547;140.3688749;0.068177278
23;1.086006843;140.4575077;0.068177278
25;1.189007478;140.439154;0.061285133
27;1.122233953;140.3474963;0.067618855
29;1.233643812;140.4320001;0.04800202
31;1.126529275;140.3528301;0.084111692
33;1.121746026;140.4500034;0.084111692
35;1.136258865;140.3742692;0.084111692
37;1.131617944;140.3742692;0.036109672
39;1.139408086;140.3895905;0.087000175
41;1.126212536;140.060283;0.06345078
43;1.180669273;140.3957082;0.079534225
45;1.108155828;140.3305218;0.079534225
47;1.106801909;140.3502313;0.079534225
49;1.001741404;140.3815138;0.028643722
51;1.119402112;140.3796454;0.079480259
53;1.25290232;140.3343307;0.069156255
55;1.122756207;140.3298285;0.069156255
57;1.122126379;140.3199851;0.069156255
59;1.225503746;140.3551554;0.069156255
61;1.183787289;140.3636837;0.058007591
63;1.123949493;140.2932653;0.130843932
65;1.107321814;140.4917361;0.145047665
67;1.011672357;140.3175671;0.145047665
69;1.131288301;140.3057721;0.145047665
71;1.114623053;140.2277963;0.155659207
73;1.013573351;139.8488532;0.101276118
75;1.130003424;140.2146264;0.138566575
77;1.139352255;140.1745628;0.14526874
79;1.010809519;140.1909087;0.14526874
81;0.886754393;140.1442864;0.082409048
83;1.096140601;140.1380181;0.104239685
85;1.018198695;140.0643633;0.076206679
87;1.12961079;140.0310688;0.163353468
89;1.121702143;140.0041565;0.174317344
91;1.008821727;138.4331137;0.207561829
93;1.123252;139.961332;0.243617524
95;1.122632786;139.9106416;0.311033381
97;1.018534966;139.8574494;0.326980497
99;0.884875641;139.8081753;0.422938763
101;1.112744196;139.6936363;0.419395703
103;0.85238464;139.6524877;0.408849381
105;0.888530412;139.6521676;0.428036086
107;1.153329903;139.6237071;0.450837306
109;0.969789809;139.5376355;0.475575043
111;0.89940733;139.5013203;0.604621882
113;1.114658614;139.4302806;0.645234465
115;1.00447082;139.1911732;0.611616348
117;0.884867732;139.3150181;0.622004573
119;1.091508246;139.2487769;0.645799783
121;0.987801103;139.1330088;0.682574289
123;0.892732561;139.0867183;0.781537893
125;1.089325752;139.0556473;0.838631782
127;0.842164021;139.0008094;0.881430182
129;0.883150923;138.9718782;0.912783935
131;0.834717436;138.8963661;0.906074435
133;0.837674309;138.7713763;0.914484247
135;0.8948301;138.7501598;1.036677488
137;1.082169725;138.7501598;1.085808169
139;0.810867684;138.6049782;1.112925267
141;0.81151399;138.0004601;1.147430804
143;0.79648998;138.5314325;1.215252729
145;0.7992366;138.4304853;1.186199335
147;0.526407305;138.2920844;1.221584562
149;0.770140495;138.286889;1.276487736
151;0.622861448;138.1948926;1.289885951
153;0.53539492;138.1370292;1.212341464
155;0.757770955;138.1109909;1.161104741
157;0.612074851;138.0235868;1.099179949
159;0.757437929;137.8081372;1.114329241
161;0.742444633;137.8531201;1.139666416
163;0.616017677;138.3332447;1.112501055
165;0.511273898;137.7144113;1.158387283
167;0.733927763;137.6823874;1.108721982
169;0.579792668;137.6823874;1.041668463
171;0.759711139;137.574768;1.005712819
173;0.740812617;137.4315385;1.174317364
175;0.597754383;137.3685104;1.239578827
177;0.499046208;137.3358785;1.323778689
179;0.712768201;137.2925233;1.269686208
181;0.543285477;137.1825718;1.325060042
183;0.466482529;137.1097724;1.222782651
185;0.6924805;136.9665917;1.267499909
187;0.550059102;136.9179319;1.223951574
189;0.432961631;136.8587614;1.322358643
191;0.657941065;136.7827558;1.320854729
193;0.612264212;136.7558615;1.365325101
195;1.012413119;136.7021997;1.313058008
197;1.46808703;136.5402614;1.395680292
199;1.554627698;136.4880339;1.471304849
201;1.374241474;136.4251383;1.407174689
203;1.463175792;136.3651357;1.406292558
205;1.513255554;136.2687272;1.40699604
207;1.596641882;136.1818001;1.369329314
209;1.889968314;136.1843136;1.238112962
211;2.393545584;136.0271185;1.253774018
213;3.446811842;135.905715;1.225879416
215;4.53202859;135.8569651;1.011941204
217;5.942538961;135.7857516;0.94244583
219;7.683606272;135.7271949;0.876757935
221;9.156454187;135.6101128;0.801500251
223;10.57995944;135.5055311;0.639634616
225;11.40952252;135.3758213;0.653039599
227;12.66907685;135.364532;0.545977366
229;13.25514095;135.328265;0.406017579
231;13.64345637;135.264929;0.389517679
233;14.77499278;134.9377618;0.386101795
235;15.73952165;134.8983909;0.449673115
237;16.61392413;134.9169551;0.497860495
239;17.45228374;134.8246454;0.520387648
241;17.90909359;134.7292319;0.428832421
243;18.65747194;134.6301292;0.419130324
245;19.18967212;134.4948445;0.366947924
247;19.51352649;134.4208583;0.392895229
249;20.5437855;134.2755372;0.485198296
251;21.73925329;134.3313329;0.493384106
253;21.24210672;134.1601428;0.416406871
255;22.10468716;134.1271128;0.3258072
257;23.91987739;133.9155929;0.246881713
259;24.90204998;133.8150438;0.234876936
261;25.45264969;133.760526;0.26878323
263;25.97988438;133.6721524;0.26501851
265;27.33661001;133.6077616;0.293845106
267;27.78516482;133.5458783;0.300016682
269;29.4167521;133.3377041;0.27876691
271;29.98777547;133.1957705;0.268898677
273;30.67686508;133.180702;0.271337755
275;31.59049324;133.0438679;0.242511158
277;33.12286132;133.0593705;0.173371179
279;33.68882179;132.8611774;0.152378566
281;34.40224035;132.788457;0.121393311
283;34.82671546;132.5934224;0.204886933
285;34.32433644;132.4982797;0.243114436
287;34.18290486;132.444919;0.298630882
289;32.758414;132.3356905;0.313215269
291;32.66668918;132.2126412;0.301857789
293;32.08414892;132.0983916;0.284575844
295;32.15490632;131.9536917;0.395385596
297;32.86306323;131.8504728;0.439618294
299;32.86166162;131.807919;0.399378027
301;32.72452623;131.6670948;0.434498545
303;32.84800245;131.6127398;0.41455201
305;32.50075428;131.4392407;0.381536072
307;33.40407252;131.3489627;0.37300476
309;33.21020716;131.1990913;0.338077581
311;34.08405938;131.0763552;0.2670726
313;35.04815395;131.0185708;0.209422381
315;36.33102464;130.9596346;0.176048648
317;36.91414062;130.7658662;0.135887371
319;35.46176828;130.6380731;0.21804521
321;35.79693605;130.5712716;0.215861977
323;35.22611523;130.4575648;0.230220553
325;35.93836344;130.3336891;0.163158277
327;36.17224675;130.2485642;0.218445628
329;36.38283287;130.1624984;0.315439024
331;36.79409303;129.9885355;0.385882654
333;35.94356648;129.907238;0.405534849
335;36.17371941;129.821697;0.389949541
337;36.16083501;129.7313585;0.332106722
339;35.63414889;129.5846217;0.204681677
341;36.97769827;129.4417118;0.254688921
343;36.657114;129.0850225;0.273096004
345;36.75062536;129.2217542;0.273096004
347;37.70009636;129.2117487;0.234816963
349;36.46237788;128.8393155;0.183090774
351;37.11600259;128.9476282;0.102451197
353;39.3792316;128.8180567;0.050033343
355;40.34707196;128.960876;0.124464965
357;41.45125431;128.6217744;0.114242919
359;42.08215704;128.5446536;0.114242919
361;42.42575952;128.1229765;0.074431622
363;43.10392264;128.1317466;0.11498554
365;42.6656363;128.1239534;0.042553999
367;43.86540842;128.0534756;0.042553999
369;42.62174721;127.9835098;0.042553999
371;44.66377861;127.8339399;0.04268577
373;43.7516283;127.7282192;0.02789924
375;45.8209025;127.5975627;0.034142628
377;46.61314372;127.4867966;0.095502424
379;46.74651973;127.395494;0.095502424
381;48.39928865;127.275441;0.095370653
383;46.75543089;127.1843367;0.069603265
385;47.99187329;127.0888203;0.090824595
387;47.59834411;126.9916284;0.034761611
389;48.24181628;126.7558412;0.051126715
391;47.92649278;127.1055812;0.051126715
393;48.44270024;126.4269561;0.051126715
395;49.88253177;126.233597;0.050241963
397;50.38550058;126.4097908;0.065895334
399;50.18837187;126.2662607;0.139001323
401;50.38859371;126.1525661;0.162042719
403;50.60668859;125.9713523;0.173399988
405;50.69277144;125.8954421;0.144819942
407;51.7877115;125.7977981;0.123869759
409;52.1789133;125.5961693;0.077980359
411;52.93108953;125.5598367;0.099174388
413;53.24006469;125.2678997;0.135905198
415;53.46281776;125.3318675;0.135905198
417;53.15460373;125.1742336;0.135905198
419;54.14489175;125.1961905;0.092323503
421;53.44331625;125.0777526;0.081821138
423;54.91127121;124.9427085;0.079536673
425;56.94567473;124.816331;0.141314966
427;55.9016155;124.6550982;0.141314966
429;57.07410365;124.6461903;0.141314966
431;57.5771107;124.4947738;0.121001896
433;56.99053343;124.5962277;0.146756267
435;58.45831892;124.180724;0.090479111
437;57.10658496;124.1285872;0.090479111
439;57.7892372;124.0922073;0.090479111
441;60.10405771;123.9978056;0.136586713
443;59.31947323;123.9126208;0.11132484
445;59.07354234;123.6872133;0.129815284
447;58.2277868;123.6333284;0.129815284
449;58.65812455;123.5368903;0.129815284
451;59.23904382;123.397054;0.070287692
453;60.40969859;123.3009604;0.084446059
455;60.31272641;123.149113;0.119513902
457;59.72975808;123.0649098;0.119513902
459;59.39422118;123.0158212;0.119513902
461;60.18634422;122.8739062;0.119513902
463;60.4103519;122.7504349;0.123053454
465;59.5476395;122.6355525;0.110799988
467;61.29592658;122.4854398;0.110799988
469;60.69395439;122.3885067;0.110799988
471;61.31892953;122.3228077;0.110799988
473;61.70921275;122.1719291;0.073737917
475;62.28093164;122.0333592;0.063220836
477;62.84062511;121.9150839;0.063220836
479;62.18092753;121.7981614;0.063220836
481;61.48930633;121.8815335;0.063220836
483;62.53693754;121.538243;0.06009951
485;63.23907779;121.6647148;0.12578076
487;63.47735124;121.334202;0.129143483
489;63.00447668;121.2673194;0.129143483
491;64.55062425;121.1476756;0.142947229
493;64.57432533;121.0583018;0.178787225
495;65.55167531;120.9175624;0.163254069
497;64.50917959;120.7906682;0.159891347
499;64.44116071;120.7103269;0.161300482
501;63.72043245;120.6483223;0.154398892
503;64.92490413;120.4831411;0.162058034
505;65.56798821;120.3741055;0.141478338
507;66.07474479;120.223765;0.141478338
509;65.89477944;120.1701345;0.140069202
511;65.1585487;120.0318921;0.138158557
513;67.73154767;120.0318921;0.128307884
515;66.03468251;119.8214153;0.072165273
517;66.59926059;119.6887824;0.072165273
519;65.35981952;119.5923474;0.072165273
521;67.65444122;119.504726;0.105321938
523;66.57110594;119.4243809;0.080030635
525;66.20717985;119.2780019;0.142281256
527;66.821246;119.1414509;0.142281256
529;67.89483504;119.0401735;0.142281256
531;67.36411587;118.976856;0.139018717
533;67.11056207;118.8285985;0.158265902
535;67.30768444;118.7601576;0.091147637
537;67.41634401;118.5817467;0.091147637
539;68.25064151;118.5172233;0.091147637
541;68.21553793;118.3794235;0.105979777
543;67.561488;118.3077107;0.112612634
545;68.13704289;118.1109593;0.11571254
547;68.73353346;118.0612166;0.11571254
549;70.36473858;117.9366774;0.144007001
551;70.05787314;117.8282746;0.17123362
553;70.65187326;117.7117782;0.174954853
555;70.60651923;117.6319489;0.176869996
557;70.5728073;117.4998714;0.188530446
559;71.47399342;117.448836;0.23910573
561;71.89902376;117.3058227;0.252019077
563;72.28594604;117.1691985;0.259131721
565;72.01980609;117.0727599;0.288765841
567;74.21756013;117.3824045;0.285483017
569;74.5793815;116.8485408;0.311526086
571;74.78900564;116.7184525;0.334668189
573;76.22930228;116.5991702;0.408958464
575;75.90282741;116.4545562;0.478629678
577;78.32456275;116.4176082;0.541433734
579;77.68433051;116.2590138;0.591697505
581;79.45454015;116.2590138;0.643075957
583;80.64848465;116.0319887;0.667871313
585;80.41950986;115.8906461;0.66136128
587;83.03215915;115.8049636;0.761729451
589;81.83997839;115.6272184;0.861891331
591;84.24136988;115.534517;0.964422124
593;84.2743293;115.4318838;0.967702603
595;85.57781919;115.3356868;1.017490919
597;85.85647723;115.2232457;1.10545606
599;88.06442919;115.2270127;1.149104682
601;88.80616429;114.9393685;1.183068175
603;90.64879406;114.7798837;1.331687105
605;91.86654036;114.6510013;1.52852255
607;94.61367179;114.6004779;1.56061981
609;94.45704408;114.2227708;1.605456979
611;96.06580002;114.2702667;1.669378558
613;94.34705443;114.1334448;1.726214069
615;94.90928148;114.0277707;1.762182247
617;96.65346509;113.9489326;1.844026724
619;98.15295443;113.8173544;1.887484096
621;98.74292108;113.6337899;1.974721269
623;97.28943313;113.533598;2.008254164
625;98.50681401;113.3068172;1.925452165
627;100.7178739;113.2825732;1.97584261
629;102.050235;113.1501077;2.103052937
631;101.5324394;112.9984118;2.080101994
633;99.7318215;112.8869349;2.004012431
635;102.6633239;112.7960553;2.125051488
637;103.1098879;112.6151129;2.152739266
639;101.7203197;112.5081566;2.184701406
641;103.067546;112.3569155;2.145682731
643;102.5257832;112.2170057;2.225495065
645;104.1823175;112.1048958;2.12581932
647;102.3159133;111.9999755;2.015108804
649;105.6354258;111.8287508;1.953484476
651;103.4171023;111.7193071;1.931379918
653;104.3648428;111.5687699;1.98202886
655;108.0710089;111.4456904;2.064910089
657;105.9857689;111.3443838;2.255679276
659;106.5242287;111.2095671;2.247478238
661;106.2014282;111.0465862;2.26200373
663;104.9223646;110.9051095;2.216061794
665;103.2967938;110.7927288;2.208864016
667;105.1771347;110.6630492;2.205288252
669;105.2288499;110.5596029;2.212403681
671;106.1493212;110.3800328;2.215025988
673;101.5298095;110.2649531;2.155830272
675;105.0827784;110.1477645;2.0673446
677;103.9862629;110.0465507;1.962601184
679;105.0132313;109.9269668;1.82826479
681;107.7031783;109.7094219;1.769195453
683;106.7331859;109.6037754;1.811385089
685;105.7702068;109.5126414;1.815011584
687;106.4795825;109.33417;1.756815666
689;105.0052789;109.2162579;1.851256644
691;105.0219872;109.0854493;1.867184415
693;107.5143943;108.9762812;1.710951553
695;104.7297041;108.873498;1.698958601
697;106.4324132;108.7527856;1.722192675
699;105.7970838;108.6069387;1.61675191
701;106.9389927;108.4188053;1.553637931
703;104.6991641;108.3361397;1.593048474
705;105.9181863;108.1631834;1.645929884
707;104.6292143;108.0677232;1.610038588
709;106.0144438;107.8789012;1.522053864
711;104.663788;107.7615917;1.499132959
713;104.7180878;107.6171913;1.481812574
715;105.0504452;107.5055479;1.402142163
717;104.7947813;107.3702934;1.264949239
719;105.6631639;107.201526;1.261833268
721;104.7033161;107.0887552;1.175396678
723;103.8558372;106.984648;1.142955553
725;103.5198394;106.8523908;1.120885674
727;103.8847547;106.6886408;1.110432082
729;102.6664403;106.5244985;1.060358092
731;102.6979561;106.4498047;1.050329861
733;105.5303744;106.3344262;1.011213607
735;105.2797212;106.144005;0.977043114
737;102.0445908;105.9471514;1.04336904
739;103.6301175;105.896867;1.096491738
741;103.6121156;105.7664947;1.075542466
743;102.5863682;105.6198018;1.118875326
745;101.4209952;105.5158435;1.086464098
747;102.4021487;105.3155085;0.97786026
749;100.9197123;105.2415065;0.852977636
751;102.6859221;105.1030733;0.850430726
753;101.6663123;104.9436945;0.791529308
755;101.3803408;104.7545089;0.767298824
757;101.4082112;104.7045272;0.729282379
759;100.1968359;104.5932156;0.786536727
761;101.6601819;104.4553543;0.845959405
763;98.73513194;104.3292758;0.831124238
765;99.94459506;104.3292758;0.787362077
767;99.54702143;104.0665414;0.81070678
769;98.7202642;103.9468218;0.805399859
771;100.5564363;103.7720124;0.785852143
773;97.54296982;103.6390482;0.750430329
775;97.95218839;103.5247398;0.631221632
777;97.68325536;103.4170303;0.589954683
779;98.77596795;103.2453387;0.57144949
781;97.52916964;103.1239755;0.535889577
783;99.81467532;102.938603;0.42780739
785;97.03207318;102.8326416;0.506991893
787;96.21668977;102.6867481;0.551243591
789;97.37907657;102.5590435;0.500009043
791;95.29298875;102.4209256;0.389179424
793;97.52457278;102.3118307;0.41300026
795;97.05448586;102.2151042;0.435552183
797;94.82043261;102.0791119;0.406842746
799;93.89593373;101.9574936;0.331448181
801;94.52595726;101.8244388;0.334235624
803;94.61418032;101.7026854;0.345119121
805;94.82003444;101.569013;0.293859347
807;95.04345839;101.4215373;0.171758899
809;94.35202985;101.2864476;0.139472415
811;92.42909831;101.1960371;0.175295303
813;93.14950816;101.0220563;0.184081632
815;92.47792361;100.892603;0.166891416
817;92.00579193;100.7404715;0.168809237
819;91.32320913;100.6111846;0.195396389
821;91.45219851;100.5342594;0.222174594
823;89.29355528;100.3400268;0.157987634
825;90.27973766;100.1404142;0.124701198
827;87.32307478;100.0566329;0.143301744
829;89.01965345;99.9458789;0.180142793
831;89.72842824;99.8432171;0.085301319
833;89.08442989;99.6655302;0.083946568
835;88.1105931;99.5626727;0.107960609
837;88.53293056;99.4225206;0.216312467
839;88.25244198;99.2758745;0.152884266
841;88.86992131;99.1489219;0.162227556
843;89.64006935;99.0306191;0.178105846
845;88.31529636;98.9131596;0.198282039
847;86.80389618;98.7520783;0.133052283
849;87.73351432;98.6416408;0.133052283
851;87.37030606;98.5184261;0.123708993
853;87.9364693;98.3571932;0.143844968
855;86.73122607;98.1898877;0.15069318
857;87.05452938;98.0262887;0.10620085
859;83.53045024;97.9453108;0.10620085
861;86.32560411;97.8135975;0.10620085
863;85.26066581;97.6330314;0.124057331
865;85.44862839;97.481141;0.106036265
867;84.85835152;97.3617834;0.086888126
869;83.56669411;97.2094261;0.086888126
871;84.70553978;97.1069455;0.086888126
873;83.06791614;96.8872916;0.061735971
875;81.45090295;96.8057715;0.028718593
877;81.27037841;96.6806423;0.028718593
879;82.60670709;96.5424645;0.028718593
881;83.3314779;96.3844564;0.081849802
883;80.83276818;96.1897415;0.053131209
885;82.07354342;96.0836593;0.053131209
887;81.41021798;95.919322;0.053131209
889;81.73084618;95.828022;0.073498015
891;82.76489507;95.7070372;0.077929906
893;81.45557106;95.4825319;0.106818106
895;81.15668226;95.3214347;0.106818106
897;80.5273322;95.21927;0.106818106
899;83.15577773;95.0215413;0.142838572
901;83.24135366;94.9390416;0.132880114
903;81.43872547;94.7044856;0.103991913
905;81.32620515;94.5976953;0.103991913
907;81.00286588;94.4599692;0.103991913
909;81.24237613;94.2959488;0.075594399
911;80.64333663;94.1237616;0.036949267
913;81.42054776;93.9383436;0.036949267
915;83.14675164;93.7028685;0.036949267
917;81.17523451;93.6296356;0.036949267
919;80.88087793;93.4767354;0.048705158
921;81.58315694;93.3330575;0.072249604
923;81.58343233;93.1019219;0.08174391
925;80.86751808;93.0023645;0.08174391
927;83.52536331;92.8229735;0.095576277
929;84.17722518;92.6236631;0.078796581
931;84.23219024;92.4695879;0.046292625
933;84.01174552;92.2746768;0.036798319
935;84.77072131;92.1363189;0.036798319
937;82.97793779;91.9194832;0.033769408
939;86.90242885;91.7715856;0.048515545
941;87.37401093;91.5683418;0.075100877
943;87.00495661;91.3367694;0.075100877
945;88.26374926;91.2051011;0.075100877
947;89.35098189;90.985945;0.064297421
949;88.45109099;90.8339799;0.094826085
951;91.21786575;90.6302235;0.068240753
953;89.96819849;90.4063817;0.068240753
955;91.09024113;90.2471683;0.068240753
957;93.60621417;90.0409409;0.086846335
959;92.0462851;89.8179722;0.018605583
961;94.82577684;89.5721004;0.035358726
963;94.38878078;89.4225003;0.035358726
965;94.36686427;89.1959002;0.035358726
967;95.0008706;89.0092467;0.016753144
969;96.62801513;88.7738925;0.022237894
971;98.00667175;88.5643958;0.00548475
973;97.68248585;88.3072675;0.00548475
975;96.19229634;88.1587063;0.00548475
977;100.1185709;87.9370489;0.010657254
979;100.0978868;87.6469951;0.048932859
981;99.39608656;87.4545561;0.048932859
983;101.3142802;87.2093474;0.048932859
985;99.64666828;87.06784;0.048932859
987;101.1541564;86.8253123;0.05120033
989;101.8150873;86.5617642;0.029175847
991;100.6660323;86.2690427;0.07150571
993;103.5023789;86.1166095;0.07150571
995;104.1419403;85.8862727;0.07150571
997;100.5633958;85.6052916;0.095793081
999;102.3318485;85.4095076;0.098770325
1001;105.3835715;85.15066147;0.061604782
