Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
synthetic rubber;glue;plywood;;IN16-1;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 12:31:21
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;239;128.01;77.35;;;137.72;65.86;11.16;;552.74;;64.39;0.0088;Swelling. End flame > 1200s.
;2010-07-27;c_LSFIRE_IN16-1_35e;14.8;2.6;12.2;;;;;;;;14.19;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;10.82750833;137.72;0.076849948
3;10.09770439;136.5262883;0.069265129
5;8.799526995;137.6638376;0.076773559
7;8.08490821;137.6638376;0.06918874
9;7.201484258;137.7447289;0.015093249
11;6.289669175;137.7463504;0.015093249
13;5.211325139;137.7094398;0.036697387
15;4.161913548;137.7933824;0.021604138
17;3.249510349;137.7488434;0.021604138
19;3.099356056;137.5949949;0.021604138
21;2.784716302;137.7501464;0.021604138
23;2.426523863;137.7980007;-1.66533E-17
25;1.825578568;135.8954209;-1.66533E-17
27;1.66193607;137.7846591;-1.66533E-17
29;1.061382263;137.8009067;-1.66533E-17
31;1.049349244;136.3095305;-1.66533E-17
33;0.670367529;137.8281286;-1.66533E-17
35;0.567009316;137.7413328;-1.66533E-17
37;0.261262774;137.6861734;-1.66533E-17
39;0.214492475;137.771017;-1.66533E-17
41;0.21472158;137.7704461;-1.66533E-17
43;0.216738521;137.7414759;-1.66533E-17
45;0.216958433;137.7707165;-1.66533E-17
47;0.219262829;137.7440286;-1.66533E-17
49;0.214931488;137.7297215;-1.66533E-17
51;0.219272491;137.7430377;-1.66533E-17
53;0.215019138;137.7419566;-1.66533E-17
55;0.219166611;137.7682167;-1.66533E-17
57;0.217710868;136.3281443;-1.66533E-17
59;0.215483048;137.719653;-1.66533E-17
61;0.218654883;137.719653;-1.66533E-17
63;0.217720923;137.7412589;-1.66533E-17
65;0.219581931;137.7153331;-1.66533E-17
67;0.214995094;137.6900079;-1.66533E-17
69;0.215781856;137.6202298;-1.66533E-17
71;0.211298863;137.6256773;-1.66533E-17
73;0.217672213;137.650346;0.004008773
75;0.217312616;137.6854545;0.004008773
77;0.218918663;137.6181805;0.004008773
79;0.214804959;137.6431196;0.010508682
81;0.214908801;137.5710466;0.043145709
83;0.217672506;136.7267658;0.061956951
85;0.214482719;137.7281201;0.146484107
87;0.213849911;137.163827;0.208618288
89;0.214544583;136.230858;0.267917049
91;0.216610459;137.4715283;0.3482206
93;0.217285541;137.4715283;0.391765958
95;0.214109726;137.3649937;0.382670091
97;0.215722946;137.3138172;0.392309533
99;0.216212761;137.1955885;0.419256475
101;0.210253454;137.4067699;0.41104676
103;0.215241725;137.1647027;0.386273183
105;0.220721141;137.1608882;0.409791615
107;0.350995643;137.0544926;0.43502355
109;0.796816152;136.9987511;0.390642024
111;0.966100299;136.980581;0.446977747
113;1.112242183;136.8722027;0.465572037
115;1.237158292;136.8388244;0.440135481
117;0.867537156;136.8391778;0.445260173
119;0.613337919;136.7399785;0.462814439
121;0.540498597;136.6727044;0.396828813
123;0.781381293;136.5692998;0.497739456
125;0.729903638;136.672584;0.532266394
