Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
synthetic rubber;glue;plywood;;IN16-1;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 12:33:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;186;114.35;80.04;;;140.95;67.65;11.57;;306.67;;66.62;0.0088;Swelling. End flame > 1200s.
;2010-07-27;c_LSFIRE_IN16-1_35f;14.8;2.6;12.2;;;;;;;;14.19;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.066148504;140.95;0.038704632
3;4.696270745;140.8195758;0.038704632
5;4.588876815;140.8167638;0.085427977
7;4.025820408;140.8929867;0.085427977
9;3.7065033;140.8422729;0.047147882
11;3.384907847;140.8202408;0.046723346
13;2.867916948;141.1653449;0.046723346
15;2.153308052;140.8776745;5.55112E-18
17;1.302554629;140.8827613;5.55112E-18
19;1.017152882;140.8869846;0.01879431
21;0.952954549;140.8703461;0.01879431
23;0.961608021;140.7842914;0.038260268
25;0.939560444;140.8905238;0.05891353
27;0.956258229;140.7673419;0.063506753
29;1.024400659;139.2686141;0.044712443
31;1.372788615;139.6668163;0.044712443
33;0.96033999;140.8147145;0.025246485
35;0.947680467;140.8977545;0.004593223
37;0.951578139;140.8977545;-1.04083E-17
39;0.926550346;140.8655525;-1.04083E-17
41;0.926996381;140.8760039;-1.04083E-17
43;0.954901243;141.0188501;0.015294601
45;0.933406091;141.0188501;0.030843782
47;0.929484089;140.8258193;0.035688964
49;0.941554853;140.8357188;0.035688964
51;0.928059904;140.8478403;0.037046866
53;0.927607919;140.8752344;0.021752265
55;0.948455502;140.8343001;0.006203084
57;0.918279502;140.7940076;0.001357902
59;0.92926445;140.8574477;0.001357902
61;0.950828208;140.7740174;-9.19403E-18
63;0.930511215;140.7740174;-9.19403E-18
65;0.955647779;140.791305;0.003202969
67;0.955273201;140.6857032;0.035855296
69;1.12768379;140.7651389;0.067386682
71;1.202612798;140.8145128;0.087749772
73;1.152344649;140.7501642;0.137594064
75;1.248462806;140.7348436;0.134391095
77;1.480107932;140.7390183;0.103439037
79;1.456916119;140.726855;0.071907651
81;1.496070431;140.4627299;0.051544561
83;1.585616395;140.7135319;0.001700269
85;1.7825743;140.6083205;0.001700269
87;1.366302447;140.5346619;-2.22045E-17
89;1.275852691;139.1816768;-2.22045E-17
91;1.016383104;140.5614623;0.021347275
93;1.140641075;140.5013375;0.107407406
95;1.452467487;140.5013375;0.173308666
97;1.399518642;140.4521026;0.250359437
99;1.560271986;140.4780394;0.341751536
101;1.594785168;140.3307296;0.354981495
103;1.644735609;138.8121627;0.293373773
105;1.55190787;140.3257971;0.236977797
107;1.53267939;140.2877456;0.218515416
109;1.384670246;140.2223164;0.167746557
111;1.112625083;140.1762579;0.179663349
113;1.179409979;140.1467057;0.315852446
115;0.925985101;140.1467057;0.416982958
117;1.163405551;139.9764512;0.511573685
119;1.246497566;139.9764512;0.58781004
121;1.060436639;139.8061734;0.692388789
123;1.369929936;139.8974427;0.616302025
125;1.967459686;139.8518231;0.70159221
127;1.790122228;139.8196998;0.690237909
129;1.818739885;139.7024038;0.699863548
131;1.712592793;139.6756568;0.723323956
133;1.871584719;139.5578088;0.806727997
135;1.846528677;139.3955128;0.841618646
137;1.827095507;139.449121;0.971996657
139;1.811921814;139.4294614;1.138544109
141;1.799862202;139.3516884;1.245967887
143;2.012428357;139.2744076;1.323103913
145;2.116980553;139.2515532;1.273613991
147;2.298999553;139.1930082;1.248437973
149;2.182289215;139.116395;1.140421713
151;2.389724226;139.062565;1.052475811
153;2.313712833;139.0155642;1.032385541
155;2.673830788;138.8298612;1.172693909
157;2.346666041;139.3405461;1.309254806
159;2.4584791;138.7451395;1.426088691
161;2.627392944;138.6903118;1.594065465
163;2.051726575;138.5931565;1.669491522
165;3.005744632;138.5608827;1.574740888
167;3.062322913;138.4536483;1.334115247
169;3.590451214;138.4104731;1.293479824
171;3.776274794;138.1734145;1.183847683
173;3.856801157;136.5275048;1.11223677
175;3.692738996;137.2147876;1.191571912
177;3.644440294;137.9542673;1.481476909
179;3.606131559;138.0006374;1.527396516
181;3.92787847;138.0380879;1.459482552
183;4.765220661;138.20916;1.397233673
185;6.376644597;138.20916;1.232613315
187;8.570230839;137.923784;0.875377226
189;10.20082427;137.923784;0.627010094
191;11.54456761;137.5931258;0.491252951
193;12.92224179;137.524423;0.382097396
195;13.88803153;137.4353165;0.34839039
197;15.35018206;137.2859162;0.360649067
199;16.22518655;137.2859162;0.469763796
201;17.26761023;137.1656778;0.565430999
203;17.75607032;137.0499621;0.621554104
205;18.49108957;137.0207221;0.583113987
207;19.53199571;136.9030247;0.533133884
209;20.43137394;136.8928621;0.406080844
211;21.21112318;136.802356;0.305883739
213;21.79335656;136.7187519;0.276763037
215;22.68551443;136.2488391;0.207310933
217;23.68606869;136.452183;0.262894472
219;24.57932172;136.3769932;0.349276061
221;25.46577375;136.3769932;0.428021938
223;26.34751152;136.1911635;0.442718879
225;27.35793467;136.2679567;0.447643133
227;27.24784905;136.0023675;0.354150047
229;27.94670212;135.9951115;0.226939406
231;29.1657013;135.9128041;0.104038847
233;29.5395462;135.8506903;0.004924255
235;30.24690644;135.9944862;0.073517054
237;31.66413855;135.6026516;0.084406395
