Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
synthetic rubber;glue;plywood;;IN16-1;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 12:44:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;59;158.83;89.70;;;139.50;79.43;10.23;;1049.88;;94.66;0.0088;Swelling. Unidentifiable end flame.
;2010-07-28;c_LSFIRE_IN16-1_75b;14.8;2.6;12.2;;;;;;;;14.19;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.011446306;139.5;0.291832847
3;5.010791271;139.3447751;0.377789062
5;4.251499727;139.1038421;0.431146111
7;3.700136215;139.3446956;0.451808567
9;3.090807713;139.5487599;0.383972442
11;2.386659136;138.9789916;0.321816428
13;2.366898114;139.2610228;0.332553447
15;2.388723374;139.2441837;0.362392809
17;2.366415165;139.2358047;0.425485024
19;2.359611651;139.4254952;0.474219817
21;2.37340699;139.319817;0.42822497
23;2.367464658;139.2387284;0.48562486
25;2.359940719;139.1884022;0.569432803
27;2.347225482;139.1447508;0.741915248
29;2.33246157;139.2385874;1.00798295
31;2.275685167;139.1634036;1.341381445
33;2.212065244;139.1634036;1.634092864
35;2.148616767;139.0181451;1.873515828
37;2.122342385;138.8925957;2.223188516
39;2.053179335;138.8910693;2.519694165
41;2.067702097;138.9093542;2.727136823
43;2.131085386;138.6394531;2.756269954
45;2.032826892;138.6122013;2.860275735
47;1.994021859;138.4171256;2.926921641
49;2.282378229;138.4171256;3.142415957
51;2.555560703;138.5992838;3.440925052
53;3.173112103;138.056699;3.713578377
55;3.936556325;137.9185105;3.652281724
57;5.301360498;137.897383;3.011088728
59;10.47258375;137.7151557;2.289553846
61;22.36246867;137.5466244;1.478816306
