Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
80% wool, 20 % Nylon;Glue;Plywood;;IN16-3;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:02:07
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;15;221.00;133.79;;;111.52;86.23;13.87;;1574.74;;126.97;0.0088;Raising. Glowing. End flame > 1200s.
;2011-03-03;c_LSFIRE_IN-16-3_35a;22.0;22.0;;;;;;;;;;11.21;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;10.03522376;111.52;0.003326436
3;10.13050019;111.6032727;0.05740585
5;9.578972065;111.3106782;0.140854676
7;8.648294076;111.4276985;0.356189597
9;6.872595668;111.5414986;0.810068604
11;6.334403361;111.4469501;1.360810413
13;-2.21319491;111.3622645;1.49748046
15;-0.184678287;111.2575793;1.602619068
17;40.24074355;111.0886978;1.827806589
19;93.09134279;110.6290517;1.817584515
21;141.5344182;110.6084368;1.983295727
23;167.280406;110.6148484;2.611917434
25;192.717185;110.3487982;3.173600533
27;208.7540012;110.2912109;3.466849731
29;218.9295981;109.9520513;3.758799653
31;221.0005592;109.6922373;3.850737967
33;217.2575087;109.4049891;3.804600135
35;213.4646125;109.2155309;3.760465501
37;208.4795346;109.1500813;3.748568705
39;204.9098677;108.9054866;3.718627502
41;199.0776672;108.7895271;3.492332584
43;187.225543;108.6574687;3.279384054
45;179.4055559;108.4731693;3.053003688
47;168.7116194;108.2229538;2.769534478
49;163.5899258;108.0573902;2.37070384
51;150.4128268;107.9245627;2.062288494
53;142.8147069;107.8605088;1.702102178
55;130.3243022;107.7506097;1.44503797
57;119.216653;107.6470951;1.164036121
59;110.4352306;107.6187604;0.93658018
61;102.2810758;107.643985;0.762618428
63;94.35328758;107.2685352;0.616020875
65;88.26351651;107.3406494;0.404444752
67;80.34991077;107.2164039;0.260367219
69;73.28014398;107.0330172;0.202559284
71;64.21371889;107.113384;0.147400843
73;57.96060908;107.0989227;0.12439251
75;50.48267163;107.1544438;0.171170634
77;44.43387982;107.0899943;0.18038098
79;39.80635906;106.9208485;0.203924254
81;35.22072928;106.7446864;0.207347603
83;30.68606589;106.8822008;0.226447538
85;28.08182998;106.780279;0.235138391
87;25.31657078;106.8049219;0.267422104
89;23.39916775;106.7479173;0.261901224
91;22.36678046;106.5726344;0.23553585
93;21.56150927;106.6072434;0.202998817
95;20.83218153;106.5663928;0.175309712
97;19.78821528;106.6233148;0.179296159
99;19.06468605;106.5895517;0.190793885
101;18.32496118;106.5926009;0.218352385
103;18.13375042;106.5093442;0.233412143
105;17.48603084;106.4434223;0.229727945
107;17.12955455;106.3180508;0.224885427
109;17.09708994;106.3550941;0.221152485
111;16.35119681;106.206157;0.227602302
113;15.95135195;106.1663663;0.255244044
115;14.92531417;106.2135908;0.296422816
117;14.88614046;106.1648059;0.297337193
119;14.1064808;106.0106818;0.321305904
121;13.35392083;105.9896384;0.333966565
123;12.81383286;105.8898649;0.308140141
125;12.56611837;105.8454704;0.284727073
127;12.27756521;105.8159599;0.276236895
129;12.35392666;105.7077525;0.266253503
131;11.92536901;106.0065939;0.257996781
133;11.62369899;105.8557834;0.274115851
135;11.16788605;105.7125549;0.258612172
137;11.24249786;105.5937544;0.248639577
139;11.45739203;105.6202379;0.233500235
141;11.47990716;105.6301002;0.2087068
143;11.35346477;105.6796212;0.202696621
145;11.1267665;105.6037268;0.212039504
147;11.2570814;105.5567222;0.205911829
149;11.13133463;105.5374643;0.189855501
151;11.5722292;105.4859379;0.173101772
153;11.32529913;105.2634851;0.157293536
155;11.65709176;105.5588376;0.152390741
157;11.83419652;105.0966471;0.167809803
159;12.26672489;105.3433355;0.184018038
161;12.01954765;105.572354;0.192005608
163;12.29843754;105.2280461;0.19874139
165;12.66316096;105.2153104;0.1653924
167;13.75779223;105.0205333;0.12178958
169;14.70347081;105.1425643;0.080349204
171;15.68647646;105.110433;0.08121715
173;16.08207689;105.0634998;0.071477213
175;16.30425328;105.1435807;0.08772769
177;17.48153483;105.1528391;0.098716274
179;19.21100842;105.0004237;0.099525496
181;20.16728656;104.9163869;0.080569199
183;21.32195899;104.8645581;0.064673674
185;22.31191911;104.8914256;0.065139565
187;23.6469416;104.9396394;0.083909697
189;24.7787532;104.7602903;0.111085284
191;26.07140635;104.7724444;0.116646807
193;27.38932549;104.6893959;0.132462609
195;29.41499283;104.4696194;0.130373636
197;31.38592842;104.8420862;0.137540227
199;33.21944906;104.3643739;0.144893201
201;35.09756409;104.699506;0.197519653
203;37.72647222;104.214475;0.21432654
205;39.68942213;104.8869203;0.241716472
207;41.82273063;104.0237911;0.298498216
209;43.65280605;103.8613053;0.346348205
