Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
80% wool, 20 % Nylon;Glue;Plywood;;IN16-3;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:06:13
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;16;227.93;132.39;;;111.71;86.63;13.66;;1760.75;;126.95;0.0088;Raising. Glowing. End flame > 1200s.
;2011-03-03;c_LSFIRE_IN-16-3_35b;22.0;;;;;;;;;;;11.21;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.742379875;111.71;0.105425451
3;5.736795166;111.6630064;0.130383501
5;6.796996327;111.665276;0.172614067
7;6.792865584;111.5687391;0.357939991
9;5.682283431;111.5941511;0.709543879
11;4.14013168;112.1008768;1.136960942
13;3.355781008;111.6513316;1.690842542
15;-6.447898826;111.4375391;1.923712953
17;1.264702072;111.4271165;2.105143991
19;54.12663095;111.1222437;2.197064505
21;108.2306353;110.9606921;2.372820045
23;152.2043518;110.781943;2.417067465
25;189.034301;110.5276792;2.784585764
27;212.3938275;110.4655432;2.965971252
29;221.6765;110.0283931;3.122028646
31;227.0475814;109.8968463;3.122734664
33;227.9279558;109.6554177;2.963795547
35;218.8277961;109.7265532;2.845345957
37;219.9556306;109.378539;2.756766556
39;210.128541;109.7031914;2.626536841
41;203.7543057;108.9753936;2.532300377
43;197.516826;108.8181715;2.482602433
45;193.962253;108.6834764;2.264160894
47;180.8661645;108.3970542;2.136103271
49;175.4622849;108.3428356;1.95200896
51;164.5244072;107.6757342;1.672547401
53;156.5223787;108.2153496;1.464384424
55;144.600076;107.995118;1.315721565
57;132.5029369;107.7855348;1.10950615
59;119.5569556;107.4453882;0.870657217
61;110.5673537;107.4972329;0.694280724
63;99.4342034;107.4557341;0.522733924
65;90.29062233;107.4023724;0.380333399
67;81.26809997;107.4380583;0.273169935
69;72.71883825;107.3163302;0.250300583
71;65.89155779;107.2614411;0.180392008
73;59.24175545;107.3028027;0.14375751
75;51.78745525;107.1538448;0.143475346
77;45.77230805;107.0667423;0.165303377
79;41.31896817;107.1541033;0.182304904
81;35.97440239;107.0285013;0.239097005
83;30.87323632;107.0038043;0.281388781
85;28.4754022;107.0396713;0.291980957
87;25.72171756;106.8362967;0.282870404
89;22.96097852;106.7798143;0.273438438
91;20.3543422;106.7372604;0.266345951
93;18.0894627;106.7160957;0.32636233
95;16.18016625;106.667965;0.340356012
97;15.0476554;106.5419234;0.375987953
99;13.89097708;106.5447142;0.393738556
101;11.98128933;106.4956719;0.418540852
103;10.65226323;106.4787879;0.38873847
105;9.347404773;106.5292979;0.429483512
107;7.901727969;106.5457374;0.470561291
109;7.500962673;106.5621654;0.50456622
111;6.998696407;106.4422504;0.52108146
113;6.481384923;106.3138465;0.513601394
115;5.906282608;106.3453295;0.509119183
117;5.46462151;106.3085006;0.491361192
119;4.248361215;106.2422497;0.49815298
121;4.673895882;106.1598388;0.474697929
123;4.624067067;106.1391525;0.459853584
125;4.504700836;106.1053506;0.420787449
127;4.283991282;106.1401578;0.406102125
129;3.825955485;106.0811918;0.376830997
131;3.440296113;106.1547616;0.426616905
133;3.133225896;106.1029333;0.471150775
135;2.816014892;106.1539099;0.512483322
137;2.946319658;105.928475;0.497560877
139;2.74073386;105.8867452;0.508273471
141;2.494026005;105.8923109;0.502719221
143;2.494294626;105.8842176;0.501747457
145;2.373184692;105.8788834;0.512925329
147;2.294502732;105.7011951;0.54240469
149;2.085655487;105.6486799;0.569610061
151;2.435499109;105.3450602;0.520982949
153;2.15953723;105.6601518;0.501985835
155;2.220301086;105.5937521;0.521704683
157;1.946642516;105.6330534;0.545618024
159;1.364187796;105.6452234;0.544389862
161;1.143827695;105.5307866;0.574206149
163;1.222821362;105.4566946;0.566448961
165;1.29704929;105.4816892;0.520504365
167;1.92853982;105.5118263;0.478395753
169;2.776050035;105.4097015;0.465076124
171;3.218483064;105.4686839;0.418369673
173;4.19833345;105.4251846;0.35997582
175;5.953688374;105.2418915;0.303758384
177;8.732943902;105.2462596;0.249504778
179;10.96546713;105.1453276;0.189396158
181;13.38384429;105.2354519;0.172712437
183;16.7681049;105.2171781;0.19842488
185;20.75011619;105.1708995;0.213960191
187;24.74167235;105.1070157;0.212732728
189;28.83607754;105.0420444;0.20658326
191;32.93461187;105.1013017;0.222204068
193;36.30043722;104.9179748;0.273169933
195;41.32380642;104.7531156;0.324640536
197;45.84243618;104.7585276;0.400770058
199;49.53706459;104.7175669;0.467778678
201;52.63855035;104.6694637;0.497995778
203;54.8829585;104.461105;0.509066737
205;58.31685084;104.4787098;0.582738994
207;59.48376425;104.3030269;0.635192676
209;63.83477056;104.2964061;0.712100517
211;65.88677915;104.2523362;0.78975762
213;68.95314452;104.0813122;0.903887364
215;71.71144872;104.0047043;0.956318012
217;74.63408353;103.8936352;1.016840371
219;74.84021372;103.8297789;1.120480261
221;76.96586662;103.7486821;1.198651504
223;76.81620479;103.699688;1.278951286
225;78.18039887;103.5241699;1.298777894
227;79.26980003;103.4558904;1.323787712
229;81.59294811;103.2857683;1.275324558
231;83.17077159;103.2698186;1.312575851
233;84.30786418;103.0571745;1.291062139
235;87.46403871;103.0434224;1.450788116
237;86.95499982;102.9186016;1.529104973
239;88.76407457;102.7627258;1.611026456
241;89.91483429;102.6653812;1.656640777
243;90.83531315;102.5459372;1.642524585
245;90.28172534;102.5215972;1.551302956
247;89.71028186;102.4689221;1.548299413
249;90.57929621;102.2638165;1.48270698
251;91.17628518;102.0886278;1.48516374
253;92.47859836;102.0236957;1.52971356
255;91.83274413;101.8604142;1.513196302
257;93.45294064;101.8007018;1.554699143
259;92.89903463;101.6784516;1.63647185
261;95.33573795;101.4538022;1.670073291
263;97.56975688;101.4474833;1.750748553
265;97.61165664;101.4112637;1.843981548
267;97.31355727;101.168396;1.931669834
269;100.6256448;101.1431767;1.946694863
271;98.78884453;101.0613104;1.884404572
273;98.19609392;100.8534696;1.860031554
275;99.23732794;100.8147615;1.890701403
277;99.60876869;100.6136512;1.824241199
279;99.41594944;100.595186;1.856667186
281;98.37616828;100.4207668;1.987203282
283;100.4738969;100.2096295;2.022001768
285;101.248621;100.1755093;1.995973051
287;101.3900499;100.067258;2.116001016
289;100.9500125;99.8741302;2.195667233
291;99.00067136;99.6824623;2.140650018
293;101.7545623;99.721253;2.033823729
295;100.7019339;99.442868;2.05041572
297;102.1804207;98.9658452;1.911543628
299;101.1781224;99.2511021;1.893296147
301;102.0521492;99.1567203;1.933389471
303;103.7625744;99.1092331;2.0801765
305;104.0213906;99.0328179;2.111281763
307;104.5314489;98.7691976;2.269468887
309;107.6607215;98.610904;2.335754878
311;109.8589386;98.5342023;2.334113353
313;110.7166637;98.410924;2.453060132
315;112.3005814;98.2275798;2.588724318
317;113.9991767;98.092818;2.654583058
319;118.8583467;97.8804052;2.822226286
321;124.894684;97.7468758;2.913896516
323;130.4561135;97.5995285;3.001301971
325;131.27506;97.5022501;3.084293041
327;132.0259972;97.363584;3.058383193
329;134.9775938;97.161861;3.022811566
331;133.5144241;97.0232219;3.104088747
333;138.7297239;96.9290088;3.116478904
335;139.2510419;95.5161116;3.078034661
337;139.8735544;96.1027321;3.178845901
339;141.7836439;96.2916444;3.2146241
341;144.2436181;96.14166;3.250959024
343;143.5270807;95.9032584;3.177913014
345;143.8242135;95.808166;3.132607963
347;146.10798;96.4777945;3.072174769
349;147.701547;95.5645413;2.971665192
351;145.3025024;95.2289996;2.883958849
353;147.1781814;95.261526;2.95744291
355;145.4794721;94.8661376;2.988841663
357;146.358629;94.6685722;3.003698682
359;147.3194962;94.5822155;3.018137269
361;151.6402143;94.4295967;3.088306412
363;151.6645277;94.1613456;3.12696496
365;153.360327;94.0074901;3.211022776
367;153.4846014;93.8754601;3.245903999
369;155.3363336;93.5803139;3.271791124
371;154.8795192;93.3821712;3.383097662
373;159.2481556;93.2275867;3.325499811
375;157.908158;93.1217098;3.299814855
377;161.6570935;92.9386095;3.317595512
379;161.1208758;92.6553613;3.453839552
381;164.6273995;92.425751;3.47384713
383;166.8219636;92.2016625;3.579182708
385;164.9211265;92.0475447;3.953903645
387;164.6041571;91.8821762;4.214236993
389;169.2683042;91.6031715;4.420389381
391;167.318099;91.424619;4.399072987
393;175.5695331;91.1995686;4.425269497
395;173.6333446;90.9670337;4.234369826
397;175.960859;90.7045666;4.123798633
399;175.7139982;90.7085777;3.988934355
401;175.2147845;90.3270602;4.011149443
403;177.0285679;90.1462372;3.91418438
405;179.9963878;89.8925193;3.836314283
407;181.0679214;89.740832;3.884739914
409;178.3368324;89.5015367;3.929779473
411;181.0354088;89.3491247;4.094808442
