Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
80% wool, 20 % Nylon;Glue;Plywood;;IN16-3;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:10:12
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;5;309.63;153.69;;;111.07;92.06;14.91;;2159.76;;205.53;0.0088;Raising. Glowing. Unidentifiable end flame.
;2011-03-02;c_LSFIRE_IN-16-3_50a;22.0;;;;;;;;;;;11.21;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.882830009;111.07;0.280889384
3;5.391903963;110.7227214;0.628144326
5;-5.14261449;110.5275626;0.840944084
7;12.9662578;110.512697;1.366362436
9;66.36710898;110.2444268;2.115342629
11;127.2935611;109.980699;3.100342978
13;192.776045;109.423862;3.955306356
15;256.154065;109.3579911;4.951664006
17;293.2071333;108.9317924;5.552037772
19;309.6287915;108.5794012;5.808867447
21;307.5399937;108.4628443;5.812222274
23;298.3222036;108.3504623;5.634841279
25;291.0275017;107.8504392;5.471727138
27;280.2096447;107.5171927;5.361339147
29;273.0785164;107.5149331;5.269420464
31;267.4807303;106.9940868;5.292701834
33;264.4432566;106.8638493;5.270347769
35;255.0747146;106.5991718;5.129080845
37;245.7448179;106.5125496;4.896563775
39;237.6114232;106.2544003;4.616082716
41;224.6125908;105.9365515;4.021271355
43;214.988759;105.8587557;3.402207412
45;200.7430201;105.4491232;2.818997567
47;188.4356874;105.5397555;2.292680919
49;178.9012923;105.2655445;1.786333308
51;165.7975988;105.0271265;1.436049216
53;154.135364;104.8333718;1.133944637
55;142.5706948;104.8109362;0.873457667
57;137.4775713;104.5841691;0.686305369
59;127.3753761;104.5988818;0.587240956
61;121.2401845;104.5932917;0.476311907
63;118.9179787;104.2198473;0.440435766
65;113.2560613;104.0206351;0.425740528
67;114.5838343;103.9671781;0.415381656
69;109.0766779;103.6678436;0.440159493
71;109.0985547;103.6041566;0.4716477
73;110.8322271;103.44405;0.536202986
75;110.4920234;103.3910874;0.614118835
77;109.3714474;103.1917045;0.668121977
79;110.0918684;103.2912723;0.79084007
81;110.6039792;102.9164566;0.893615364
83;115.3784803;102.8619192;1.003603215
85;116.0536128;102.6519875;1.169015159
87;120.1003178;102.453466;1.398996107
89;126.4962;102.4212933;1.52711311
91;129.9804679;102.2076319;1.683730113
93;130.7424686;102.1487059;1.90396475
95;135.9020507;101.8572153;2.057554635
97;142.4708732;101.6108761;2.236459513
99;144.0311915;101.4990213;2.405507467
101;147.2522722;101.4077967;2.62026653
103;150.028373;101.4133371;2.687983728
105;154.9823773;101.0356738;2.753936488
107;155.1037358;100.8357102;2.928965893
109;161.2032677;100.6605181;3.019305667
111;162.7902041;100.5856292;3.188017629
113;164.7591443;100.2662611;3.328982404
115;166.9930104;99.3728867;3.636019701
117;170.5973277;100.3811236;3.740947428
119;178.8454487;99.7048005;4.042743033
121;178.2411892;99.5158628;4.054237566
123;178.7155947;99.3339461;4.161908482
125;180.5535677;99.2543513;4.06094652
127;182.3466622;99.3153778;4.071715977
129;181.693411;99.2843019;3.873008545
131;184.5195196;98.497939;3.987874553
133;183.9745797;98.36736;3.916001126
135;190.044971;98.051777;3.923653405
137;188.2442905;97.9572457;3.863867324
139;190.0328639;97.6765345;4.057199889
141;188.517253;97.4700707;4.069210204
143;187.4998893;97.1996063;4.282876438
145;190.1360563;97.2078897;4.262366045
147;191.0998923;96.8965502;4.289247368
149;191.200207;96.6978484;4.202271113
151;191.1926343;96.4050695;4.294133133
153;191.5619269;96.2693027;4.315579642
155;188.4828872;96.0074898;4.584372299
157;188.9976188;95.9557455;4.860470896
159;190.6247542;95.6168491;4.987736418
161;191.6309417;95.5171377;4.904498766
163;191.8879197;95.16727;4.819688296
165;189.041244;94.9852598;4.539605444
167;186.9571885;95.4170698;4.262089883
169;182.2915729;94.7508084;4.145193525
171;183.4655323;94.5182057;4.149117848
173;183.0640434;94.1197091;4.126408737
175;182.9962362;93.8938029;4.369579475
177;184.3224944;93.6717601;4.505935528
179;188.2998556;93.3943413;4.612898397
181;188.2987282;93.337033;4.685249296
183;193.7813379;92.8045792;5.038258038
185;199.3088637;92.7001776;5.044569551
187;201.7997765;92.5342948;5.200193019
189;206.276223;92.4579363;5.498258439
191;210.3512597;92.2987186;5.659566413
193;213.0541421;91.935972;5.674545417
195;216.4756508;91.6591444;5.916537236
197;222.8573797;91.2775584;6.095856192
199;224.0112935;91.3841304;6.088412384
201;231.170567;90.8706448;6.179414618
203;231.8861852;90.5684462;6.090776014
205;240.1818293;90.1391756;6.129625346
207;240.3920286;89.8306693;6.218735521
209;245.266253;89.5350385;6.435066399
211;248.4932022;89.4247666;6.813730247
213;251.4036566;89.0489771;7.078935732
215;259.0607668;88.6380984;7.144324459
217;258.7295582;88.2693179;7.219294468
219;265.8183825;88.205713;7.246787837
221;268.8817297;87.7919244;7.170586191
223;265.6155068;87.491152;7.497477324
225;265.9616198;87.224281;7.605837034
227;262.9284113;87.0005134;7.936011653
229;267.7204803;86.5534424;8.031294091
231;269.8695707;86.3473653;8.115466767
233;265.3797212;86.0471969;7.922211367
235;267.6046653;85.6695726;8.197850636
237;263.9034253;85.5275795;7.964463711
239;256.700166;85.3655494;8.14118946
241;252.7759533;84.767626;8.13990172
243;260.6172137;84.67411;8.338118735
245;255.3382704;84.3014777;8.162631128
247;261.9364323;84.096456;8.262484134
249;253.0414223;83.832095;8.214684846
251;255.0659829;83.4936501;8.167114791
253;252.0653626;83.0629682;7.885789401
255;244.3366279;83.0093468;7.678806612
257;247.459711;82.6744696;7.50451963
259;244.8630481;82.4492739;6.953286775
261;235.1542993;82.034677;6.651090039
263;230.6934854;81.8995405;6.337483376
265;229.0851318;81.5080655;6.081554593
267;220.0618472;81.2500272;5.644985346
269;221.5182772;81.0974052;5.371465388
271;210.6489936;80.7532569;5.001643082
273;204.9261569;80.513689;4.629287416
275;203.7042834;80.3385345;4.260251469
277;201.8820823;79.9648325;4.096320172
279;199.8874253;79.7154745;3.933100635
281;197.2982492;79.5030068;3.516625412
283;199.479552;79.3133846;3.392301532
285;196.9798033;79.0428928;3.189682904
287;196.9493352;78.6095905;2.924676361
289;198.3495577;78.3475735;2.812102461
291;192.5512933;78.3711483;2.877914573
293;191.369056;77.9248176;2.714650336
295;191.3502018;77.56843571;2.719301798
297;189.1894209;77.36979029;2.604761502
299;189.553127;77.05604499;2.491719053
301;190.1221106;76.81786283;2.419711155
303;187.326969;76.34692993;2.359968449
305;186.8612092;76.29788956;2.233751477
307;183.974036;76.3204766;2.159103552
309;182.1097948;76.02432585;2.125449936
311;183.5554148;75.65285939;1.96169459
313;180.3109237;75.19184105;1.821235835
315;174.3162021;74.90324633;1.682844194
317;173.0634201;74.70491682;1.559474478
319;171.2921808;74.49317497;1.349478392
321;167.7111109;74.25633704;1.285601631
323;165.2264036;73.99750194;1.309881435
325;165.7869727;73.69932207;1.411298454
327;161.4911421;73.54788034;1.390863271
329;158.2318008;73.36788575;1.384733571
331;157.9060543;73.0543054;1.397504393
333;157.172895;72.761419;1.358811249
335;151.011523;72.61473584;1.243775692
337;152.9992442;72.38594783;1.21196026
339;151.7809821;72.19826023;1.184086267
341;153.5602625;71.90367317;1.183478994
343;150.2191436;71.41967083;1.192062198
345;150.7576724;71.67659932;1.196898719
347;149.485371;71.47071331;1.171177855
349;151.9405968;71.1127412;1.200773152
351;148.597144;70.78902586;1.170442804
353;151.9581349;70.50804311;1.139520415
355;151.5112136;70.28235449;1.152149717
357;148.7730218;70.0941865;1.198198617
359;148.1621853;69.88628488;1.198303458
361;154.9648665;69.64359062;1.222387252
363;152.8212857;69.39871579;1.210215381
365;149.0894943;69.19687596;1.23324351
367;150.2779815;68.94325233;1.208132517
369;149.3171273;68.73679043;1.234429109
371;148.9229126;68.39568649;1.186637975
373;149.0356381;68.13768822;1.21495042
375;149.45774;67.99402197;1.17403964
377;150.8067753;67.75445556;1.158533457
379;148.4864343;67.52665437;1.070604997
381;146.6322596;67.32632276;1.075689441
383;145.7764989;67.07348097;1.0211447
385;142.7239497;66.83790479;1.021118575
387;144.4506852;66.56868775;1.002518548
389;143.3910173;66.41940007;1.02034583
391;142.9613626;66.25699955;0.994291804
393;142.04173;65.8468187;0.981020202
395;142.9037118;65.75294717;0.933147895
397;140.594629;65.59145293;0.930367612
399;142.3729907;65.33911806;0.941388742
401;142.3880084;65.04935901;0.988431621
403;140.129736;64.88656251;1.018328566
405;139.4125622;64.61782635;1.050364115
407;138.9681812;64.42533774;1.007396135
409;138.4841672;64.29250536;1.002238733
411;140.495982;63.89149969;1.008688148
413;140.7017315;63.8366575;1.018443692
415;141.3682701;63.64514414;1.048838924
417;140.4259049;63.33635034;1.11876302
419;140.1100472;63.0588919;1.182585882
421;140.1669287;62.7562824;1.236530887
423;140.0180021;62.80840817;1.29948133
425;139.6367122;62.55363228;1.284085761
427;145.9882573;62.29092994;1.292950719
429;141.5065505;61.9987154;1.35230419
431;142.6055702;61.75437498;1.342649724
433;146.0635881;61.52189819;1.322634692
435;146.8215178;61.33980744;1.326078885
437;149.2912823;61.05105065;1.341118669
439;148.8745112;60.83416727;1.249732935
441;146.9056185;60.56500473;1.269752608
443;149.2531754;60.28883553;1.288563197
445;151.9675783;60.13522578;1.307735073
447;149.6667608;59.7801471;1.290224216
449;151.6526475;59.55120861;1.291802382
451;151.0489172;59.3371082;1.236323644
453;148.8984531;59.18667983;1.197621657
455;152.4802372;58.97865377;1.158704867
457;149.0194474;58.69538048;1.129779263
459;152.0263369;58.36870418;1.144691027
461;149.7588394;58.21927855;1.183315346
463;150.6109752;58.02308814;1.168209328
465;145.3941909;57.88667791;1.150826719
467;147.6311416;57.47793583;1.186720614
469;146.5796616;57.27931693;1.163374441
471;143.5428704;57.09072451;1.084682241
473;147.089619;56.88163059;1.060208046
475;146.8054883;56.57978653;1.136007804
477;144.6472511;56.40148151;1.110650557
479;145.4316822;56.22649292;1.169450789
481;145.7776138;56.03299096;1.194084948
483;145.2617769;55.82037128;1.188224865
485;141.4925353;55.49585963;1.149737722
487;145.0721901;55.25108272;1.137286191
489;145.9143801;55.13505099;1.080979465
491;146.4683594;55.00047889;1.123371903
493;145.8376777;54.61520216;1.251923743
495;148.1564124;54.3998675;1.294589743
497;151.207346;54.12981171;1.322086343
499;150.6624894;54.0095539;1.407002304
501;149.2597201;53.65256716;1.435413313
503;152.8029668;53.52767667;1.365396752
505;153.2437537;53.19434821;1.348636619
507;153.4341898;53.02348587;1.33530944
509;155.4674181;52.75769957;1.28434343
511;154.7540391;52.4661434;1.289175662
513;157.4484502;52.23579364;1.331233898
515;158.4271269;52.13041637;1.383848007
517;158.1399308;51.91995169;1.49396624
519;158.5457537;51.51016683;1.547743499
521;161.4262525;51.24318583;1.557532451
523;166.7107726;51.02170738;1.589222074
525;163.0746878;50.79941815;1.594866576
527;165.6002916;50.61473541;1.643780933
529;163.6000142;50.2386353;1.650300272
531;166.1009574;49.9766738;1.664180635
533;167.0339995;49.80182219;1.596561569
535;168.9460488;49.51638232;1.661435218
537;168.3853459;49.18026798;1.599211707
539;172.9936529;48.93721584;1.601081073
541;173.562878;48.64428844;1.670294088
543;170.5747346;48.90220279;1.723562873
545;171.9069719;48.38320428;1.710904217
547;170.5402755;48.1552256;1.757415477
549;171.5953087;48.3480692;1.791351238
551;173.1656891;47.36349781;1.731616571
553;176.778184;47.14159636;1.808869792
555;174.9222263;46.78376315;1.839552477
557;176.6784677;46.58691486;1.910030679
559;176.506319;46.36011545;1.888031695
561;178.9797778;46.14190086;1.912925424
563;183.4880179;45.82568705;1.929583099
565;181.1651243;45.50115128;1.961852098
567;179.9071493;45.24272326;1.958790269
569;183.4968808;44.98601182;2.067958322
571;183.5117523;44.69349583;2.164082551
573;187.622757;44.33681006;2.253558455
575;191.2000338;44.08583099;2.260875695
577;193.0175841;43.82307849;2.314724088
579;193.5959589;43.52566406;2.394552079
581;194.5919098;43.16880707;2.518174729
583;196.359903;42.88172635;2.500284369
585;199.2010664;42.60118009;2.570969406
587;199.9494159;42.27911284;2.609579464
589;203.1515983;42.04871581;2.760209563
591;204.6183996;41.63496918;2.77384228
593;206.5204648;41.44520809;2.920730488
595;206.4943252;41.00703966;3.001896582
597;207.9098108;40.6940627;3.057432543
599;216.2796478;40.33205598;3.034187292
601;210.4851816;40.04542574;3.077412797
603;213.1019312;39.81179668;2.964456348
605;213.4055562;39.45046425;3.033480953
607;213.1257779;39.08487003;3.020938662
609;212.7987721;38.77699408;2.889964335
611;213.6009103;38.54660187;2.828421704
613;215.6710201;38.29838119;2.913463283
615;216.3135512;37.7373755;2.802410778
617;211.7070986;37.41990042;2.872328413
619;208.4572745;37.27019987;3.000358438
621;208.2580558;36.96812816;2.979212986
623;214.1724089;36.58947271;3.081978998
625;212.8859704;36.26920548;3.15828883
627;216.5328238;35.96666158;3.092138112
629;213.8251264;35.75933585;2.983419973
631;214.6077971;35.35545265;3.088676852
633;212.8404015;34.93462363;3.01065595
635;216.8274096;34.62786666;2.995350304
637;217.1471848;34.48507824;3.067398275
639;219.753994;33.96715048;3.159532112
641;223.0537923;33.66718458;3.237121248
643;221.7056337;33.31173886;3.269933226
645;223.263681;33.11644315;3.302406854
647;218.9548991;33.2015789;3.416823593
649;221.1235453;32.44636851;3.553903752
651;221.7669373;32.26914775;3.430561012
653;224.6885531;31.98075608;3.413172009
655;223.5678037;31.70195389;3.348115579
657;222.1701429;31.0520002;3.27857135
659;222.473873;30.85081826;3.148349371
661;223.6892865;30.77436668;3.152115276
663;224.638417;30.4248834;3.126293558
665;220.945216;29.97500424;3.177123636
667;221.5915258;29.54489056;3.100475067
669;217.4700506;29.14302009;3.058324738
671;214.9423726;29.79695051;2.988029933
673;226.6972249;28.69084075;2.978102973
675;218.2233919;28.23873327;2.859774196
677;209.7744049;29.1107413;2.786691476
679;205.049368;28.04676702;2.653181632
681;203.6194822;27.7753424;2.600178919
683;197.8091919;27.62981151;2.497012262
685;195.0350448;27.33388407;2.375953577
687;186.0069915;27.25238646;2.216370586
689;187.8302714;26.818079;2.109572765
691;177.9509429;26.5700334;1.974425148
693;172.5106582;26.62183409;1.7630195
695;169.7005959;26.59761535;1.681063097
697;167.1350946;26.17511992;1.546040338
699;160.292959;26.07381921;1.421530102
701;155.5823715;25.81167299;1.308284682
703;153.4170135;25.58362196;1.245284579
705;148.2523873;25.48803675;1.099520174
707;145.8361925;25.468947;1.030855432
709;142.2012254;25.32229134;0.940743388
711;137.4819125;25.20510253;0.896044322
713;133.8814233;25.06563295;0.77966514
715;130.3731658;24.9466692;0.785514963
717;128.573887;24.92061283;0.717304888
719;123.8788459;24.72763178;0.689737865
721;116.4057754;24.66094525;0.611283086
723;115.2007845;24.36779067;0.57586411
725;111.3312298;24.49501029;0.464087866
727;110.0584606;24.38460386;0.490729558
729;107.2813826;24.33925614;0.466287957
731;103.9391446;24.12993794;0.451922666
733;103.9180344;24.149933;0.446449537
735;105.5843171;23.87810709;0.478818093
737;101.2142172;23.94629219;0.398826897
739;99.40541454;24.04700639;0.353095043
741;96.07065189;23.91603963;0.296559636
743;92.92583855;23.90542521;0.31254631
745;92.13923333;23.82706413;0.273261767
747;90.82389334;23.84984651;0.250403586
749;86.728216;23.76251717;0.272025225
751;84.58455949;23.53586246;0.278005676
753;83.84052445;23.60761335;0.217282278
755;84.06096024;23.53844095;0.209878311
757;81.83805475;23.58556168;0.232431867
759;79.35606044;23.64453109;0.221215247
761;78.15830812;23.41158789;0.202510769
763;77.7029532;23.46163342;0.205312619
765;75.10916652;23.29060419;0.209588934
767;75.75092018;23.29737886;0.211537429
769;76.12491093;23.07980527;0.184647498
771;73.89219712;23.24942757;0.193329823
773;73.57882117;23.36237485;0.22382783
775;73.12738588;22.87575304;0.228826365
777;72.15891228;23.40550873;0.204800821
779;70.5381912;23.12415556;0.238138605
781;70.74532603;23.06866947;0.237039823
783;71.43335167;23.03189884;0.195050097
785;69.01368772;22.80648851;0.174658385
