Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
80% wool, 20 % Nylon;Glue;Plywood;;IN16-3;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:15:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;7;327.81;152.07;;;110.28;90.99;14.98;;2312.31;;199.00;0.0088;Raising. Glowing. Unidentifiable end flame.
;2011-03-02;c_LSFIRE_IN-16-3_50c;22.0;;;;;;;;;;;11.21;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.891649586;110.28;0.20160069
3;8.360477381;110.1666972;0.66702735
5;6.403458007;110.2498849;0.904155804
7;4.859838898;110.1065104;1.247038857
9;44.53756396;110.1565767;1.816805918
11;100.1719984;109.9031629;2.598704256
13;157.9139914;109.5875384;3.076807045
15;214.8503148;109.2879922;3.980490845
17;261.6520235;108.970519;4.894251367
19;298.5021546;108.700687;5.660836906
21;322.0042944;107.6232695;5.840319896
23;327.8105645;108.0142482;5.734044479
25;301.9943341;107.5921502;5.39352639
27;289.1199965;107.305983;5.014163943
29;274.3210996;107.9902991;4.390233954
31;256.7551514;107.008203;4.275421999
33;257.9359554;106.7444989;4.156980037
35;248.4968535;106.4135752;4.010919557
37;236.3013225;106.2897401;3.701491106
39;227.7753397;106.153135;3.555946751
41;222.2830051;105.9731833;3.239247519
43;212.5414769;105.8631989;2.907295882
45;198.722395;105.6399779;2.522268032
47;186.6369957;105.5059397;2.176203533
49;174.8872002;105.147111;1.803185465
51;162.2590361;105.0134408;1.39927136
53;153.1164666;104.8734667;1.126929989
55;142.292367;104.7681179;0.972908315
57;136.6342862;104.6276022;0.793047521
59;131.7052997;104.3909191;0.671197817
61;126.3152758;104.2965527;0.599450636
63;120.714423;104.0711968;0.530748569
65;119.9006045;104.1132706;0.483382126
67;119.35079;103.9267362;0.505797349
69;117.7523014;104.048263;0.494667258
71;116.7196007;103.5618365;0.5120226
73;115.7223157;103.4814579;0.564151908
75;117.7081195;103.3657257;0.656592743
77;115.8761761;103.1785489;0.715819949
79;119.7432355;103.0942254;0.788111312
81;120.4533399;102.9566653;0.815698882
83;121.8431509;102.8679213;0.924091478
85;120.9838495;102.5475798;0.985107037
87;127.3455475;102.4159281;1.162132827
89;128.3254338;102.3045175;1.341632982
91;132.036717;102.1791307;1.526670618
93;133.1719549;101.9564629;1.721944582
95;136.2019895;101.6850407;1.989971751
97;138.7686826;101.6112882;2.102048908
99;142.2869792;101.5209462;2.275807761
101;145.4786028;101.4233869;2.490515151
103;147.0990092;101.1644163;2.610738766
105;154.3598752;101.0182241;2.667941429
107;153.3227254;100.802546;2.847707659
109;157.3694549;100.6525725;2.984889774
111;160.335548;100.5242826;3.137379145
113;164.6171575;100.2863373;3.367350884
115;169.7994251;100.0534114;3.559675761
117;174.3097798;99.9053305;3.671583466
119;175.8649794;99.5937229;3.877810445
121;178.5184487;99.5109471;3.907596053
123;179.994268;99.3971345;3.889958035
125;182.056257;99.0493268;3.86826793
127;184.2421444;98.7717097;3.754394285
129;182.5989262;98.6779626;3.658386091
131;179.1595338;98.4777419;3.773269769
133;187.71654;98.3535899;3.818412462
135;188.6386371;98.0524085;3.882602737
137;187.0491622;97.954105;4.031144618
139;193.8804885;97.7664463;4.086209259
141;194.4861767;97.5522104;4.167099458
143;195.1776061;97.3691043;4.336770355
145;197.5891891;97.1240674;4.441798413
147;197.156352;96.8930733;4.531913105
149;192.8469799;96.698052;4.628490217
151;196.1145886;96.4829928;4.772656965
153;195.8949381;96.2447151;4.99536764
155;196.1604158;96.0572759;5.01681363
157;199.0407802;95.8042026;5.066503059
159;198.1190954;95.7068473;5.090548817
161;196.0364654;95.4375521;5.075351095
163;197.0658373;95.1469461;4.991661174
165;197.1449631;94.8279368;4.939108507
167;196.0737282;94.8344495;5.068147947
169;196.9770432;94.5157301;5.23258346
171;197.1634779;94.3394932;5.261667562
173;200.1723636;93.7390661;5.166728605
175;201.555084;93.7880515;5.386510754
177;205.9190163;93.3930136;5.405366212
179;199.1003595;93.467574;5.320738703
181;204.8777554;93.221053;5.358856756
183;203.2533898;92.9300351;5.29542352
185;205.1105219;92.6543892;5.172789429
187;210.4677857;92.3352829;5.342057094
189;204.4974371;92.197051;5.404479729
191;215.0441672;91.9085966;5.439464491
193;212.5678858;91.7883542;5.607360838
195;217.096807;91.4572497;5.798242392
197;211.3459035;91.1657206;5.797825547
199;218.6616001;90.8564888;5.844450423
201;222.3792508;90.6515105;5.730347906
203;226.4906511;90.4199256;5.842391265
205;227.2868779;90.2410586;6.006911115
207;224.3313518;89.8702394;6.06029587
209;223.3381245;89.5576609;6.164190412
211;223.9523548;89.3106894;6.37205196
213;227.4747704;89.1120469;6.478360332
215;226.4961829;88.8877473;6.496698184
217;228.6940773;88.5355659;6.372524447
219;230.1573099;88.3759653;6.506627539
221;234.2092529;88.1109464;6.540081887
223;235.9849346;87.6912494;6.566052394
225;232.6775498;87.4697854;6.637328464
227;239.9265036;87.222046;6.922558099
229;236.4913135;87.0804798;7.059604122
231;243.1268978;86.8306303;7.063654297
233;241.3587933;86.4438883;6.957149481
235;243.5382626;86.0451336;7.044489327
237;238.8065525;85.8625215;7.155284121
239;234.6200595;85.5772905;6.964864223
241;240.1075499;85.4010546;6.830361104
243;231.3517376;85.1719256;6.948585562
245;225.4008961;84.8079225;6.572072528
247;229.6311475;84.5712105;6.287251014
249;216.1892669;84.3887083;6.352610131
251;213.0276586;84.0815756;6.417073394
253;207.195403;83.9256778;6.110688167
255;204.956895;83.6258672;5.858202277
257;202.4341621;83.4573238;5.564055163
259;190.6856651;83.1705841;4.873751516
261;184.5543383;83.0294153;4.463714303
263;180.5909796;82.8228589;4.311589474
265;177.7433007;82.6118593;4.149125748
267;173.6392504;82.3927833;3.929160189
269;169.2576645;82.1704834;3.884053416
271;163.5698155;81.8190829;3.683448856
273;162.8821711;81.6947818;3.288353989
275;160.8436822;81.6428615;3.104756382
277;160.9733468;81.34709712;2.87948818
279;155.8891137;81.13254527;2.684959116
281;158.8107055;80.81115037;2.551855691
283;154.9797829;80.6164701;2.522348575
285;155.7322146;80.44647497;2.512664684
287;152.5495552;80.27967425;2.393886779
289;150.3419749;80.06808577;2.363248911
291;150.3879428;79.8035892;2.222767533
293;150.7585692;79.72149882;2.042447569
295;146.1789729;79.39489294;1.885505469
297;150.5754849;79.15524501;1.882442883
299;147.5289077;79.03770459;1.85790379
301;145.9483316;78.67610109;1.860098372
303;144.2862783;78.48668679;1.899265604
305;147.4113228;78.32745704;1.801531685
307;146.4794202;77.98698687;1.763317706
309;145.7789503;77.73414652;1.730260338
311;145.7183201;77.69109946;1.734950834
313;147.0574996;77.520336;1.707003799
315;145.0219152;77.13090697;1.696187056
317;142.8588772;76.94331681;1.663740147
319;144.3449978;76.71048503;1.580257453
321;145.1827135;76.5507199;1.599568809
323;142.9929086;76.3459876;1.649170795
325;139.4222595;76.1534199;1.71092296
327;140.8379803;75.75223818;1.652068038
329;141.4617429;75.5559677;1.665651249
331;138.1479498;75.444996;1.612413126
333;138.9875181;75.17999203;1.564191722
335;136.1873983;75.11014823;1.546428712
337;137.4588779;74.84289472;1.528875728
339;135.8532056;75.03606629;1.517745354
341;135.627668;74.69163241;1.45193464
343;134.3268085;74.21667165;1.375936168
345;132.0640726;74.06192555;1.318338686
347;133.420783;73.77500737;1.315248542
349;134.5147602;73.62197592;1.236630063
351;133.6026178;73.35340615;1.246681755
353;132.9680249;73.16635136;1.28302206
355;133.9422921;72.83971751;1.274545539
357;134.0673228;72.62810105;1.309061909
359;133.7083222;72.47288903;1.38424641
361;135.6206664;72.20191924;1.411313252
363;137.4588538;72.09229225;1.389273818
365;138.7395188;71.87875616;1.408706696
367;137.3978485;71.64641828;1.381546226
369;136.4841785;71.33706402;1.426971759
371;136.9488018;71.1696464;1.501385963
373;138.7649689;70.96512005;1.491486416
375;137.3311454;70.73917243;1.542623148
377;138.814098;70.5380884;1.501169189
379;141.8969787;70.3624289;1.454155663
381;137.6694345;70.08501483;1.435007039
383;137.2186289;69.89354344;1.431852553
385;138.7308579;69.72415169;1.402067397
387;137.2936271;69.5712712;1.446233581
389;134.6518864;69.26751234;1.418457471
391;136.4806967;69.2071442;1.310061117
393;135.9082748;69.1026872;1.29801904
395;132.3810318;68.43558269;1.22740888
397;134.0768705;68.32775233;1.189872663
399;131.5580651;68.12370541;1.181682018
401;130.3850811;67.92913511;1.196513628
403;131.7742455;67.75864705;1.12774117
405;132.6941503;67.5698916;1.106265868
407;130.4188387;67.3326572;1.116974847
409;129.5579136;67.30019755;1.137859317
411;128.1535574;66.9277457;1.128305948
413;128.0591881;66.88172128;1.207078446
415;130.4074102;66.52282022;1.216481936
417;131.7433112;66.31005102;1.213334217
419;129.9938706;65.90368725;1.214589771
421;133.0666767;65.93591636;1.228686568
423;131.8335004;65.89526884;1.1935502
425;131.5026884;66.02138153;1.291950228
427;135.2294099;65.0854608;1.314006688
429;136.7028376;65.15482468;1.374863964
431;136.0776407;64.80076225;1.417329056
433;133.8620739;64.58772054;1.485489306
435;139.7063537;64.44750964;1.45985608
437;141.0180061;64.15776603;1.476848863
439;141.1893966;63.86070128;1.448278484
441;138.9224531;63.68006424;1.478548063
443;140.8497868;63.66408835;1.49582592
445;141.9925479;63.29277768;1.500096729
447;141.8701624;62.8333809;1.519715158
449;142.8806991;62.86788463;1.521224525
451;146.3280803;62.68174721;1.579167935
453;145.4301712;62.51675663;1.599735578
455;151.6106442;61.97404969;1.645251646
457;150.0534617;61.93813469;1.646108832
459;149.1307259;61.77252771;1.639953419
461;146.6495436;61.49093048;1.601122306
463;150.0959846;61.1103747;1.544497508
465;149.1265742;61.02402061;1.561674605
467;149.6256991;60.74358722;1.622755218
469;152.2556444;60.58325923;1.691170623
471;149.5146783;60.38838699;1.653023947
473;150.4579982;60.03738585;1.681760583
475;153.1049025;59.7200381;1.682683081
477;154.9951396;59.60296505;1.68575953
479;150.7749438;59.28210408;1.694117069
481;154.0585714;58.98291037;1.702086569
483;154.0622319;58.75132828;1.727921683
485;151.4217311;58.51557461;1.784879681
487;153.7351476;58.34615488;1.79395465
489;155.5365685;58.17635172;1.747892545
491;153.7012892;57.76736896;1.789238856
493;153.7370602;57.30673744;1.866166211
495;156.1383139;57.25808437;1.839391143
497;156.6700845;57.12894078;1.8932121
499;156.8455866;56.95650125;1.889208887
501;154.0844058;56.69954865;1.925494423
503;158.6571043;56.57028351;1.909309536
505;158.7455959;56.23682386;1.914229258
507;157.7202539;56.01362257;1.935300589
509;158.3093326;55.7885407;2.067311855
511;160.4463338;55.51629614;2.055542369
513;157.091407;55.22389254;2.059884936
515;159.4524333;54.94906612;2.060782001
517;159.2753662;54.75186284;2.07928409
519;159.6449294;54.48980922;2.081689052
521;160.1461845;54.31391724;2.125984245
523;162.5035845;53.97948234;2.208181254
525;161.167678;53.77807081;2.337265185
527;167.979462;53.39283749;2.347554674
529;166.9851217;53.31602851;2.432770746
531;166.3109631;53.02614792;2.528213817
533;168.8172439;52.84326182;2.546373253
535;170.3245267;52.47215324;2.602174762
537;168.3961002;52.21380287;2.582586716
539;170.0124951;51.90813595;2.605516081
541;171.147541;51.71010983;2.661255593
543;167.1452798;51.48855083;2.631560437
545;173.2122197;51.20836825;2.601302955
547;170.5599096;50.90971088;2.68005228
549;173.7281939;50.59978121;2.68671177
551;172.8367297;50.41526487;2.633498386
553;174.081503;50.18608136;2.690520124
555;174.3616678;50.01297527;2.710184908
557;174.5349173;49.65881685;2.758982817
559;173.1547778;49.38427983;2.756312875
561;174.915063;49.13679806;2.850447513
563;172.9688304;48.7509329;2.818444293
565;176.0022544;48.71563382;2.943491731
567;173.768709;48.41091948;2.927429597
569;177.8775505;48.04864652;2.944513127
571;173.0849;47.71874928;2.915954035
573;177.4839548;47.54320265;3.008402026
575;175.7301798;47.2938871;2.914763093
577;178.1363775;47.0732884;3.048507193
579;175.2595179;46.72435689;2.996361017
581;178.5442483;46.38055389;3.04833705
583;180.5523313;46.24900545;3.060900144
585;181.6707468;45.915022;3.071131793
587;178.8100349;45.7392945;2.932141881
589;179.1774644;45.38312192;3.006601522
591;183.704263;45.09344969;2.949915968
593;181.5036314;44.88254418;3.073956405
595;184.93505;44.66062923;3.038497588
597;181.7075606;44.30531807;3.164454557
599;183.3813249;44.10095619;3.226025084
601;187.2859852;43.65991218;3.299007297
603;184.1145938;43.52329648;3.173279039
605;181.4591828;43.17513283;3.231895214
607;187.5584836;43.02164896;3.210285478
609;184.8268019;42.690803;3.093088833
611;185.1413461;42.34302327;3.082969517
613;188.2318886;42.06252863;3.119501229
615;188.4606283;41.80222583;3.193523029
617;188.6892717;41.59575235;3.117926524
619;188.3210568;41.23914134;3.143420113
621;188.0768;40.93705564;3.209530144
623;187.802249;40.64307775;3.189032702
625;194.3532806;40.40596779;3.112375227
627;192.3177993;40.30062958;3.245523203
629;190.3892034;40.01892287;3.297648372
631;198.2687413;39.56251406;3.205020127
633;192.0052688;39.32835542;3.170893963
635;194.8941675;39.02576522;3.177780047
637;196.9526483;38.8296867;3.069309193
639;196.4671692;38.52828686;3.073787482
641;190.0936764;38.13466551;3.099544304
643;194.949695;37.83613934;3.190238543
645;198.763059;37.59069151;3.179935464
647;197.5873217;37.35196337;3.247614201
649;199.4303805;37.05411196;3.268882202
651;202.0600498;36.72467052;3.263036989
653;198.2578359;36.49457156;3.234951471
655;198.6483172;36.16640248;3.303543158
657;199.0244079;35.8676255;3.274030803
659;199.9452718;35.6400158;3.285285676
661;199.582687;35.36206635;3.314391797
663;199.9350185;35.18003059;3.279557826
665;200.7883618;34.73650166;3.272416394
667;204.2977168;34.4117064;3.253133151
669;206.1882469;34.1161108;3.321608828
671;204.508658;33.94173428;3.31214686
673;201.975636;33.57432702;3.362340131
675;202.9089089;33.33630162;3.389605213
677;200.1027986;33.0857248;3.331396286
679;202.6433449;32.68938123;3.2681986
681;201.3376838;32.42799804;3.33473298
683;200.1285434;32.32037315;3.350928055
685;204.7094872;31.98386621;3.270582823
687;203.9013199;31.75035628;3.394872582
689;200.2798525;31.38163229;3.342428368
691;200.3789763;31.10006256;3.286903246
693;194.609985;30.926437;3.184825612
695;200.137537;30.6329366;3.140273003
697;197.0271355;30.26184345;3.034924266
699;195.4980519;30.09515752;3.048949069
701;193.6373479;29.74225169;2.969654466
703;190.3298084;29.61704528;2.996100886
705;188.9421106;29.43596981;2.977983346
707;186.7804554;29.06293918;2.976282818
709;185.4091738;28.8330428;2.914916628
711;183.5710914;28.3607155;2.891437583
713;178.2923612;28.53220149;2.905935633
715;178.5154636;28.33410109;2.87891642
717;173.8841945;28.21242284;2.73497857
719;171.5323644;27.79941126;2.636793117
721;169.1935835;27.57321765;2.496734878
723;167.561075;27.4403491;2.274719679
725;164.3320078;27.32653557;2.114439555
727;159.2975438;27.09526747;2.032832055
729;154.3786428;26.93934258;1.882444979
731;150.6192878;26.71404609;1.759678162
733;151.637507;26.61485891;1.656378291
735;146.6728644;26.4516833;1.585877407
737;143.0625304;26.33818906;1.47039167
739;139.5804289;26.19536446;1.401266623
741;138.2892264;26.11489275;1.366162058
743;135.28639;25.90204638;1.291427275
745;132.9944321;25.72722419;1.178774334
747;127.9867575;25.71079492;1.148556705
749;122.7053185;25.70980761;1.084980543
751;122.8193251;25.54913814;1.039452858
753;117.4428011;25.2837406;1.047768453
755;117.9353037;25.1779712;1.03290944
757;114.9469775;25.21011589;0.953034409
759;113.7609163;25.16543666;0.882191036
761;110.1724136;24.98870449;0.789179139
763;109.682286;24.89995905;0.707736559
765;106.5384715;24.84943748;0.627631483
767;106.0325776;24.84554275;0.573601451
769;104.3309353;24.67307958;0.508671267
771;99.24891435;24.53202992;0.445941871
773;98.55462286;24.44239702;0.361853845
775;96.21609558;24.44321021;0.351568672
777;94.46565526;24.45011269;0.329073736
779;91.87179032;24.300075;0.326100883
781;90.61067339;24.31472113;0.321342753
783;89.17891475;24.2275389;0.324276406
785;85.26388477;24.11686961;0.31117311
787;85.52588813;24.23833708;0.302107166
789;83.17369243;23.9907955;0.298119831
791;82.47892348;24.07202591;0.296801911
793;80.91646489;23.98132322;0.315557434
795;78.01633236;23.97819682;0.293111526
797;77.58673529;23.98389205;0.268759487
799;78.49647364;23.88371757;0.26094688
801;76.17481586;23.81529565;0.255900682
803;75.91509208;23.92089961;0.255226016
805;74.69172398;23.79080296;0.263887697
807;73.41524362;23.7245293;0.275190903
809;72.22823282;23.70488151;0.282742643
811;71.42960857;23.63107449;0.296333854
813;71.0283859;23.6001819;0.26169352
815;70.30361683;23.60745962;0.241080708
817;69.30040498;23.50432272;0.248430594
819;68.93994276;23.47759062;0.257428929
821;68.87009236;23.45499055;0.252405004
823;67.27784852;23.45808994;0.269902074
825;66.85948452;23.42773706;0.277664941
827;67.22259672;23.33229944;0.263137155
829;65.70953891;23.30218386;0.275395633
831;64.59364356;23.23050677;0.291258569
833;63.55608382;23.39663466;0.295251013
835;64.33667356;23.38820467;0.278100301
837;62.58583209;23.42211369;0.272011017
839;62.94697744;23.2534898;0.247096843
841;62.17140984;23.04816858;0.23116577
843;62.36155678;22.99723608;0.25660969
845;62.12263883;23.14444834;0.303749819
847;61.30243232;23.16690178;0.306409199
849;61.08489141;23.03521347;0.30744297
851;60.16409113;23.04289297;0.300316079
853;60.57749616;22.93003877;0.274895655
855;59.72728532;22.88127284;0.281798565
857;57.98940692;22.8987444;0.316908166
859;58.56385906;22.96682821;0.330893354
861;57.8145601;22.8777167;0.324240963
863;58.37422148;22.74118348;0.310552746
865;57.79626207;22.73848586;0.296656043
867;58.06456341;22.75299502;0.277710714
869;57.21740944;22.80298555;0.258507091
871;57.02878463;22.94722624;0.25254968
873;55.00341071;22.23708577;0.253651321
875;55.29080156;22.60776702;0.203156408
877;55.43131326;22.64362413;0.210327244
879;55.67027288;22.51194498;0.244305267
881;55.30692904;22.64409873;0.245045109
883;54.94817922;22.52938809;0.234466325
885;54.83852869;22.51893814;0.269957157
887;53.33480728;22.46270301;0.238775627
889;53.91617354;22.34848577;0.21989997
891;53.85118368;22.33237677;0.240702267
893;53.82150537;22.38514691;0.273410161
895;52.56326595;22.37923174;0.275703141
897;53.03487511;22.39159312;0.281967918
899;53.59968652;22.3300187;0.267815403
901;53.11432721;22.18266078;0.275799493
903;52.36153342;22.31419282;0.271697234
905;51.62428244;22.26549972;0.282300687
