Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
80% wool, 20 % Nylon;Glue;Plywood;;IN16-3;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:17:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;3;397.14;150.32;;;110.81;94.02;14.24;;2396.17;;289.89;0.0088;Raising. Glowing. End flame at 765s.
;2011-03-01;c_LSFIRE_IN-16-3_75a;22.0;;;;;;;;;;;11.21;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;-11.25906009;110.81;0.362987212
3;-21.69654349;110.23178;0.905533143
5;26.65170303;109.9911459;1.873910701
7;126.6173917;110.3794846;3.423905022
9;252.100744;109.4647918;5.222831576
11;353.8647092;109.0606164;6.281417584
13;396.1886267;108.5640147;6.849609862
15;385.9655701;108.1102496;6.942516048
17;397.1413467;107.7105838;6.643941773
19;389.3263338;107.6630792;5.956899708
21;386.5611752;107.3687288;5.894873869
23;385.7010656;106.6834025;5.914221461
25;380.5454444;106.3492937;5.737061337
27;363.1080253;106.4310972;5.330524917
29;340.9243047;106.1405792;5.108199732
31;331.775565;105.3599494;4.574074971
33;298.2832735;105.0072257;4.068863914
35;281.4896745;104.7817136;3.758982946
37;262.4104903;104.845218;3.330512237
39;241.6120857;104.5081889;2.79591007
41;227.5348611;104.2550216;2.452180087
43;216.5088919;103.7674328;2.230154284
45;204.7330599;103.8849545;2.151819202
47;200.8918187;103.5248662;2.057284032
49;197.6986728;103.360484;2.083884444
51;193.3567559;102.9450843;2.151305764
53;192.8105461;102.8338179;2.131961195
55;193.8170223;102.4015404;2.07104284
57;194.7912016;102.2069758;2.293993701
59;198.535834;102.0838524;2.453444464
61;202.751982;101.5352979;2.70575016
63;203.6948412;101.411826;3.053361755
65;213.9353589;101.6015268;3.374387211
67;215.4697111;100.9013369;3.662067936
69;218.186579;100.9740238;3.865152521
71;223.0256423;100.6701905;3.983717366
73;229.834851;99.9162766;4.100773872
75;238.4542664;100.1269558;4.176806435
77;239.8648141;99.7832014;4.198443924
79;241.2357219;99.5761793;4.260656255
81;238.1834292;99.0333065;4.496999395
83;244.5643459;98.780647;4.669204523
85;247.5475954;98.6305788;4.857836688
87;243.6885135;97.9243995;5.057106859
89;251.9461375;97.6807241;5.235543813
91;250.2791572;98.3959769;5.399281626
93;246.0719854;97.3625451;5.539868135
95;254.2920229;97.1267931;5.675899525
97;253.8202365;96.8117139;5.649716747
99;254.3184535;96.3560336;5.982167321
101;256.1435097;96.5460622;5.768338119
103;256.1489645;95.8787513;5.960858296
105;252.5889066;96.1633419;5.853001046
107;255.0758038;95.5829931;5.967287867
109;253.1271711;95.0009369;5.815344637
111;251.8505131;95.0010344;5.860646748
113;250.9716075;94.5434316;5.566266633
115;252.232456;94.3564174;5.661238617
117;255.0895982;94.3924352;5.806254687
119;256.5685723;94.162856;5.946773771
121;265.1382193;93.5696902;6.044559592
123;260.3373968;93.5588816;6.252047788
125;269.7804414;92.9724732;6.448367041
127;261.2856916;92.6245697;6.515081243
129;267.2629198;92.5544216;6.525032446
131;272.5865368;92.0979896;6.909864399
133;280.0299187;91.6465284;6.974211903
135;284.1161632;91.3535854;6.976281408
137;288.4282141;90.9866024;6.798777077
139;292.1089778;91.0430489;7.075675992
141;294.4599928;90.5160742;6.975452827
143;295.114402;90.0165588;7.127804165
145;305.0311196;89.6532612;7.296599458
147;308.3287923;89.5306664;7.677880847
149;307.1912431;88.9563228;7.722081863
151;308.330624;88.5231372;8.119652273
153;310.3138589;88.3150664;8.339329349
155;315.6850486;87.6374384;8.638861256
157;320.5023297;87.48632;8.764322587
159;321.1952556;87.1450198;8.800525557
161;302.2981297;86.9229612;8.65597263
163;309.7007061;86.4878206;8.665353057
165;306.2004888;86.44191;8.390167196
167;309.2641839;85.7098553;8.30181609
169;306.0347842;85.3649254;8.047585103
171;295.0511457;84.9178736;8.204439622
173;302.8365539;84.6201387;8.414535958
175;300.704892;84.57764;8.535153196
177;305.0031162;83.9259838;8.791121303
179;301.3663868;83.6753187;9.329726463
181;299.529646;83.1050964;9.306095366
183;299.7313955;82.9617008;9.213676866
185;295.6011167;82.5978027;9.163866703
187;277.7358315;82.11078892;8.94236033
189;272.1895799;82.00302796;8.270161967
