Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
80% wool, 20 % Nylon;Glue;Plywood;;IN16-3;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:19:44
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;3;433.11;152.72;;;111.42;95.27;14.32;;2544.01;;294.43;0.0088;Raising. Glowing. End flame at 807s.
;2011-03-01;c_LSFIRE_IN-16-3_75b;22.0;;;;;;;;;;;11.21;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;-5.223757817;111.42;0.26606745
3;-20.44043376;111.277552;0.842892815
5;24.26332195;111.2174195;1.735181128
7;117.6289213;110.9757086;2.838411957
9;236.0606159;110.2408872;4.513703684
11;359.7614436;110.4226435;5.989169121
13;422.356638;109.7285625;6.949077406
15;433.1097805;109.0008542;7.348534531
17;413.7660441;108.7708785;7.356990304
19;387.6355142;108.3428405;7.008286652
21;384.3799502;108.112008;6.513774653
23;374.758041;107.5636651;6.034336922
25;380.250134;107.2150713;5.803711935
27;361.3533122;107.0355096;5.619764483
29;352.4484157;106.5934857;5.063103349
31;327.8492675;106.3490328;4.730611535
33;310.1061237;106.010604;4.257914316
35;285.2977819;105.9435677;3.580250519
37;263.2159254;105.6808272;3.184236768
39;242.9404785;105.6231533;2.794637507
41;228.5269872;105.0200189;2.43916252
43;217.2720303;105.0766939;2.34997462
45;207.6560817;104.4126648;2.591525631
47;208.1264915;104.5669785;2.549862092
49;200.3762175;104.1439901;2.576776474
51;208.3249572;103.8254318;2.709973234
53;205.5333706;103.7578224;2.780209216
55;208.713173;103.6769045;2.767533314
57;214.4148447;103.1754821;2.78068416
59;216.3415749;102.8085729;2.931165789
61;217.7438818;102.5062555;3.018264688
63;221.9924295;101.8967064;3.197314002
65;223.3315634;101.9944493;3.339327471
67;227.2833889;101.7646267;3.687355635
69;227.6829973;101.319923;3.991823745
71;234.0831785;101.0012942;4.155231821
73;238.0756396;100.7466878;4.376443703
75;239.1419859;100.7646163;4.564191131
77;242.5031483;100.3541448;4.567789705
79;242.2881582;100.1138409;4.77767577
81;241.4948201;99.8981414;4.923887203
83;253.2756592;99.8988437;5.01286472
85;253.6694947;99.265139;5.082017783
87;255.2699093;99.0116361;5.399827019
89;262.7086681;98.3897227;5.34973707
91;259.0493325;98.6235849;5.601884777
93;258.0205768;98.2824384;5.701725469
95;259.0933538;97.7895091;5.914968292
97;261.9841605;97.5991934;5.839786879
99;267.1318249;97.5308904;5.970333897
101;260.2309738;96.9866971;6.068796917
103;269.8497282;97.2650889;6.361896562
105;266.7004037;96.6338294;6.389449428
107;273.177604;96.1852229;6.550100273
109;268.6461564;95.870447;6.814413865
111;276.2705854;95.6148307;6.765413043
113;269.5141197;94.7591371;6.619315291
115;278.265359;94.9719125;7.082094955
117;278.6979284;94.6421904;7.126745878
119;282.4737028;94.3406918;7.118916754
121;279.5252749;94.381728;7.535502557
123;284.8485995;93.6513024;7.682534883
125;281.6437487;93.0381389;7.315544438
127;288.9408185;92.7914328;7.536292339
129;292.3034155;92.5161797;7.714571024
131;299.4313279;92.1632299;7.588442839
133;294.8543356;92.2489233;7.718816237
135;306.0305377;91.4977147;8.180905166
137;303.7932208;91.1782953;8.153177112
139;307.4161408;90.6376238;8.524580757
141;302.155552;90.315587;8.754393222
143;314.6490091;90.1517361;9.11169496
145;315.3305178;89.6179608;9.319878802
147;319.3617116;89.3755128;9.669649716
149;332.1008608;88.9838318;9.637074017
151;320.473334;88.5287573;9.95193501
153;320.5245451;88.4496965;10.01405737
155;329.0367804;87.653903;9.881044057
157;328.8888987;87.427656;9.909391763
159;329.36339;86.5203878;10.16959436
161;322.6776556;87.0178089;10.05106163
163;314.2940977;86.5672656;9.92359434
165;315.6630645;86.122536;9.596376559
167;312.8500457;85.4595989;9.403552531
169;301.1425191;85.0764341;8.824878945
171;303.0894542;84.8932877;8.55318259
173;301.3087621;84.8120981;8.229822374
175;291.1988965;84.3120566;8.414065064
177;288.6254144;83.8497221;8.306932171
179;285.8621453;83.3292096;8.073573757
181;272.5431937;82.80281422;7.983526055
183;272.66919;82.55768062;7.654583929
185;269.3275887;82.36171774;7.364558233
187;269.2879752;81.98399758;7.280635505
189;263.9842088;81.90616558;7.168789185
191;266.8158158;81.58524574;6.824724486
193;263.2476999;81.11978686;6.907739535
195;260.2416883;80.73781006;6.779857598
197;255.7736744;80.6021131;6.366080839
199;245.5588368;80.2239019;6.42930777
201;236.2826096;80.07992158;6.398092708
203;239.4190774;79.05167038;6.185456209
205;235.74038;79.0665187;5.869821156
207;224.0008696;78.82871278;5.76703503
209;223.3073304;78.6328867;5.113113655
211;216.4901253;78.3959947;4.777080613
213;216.1746287;78.11721838;4.461982021
215;207.2303148;77.93719582;4.320822672
217;201.9927225;77.22672478;4.17655611
219;204.4103195;76.72358542;4.231416574
221;202.2037017;76.6047979;4.02661684
223;198.2656164;76.3506691;3.903760495
225;197.6788138;75.82842382;3.705221253
227;196.6892514;75.99892078;3.516937456
229;185.6773683;75.3087979;3.400757357
231;186.3982206;75.03205582;3.386972821
233;187.246565;74.93652382;3.235593033
235;181.7350737;74.38616398;3.146413167
237;180.3688276;73.7328211;2.966912548
239;177.3056163;74.16390238;2.849321732
241;175.4108849;73.99337806;2.704687919
243;175.7741199;73.65493534;2.68601839
245;175.5776899;73.06958398;2.526349757
247;175.9322401;73.11346078;2.42658009
249;171.4698736;73.04331262;2.267715517
251;169.2340931;72.34315966;2.119804285
253;164.6085277;72.1007947;1.957127041
255;169.4940795;71.91498526;1.831173273
257;163.1872421;71.71090174;1.812859371
259;161.7867022;71.1133363;1.803650088
261;163.3194469;71.18525806;1.73610473
263;163.3701768;70.5276163;1.693870832
265;162.9948684;70.48809358;1.732014801
267;159.5681556;70.22013982;1.688401651
269;160.5496028;70.17506254;1.673646764
271;159.4655808;69.69487822;1.769073897
273;159.1644681;69.68592574;1.723634686
275;159.0181499;69.23307694;1.666575436
277;156.3448845;68.93963038;1.699887829
279;155.0854473;68.69094718;1.616911771
281;155.9802876;68.24829262;1.560407322
283;155.9681779;68.01066382;1.593425669
285;155.7243509;68.1775171;1.615355168
287;153.5134297;67.8183715;1.544125301
289;155.5832359;67.36590526;1.616332906
291;152.1722935;66.95383486;1.555399302
293;154.6246574;67.03705678;1.624409724
295;155.3862105;66.3321547;1.588288491
297;156.6016611;66.53670238;1.6253051
299;156.1574319;66.07004254;1.582657993
301;156.9305253;65.82845614;1.56817575
303;155.5111671;65.43104302;1.56686783
305;153.2104657;65.39145406;1.625159892
307;155.8014741;64.81744366;1.630101066
309;158.7323973;64.72696126;1.676460009
311;160.356673;64.40946814;1.786401257
313;157.8842186;63.8283451;1.859094317
315;156.88942;64.19720734;1.939574743
317;157.9122041;63.31125886;1.962115445
319;160.8598301;63.39216094;2.028795076
321;162.2743945;62.62846606;2.107591029
323;162.8416821;62.7022147;2.074893545
325;163.1576446;62.30837758;2.142354926
327;164.2597877;62.13920446;2.307817368
329;162.7844302;61.8347851;2.312618356
331;165.1376565;61.50335854;2.34965794
333;166.5644376;61.49507374;2.437501658
335;170.4093482;61.15226302;2.420866797
337;168.3188068;60.63040078;2.412817087
339;170.5000441;60.4347091;2.45253297
341;171.3886437;59.85311086;2.437616685
343;172.692505;60.01002862;2.411510166
345;170.8247058;59.57026702;2.48616876
347;172.6391185;59.09385022;2.477414619
349;174.8256979;59.00814718;2.497716044
351;172.4581463;58.13625598;2.484193774
353;171.5999038;58.30159534;2.558227914
355;172.2571019;57.88444606;2.527959148
357;173.2882909;57.61914046;2.547806054
359;174.6302612;57.51148942;2.457017773
361;175.5792425;57.31792702;2.479672567
363;170.155497;57.04200334;2.374241531
365;173.589534;56.5676467;2.347709201
367;169.883123;56.47730062;2.285824034
369;169.6720935;56.01571774;2.372377194
371;172.9809958;55.99946782;2.392711026
373;170.6967275;55.57682254;2.407731979
375;172.052412;55.22108926;2.341132767
377;170.72994;54.9236179;2.363703224
379;173.0237169;54.5527603;2.371909084
381;172.4538997;54.45695518;2.355660777
383;172.2584857;54.24269086;2.423364993
385;177.4297492;53.67226846;2.509145775
387;172.2340011;53.1125059;2.521105559
389;175.4962984;53.48779486;2.563259658
391;175.2306024;52.4518195;2.56859936
