Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
80% wool, 20 % Nylon;Glue;Plywood;;IN16-3;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:21:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;3;421.62;152.23;;;112.46;95.98;14.88;;2501.35;;292.90;0.0088;Raising. Glowing. End flame at 725s.
;2011-03-01;c_LSFIRE_IN-16-3_75c;22.0;;;;;;;;;;;11.21;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;-0.966372175;112.46;0.246824976
3;-5.077871299;112.4167002;0.79308273
5;39.39949324;111.9772098;1.698342404
7;128.2920725;112.2722494;2.920259172
9;232.3995821;111.357765;4.315602364
11;334.0704146;111.0880755;5.695254951
13;386.9041712;110.9955733;6.691986988
15;421.6247016;110.3383693;7.155609559
17;411.2065473;109.7180302;7.062080559
19;401.9771782;109.3987962;7.019939293
21;402.9849669;108.6363978;6.777575748
23;380.2698972;108.1725502;6.499460349
25;369.901527;108.2877944;6.029317047
27;355.4481708;107.6444125;5.83659684
29;339.1030533;107.7278086;5.284044562
31;319.301521;107.2936851;4.905170275
33;316.1193541;106.4547738;4.364792588
35;291.8267218;106.637731;4.003687073
37;266.2480224;106.5791288;3.585746267
39;247.9189684;106.0162995;3.20839087
41;229.6242609;106.1919142;2.757467458
43;219.4920662;105.6001794;2.461278269
45;209.1286512;105.3483138;2.387478595
47;201.6338188;105.1171976;2.328116331
49;198.1713469;104.8063645;2.402933282
51;200.9652863;104.7256539;2.629807471
53;204.1600266;104.3736872;2.718831665
55;202.8049125;103.7925699;2.849877733
57;213.717674;104.03384;2.946737957
59;211.3440125;103.3637912;3.215602631
61;221.3780561;103.2187899;3.383521741
