Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-6;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:49:01
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;96;298.41;109.21;;;147.13;62.65;25.18;;2285.50;;106.47;0.0088;Flashing from 91s. Projection of particles. Intumescence after ignition. Glowing. End flame > 1200s.
;2011-03-08;c_LSFIRE_IN-16-6_35a;15.0;15.0;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.919449846;147.13;0.026990875
3;4.376450659;147.1076017;0.026990875
5;4.272051996;147.0567712;0.026990875
7;4.317292993;147.121573;0.026990875
9;4.975975738;146.6883782;0
11;5.018200042;147.1653864;0
13;4.633563251;147.2216029;0
15;4.029862401;146.8612795;0
17;3.155671955;147.5776964;0
19;2.317889471;147.3259737;0
21;1.673395503;147.1595529;0
23;1.510225246;147.2203855;0
25;0.887830132;147.173648;0
27;0.822838312;147.2562737;0
29;0.67112811;147.1415636;0
31;0.834906085;147.2099905;0
33;0.498291776;147.2002018;0
35;0.407532801;147.1669755;0
37;0.320238854;147.258558;0
39;0.098423658;147.298801;0.001079632
41;-0.031778572;147.2294866;0.001079632
43;-0.045274997;147.2121167;0.001079632
45;-0.044334276;147.1658543;0.001079632
47;-0.045084841;147.1905917;0.001079632
49;-0.044847831;147.1141639;0
51;-0.044235915;147.1186765;0
53;-0.044603782;147.09537;0
55;-0.044248483;147.1371957;0
57;-0.044640721;147.0853814;0
59;-0.045238496;147.1921256;0.012469261
61;-0.045372016;147.1797085;0.012469261
63;-0.045052648;147.2061249;0.026606792
65;-0.044920301;147.2188995;0.030566364
67;-0.043493816;147.1790761;0.054098164
69;-0.045223746;147.1780304;0.075076201
71;-0.044341242;147.1644438;0.105862942
