Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-6;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:54:05
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;85;333.94;122.10;;;149.86;69.26 ;25.35;;3076.93;;120.35;0.0088;Projection of particles. Intumescence after ignition. Glowing. End flame > 1200s.
;2011-03-08;c_LSFIRE_IN-16-6_35b;15.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;9.128173998;149.86;0
3;7.717801972;149.9212792;0
5;7.201860381;150.1126082;0
7;5.986260493;150.0942826;0
9;5.59119936;149.9397703;0
11;4.520560871;150.000857;0
13;3.568086651;149.8704356;0
15;2.767770236;149.7942837;0
17;1.882678796;150.0071444;0
19;1.688221252;150.0890403;0
21;0.975401464;149.9475989;0
23;0.909169525;149.9520219;0
25;0.352172573;149.873545;0
27;0.986183474;149.904171;0
29;1.144878958;149.9568853;0
31;1.421279778;150.0727441;0.0006355
33;1.411488679;150.0961605;0.0006355
35;1.073417909;150.088497;0.0006355
37;0.871142045;150.1058118;0.0006355
39;0.700513944;150.1054198;0.0006355
41;0.253330706;149.9258194;0
43;0.408281701;149.9785206;0
45;0.365772271;150.0118428;0
47;0.224961421;150.1082882;0.013664404
49;0.150148908;150.0552711;0.020315303
51;0.027711496;150.0695244;0.028916574
53;-0.002297695;149.9882681;0.028916574
55;-0.044628029;149.9071014;0.02905893
57;0.000510802;149.9237349;0.025955163
59;0.029400125;149.9183005;0.054979116
61;-0.085141187;149.9275115;0.097372784
63;-0.085333917;149.8139578;0.177578974
65;-0.085565586;150.0391529;0.315194498
67;-0.087697957;150.0384169;0.408922127
69;-0.085784191;149.8959433;0.610824233
71;-0.08634033;149.8408;0.849537988
73;0.005866138;149.8086541;1.104309622
75;0.193980004;149.8487524;1.444702893
77;0.250724562;150.081432;1.990057698
79;0.037736771;149.9087934;2.687194315
81;0.243303404;149.4902193;3.30640639
83;-5.128077889;149.5706777;4.706165034
85;-1.533620272;149.6956027;6.888296275
87;52.09126382;149.606291;9.037364226
89;135.5056969;149.2858815;11.01391769
91;208.3055881;149.2539693;13.14583867
93;250.6736024;148.8451499;14.34293157
95;290.3550097;148.5774416;14.65931431
97;302.272042;148.2682661;14.74825829
99;308.4459712;147.9354264;14.6717701
101;305.4514348;147.6990593;14.1439904
103;302.6784411;147.475598;13.86033674
105;293.7123016;147.356596;13.02149778
107;279.8239797;147.1937389;12.72104925
109;265.4311314;146.8522113;11.87483441
111;259.4110282;146.5935489;11.17500089
113;248.7633608;146.3845955;10.46868034
115;238.8396258;146.0163351;10.61007279
117;236.9343902;145.9720886;9.637730741
119;235.040464;145.753855;9.194756072
121;225.2206574;145.5603109;9.112383864
123;224.1356299;145.3985415;8.697228
125;217.1472825;145.1893809;7.725854032
127;208.5989808;144.9965602;7.393507299
129;205.1436178;144.7884801;7.133665169
131;203.110825;144.6944836;6.839801943
133;197.745383;144.4969151;6.680118176
135;190.7553843;144.4062006;6.578761321
137;189.4365943;144.3472604;6.55724564
139;187.8399515;144.1224229;6.530729435
141;182.3390858;143.9854732;6.448367167
143;183.9090013;143.9603507;6.332184804
145;184.2542055;143.637457;6.439098643
147;179.6405207;143.3877921;6.559334475
149;178.9257375;143.3087171;6.615745232
151;178.1391817;143.188085;6.570015843
153;174.6872392;143.1405162;6.734748243
155;175.1705487;143.154695;6.721472315
157;175.6536544;142.7894409;6.451503579
159;174.3606671;142.9242166;6.336277417
161;177.7026665;142.7087425;6.360644932
163;175.5301591;142.7576318;6.070298035
165;173.8879813;142.4328466;5.787055016
167;173.4893106;142.3845003;5.89098939
169;172.1527166;142.2285369;5.740221987
171;167.5195275;142.1757602;5.412135356
173;164.1354762;141.9746967;5.282865128
175;164.1629507;141.7720104;5.246061327
177;162.4913036;141.5740016;4.973782286
179;159.4567795;141.4765579;4.742463882
181;159.3965679;141.5022306;4.751450443
183;156.8924554;141.4832247;4.675296422
185;155.6533394;141.2921652;4.637529686
187;154.7710763;141.2100912;4.816917694
189;154.7057778;140.9610665;4.91178289
191;157.5100928;140.7656721;4.941518182
193;152.947163;140.5327448;5.163884216
195;158.9489589;141.0882677;5.461111007
197;162.6373181;140.6426578;5.542353021
199;160.1645352;140.5486617;6.035807406
201;159.4370464;140.4678181;6.182425344
203;160.7116028;140.2131801;6.321951495
205;161.3865811;140.0595828;6.371181362
207;162.2247162;140.0219755;6.561819798
209;161.0213684;139.9452245;6.399264941
211;162.3896101;139.8884303;6.228265916
213;159.976521;139.7636983;6.09835684
215;161.1088504;139.6292796;5.959682992
217;155.0928552;139.6044402;5.63273255
