Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-6;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 13:58:09
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;49;341.64;165.69;;;145.60;87.19;17.91;;4701.39;;150.92;0.0088;Projection of particles. Intumescence after ignition. Glowing. End flame > 1200s.
;2011-03-07;c_LSFIRE_IN-16-6_50a;15.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;1.299065241;145.6;0.003652005
3;2.272841832;145.589824;0.018098628
5;2.560338067;145.5957058;0.027580642
7;2.633720606;145.7182093;0.063916453
9;3.160135335;145.609804;0.078514249
11;3.94312973;145.6553977;0.087086742
13;4.358133798;145.7484358;0.084755427
15;3.834019182;145.6292034;0.079426373
17;3.100830485;145.6601225;0.0664053
19;2.266536044;145.6919947;0.073758019
21;1.520227404;145.5770555;0.1013293
23;1.208477793;145.6142144;0.115184545
25;1.108073363;145.5943833;0.134018451
27;0.985647209;145.6740158;0.130649988
29;0.91669875;145.697824;0.16670638
31;0.759426153;145.5678673;0.208217074
33;0.527772443;145.6743524;0.28792327
35;0.054301499;145.6524643;0.407799121
37;0.092934056;145.6292121;0.53106355
39;-0.137987746;145.5858747;0.632056636
41;-0.137925448;145.5738133;0.718293266
43;-0.138824332;145.6026203;0.844123069
45;-0.115712492;145.5814455;0.957541295
47;0.301251174;145.4484443;1.064020803
49;0.608502587;145.5428786;1.495501655
51;3.917267444;145.5415717;2.972614903
53;39.1891547;145.4415322;5.4705781
55;102.8192875;145.273162;8.275569237
57;167.7200963;145.015333;11.07476781
59;219.919254;144.828462;13.98041072
61;254.9763403;144.8625283;15.87879042
63;291.3550957;144.3200451;16.66242593
65;316.5714354;143.8552816;17.19498227
67;336.195252;143.4358156;17.155409
69;339.640969;143.1588491;16.44803309
71;341.6387229;142.9565979;15.84901845
73;330.1499287;142.6957515;15.32532262
75;318.025383;142.5090724;14.58673838
77;292.3902351;142.2271062;14.15239834
79;279.7532364;141.9283539;14.01725306
81;262.2366261;141.7207542;13.82733632
83;254.4816503;141.4635638;13.17660242
85;255.7986587;141.241125;13.06696423
87;249.4579208;141.0689286;12.9951063
89;249.3012388;140.7561325;12.79068611
91;247.1270154;140.4335173;12.55637088
93;248.173607;140.1834508;12.45466549
95;241.3963926;140.03208;12.05416447
97;239.2994577;139.8170868;11.61167392
99;235.3498476;139.6098165;11.03687396
101;223.2332387;139.4501623;10.67482865
103;225.1322235;139.2373362;10.4822285
105;220.4840645;139.0591875;10.41720533
107;216.6787297;138.8952344;10.28694348
109;209.8146294;138.7233746;10.13934262
111;207.7293711;138.6118579;10.17072155
113;203.9588917;138.4992439;10.06501397
115;198.325992;138.1890967;9.64382145
117;198.5122907;138.0834416;9.648085117
119;199.8248481;137.9355391;9.668024286
121;193.2539753;137.8583472;9.521879497
123;190.8604517;137.6665391;9.356816347
125;188.803691;137.5173194;9.059202756
127;188.391319;137.3254294;8.729119645
129;186.3628722;137.1371674;8.454058722
131;183.4426564;136.9697232;7.964660448
133;181.357392;136.8828926;7.520588337
135;180.5493838;136.7965004;7.530189331
137;179.1165235;136.5841011;7.250051581
139;177.8966118;136.4472245;7.300542725
141;172.694904;136.2497116;7.275310043
143;169.1940097;136.207197;7.255857536
145;170.8119272;136.0266347;7.046345319
147;169.4834649;135.9577228;7.238177435
149;165.8500167;135.8229934;7.268038741
151;164.3068638;135.5695063;7.239266523
153;167.5480915;135.4999635;7.583799165
155;165.0099278;135.4522104;7.970690906
157;165.086151;135.1565029;8.12654477
159;166.6132501;135.4538011;8.044471931
161;165.8082458;134.9065382;8.259110355
163;168.2145286;135.1312057;8.318750259
165;168.5664271;134.700887;8.422824843
167;166.0865424;134.6825372;8.296995273
169;167.4533446;134.492575;8.627106085
171;169.5153212;134.3351978;8.434266799
173;172.1097565;134.2285718;8.188744832
175;169.0794496;134.088631;7.919624373
177;167.6904289;134.0391228;7.725995519
179;166.9372366;133.9582908;7.212688354
181;166.0615621;133.7673605;6.825101961
183;161.7878735;133.5980985;6.592883795
185;159.9664508;133.5332931;6.146150755
187;156.7773341;133.470564;5.777056838
189;152.3736503;133.3372888;5.414660046
191;150.8358514;133.2386008;5.1492031
193;145.2361459;133.1927129;4.679575198
195;145.8614176;132.9914692;4.349648592
197;140.2044577;132.7567164;4.171268387
199;136.3981951;132.7297542;3.836618879
201;133.3977288;132.751231;3.609566656
203;129.9637999;132.6690079;3.373852433
205;127.5444479;132.461182;3.101369802
207;118.7840356;132.4979912;2.750625084
209;118.3670491;132.3867408;2.559761647
211;116.295709;132.2719689;2.301932309
213;113.7284516;132.170154;2.142483973
215;110.1426175;132.2558767;1.968877314
217;108.1830615;132.0882961;1.916285498
219;107.103738;132.0017867;1.926486978
221;106.2069824;131.9636063;1.986841592
223;106.217905;131.8815757;2.038907679
225;105.1116306;131.8038513;2.176145504
227;104.7347195;131.7487009;2.276088889
229;102.4054027;131.7037096;2.293777972
231;102.2958996;131.5973691;2.297315938
233;103.2064829;131.4618724;2.242866573
235;102.163832;131.3745209;2.19317433
237;102.4498052;131.4318465;2.131135726
239;100.3091641;131.2017399;2.205795444
241;100.6387866;131.2188473;2.261708847
243;101.8130389;131.0939732;2.232081845
245;102.3566422;130.9678103;2.192044246
247;100.8592085;130.9052732;2.119178183
249;98.35137206;130.766721;1.989456373
251;97.43468466;130.7422355;1.910609539
253;96.87065422;130.805486;1.940790568
255;95.95851708;130.7007912;1.902621377
257;94.88609425;130.7918624;1.840746665
259;94.21599538;130.3999441;1.809061201
261;93.75306192;130.3865592;1.713118103
263;92.86509139;130.4153865;1.596347172
265;91.89410291;130.3213423;1.52354892
267;91.13977435;130.2981654;1.491934783
269;89.27908953;130.0968127;1.404037999
271;86.63057769;130.0879342;1.372852706
273;88.06675216;129.9006522;1.387206087
275;85.35236983;129.8504032;1.375390916
277;83.52424128;129.745854;1.372439373
279;82.83138155;129.8377669;1.399141524
281;81.33453892;129.659089;1.289697103
283;79.63466403;129.5743709;1.235768802
285;78.99035456;129.5082492;1.175324901
287;78.13600544;129.4238789;1.133205782
289;78.36638602;129.356888;1.072484511
291;76.10787678;129.3603337;1.120164992
293;75.2638265;129.2615088;1.075910662
295;73.46019861;129.2491112;1.028752576
297;72.79655043;129.0774637;0.977027964
299;71.60585662;129.0275898;0.888859836
301;70.80616593;129.4102727;0.796984779
303;68.53312101;128.8321345;0.794095835
305;67.42898297;128.5630689;0.760721865
307;69.1770402;128.7774505;0.730331548
309;67.81044043;128.7151328;0.698507991
311;67.35261561;128.6954749;0.664254299
313;66.38713482;128.4438269;0.584416634
315;65.97102236;128.5498929;0.544387382
317;66.09136597;128.4434704;0.497260314
319;65.52187922;128.3363809;0.501548709
321;64.42364306;128.3262961;0.490974502
323;63.74210638;128.1944197;0.53219309
325;63.39431383;128.2129152;0.535649543
327;63.81762929;128.0871638;0.521614617
329;63.82900092;127.9787474;0.4986587
331;63.7672137;127.892238;0.477590062
333;64.99829835;127.6914887;0.418923648
335;64.83162269;127.7523165;0.430894105
337;64.54432194;127.7344417;0.47410962
339;66.07604121;127.6515892;0.527175389
341;64.29928628;127.6260345;0.55420042
343;64.08187829;127.4321698;0.615442017
345;63.15117382;127.3194473;0.600277161
347;63.90009968;127.3041061;0.55945689
349;64.79913296;127.088811;0.531506215
351;64.11645127;127.1403305;0.565864717
353;64.96404875;127.0701496;0.636903546
355;66.50543818;127.0305241;0.674290616
357;66.22071013;126.9877529;0.724034924
359;66.54709418;126.8436526;0.746893397
361;66.29369911;126.7740114;0.737590021
363;65.14464708;126.5859891;0.675250527
365;66.17721275;126.419224;0.670427868
367;67.67378773;126.4198824;0.656719691
369;66.61820391;126.2922113;0.664845723
371;66.98218228;126.2218486;0.694034468
373;65.80576565;126.0373732;0.70719932
375;67.32157137;126.0463338;0.731455293
377;68.9589037;125.9745983;0.722297615
379;69.56340495;126.3841415;0.700346799
