Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-6;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 14:00:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;49;350.09;169.53;;;147.63;88.68;17.79;;5517.13;;145.23;0.0088;Flashing from 46s. Projection of particles. Intumescence after ignition. Glowing. End flame > 1200s.
;2011-03-07;c_LSFIRE_IN-16-6_50b;15.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.262717192;147.63;0.109330318
3;7.767176052;147.711461;0.103674802
5;7.069048593;147.498181;0.094271069
7;6.710302052;147.5281871;0.089107538
9;6.404889438;147.5869997;0.104472557
11;5.865911279;147.7319017;0.135896789
13;4.790861569;147.8413464;0.141534757
15;3.777262007;147.7824035;0.151952479
17;2.755352129;147.6686117;0.161429736
19;2.05860339;147.6711279;0.148835563
21;1.636128322;147.6538623;0.135427005
23;1.017450613;147.7936285;0.1664942
25;0.42863723;147.6881471;0.197038808
27;0.058308995;147.7561069;0.223269761
29;0.481955571;147.7190517;0.254043497
31;0.474638345;147.6376385;0.268039954
33;0.203581431;147.5635074;0.305770574
35;0.277649521;147.5938154;0.355597875
37;0.236541701;147.6839166;0.419111697
39;0.656825999;147.6855691;0.565336249
41;0.381754516;147.584634;0.799302989
43;0.417455804;147.5901811;1.089938857
45;0.476338673;147.5882885;1.153638012
47;0.438344875;147.5785789;1.274767704
49;-0.023077793;147.5780922;2.918757541
51;30.27446254;147.5099954;6.027938491
53;91.33140646;147.3528874;8.818379231
55;162.2445932;147.0512893;12.25289854
57;221.2867671;146.6971184;15.16737155
59;264.9516423;146.5175473;16.6690074
61;289.2328065;146.2661148;16.68028814
63;313.3834564;145.9462223;17.16829848
