Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-6;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-24 14:09:13
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;21;318.55;185.46;;;147.72;97.38;17.08;;6016.09;;187.12;0.0088;Projection of particles. Intumescence after ignition. Glowing. End flame > 1200s.
;2011-03-04;c_LSFIRE_IN-16-6_75b;15.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.223823409;147.72;0.096044527
3;3.605024697;147.635583;0.110058074
5;3.777083064;147.5494165;0.142211819
7;4.294922378;147.7661068;0.156843385
9;4.467876318;147.8582944;0.195573533
11;4.127609266;147.708537;0.245301784
13;2.984589887;147.7320553;0.289777816
15;-0.079007391;147.81479;0.421652778
17;-0.077366837;147.8248992;0.690169687
19;2.446006521;147.8199506;0.799142618
21;-4.572578471;147.648534;1.257203431
23;-7.154921597;147.5632699;3.994436795
25;34.43283372;147.6661811;7.126513034
27;119.6203202;147.433449;10.19573335
29;192.5405691;147.1383438;13.66074389
31;244.2702141;146.8500183;16.76532302
33;263.5955566;146.6107871;16.89267452
35;267.8959191;146.7565532;17.07422381
37;255.4132197;146.001315;17.48665156
39;264.5890462;145.9843712;17.41858948
41;273.1259383;145.789894;17.71170301
43;291.4304305;145.3211639;18.35822968
45;310.1802029;144.91597;18.63036784
47;318.5505231;144.9148219;18.32909415
49;300.279771;144.3764523;18.16867377
51;283.6037129;144.0869985;17.19789333
53;264.5831157;142.9419519;16.35883482
55;241.8315634;143.7295936;15.83936289
57;232.0691768;143.509486;15.13816405
59;224.6463298;143.3100602;14.62606865
61;228.5062125;143.0409882;14.70532581
63;233.5559231;142.8213248;15.22124758
65;235.7785777;142.1445237;15.22545104
67;243.0797349;142.2773235;15.91544703
69;251.4583401;141.8700858;16.14058648
71;251.4074155;141.7492741;16.00634074
73;247.9993029;141.5116694;15.70054152
75;255.7822989;141.330322;15.68406559
77;256.5974282;141.0704086;15.43860959
79;249.0575662;140.8480933;15.40380962
81;242.8428513;140.5414846;15.47498049
83;244.1727597;140.2828015;15.82832562
85;239.0737941;140.1426133;15.72282685
87;235.8023355;139.8899995;15.53096836
89;230.4886188;139.732717;15.23068351
91;223.8547212;139.5278792;14.82095743
93;218.1979861;139.1767623;13.96854764
95;215.0405366;139.1179083;13.27374692
97;205.6776921;138.9534831;12.9905165
99;208.0761507;138.7575981;12.47836512
101;205.2270212;138.5888536;12.35276919
103;203.1674756;138.3054287;12.29082152
105;193.8321846;138.2012463;11.85319486
107;198.3654702;138.0398907;11.14412027
109;192.8761198;138.003845;10.7791896
111;190.2983689;137.7931764;10.72989035
113;188.7777795;137.5533303;10.52627249
115;189.4064939;137.3757003;10.4526087
117;185.5150631;137.2682847;10.48070579
119;189.3196738;137.1669038;10.77487891
121;189.1946393;136.9870193;10.62279409
123;191.2638976;136.7121242;10.90001176
125;189.4496146;136.5602278;11.3556715
127;195.2413516;136.5453903;11.80547549
129;193.1911348;136.1312218;12.08917052
131;192.7773423;137.0822767;12.51470953
133;196.8501584;136.0477702;12.22550496
135;196.4080874;135.8075487;12.37691998
137;198.5372791;135.7669227;11.99992642
139;192.9269977;135.540629;11.41543046
141;199.7921917;135.3401782;10.63121818
143;189.5721707;135.1751318;10.40441734
145;190.8345375;135.1316356;9.453277053
147;182.5739881;135.0013916;8.952194471
149;179.5004006;134.8894107;8.322138104
151;173.3361542;134.6696036;7.517953464
153;166.2606593;134.5693511;6.514752392
155;156.8344237;134.5039283;6.087241398
157;153.5952292;134.4786124;5.524326691
159;154.3141497;134.2926045;5.471481506
161;163.5158026;134.0806714;5.543217068
163;165.1289578;134.0070939;5.886583987
165;172.9851645;133.9576376;6.150459177
167;175.7229478;133.7854633;5.941447439
169;172.6572183;133.5865437;5.753440485
171;172.6739827;133.4997263;5.522652475
173;166.7399265;133.2942803;4.952114086
175;160.4632745;133.301525;4.108059921
177;152.9740929;133.1633608;3.707370451
179;147.6417284;133.0878852;2.972473993
181;140.8282055;132.7924934;2.374823781
183;134.2892289;132.7826083;1.965419857
185;126.8506091;132.7211774;1.636439488
187;124.3343501;132.6314778;1.369207172
189;118.5540455;132.3637725;1.253957824
191;113.4174973;132.339347;1.133128603
193;109.9841933;132.2659959;0.997720451
195;109.0487041;132.2287795;0.918590387
197;105.4467295;132.0617999;0.857697671
199;101.9709555;132.0393547;0.81252216
201;100.8273614;131.9253584;0.791522438
203;99.56081433;131.7357883;0.749827972
205;97.20885722;131.9189257;0.711267525
207;97.41424573;131.6309079;0.634748354
209;96.88394391;131.6243386;0.643708763
211;93.93750975;131.452711;0.747780352
213;93.67403446;131.2067957;0.956861421
215;95.62554479;131.3271151;1.136585159
217;97.41913173;131.0574772;1.371658259
219;99.33247121;131.1788822;1.597831633
221;101.6031164;130.8897437;1.619105795
223;103.255829;131.0593397;1.557896
225;103.0206342;130.738917;1.531981265
227;103.1383762;130.6738852;1.506192798
229;103.7981653;129.9610793;1.417625195
231;105.2132812;129.8519498;1.392660474
233;106.8465688;130.2616812;1.436280107
235;109.3487674;130.0459481;1.373510746
237;110.7798084;129.8035045;1.462362289
239;111.1103639;129.6127672;1.454291923
241;110.2076041;129.4134649;1.511930455
243;112.1484241;129.2679387;1.452449007
245;114.8960267;129.2970195;1.50022702
247;114.6274438;129.1543366;1.369565252
249;111.7160143;128.9680479;1.396654174
251;114.8838327;128.8235957;1.353738475
253;112.3356909;128.798725;1.395547057
255;113.4548045;128.5002909;1.333955213
257;115.8176747;128.3992181;1.335386797
259;113.6870876;128.1887341;1.318753308
261;113.8064927;128.0223483;1.284429351
263;113.958035;127.8418552;1.227736773
265;111.1082848;127.8675456;1.223484644
267;112.5114257;127.5455807;1.215969033
269;110.2759861;127.5863981;1.152601319
271;111.9119109;127.3282702;1.133050591
273;113.1531374;127.1575647;1.092260482
275;112.8948815;127.1078156;1.064913975
277;111.232;126.8700661;1.030114903
279;108.0611358;126.7434861;1.023791943
281;109.8882372;126.5778738;1.000494325
283;112.3235512;126.4555121;0.983442979
285;109.6026346;126.3517682;0.986038061
287;108.3821157;126.0883557;0.995114255
289;109.0431947;125.9200012;0.989901144
291;108.0649597;125.9723286;1.045237954
293;108.7039868;125.7749673;1.006556688
295;107.6451597;125.5828468;1.022231982
297;107.4443497;125.3711791;0.988721548
299;105.1029137;125.2255895;0.964171455
301;107.1972855;125.1982971;0.888541297
303;108.002486;125.0343526;0.919165822
305;108.347609;124.8099422;0.911418438
307;106.4423883;124.6697554;0.969317632
309;107.4916426;124.5181874;0.975872096
311;106.0541816;124.4071439;0.957944956
313;105.8656575;124.2569701;0.878842883
315;108.8313947;124.0535756;0.847545677
317;106.7266141;123.9922264;0.772462699
319;107.1097869;123.9424523;0.762753027
321;109.1560641;123.6169254;0.775428054
323;108.6129169;123.0269831;0.816135832
325;108.8700657;122.7363047;0.878173211
327;108.2004489;123.2363459;0.914639389
329;110.3523148;122.6515156;0.877600894
331;107.4434102;122.7154263;0.860264341
333;110.2662554;122.7082085;0.90108121
335;109.6465301;122.5272866;0.920763675
337;110.941892;122.405045;0.90548237
339;110.9966177;122.1481206;0.93904163
341;111.1461785;122.0946263;0.959223033
343;111.9706182;121.924377;0.968514494
345;113.3573516;121.7681339;0.912738811
347;113.9665681;121.6501193;0.925585837
349;113.4264455;121.2569197;0.937022787
351;111.4806775;121.2214249;0.924829979
353;115.1486959;121.0666391;0.895533168
355;113.1214238;120.9165475;0.944597741
357;117.018625;121.1019973;0.948472791
359;119.0941832;120.6497898;1.020527174
361;117.8053905;120.2190343;1.093563465
363;119.3375173;120.0704553;1.169162135
365;119.1842646;120.1530376;1.144134062
367;120.9793459;119.8041904;1.184258989
369;121.7247176;119.4709452;1.178340109
371;124.5675577;119.3833955;1.220802714
373;125.2498796;119.2368217;1.235615666
375;126.5899826;119.041019;1.314198869
377;128.6243702;118.8331235;1.406460692
379;128.6787461;118.6295467;1.537777309
381;132.1695845;118.4297252;1.618399927
383;133.3067153;118.1081718;1.672675011
385;133.5626854;118.0451366;1.711210857
387;134.5240446;117.8554854;1.68486392
389;139.4643218;117.6409004;1.610214591
391;137.9359998;117.5119781;1.541378771
393;135.5694346;117.1503179;1.544191198
395;134.9748975;117.0994486;1.464949581
397;131.076024;116.8730992;1.435815713
399;130.2928295;116.6360964;1.412523134
401;125.7928729;116.552165;1.396320033
403;126.6510718;116.4084162;1.410507115
405;128.3912447;116.159275;1.410439357
407;126.2345905;116.0189339;1.411323613
409;125.1806733;115.8645408;1.377467226
411;124.3509924;115.6878665;1.365817253
413;125.7016488;115.556174;1.320169795
415;122.6292578;115.3914463;1.375271185
417;123.679203;115.1657075;1.364654312
419;121.9532634;114.8889441;1.381376201
421;121.1690863;114.8350041;1.339420592
423;121.8021331;114.6572726;1.261850432
425;120.2250512;114.4187842;1.245556894
427;121.6600629;114.2950566;1.236350679
429;121.3125861;114.0760336;1.249567514
431;121.0076753;114.0278254;1.289321803
433;120.4021156;113.9580743;1.369120072
435;120.5036773;113.8143347;1.37268205
437;122.8318039;113.4397067;1.403466867
439;122.0100542;113.2580929;1.427673592
441;122.6872203;113.0935388;1.500862283
443;123.1947224;113.1040643;1.541368997
445;124.256489;112.8208677;1.567609651
447;124.0726956;112.7050045;1.656088488
449;125.7560392;112.5146787;1.693442794
451;125.5170678;112.2944717;1.645929018
453;126.4740617;112.165595;1.697741704
455;128.5385566;112.067129;1.797461591
457;125.828603;111.8446887;1.802307349
459;128.3195094;111.6500341;1.873142429
461;129.2367949;111.4184352;2.059284124
463;129.8742178;111.3804798;2.079897985
465;128.3319943;111.1509857;2.110985199
467;129.4473959;110.9616623;2.176567662
469;128.0551787;110.7858995;2.203837915
471;129.2183756;110.5741401;2.251406253
473;130.8454707;110.3293637;2.319552061
475;133.3730351;110.2952348;2.5545947
477;133.4851286;110.1652101;2.65929062
479;131.407611;109.9175448;2.71178758
481;134.295292;109.6692511;2.748150129
483;134.2615974;109.5184759;2.859434919
485;135.4476193;109.2958712;2.768283383
487;136.2782742;109.1959561;2.861212038
489;136.4395728;108.9867943;2.914691104
491;136.3883138;108.8513017;2.989248669
493;138.0263463;108.6594082;3.098211447
495;139.5168781;108.5203714;3.147675298
497;141.7706669;108.3741072;3.157840207
499;143.4784189;108.0436865;3.229735463
501;142.4361534;107.9564474;3.206213895
503;141.6512027;107.7379437;3.233780587
505;143.5249149;107.6153276;3.287239059
507;146.5175746;107.4467173;3.309795416
509;144.4641147;107.1819755;3.442998799
511;147.0015831;106.9878127;3.468624553
513;148.0062439;106.8520197;3.507728766
515;151.0674362;106.5925265;3.581577916
517;149.7454404;106.3785632;3.604954539
519;150.4167091;106.2951789;3.629869188
521;149.2977476;106.0073799;3.718898433
523;151.5981837;105.7428194;3.707011223
525;152.2090722;105.6731668;3.740253055
527;157.9465481;105.4873132;3.8047358
529;158.3575223;105.2888585;3.807610747
531;157.5571902;105.0462235;3.882178284
533;158.0107654;104.8091933;3.940826739
535;162.8721693;104.6906436;4.004904007
537;161.3874713;104.4664356;4.138699802
539;166.1151464;104.1713375;4.181059023
541;167.4904857;103.9638232;4.224229738
543;163.2171351;103.7724224;4.315617539
545;170.2073434;103.6605881;4.293294135
547;166.8010485;103.3415679;4.369760906
549;170.7305175;103.2631692;4.460311017
551;175.394859;102.7689603;4.547344517
553;174.7055205;102.6592861;4.557943325
555;174.3561124;102.4719483;4.655604447
557;170.79806;102.2859225;4.631886412
559;179.4940638;101.9637037;4.631935789
