Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
synthetic rubber;;;;IN6-2;Interior surface of gangways;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-25 10:59:43
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;44;319.8;23.8;;;25.9;22.5;70.4;;1269.9;;136.1;0.00884;;2010-08-25;c_CUR_IN6-2_50a;1.7;;;;;;;;;;2.55;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;-1.308034433;25.902546;-0.013177659
2;0.664325161;26.056597;0.369002143
4;-1.739452596;25.831418;0.596808346
6;-1.469975675;26.082292;0.389995249
8;-2.136141989;26.203401;0.423134279
10;-2.745598895;26.116115;0.132199692
12;-0.413076493;26.255764;0.772788818
14;-0.966566008;26.106235;2.398855232
16;-1.099038735;26.081268;5.027545203
18;-0.931923333;26.063978;5.365927432
20;-2.242789696;25.804526;4.96407133
22;-2.77079576;25.673758;5.218752294
24;-1.813197626;25.341645;5.163547053
26;-3.19862325;25.287896;4.989008655
28;-2.095588258;26.143951;4.477173605
30;-1.330572753;26.7905;5.156364641
32;-1.999080814;24.915347;5.787160926
34;-0.942898643;24.8715;7.501250896
36;-1.104139938;24.698021;8.541030542
38;-4.753311445;24.368954;9.722752222
40;-12.68529419;24.065432;11.51915312
42;-20.03628133;24.03675;10.01389107
44;-28.56743662;23.8589022;9.532207091
46;-33.17655182;23.6947893;14.23390985
48;-33.64467425;23.7875478;22.23180276
50;16.32557987;23.560288;24.23943182
52;51.14199826;22.315848;23.67359973
54;97.47575065;21.750574;25.65477881
56;139.1547611;21.146948;23.77079439
58;164.7166942;20.452359;21.18509022
60;182.5640558;19.815287;28.29476302
62;206.3059893;18.637428;20.78711947
64;226.1965525;18.151485;23.40956367
66;235.6705586;17.720555;25.37071733
68;247.590541;16.52909;23.94807915
70;259.2709134;15.718282;23.4101216
72;265.7747174;15.011221;21.62236296
74;281.0305453;14.867474;23.65288093
76;294.9126104;16.565195;23.64267143
78;299.6863816;15.973799;23.87092906
80;311.6474338;13.652841;19.79308941
82;319.8421352;13.544722;21.28907998
84;318.2248619;12.712457;17.76089969
86;318.8112068;10.850175;12.02937425
88;313.1082308;10.131246;12.21281153
90;302.7059323;9.939881;13.44569695
92;299.1629215;9.577;9.970953463
94;285.6563588;8.649832;9.335320329
96;279.2073656;8.359888;7.67464297
98;268.4069587;7.816065;5.362321023
100;256.6345887;7.784375;5.493685821
102;242.4401911;7.790211;5.645920671
104;229.9070681;7.794218;4.115181288
106;222.5620214;7.810484;4.457581412
108;205.1425861;7.773224;2.972047027
110;199.6366653;7.298322;3.416875775
112;189.7378121;6.925764;3.27327129
114;184.4965343;6.888843;2.509631387
116;177.5918189;6.732938;3.439181573
118;166.2680737;6.489589;3.523496076
120;158.183114;6.335923;3.212455458
122;150.5236682;6.20169;2.684027467
124;140.9989632;6.101244;1.91903951
126;133.9776136;5.806937;2.726421159
128;127.3354564;5.621664;3.25531404
130;116.4244408;5.601106;2.540755199
132;112.756139;5.606719;1.631598924
134;109.4748049;5.553088;2.400527079
136;105.4239637;5.305618;1.849234989
138;101.5835101;5.139142;1.086647105
140;95.58358113;5.152158;1.166287584
142;91.15419275;5.026967;1.117420037
144;86.01567432;4.868404;0.786944798
146;84.52335636;4.878341;0.942613017
148;78.05413218;4.634212;0.624556245
150;74.40356818;4.349875;1.035637674
152;71.57320805;3.902168;0.376924601
154;65.32563006;3.994388;0.617720525
156;62.63159471;3.905053;0.660420005
158;58.47558719;3.870901;0.666467654
160;55.22189738;3.903204;0.330844457
162;53.4355278;3.757228;0.78589994
164;50.57462531;3.72659;0.715675971
166;48.73399264;3.718658;0.433671785
168;46.19970047;3.552253;0.618151207
170;43.17284852;3.58168;0.51775163
172;40.46029977;3.592458;0.366529891
174;39.70130593;3.581455;0.68657707
176;35.65735602;3.44819;0.679972267
178;33.5534939;3.335218;0.450560387
180;33.35320833;3.43065;0.117008924
182;31.02906786;3.353095;0.362645833
184;29.37158823;3.20086;0.966605007
186;30.84993164;3.240513;0.118210921
188;29.76768431;3.112422;0.409597811
190;28.98333935;3.075336;0.237558574
192;27.45622586;2.99573;0.278455689
194;25.99641498;2.96758;0.760372052
196;25.35874456;2.969553;0.620736885
198;24.7126544;2.974303;0.647338964
200;25.04828423;2.815174;0.874254685
202;23.8821148;2.817131;0.24846288
204;23.81363156;2.825714;0.470285034
206;23.90462241;2.725272;0.769249386
208;22.5437388;2.61114;0.614969859
210;22.6810801;2.563728;0.622524504
212;25.29166416;2.685563;0.555624961
214;25.89545232;2.571925;0.36533876
216;25.4613166;2.434307;0.228224232
218;25.2249194;2.410503;0.429545675
220;24.96987207;2.418717;0.510373671
222;23.26035023;2.403213;0.184061154
224;24.3338695;2.213306;0.338070383
226;24.12323183;2.375741;0.388839346
228;23.33873518;2.137382;0.240130447
230;21.39385903;2.173275;0.622655117
232;22.17065052;2.161474;0.162216519
234;22.17579174;2.148454;0.056769129
236;20.9094552;2.127418;0.636654995
238;19.86620455;2.135898;0.716388227
240;18.09591397;2.174281;0.559620714
242;19.97943727;2.181937;0.642303839
244;17.71834227;2.193198;0.639803362
246;17.78005165;2.183713;0.496434837
248;16.18866391;2.179842;0.48721386
250;16.31662499;2.177265;0.372017699
252;14.77722302;2.172549;0.646500185
254;13.10534369;2.174522;0.440000819
256;12.20043026;2.174973;0.439982739
