Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
synthetic rubber;;;;IN6-2;Interior surface of gangways;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-25 11:10:05
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;41;337.9;26.3;;;25.9;25.7;77.3;;1011.6;;139.9;0.00884;;2010-08-25;c_CUR_IN6-2_50b;1.7;;;;;;;;;;2.55;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;2.069311486;25.685137;-0.149932349
2;2.163063318;25.495172;-0.402461494
4;2.908491314;25.488767;0.010857586
6;2.935758825;25.483437;-0.09897519
8;1.485551078;25.813135;0.069378755
10;2.31204022;25.543073;0.190076256
12;1.238779193;25.507428;1.166675041
14;2.726803382;25.488078;4.768830282
16;0.455070085;25.609735;4.543309903
18;1.045822984;25.548498;4.603081821
20;2.824624115;25.514019;4.810493039
22;1.735509581;25.530446;4.678531709
24;2.231684858;25.481543;4.702866059
26;1.876295773;25.475014;4.683758008
28;0.630089532;25.467772;4.570717372
30;1.410420185;25.47158;4.926842735
32;2.983428065;25.465354;4.961228929
34;0.371730638;25.48539;8.975150785
36;-1.667020307;25.481154;9.329547426
38;-9.373273894;25.505917;9.653642337
40;-19.70037804;25.689952;10.53744282
42;-30.77764837;27.450142;8.165310875
44;-50.90283732;24.37556;16.91128698
46;-18.95567326;23.768765;19.51079809
48;36.43336716;22.669396;23.44836726
50;75.96829237;22.197577;21.15470852
52;121.4852573;21.338211;19.09227969
54;163.6220192;20.64344;23.06510551
56;191.8826354;19.343153;23.25378507
58;206.1746075;18.821186;22.85485345
60;228.6453966;18.157891;19.50536178
62;245.8838976;17.09451;21.03958709
64;260.9268914;16.232312;25.52104511
66;283.7607593;15.788826;21.76398153
68;309.6459181;14.300393;23.6397579
70;329.6536539;13.790071;21.37736977
72;337.8507709;13.048968;16.4647753
74;336.3589896;12.966994;17.60782537
76;332.7653265;12.65612;12.58022739
78;327.6568152;11.814539;12.797866
80;316.0559143;11.626742;11.77655121
82;309.0902536;11.289418;9.260302083
84;293.1497726;11.039171;8.868861893
86;288.0104446;10.702605;8.6623909
88;274.6362628;10.466972;8.881594434
90;260.9725027;10.336556;7.04632129
92;253.2429936;9.794063;5.200746023
94;238.828191;9.57148;4.899774501
96;229.2216002;9.427358;4.759901037
98;218.4119961;9.335078;4.724817329
100;213.03293;9.05027;4.344729091
102;203.146851;8.397931;4.86394815
104;195.3152621;8.226788;4.36947886
106;191.8251855;8.196716;3.198172304
108;183.7796596;8.194463;2.945232847
110;176.0080259;8.209799;2.731021705
112;171.1243031;8.195178;2.259573929
114;167.4300154;8.223859;1.671700499
116;159.1541195;7.912345;1.625944268
118;150.7901008;7.716845;1.494902199
120;146.6411231;7.582475;1.261420891
122;139.3680242;7.406981;1.322396209
124;132.1842178;7.217979;1.232358971
126;127.4825819;7.072419;1.33189027
128;120.792781;6.980531;0.872770837
130;117.9133016;6.816318;0.907147821
132;114.4349149;6.832333;0.442766524
134;112.6233283;6.714251;0.243857053
136;110.5898948;6.47809;0.472750643
138;108.2798102;6.261154;0.023744193
140;104.4713119;6.139976;0.380576883
142;104.241572;6.041895;0.238088304
144;97.82533984;6.008923;0.271202158
146;94.20616309;5.751924;0.518094688
148;91.1682698;5.721407;0.126358156
150;87.11333338;5.725527;0.050920085
152;84.92856901;5.55264;-0.127857343
154;80.5091135;5.513661;0.047770659
156;78.10011586;5.360531;0.256880817
158;76.21310076;5.225585;0.319862339
160;74.54463319;5.131526;0.294351258
162;69.96381957;5.102505;0.143953101
164;68.38964105;4.98271;0.281360417
