Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
synthetic rubber;;;;IN6-2;Interior surface of gangways;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-25 11:13:16
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;43;316.7;26.1;;;25.9;24.1;70.4;;1195.5;;133.1;0.00884;;2010-08-25;c_CUR_IN6-2_50c;1.7;;;;;;;;;;2.55;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;0.0089425;25.919729;0.0011269
2;0.223025136;25.915255;-0.166316327
4;0.498265473;25.937619;-0.013578895
6;-0.403228728;25.929648;0.239554627
8;-1.942541581;25.921644;-0.00413512
10;-1.954717444;25.891522;-0.173357279
12;-0.676769823;25.884399;0.048857791
14;-1.435927422;25.895113;1.768286473
16;-0.45808481;25.888279;5.191039511
18;-2.455673263;25.937993;4.560344127
20;-2.412015019;25.895619;2.940684236
22;-1.91646028;25.979735;3.41080144
24;-2.224728578;25.850414;4.224131166
26;-4.838293277;25.894913;4.342710266
28;-3.349490863;25.917696;6.596462165
30;-3.48407766;25.907752;3.088623545
32;-2.539711636;25.890665;5.126504267
34;-3.51848231;25.543176;6.743799392
36;-3.318669027;25.35702;6.662388529
38;-6.882167252;25.554519;8.567608581
40;-9.723979004;25.150433;7.959071232
42;-23.62353741;24.847263;9.334002376
44;-28.59074358;24.546786;10.11580164
46;-29.23714518;24.337614;18.15167438
48;11.0785073;23.907312;17.08010007
50;45.36270928;22.893105;18.7097984
52;70.60400363;22.481614;19.47360495
54;96.49740909;21.691264;19.85760596
56;134.4441653;21.110054;23.25154125
58;156.4841932;20.309658;23.10403305
60;180.3502619;20.020146;19.65234952
62;200.6767767;19.128278;21.0993403
64;211.4336671;18.244694;24.18827885
66;223.6088002;17.650593;22.71448151
68;243.6561495;17.350333;22.50352279
70;260.7430322;15.981536;23.46151388
