Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
painted GRP phenolic resin;;;;IN1-3;Interior components (structure and coverings);;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-25 12:54:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;60;74.90;25.27;;;46.0;24.82;78.4;;439.00;;28.8;0.00884;;2010-08-25;c_CUR_IN1-3_50a;3.5;3.0;;;;;;;;;;4.31;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;-0.037307527;46.029865;0.34757706
2;-0.784053803;46.025391;0.133267735
4;-0.18028329;46.067071;0.411088521
6;-0.726336982;45.285516;0.31390229
8;-0.731464626;45.235209;0.497131509
10;-1.023968048;44.336816;0.320284138
12;-1.613461448;44.870472;0.023796364
14;-0.000234051;45.4483;-0.110492472
16;0.449167095;45.787208;0.397503961
18;-0.784600855;46.006934;0.028434061
20;-1.179295689;45.829328;0.371935212
22;0.184156415;45.886727;0.361438443
24;-0.403266786;45.909422;0.389767505
26;-1.172375999;45.901356;0.406633659
28;-0.906725163;45.910182;0.182297499
30;-1.00643896;45.895933;0.465373521
32;-0.872215955;45.765479;0.591583159
34;-0.683106964;45.77584;0.121067706
36;-2.157319241;45.646202;0.254311746
38;-1.736291739;45.384327;0.504269834
40;-1.080377916;45.380901;0.449991022
42;-2.511996655;45.229989;0.452209384
44;-1.874042883;44.796595;0.373925618
46;-2.0521092;44.868423;0.619679805
48;-2.692432415;44.503944;0.612479262
50;-3.151493992;44.413497;0.70039887
52;-0.596102104;44.36701;0.568668411
54;-0.878021923;44.357415;0.532561738
56;-2.354394304;44.363851;0.822764204
58;-0.846633639;44.369062;1.7239928
60;-0.425351095;44.315456;1.765209201
62;0.072024893;44.333532;0.600802918
64;0.746680663;43.764608;1.008973016
66;2.196859179;43.709437;0.88993087
68;7.395899778;43.598377;2.1314417
70;42.66988391;41.762734;1.445381665
72;55.76457262;38.109038;1.611951049
74;67.13987938;40.086616;1.050189676
76;74.41842967;43.157065;1.109969485
78;74.90443314;42.930167;1.402840928
80;70.81911001;42.932343;0.88375411
82;59.87464993;42.479634;0.487886006
84;54.27401142;42.193484;0.261091908
86;51.00517817;41.79898;0.326703784
88;45.68416088;41.639685;0.165104668
90;43.82035174;41.500556;0.244110915
92;43.31387559;41.35992;0.552202848
94;39.6991496;41.172057;0.734093724
96;38.05835388;41.183088;0.516145809
98;35.99029375;41.043444;0.754224298
100;34.69613212;40.787939;0.397654456
102;35.11019954;40.916909;0.579569252
104;37.64439488;40.615;0.388525432
106;32.75356405;40.523677;0.264058388
108;31.92514304;40.410751;0.55077043
110;31.5116437;40.264454;0.463361539
112;29.38381707;40.050414;0.449574318
114;17.93063049;40.067856;0.579111398
116;17.1776975;39.987614;0.711586621
118;12.54827202;39.856289;0.300605027
120;7.619445351;39.849785;0.628494573
122;6.549311182;39.767357;0.380963107
124;6.230747911;39.588665;0.345603866
126;4.892049835;39.51387;0.168121739
128;5.047649031;39.41106;0.464029412
130;3.228634483;39.402506;0.404647152
132;4.928451544;39.068798;0.316238249
134;4.790906376;39.073335;0.592973629
136;4.402233395;39.067517;0.564071942
138;4.226149969;38.904778;0.468172048
140;5.81245128;38.851278;0.584401176
142;4.676543088;38.630657;0.504278905
144;6.424492522;38.618704;0.498447764
146;6.423888395;38.647318;0.56567795
148;5.282456062;38.557092;0.571154849
150;6.47761568;38.547636;0.514036577
152;6.931606867;38.385162;0.545479541
154;6.571663399;38.416526;0.504312774
156;6.86586588;38.259915;0.501041842
158;8.253675716;38.104306;0.470469622
160;6.598779177;38.092094;0.552406343
162;7.465232991;37.992894;0.434876577
164;7.908598552;37.996244;0.237368817
166;7.923085844;37.830368;0.733133078
168;8.970359639;37.821923;0.564101613
170;7.678719849;37.74443;0.458404617
172;8.049405676;37.636735;0.553589415
174;8.138417793;37.567573;0.486928982
176;6.424652135;37.493125;0.454990692
178;6.407947339;37.479434;0.656375812
180;7.849769176;37.218953;0.239118188
182;8.323823295;37.125686;0.830695646
184;7.955495579;37.089079;0.555500047
186;7.797863381;37.106787;0.89718954
188;8.068364794;36.955901;0.362118928
190;8.419636004;36.959557;0.346046167
192;7.90800151;36.854292;0.688058091
