Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Black polymer;;;;F1E-1;Base shell of passenger seats F1A-1-2;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 08:37:39
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;51;145.5;75.0;;;42.5;37.6;17.7;;3785.9;;91.7;0.00884;;2010-11-23;c_CUR_F1E1_50b;3.2;;;;;;;;;;;4.37;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;-0.436600677;42.50;0.193535757
2;-0.932617072;42.49;0.250591104
4;0.213981603;42.48;-0.206805559
6;0.982773588;42.39;-0.370225921
8;1.91618678;42.24;0.263663922
10;-0.882424551;42.24;-0.260293335
12;0.418532611;42.26;-0.438462252
14;-0.77813435;42.22;-0.164076113
16;-0.083973894;42.25;0.174940198
18;0.888081465;42.34;-0.20354115
20;-0.656144224;42.35;-0.003399186
22;0.472167767;42.14;-0.272190014
24;0.085003066;42.04;-0.001326168
26;-1.797561787;41.96;1.019277946
28;-1.157120511;41.95;1.304818924
30;-0.468762664;41.99;0.846166844
32;-0.687353147;42.13;1.535400147
34;-0.989610343;42.03;1.382635164
36;-0.510624116;41.83;1.453201205
38;-0.92879955;41.71;1.223484712
40;-1.588061456;41.14;1.334375819
42;-1.880143864;41.16;1.134752102
44;-0.514101005;41.10;1.506657752
46;0.151892322;41.03;1.160064495
48;-1.790894704;40.87;1.531339529
50;-3.975531234;40.69;1.672161825
52;-4.64487683;40.47;4.583782428
54;-2.700498004;40.27;11.41892887
56;44.7129259;40.18;14.33219357
58;63.3598239;40.11;9.871641093
60;80.6679897;40.11;8.258946153
62;90.9872447;39.95;8.335727791
