Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Black polymer;;;;F1E-1;Base shell of passenger seats F1A-1-2;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 08:40:23
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;49;148.7;75.6;;;42.5;35.9;18.7;;4140.1;;89.1;0.00884;;2010-11-23;c_CUR_F1E1_50c;3.3;;;;;;;;;;;4.37;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;-0.245973195;42.54;0.605497697
2;0.066175899;42.50;0.046881772
4;-0.338611979;42.53;0.174725401
6;-1.367455375;42.54;0.008509105
8;-0.964986073;42.63;0.705573143
10;0.554491765;42.63;0.450877131
12;-1.409214777;42.73;-0.1015293
14;0.431705627;42.74;0.316935697
16;-0.418722574;42.64;0.611956274
18;-0.931003506;42.55;0.409606938
20;-1.147563962;42.48;0.760928946
22;-1.14567614;42.41;0.332163979
24;-1.719209636;42.51;0.541023335
26;-1.468520807;42.50;0.88842883
28;-0.86842793;42.52;1.497452215
30;-2.837021786;42.50;1.627973708
32;-0.090784965;42.41;1.458401862
34;-0.621399529;42.33;1.834231966
36;-0.208386107;42.13;1.692717785
38;-1.573072349;41.99;2.082148646
40;-0.743613504;41.86;1.589076948
42;-0.893432257;41.67;1.900648522
44;-0.388254463;41.58;1.995039053
46;-1.493595872;41.47;1.780702114
48;-2.069740826;41.25;1.866063218
50;-3.553140245;41.03;1.786472974
52;-0.422840835;40.72;8.035711176
54;21.23562882;40.53;10.92909872
56;55.43906407;40.43;13.44515089
58;72.35805576;40.37;9.930343628
60;82.06199171;40.28;10.04410801
62;86.88296933;40.12;6.925886999
64;93.06047992;40.01;7.763003203
66;95.97206264;39.98;5.554251194
68;101.4604754;39.99;5.849478161
70;104.1434806;39.99;5.199664509
72;107.5544531;39.84;5.295943836
74;109.2076182;39.75;4.775793599
76;109.3963478;39.62;5.536456759
78;107.7904428;39.15;3.590259857
80;107.5351071;38.85;4.520772591
82;107.0771537;38.81;5.492726533
84;108.23478;38.82;4.948578873
86;109.4553329;38.75;5.877913835
88;111.598209;38.43;4.438940086
90;110.0275655;38.01;3.837565903
92;109.1976794;37.89;3.340172332
94;107.6610588;38.11;1.961096098
96;108.577195;38.88;5.331305144
98;109.4326987;38.20;5.724850114
100;109.6395115;37.98;5.89170022
102;107.38122;37.94;4.118885167
104;108.779825;37.89;3.864097891
106;106.9747532;36.65;3.26553655
108;106.5242179;36.48;3.773951564
110;105.7061375;35.82;4.378781491
112;106.3262482;35.22;4.420307864
114;109.1745058;35.02;4.608409912
116;108.5229251;35.66;2.558818426
118;109.8012611;35.90;2.861317315
120;109.7948144;36.57;2.941675917
122;108.4227814;36.63;2.085482618
124;109.7738043;36.71;3.516368007
126;108.1614724;36.83;5.383325942
128;106.8035257;37.70;3.195799526
130;108.6286923;38.29;5.789610812
132;108.8179933;37.10;6.283698197
134;111.4453176;35.06;6.404457269
136;113.1797887;33.86;6.628247191
138;119.7427153;34.91;5.182188739
140;120.1403747;35.42;5.000608953
142;125.1507597;37.72;5.832370787
144;123.5399791;38.37;6.55597786
146;124.4539835;38.20;4.416933206
148;128.2086891;36.33;5.623351033
150;127.9904009;34.74;5.400169402
152;134.7065109;34.71;10.01131125
154;140.8006154;34.67;11.00643887
156;145.9588006;35.04;9.48172928
158;147.1885913;35.35;7.757246641
160;147.7850603;35.05;6.660181214
162;148.5795789;34.77;7.901899974
164;148.659476;34.61;6.274704419
166;147.7166438;34.58;6.269497848
168;143.7998233;34.55;6.279159906
170;144.0714302;34.36;5.994848662
172;141.9930298;34.08;5.893270626
174;141.8791835;33.60;5.269600128
176;142.847421;33.25;5.207388053
178;143.7079138;33.22;4.078116952
180;141.329976;33.25;4.954113969
182;145.6592;33.22;4.262292402
184;140.745819;33.26;3.351500083
186;137.2503918;33.21;2.986363276
188;135.016797;33.22;4.141186547
190;129.9635377;33.21;2.345328018
192;130.4739943;33.21;2.650099289
194;129.4216781;33.23;3.86435706
196;114.1249581;33.14;5.573574841
198;108.9208486;33.01;4.491475959
200;105.9157397;32.64;2.9829081
202;106.7747756;32.60;2.109629433
204;104.6464205;32.50;2.130354148
206;104.4720839;32.52;2.304793326
208;102.9135563;32.33;2.165140373
210;100.0738616;32.30;2.285469715
212;96.69617559;32.14;2.678604984
214;96.03568497;32.00;2.331845314
216;94.54840452;32.02;2.27259919
218;95.01965274;31.72;2.78947123
220;94.1513324;31.64;2.601486818
222;95.84599838;31.50;2.497242687
224;93.62054618;31.36;2.834591818
226;94.43968583;31.25;2.437544806
228;93.87685341;31.21;3.937581861
230;96.09545573;31.07;2.863718542
232;96.65278601;30.75;2.308523547
234;96.04898476;30.84;2.186224263
236;96.39766212;30.69;2.438087305
238;99.07364928;30.35;2.762564216
240;98.30082911;30.43;2.598684515
242;97.83832493;30.10;2.716498314
244;98.31244436;30.02;2.621429862
246;96.51176007;30.06;2.589175669
248;97.25563291;30.04;2.520520358
250;96.30824324;30.04;2.678837225
252;96.10915313;30.05;3.587927453
254;95.8834297;30.03;3.291992571
256;93.26598727;30.06;2.401393004
258;94.07107018;29.81;3.028516636
260;92.72487605;29.66;2.483944837
262;92.91978296;29.80;2.646490414
264;93.55158942;29.66;2.839520543
266;92.37092337;29.64;2.86486781
268;92.78803829;29.62;2.582261269
270;91.72427598;29.29;2.568613222
272;90.64067686;29.16;3.334004287
274;91.18930375;28.58;2.725006441
276;88.03370937;28.45;2.635289663
278;87.50824545;28.23;2.423984548
280;87.17790135;28.10;2.428860192
282;86.20749101;28.06;2.553284264
284;84.48917538;28.06;2.529489659
286;84.31540653;28.06;2.795753841
288;83.46261684;28.06;2.948209916
290;80.82742147;28.09;2.729199929
292;78.04325749;28.04;3.240501409
294;76.78778818;28.05;4.151838415
296;76.37060816;28.00;4.589680569
298;78.49767162;28.05;5.05374688
300;77.44757601;28.02;5.018957274
302;78.86066258;28.01;4.618223266
304;78.92295209;28.04;5.688058998
306;77.66867428;28.11;4.290710287
308;75.89732641;28.09;5.188635731
310;76.92030527;28.07;3.982166038
312;78.60019363;28.11;5.519569319
314;78.46195145;28.06;5.384641499
316;79.07275061;28.10;4.70601185
318;78.29892688;28.09;4.448591759
320;77.66974399;28.07;4.982927831
322;77.84112811;28.07;5.3440355
324;79.64432681;27.70;5.884334975
326;79.06726624;27.60;6.516099516
328;81.00367802;27.48;5.704231311
330;80.0044971;27.27;5.776934743
332;79.04431165;27.02;5.770145376
334;81.77373995;26.85;5.834660221
336;80.18670945;26.74;4.673513049
338;80.34386798;26.64;5.60680451
340;80.84041327;26.49;5.738176314
342;81.21250617;26.40;5.640479595
344;82.08396037;26.36;6.362981286
346;84.91342708;26.29;6.584002282
348;84.68694021;26.16;6.520206599
350;87.53543729;25.99;6.17546367
352;90.38175604;25.86;7.128971293
354;95.14238416;25.72;7.21136857
356;98.76402366;25.61;6.160927128
358;101.7224437;25.61;6.613186197
360;102.8293798;25.44;6.229606674
362;104.170402;25.27;6.349181047
364;107.9560202;25.27;6.517893533
366;108.4705253;25.21;6.53966361
368;107.6818312;25.19;6.535436763
370;110.2068486;24.91;6.597270092
372;108.2591317;24.83;6.018591107
374;110.8372682;24.81;6.5816813
376;107.7709832;24.76;6.156015898
