Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F1A-1-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 09:29:44
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;9;181.07;43.57;;;42.51;22.92;17.28;;458.16;;101.87;0.0088;Swelling. End flame > 1200s.
;2011-03-03;c_LSFIRE_F1A1-3_35a;29.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.3500096;42.51;0.244594803
3;9.189272238;42.2592589;0.466586896
5;8.64019825;42.37488021;0.854110338
7;6.391996534;42.24989758;0.912096533
9;10.1475386;42.36145659;1.032558655
11;37.45222286;42.22250734;1.053716026
13;76.63447598;42.05047465;0.975426082
15;102.237162;41.88248058;0.638364979
17;112.0962001;41.82443104;0.63805337
19;103.2840854;41.692261;0.552340755
21;89.35908497;41.59132707;0.539040513
23;71.16180682;41.42788275;0.59217937
25;53.95566106;41.29055813;0.714707086
27;41.79868864;41.38920173;0.817335321
29;32.26873826;41.31911938;0.847410171
31;29.70580405;41.13508093;1.067417377
33;42.16270665;41.03682236;1.260899652
35;64.71175385;41.09451442;1.482125643
37;85.86066045;40.95644826;1.745567986
39;104.4032885;40.61747512;2.206954288
41;124.2396996;40.4786365;2.415850477
43;145.5667869;40.30326952;2.836282464
45;164.2315306;39.83490845;3.280620772
47;179.044527;39.62739134;3.743804488
49;181.0683789;39.2539478;4.006228576
51;178.7223466;39.12607339;4.202784447
53;179.2355055;38.94638613;4.21948811
55;174.6365812;38.62703562;4.145309542
57;172.6041552;38.38115682;3.839543186
59;165.1682438;38.19181646;3.695568059
61;161.4180682;38.03481124;3.493407195
63;153.9576785;37.87434469;3.082638147
65;144.7008041;37.66151504;2.672123076
67;133.5417605;37.44367623;2.497377081
69;130.4290029;37.34586403;2.147905716
