Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F1A-1-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 09:41:34
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;4;253.49;53.53;;;43.48;29.24;16.43;;428.90;;151.14;0.0088;Swelling. Glowing. End flame > 1200s.
;2011-03-02;c_LSFIRE_F1A1-3_50a;29.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.911414002;43.48;0.228648009
3;-1.337305755;42.6904055;0.346264868
5;3.573696393;43.04499511;0.870765247
7;54.59853839;42.8296619;1.62919714
9;120.1202739;42.59018037;2.124261301
11;159.4163342;42.37047541;2.179588629
13;171.3566636;42.21277607;2.224670768
15;160.4007202;42.00204033;1.769093185
17;130.7130533;40.68206409;1.09720742
19;105.1245554;41.62933671;0.981117433
21;90.09237398;41.63515205;1.361776778
23;90.04647911;41.40395388;2.107086588
25;108.7789045;41.20025713;2.869802548
27;140.781034;40.89256012;4.019631035
29;181.5263952;40.5509782;5.157123109
31;221.0458099;40.32581482;6.014214858
33;248.5882366;39.63731267;6.716040302
35;253.4897094;39.23985832;7.353426245
37;251.6277863;38.84140653;7.247482035
39;243.5704555;38.5677319;6.977524118
41;229.4062526;38.39276308;6.556969961
43;209.995842;38.05620115;5.656216464
45;192.93955;37.80545649;4.802856055
47;172.8021758;37.61344441;4.084797808
49;161.7914444;37.37521499;3.242507921
51;151.3580008;37.21239003;2.487339616
53;141.9459154;37.13205095;2.067763457
55;133.6242457;36.77192769;1.728706686
57;125.1308587;36.68336988;1.586293387
59;121.4000633;36.59360241;1.378571343
61;114.765157;36.49480398;1.264036592
63;111.0474984;36.32843782;1.195855364
65;104.7215481;36.3418058;1.180043095
67;102.3272733;36.18450148;1.154046608
69;101.1560627;36.06512101;1.182135831
71;97.49416832;35.99744428;1.218963838
73;95.58761246;35.65596509;1.208013826
75;92.23318533;35.15876986;1.166925338
77;91.18764671;35.56384679;1.088553604
79;89.42564207;35.52223705;1.010390077
81;89.12451752;35.4906393;0.903057368
83;86.61809343;35.27394161;0.827417774
85;82.97658945;35.07703013;0.708539979
87;81.01121667;35.18002522;0.640180176
89;78.81620459;35.0095825;0.560793776
91;77.22176147;34.95060055;0.482006926
93;75.09894003;34.59597332;0.428447078
95;72.55740519;34.86619214;0.378124958
97;71.07298351;34.7233603;0.333017123
99;70.64884031;34.70045734;0.301337649
101;68.3122103;34.62170943;0.283185694
103;66.78193992;34.4594676;0.238362426
105;65.02459482;34.41759402;0.208465958
107;65.12061148;34.35242294;0.16531092
109;62.77294691;34.20523962;0.132682436
111;60.78450645;34.22200844;0.112189523
113;60.57603115;34.11216392;0.107495736
115;59.26117852;34.04180886;0.107646138
117;59.38032969;33.78246974;0.11212647
119;57.62050714;33.74991941;0.12859872
121;56.17986674;33.86298101;0.154851956
123;55.66109353;33.8241692;0.162275108
125;56.9746448;33.84234495;0.180639692
127;55.2732823;33.74635362;0.191164594
129;55.29148848;33.65763905;0.170059855
131;56.50484828;33.56149146;0.152719081
133;54.64123894;33.53675037;0.126852214
135;54.72508031;33.3695252;0.108264655
137;53.00353988;33.30212291;0.099101497
139;52.04225207;33.17054698;0.103245798
141;52.14188455;33.2254866;0.094279782
143;50.72298405;33.13425867;0.094537485
145;51.77538614;33.20697227;0.104585432
147;50.7782309;32.95200393;0.109248977
149;51.07106261;32.91452622;0.138892757
151;50.35191187;32.914123;0.150549897
153;51.1752521;32.84830368;0.166901811
155;51.0634241;32.79307129;0.160418855
157;51.02429625;32.71516407;0.162329821
159;50.33080812;32.71190021;0.124519218
161;51.42997712;32.61590888;0.137767854
163;50.1551532;32.45949058;0.137784449
165;50.09994767;32.50414473;0.126893778
167;49.54301369;32.39170436;0.119056799
169;49.15916856;32.31749991;0.134838942
171;49.28763531;32.14734899;0.110073558
173;49.41969333;32.21064529;0.10180938
175;48.78853759;32.07936116;0.122478582
177;48.96183906;32.01188653;0.115008277
179;48.14544042;31.98745702;0.112003477
181;48.36942251;31.96138183;0.133249592
183;47.81438985;31.90311372;0.144153957
185;47.82428472;31.79415667;0.13343415
187;47.64569154;31.79994451;0.154533009
189;47.66867516;31.75904811;0.158848575
191;47.30388575;31.69743318;0.168669278
193;48.64958821;31.6255974;0.176750342
195;49.51356419;31.83476946;0.179951815
197;48.05197026;31.42316336;0.163182326
199;47.98526418;31.58588993;0.164121413
201;47.50955794;31.76157161;0.134658979
203;47.14600279;31.43074302;0.11020147
205;48.04503186;31.17947745;0.10943272
207;47.13762385;30.89427198;0.12348994
209;48.44027612;30.69182009;0.12204129
211;47.35249805;30.93721583;0.135047079
213;46.79055691;31.04316369;0.163098814
215;46.77996848;30.39279954;0.201886938
217;46.95936341;30.84342726;0.204581597
219;47.68958905;30.79793242;0.218698035
221;46.68093641;30.77864975;0.223034706
223;47.67748225;30.80117844;0.209170943
225;46.8222463;30.60025309;0.165968459
227;46.47918466;30.4768139;0.163319869
229;46.08987914;30.42911534;0.151425428
231;47.19254221;30.35561556;0.129973038
233;46.43535366;30.30148913;0.12855563
235;46.95299052;30.19297147;0.145446321
237;46.65111776;30.21742847;0.157689251
239;47.11450934;30.14975222;0.169183591
241;45.78497714;30.06482339;0.179530745
243;46.05610622;30.07347283;0.213800946
245;46.04980759;29.99305176;0.218997822
247;45.62453554;29.98942182;0.226150548
249;45.27386305;29.98901956;0.225541669
251;45.60584296;29.90893612;0.225641593
253;45.65649911;29.69952676;0.199104244
255;44.1718215;29.60494332;0.182551826
257;45.25321233;29.73202066;0.158723803
259;43.67113926;29.60568369;0.151380168
261;45.7938002;29.4872095;0.158049571
263;45.34042708;29.4985281;0.163837703
265;45.29307247;29.4209778;0.173119585
267;46.11477941;29.39315517;0.211278361
269;46.18921261;29.41504333;0.231814227
271;45.39769174;29.38625268;0.246143384
273;45.32928715;29.3399162;0.261641824
275;46.05199717;29.1990696;0.281963315
277;45.34227675;29.23635438;0.294592859
279;46.44276334;29.20677707;0.280238216
281;46.24863842;29.14830831;0.282522063
283;46.09561774;29.04811116;0.251821844
285;45.09105787;28.95139731;0.221112464
287;45.41653581;28.88211205;0.186765214
289;45.34578106;28.79595764;0.180995056
291;45.54374216;28.73000954;0.183969086
293;46.94216182;28.68509928;0.19559637
295;45.7450293;28.71000484;0.192492746
297;46.96013801;28.63032412;0.203486585
299;46.63883301;28.57439671;0.239848986
301;47.04492124;28.60544606;0.241537185
303;46.64195615;28.52913966;0.246266925
305;46.24417317;28.51573599;0.263984139
307;47.28747137;28.51642184;0.252908381
309;46.30096142;28.34094225;0.217808957
311;46.66278139;28.29941498;0.196399421
313;46.48321173;28.22994643;0.167719446
315;47.25163281;28.13784019;0.162712881
317;46.67794967;28.075796;0.165477305
319;46.2867231;28.00840383;0.174450115
321;46.44917226;28.03204716;0.211313051
323;46.93471011;27.99106009;0.24418718
325;46.56845648;27.99727719;0.278453046
327;46.66544567;27.88165593;0.296104255
329;46.63271278;27.86095668;0.300228781
331;45.91280543;27.82988852;0.267501319
333;46.62475337;27.77547897;0.269647526
335;46.19357626;27.63194439;0.241990517
337;45.91044737;27.62300266;0.229308093
339;46.13010744;27.52029985;0.218717497
341;44.61601846;27.50208745;0.219314673
343;45.51713279;27.40275847;0.230246666
345;46.04854009;27.46026741;0.230441641
347;45.70210937;27.37777092;0.256946485
349;44.82589163;27.22915269;0.287726451
351;45.26613131;27.51059895;0.306572612
353;45.12457423;27.26739777;0.299189063
355;45.97241981;27.26886065;0.315610469
357;45.22691131;27.22390505;0.286287683
359;45.4956645;27.04684345;0.269508509
361;45.38671122;26.94340944;0.252655148
363;45.72100038;26.94087678;0.238673548
365;45.22611698;26.88417235;0.230771212
367;46.53651993;26.8381378;0.249035165
369;45.55513991;26.889256;0.270333882
371;46.27888485;26.77462204;0.29889926
373;46.43435816;26.92991461;0.322922654
375;46.15621955;26.56970212;0.340368423
377;46.11500835;26.60848643;0.333851433
379;45.88772473;26.64020283;0.307657003
381;46.00402494;26.51076695;0.279229028
383;45.65562896;26.48406958;0.267167587
