Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F1A-1-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 09:59:48
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;3;349.95;55.24;;;41.26;29.98;16.19;;663.07;;223.59;0.0088;Swelling. Glowing. End flame at 838s.
;2011-03-01;c_LSFIRE_F1A1-3_75b;29.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;-12.52665432;41.26;0.57283785
3;8.848645109;40.95719152;1.884480899
5;109.546177;40.72832416;2.799405876
7;203.1698123;40.27730752;3.372906426
9;235.5943241;39.99452416;3.766998605
11;213.1671501;39.14874016;3.908938044
13;186.4481484;39.60247648;3.682077491
15;161.0051;38.98979776;4.340515462
17;172.3382764;39.10408432;5.100213176
19;220.0458431;38.54329456;6.227868302
21;286.3227227;37.83751024;7.905957639
23;327.3619034;37.59890128;9.08744157
25;349.9549531;36.69055552;9.302841432
27;338.821575;36.119356;9.774708893
29;317.7822719;36.1775056;10.14133157
31;300.665959;35.498752;9.163607581
33;260.5358086;35.179564;7.658312435
35;231.3993496;34.88332432;6.54332374
37;203.318909;34.6418392;5.313012038
39;181.7229027;34.46531824;3.936969712
41;166.9680685;34.5455224;3.311072749
43;154.8707903;34.40588752;3.039985516
45;150.1210598;34.35935632;2.967260706
47;143.2096084;34.36200192;2.974372662
49;143.0125503;34.50691696;2.834182844
51;139.7172201;33.66052288;2.641472571
53;137.0179534;33.65731984;2.578769955
55;134.8893623;33.38619184;2.377513116
57;131.0227141;33.03451456;2.094025949
59;130.417396;32.9976928;1.996378627
61;121.1384013;33.09200848;1.797748608
63;115.4680041;32.79639664;1.563482978
65;115.6432496;32.33026816;1.336365193
67;111.3728178;32.58680224;1.26717358
69;106.7875846;32.52630592;1.065239838
71;103.0832432;32.20548208;1.060793032
73;99.59370476;32.066656;1.053796605
75;97.4351313;31.9041376;1.073444594
77;94.54672373;31.69834624;1.031473657
79;94.3014847;31.59564208;1.014358113
81;92.77694068;31.35508528;0.903015498
83;89.75814051;31.64905024;0.864098742
85;87.95031169;31.28920192;0.833499164
87;86.14583113;31.36953328;0.781199631
89;84.36821091;31.22158144;0.739589597
91;84.48440394;31.18762528;0.701702962
93;82.55141455;31.28774608;0.666046269
95;81.15196027;30.84727552;0.619710048
97;78.93852851;30.57319072;0.584871729
99;78.63752614;30.79908016;0.59395717
101;76.46248341;30.83082496;0.560264477
103;74.98736686;30.75548896;0.544209408
105;73.41071821;30.28246432;0.509721695
107;73.71607741;30.31500064;0.488510854
109;72.92024173;30.41887024;0.470031935
111;71.09564813;30.0936784;0.500535545
113;71.21540325;30.52218352;0.503893035
115;71.03925573;30.22069408;0.503935561
117;71.18752127;29.98360384;0.511935096
119;71.14681692;29.99132848;0.485321067
121;71.09415127;29.84980912;0.485421805
123;70.30566948;29.576116;0.505552744
125;70.48036635;29.88241888;0.50314273
127;70.04049068;29.44039264;0.534737212
129;70.44231884;29.430412;0.50997666
131;69.72364916;29.18036512;0.498427117
133;69.21739335;29.34097264;0.488262988
135;69.40990391;29.16237712;0.493116975
137;68.505209;29.26643728;0.465352143
139;67.85250141;29.04876352;0.52056938
141;66.86392642;29.14863808;0.525446594
143;67.70645289;28.54236544;0.49960798
145;67.52094964;28.42101808;0.495471521
147;67.95931564;28.7609944;0.492708835
149;67.3413573;29.16494272;0.4712431
151;67.34102345;28.7588656;0.453838618
153;67.865507;28.73754736;0.460404151
155;66.17955208;28.76204992;0.450691043
157;66.84000887;28.50305968;0.448905476
159;65.72348408;28.60118752;0.460932716
161;66.59278616;28.50329632;0.46599046
163;66.23914134;28.13586064;0.482236259
165;66.30286727;28.01410384;0.504934875
167;66.19849424;28.03430224;0.504317757
169;64.87155153;27.605488;0.477396047
171;66.46427286;28.03364752;0.488679685
173;64.79125817;27.88963552;0.49276587
175;64.59206874;27.9252928;0.505810685
177;65.58222008;28.02042736;0.524108585
179;64.78733611;27.52764976;0.548388463
181;65.2659219;27.96803776;0.526375781
183;65.55887933;27.3479896;0.474243586
185;65.21191027;27.51101776;0.420166045
187;64.62099941;27.15521008;0.408344811
189;64.29206584;27.06188608;0.379427421
191;63.87050014;26.71989904;0.430759525
193;62.86331059;27.05463472;0.451348151
195;63.17097679;26.63302624;0.479246355
197;64.59620814;27.01794928;0.471988796
199;62.5643917;26.76736672;0.479117219
201;62.12631149;26.87441056;0.457086688
203;61.7957128;26.4532936;0.494299506
205;62.69757768;26.49251728;0.527338809
207;62.00325513;26.50628368;0.502033036
209;60.86075499;26.55500656;0.482622754
211;61.65330979;26.46964384;0.450632977
213;62.59390747;26.51629216;0.447136386
215;61.88248393;25.69711408;0.45159745
217;63.11155636;26.2322176;0.475828658
219;62.56042788;26.03707216;0.489594668
221;61.6535696;25.57673152;0.482458899
223;63.33178258;25.63780048;0.454458888
225;62.05184699;26.14701904;0.469979803
227;62.63282605;26.05305856;0.479699335
229;63.51861202;25.0982392;0.523910031
231;64.2735043;25.7564368;0.567716312
233;63.86971144;26.03578048;0.574744805
235;64.46563225;25.3519432;0.556044095
237;63.77187313;25.53954592;0.576740927
239;64.87689987;25.47171616;0.562461512
241;65.37537274;25.57995232;0.568309889
243;65.0391788;25.22954944;0.603988104
245;64.7743054;25.258756;0.617232453
247;65.18582514;25.40880928;0.607688801
249;65.85360528;24.6813352;0.608879409
251;66.73456478;24.79575856;0.621777246
253;67.11075823;24.80937904;0.603910408
255;65.02645942;24.95638432;0.603873936
257;64.88062619;24.50764432;0.657988279
259;65.21124125;24.54187312;0.656003748
261;67.04170478;24.41787904;0.628827033
263;65.58157347;24.65771584;0.651503535
265;66.98510573;24.54427504;0.626395831
267;67.3394938;24.52608736;0.597153411
269;66.82464775;24.44316352;0.618724619
271;67.94755587;23.98224064;0.6184228
273;67.01979187;24.29338336;0.617541857
275;67.05576678;23.92961488;0.642600329
277;67.5296633;23.53420192;0.66060595
279;65.72615192;23.81647456;0.671966288
281;68.36299843;23.98140448;0.677885466
283;67.06690288;23.86653568;0.641845664
285;67.9324856;23.63239408;0.635549563
287;67.64462249;23.53476736;0.626261838
289;66.70021028;23.5872112;0.635448749
291;69.22344197;23.38377712;0.699344012
293;67.98608811;23.27079184;0.773332933
295;67.92372904;23.77852576;0.807875041
297;68.48309582;23.47479904;0.814880016
299;69.47626831;23.42836912;0.778513882
301;67.93283362;23.49453376;0.74012662
303;68.46797019;22.87088368;0.726786279
305;68.83145826;22.83201472;0.747287542
307;66.02099164;22.60774384;0.759273505
309;68.44008236;22.65145312;0.802773327
311;69.20980336;22.54340848;0.808454754
313;67.77080378;22.668004;0.838763414
315;67.90708191;22.86485152;0.844970527
317;68.04852531;22.21926592;0.834496452
319;68.33410513;22.36234912;0.803027786
321;67.42662337;22.60954672;0.84671152
323;67.44079689;22.18264384;0.829992875
325;67.72832368;22.11651664;0.812279054
327;67.28239325;22.08811024;0.871023838
329;68.6471764;21.84348736;0.90405069
331;67.58135498;22.19472688;0.892175526
333;68.30162209;22.10762656;0.874225682
335;67.13137765;22.17879664;0.885133186
337;67.44607358;21.45247936;0.839775457
339;67.82964256;22.16338432;0.829338975
341;68.16173603;22.0163704;0.823716175
343;68.23778788;21.68854192;0.852588229
345;68.36880067;21.3968968;0.839274357
347;67.2363129;21.42305488;0.856333714
349;68.21503103;21.53281024;0.846766422
351;67.49198041;20.94169696;0.823819142
353;67.85824045;21.09629056;0.795188207
355;66.89565841;21.06724816;0.804085191
357;67.31112608;21.24359632;0.784297889
359;66.56972995;20.90041744;0.775713067
361;67.65882451;20.84656336;0.772449051
363;66.33750791;20.94070576;0.738544591
365;65.80809936;21.101632;0.72243228
367;64.96023727;20.66743264;0.751727769
369;66.18338619;20.79021664;0.78660547
371;66.93227879;20.61641728;0.77731554
373;67.98251007;21.23074864;0.788333312
375;67.77297937;20.35428736;0.811007692
377;67.57188166;20.67092656;0.819301765
379;65.82472238;20.69408176;0.814313947
381;65.34122641;20.38071952;0.824623503
383;65.61093711;20.50289488;0.877297241
385;64.37997166;20.55601216;0.871244616
