Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyurethane;;;;F1B-1;Armrest passenger seats – Upwards Facing Surface;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 10:29:06
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;66;256.0;111.7;;;306.04;39.2;25.2;;712.4;;143.6;0.008836;Melting;2010-10-20;c_LNE_F1B-1_25a;18.25;;;;;;;;;;32.35;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;3.1;306.4;0
2;3.7;306.4;0
4;4.0;306.4;0
6;4.2;306.4;0
8;4.5;306.4;0
10;4.7;306.4;0
12;4.8;306.4;0
14;4.7;306.4;0
16;4.3;306.4;0
18;4.1;306.5;0
20;3.9;306.5;0
22;3.3;306.4;0
24;2.6;306.4;0
26;1.8;306.4;0
28;1.2;306.4;0
30;0.9;306.4;0
32;0.7;306.4;0.061
34;0.5;306.4;0.111
36;0.7;306.4;0.193
38;1.1;306.4;0.264
40;1.3;306.4;0.321
42;1.5;306.4;0.372
44;2.0;306.4;0.431
46;2.5;306.3;0.496
48;3.0;306.3;0.550
50;3.2;306.3;0.555
52;3.2;306.3;0.575
54;3.6;306.3;0.614
56;4.6;306.3;0.638
58;8.3;306.3;0.647
60;16.8;306.3;0.645
62;30.0;306.3;0.609
64;47.7;306.3;0.738
66;68.4;306.2;1.053
68;90.9;306.2;1.385
70;114.1;306.1;1.697
72;135.6;306.0;2.080
74;152.8;305.9;2.527
76;166.6;305.8;3.001
78;176.6;305.7;3.315
80;184.1;305.6;3.528
82;190.1;305.4;3.613
84;195.3;305.3;3.714
86;199.6;305.1;3.764
88;204.3;305.0;3.833
90;207.5;304.8;3.947
92;211.7;304.6;3.955
94;216.1;304.5;3.904
96;221.9;304.3;4.065
98;227.0;304.1;4.171
100;232.6;303.9;4.294
102;237.6;303.7;4.196
104;244.1;303.6;4.177
106;248.6;303.4;4.221
108;252.4;303.2;4.168
110;254.2;303.0;4.040
112;255.5;302.8;3.761
114;255.7;302.6;3.576
116;256.0;302.4;3.520
118;254.1;302.2;3.358
120;252.8;302.0;3.231
122;250.6;301.8;3.159
124;249.5;301.6;3.176
126;248.5;301.5;3.337
128;246.8;301.3;3.347
130;243.7;301.1;3.324
132;241.3;300.9;3.368
134;237.9;300.7;3.358
136;233.7;300.5;3.324
138;228.1;300.4;3.147
140;223.3;300.2;3.068
142;218.8;300.0;2.970
144;214.7;299.9;2.913
146;210.7;299.7;2.762
148;206.7;299.6;2.723
150;204.8;299.4;2.696
152;203.1;299.3;2.666
154;200.7;299.1;2.560
156;198.9;299.0;2.493
