Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyurethane;;;;F1B-1;Armrest passenger seats – Upwards Facing Surface;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 10:35:24
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;60;346.0;115.6;;;303.0;39.9;25.6;;617.3;;194.0;0.008836;Melting;2010-10-20;c_LNE_F1B-1_25b;18.5;;;;;;;;;;32.35;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;7.1;303.0;0
2;8.0;303.0;0
4;9.1;303.0;0
6;10.0;303.0;0
8;10.5;303.0;0
10;10.7;303.0;0
12;10.4;303.0;0
14;9.7;303.0;0
16;8.6;303.0;0
18;7.2;303.0;0
20;6.1;303.0;0
22;5.5;303.0;0
24;5.1;303.0;0
26;5.1;303.0;0
28;5.1;303.1;0
30;5.4;303.1;0
32;6.1;303.1;0
34;6.7;303.1;0
36;7.1;303.1;0
38;7.4;303.0;0
40;7.4;303.0;0
42;7.2;303.0;0.1
44;6.9;303.0;0.2
46;6.4;303.0;0.2
48;5.9;303.0;0.3
50;5.9;303.0;0.4
52;9.6;303.0;0.5
54;20.2;302.9;0.6
56;37.7;302.9;0.8
58;61.5;302.9;1.1
60;90.2;302.9;1.6
62;121.4;302.8;2.2
64;154.8;302.7;2.7
66;187.8;302.6;3.3
68;216.5;302.5;3.9
70;240.6;302.3;4.5
72;259.8;302.2;4.9
74;275.3;302.0;5.1
76;289.1;301.8;5.2
78;301.5;301.5;5.4
80;311.1;301.3;5.4
82;318.7;301.1;5.4
84;322.5;300.9;5.3
86;324.6;300.6;5.2
88;326.7;300.4;5.0
90;328.7;300.2;4.9
92;329.3;299.9;4.9
94;330.6;299.7;5.0
96;332.1;299.5;4.9
98;335.0;299.3;5.0
100;339.4;299.0;4.9
102;341.9;298.7;4.9
104;343.1;298.4;4.8
106;344.4;298.2;4.8
108;345.3;297.9;4.8
110;345.6;297.7;4.7
112;346.0;297.4;4.6
114;345.5;297.2;4.6
116;343.8;296.9;4.6
118;342.2;296.7;4.6
120;339.8;296.4;4.6
122;336.8;296.2;4.5
124;332.4;296.0;4.5
126;328.8;295.7;4.6
128;324.3;295.5;4.5
130;321.1;295.2;4.6
132;316.8;295.0;4.6
134;312.7;294.8;4.5
136;307.4;294.6;4.4
138;302.0;294.4;4.2
140;294.6;294.2;4.0
142;286.8;293.9;3.8
144;279.4;293.7;3.5
146;271.8;293.5;3.2
148;264.9;293.3;3.0
150;258.2;293.1;2.8
152;253.0;292.9;2.7
154;249.0;292.7;2.5
156;245.3;292.6;2.4
158;241.2;292.4;2.3
160;238.5;292.3;2.3
162;236.2;292.1;2.2
164;234.6;292.0;2.2
166;232.5;291.8;2.2
168;229.7;291.7;2.2
170;227.1;291.5;2.2
172;224.7;291.3;2.1
174;221.5;291.2;2.1
176;218.2;291.0;2.0
178;214.0;290.9;1.9
180;210.6;290.7;1.9
182;208.1;290.5;1.7
184;205.3;290.3;1.6
186;202.7;290.2;1.6
188;199.9;290.0;1.5
190;197.7;289.9;1.4
192;195.9;289.7;1.4
194;194.2;289.7;1.4
196;192.1;289.6;1.4
198;189.6;289.4;1.3
200;187.0;289.3;1.3
202;185.3;289.2;1.2
204;181.7;289.1;1.2
206;178.3;289.0;1.2
208;174.2;288.9;1.1
210;169.8;288.7;1.0
212;166.7;288.6;1.0
214;163.6;288.5;1.0
216;159.8;288.4;1.0
218;157.2;288.3;0.9
220;154.7;288.2;0.8
222;152.5;288.1;0.8
224;150.6;288.0;0.7
226;147.6;287.9;0.7
228;145.3;287.7;0.7
230;143.3;287.6;0.6
232;141.3;287.6;0.6
234;139.6;287.5;0.6
236;137.8;287.4;0.6
238;135.5;287.3;0.6
240;134.0;287.2;0.5
242;132.9;287.1;0.5
244;132.5;287.0;0.4
246;131.1;286.9;0.4
248;130.0;286.8;0.4
250;128.9;286.7;0.4
252;128.1;286.6;0.3
254;127.8;286.5;0.3
256;126.3;286.5;0.3
258;124.4;286.4;0.3
260;123.5;286.3;0.3
262;122.6;286.2;0.3
264;121.7;286.1;0.3
266;120.4;286.0;0.3
268;119.0;285.9;0.3
270;118.0;285.9;0.3
272;116.8;285.8;0.3
274;115.4;285.7;0.3
276;114.0;285.6;0.3
278;112.8;285.6;0.3
280;112.2;285.5;0.3
282;112.1;285.4;0.3
284;111.9;285.3;0.3
286;112.0;285.2;0.3
288;112.6;285.2;0.3
290;112.6;285.1;0.3
292;112.7;285.0;0.3
294;112.5;284.9;0.3
296;111.6;284.9;0.2
298;111.0;284.8;0.2
300;110.4;284.7;0.3
302;109.8;284.6;0.2
304;109.4;284.6;0.2
306;109.1;284.5;0.2
308;108.8;284.4;0.2
310;108.9;284.3;0.2
312;109.3;284.3;0.3
314;109.2;284.2;0.2
316;109.0;284.1;0.2
318;108.7;284.0;0.2
320;108.6;284.0;0.3
322;108.6;283.9;0.3
324;108.4;283.8;0.3
326;108.4;283.7;0.3
328;108.5;283.6;0.3
330;108.6;283.6;0.3
332;109.1;283.5;0.3
334;109.1;283.4;0.3
336;109.2;283.3;0.3
338;109.3;283.2;0.3
340;109.1;283.2;0.3
342;109.1;283.1;0.3
344;108.8;283.0;0.3
346;108.4;282.9;0.3
348;108.4;282.8;0.3
350;107.9;282.8;0.3
352;107.8;282.7;0.3
354;107.8;282.6;0.3
356;107.5;282.5;0.3
358;107.8;282.5;0.3
360;108.1;282.4;0.3
362;108.5;282.3;0.4
364;109.4;282.2;0.4
366;110.5;282.2;0.4
368;111.3;282.1;0.5
