Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyurethane;;;;F1B-1;Armrest passenger seats – Upwards Facing Surface;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 10:39:48
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;77;255.9;114.4;;;301.0;39.5;25.58;;660.0;;143.3;0.008836;Melting;2010-10-20;c_LNE_F1B-1_25c;18.5;;;;;;;;;;32.35;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;2.9;301.0;0
2;3.4;301.0;0
4;3.9;301.0;0
6;4.6;301.1;0
8;5.0;301.1;0
10;5.3;301.1;0
12;5.6;301.1;0
14;5.3;301.1;0
16;4.9;301.0;0
18;4.3;301.1;0
20;3.5;301.0;0
22;2.8;301.0;0
24;2.2;301.0;0
26;1.5;301.0;0
28;1.0;301.1;0
30;0.6;301.1;0
32;0;301.1;0
34;0;301.1;0
36;0;301.1;0
38;0;301.0;0
40;0;301.0;0
42;0.2;301.0;0.033
44;0.4;301.0;0.091
46;0.7;301.0;0.179
48;0.8;301.0;0.232
50;0.9;301.0;0.272
52;1.0;301.0;0.311
54;1.0;301.0;0.347
56;0.9;301.0;0.394
58;0.8;301.0;0.440
60;0.8;301.0;0.424
62;0.7;300.9;0.461
64;0.7;300.9;0.495
66;0.6;300.9;0.534
68;1.5;300.9;0.605
70;10.1;300.9;0.614
72;26.2;300.9;0.649
74;48.2;300.9;0.835
76;75.6;300.8;1.176
78;105.5;300.8;1.790
80;136.1;300.7;2.280
82;166.9;300.6;2.868
84;190.9;300.5;3.455
86;207.5;300.3;4.039
88;218.2;300.2;4.470
90;224.6;300.0;4.704
92;228.4;299.8;4.744
94;232.0;299.6;4.882
96;234.1;299.4;4.853
98;235.5;299.2;4.919
100;237.6;299.1;4.804
102;238.7;298.9;4.723
104;240.1;298.7;4.700
106;240.7;298.5;4.557
108;241.0;298.4;4.488
110;241.4;298.2;4.345
112;242.5;298.0;4.194
114;244.1;297.8;4.164
116;246.6;297.6;4.221
118;248.2;297.4;4.190
