Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F1A-1-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 10:48:56
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;2;372.96;63.65;;;44.54;31.50;17.83;;755.53;;239.36;0.0088;Swelling. Glowing. End flame at 879s.
;2011-03-01;c_LSFIRE_F1A1-3_75c;29.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;-21.50466229;44.54;0.996288576
3;16.69900888;44.38167392;2.345780302
5;125.1910157;44.5165056;3.296873726
7;210.8160364;43.89433584;3.935445817
9;238.048696;43.32956784;4.245653144
11;216.2821494;43.29559584;4.79048283
13;178.9927794;42.88182576;4.81730454
15;165.3753157;42.46595424;5.601135485
17;193.9395136;42.66105072;6.486906527
19;263.9870068;41.50886016;7.68932502
21;314.0130565;41.12209248;8.939215846
23;364.2793386;40.44313824;9.625095489
25;372.9615009;40.12880496;10.02896347
27;354.8974351;39.8879784;10.51827731
29;338.7945415;39.0254664;10.78166622
31;316.2826833;38.94996768;9.64409909
33;282.0709675;38.01178272;8.253022277
35;254.4846512;38.27330928;6.741425861
37;219.9957658;37.80531184;5.303103977
39;198.1509724;37.52969232;3.894797188
41;183.5773665;37.62075984;3.220897292
43;165.0350194;37.71633792;3.156567316
45;158.5658137;37.53684384;3.075440141
47;154.1561682;37.37278176;3.033698854
49;148.3423906;36.99080064;2.840129486
51;142.2088658;36.8259096;2.694366063
53;140.529736;36.59026896;2.43286929
55;130.5372727;36.44785968;2.175520939
57;127.0951146;36.5030136;1.850632127
59;115.9379249;36.09297312;1.614408668
61;108.700625;36.13176;1.348075179
63;103.011819;36.20108016;1.110058957
65;100.1136777;36.17539536;0.929915908
67;96.21373767;35.89234272;0.800677522
69;92.53479091;35.51394768;0.645866425
71;88.97144237;35.84402976;0.533400574
73;86.7580246;35.82747168;0.510816714
75;84.49391353;35.45647344;0.469947432
77;83.08888479;34.865448;0.438400361
79;82.53669186;34.71003792;0.425315252
81;81.34389432;35.20785984;0.405964356
83;80.11116434;34.86518448;0.38399996
85;79.47858816;35.0196216;0.384339751
87;78.98837121;34.63061664;0.388317059
89;81.1108173;34.7093088;0.39471766
91;79.58517025;34.58969856;0.413439012
93;78.85862091;34.57037792;0.435444768
95;80.19644132;34.4922;0.466701869
97;81.74215634;34.41700128;0.477623907
99;81.30913928;33.95655648;0.493663555
101;81.24650632;33.91135536;0.506284986
103;81.5285256;33.83490144;0.497024412
105;81.96445004;33.63910224;0.533079074
107;82.48028869;33.6753504;0.588868428
109;83.20520784;33.51823872;0.629195106
111;83.55161426;33.2392632;0.647831552
113;84.23586613;33.8218368;0.684402195
115;82.88449234;33.06962256;0.669957132
117;83.8158132;33.16126272;0.701879971
119;84.30831318;33.05455584;0.732917508
121;83.02083157;33.0785112;0.751531111
123;83.45727347;33.14524848;0.750157354
125;85.18781187;33.34305744;0.770417003
127;84.55639623;33.09283152;0.755782093
129;83.24551359;32.8078416;0.775054783
131;86.45514053;32.43609696;0.794243888
133;86.61696475;32.60795616;0.809783581
135;86.22974037;32.59894896;0.805848485
137;87.05857831;32.28346992;0.788044399
139;88.24661827;32.1904296;0.740848442
141;87.62353256;32.07128544;0.745294445
143;86.64589263;31.82823024;0.76504432
145;86.42243537;31.72599984;0.766019633
147;87.91541475;31.84689072;0.764065794
149;84.61372443;31.76647872;0.771779718
151;84.84526042;31.3871928;0.765551216
153;85.72490402;31.30919232;0.715945795
155;85.64044614;31.64299632;0.705434892
157;83.81498684;31.50140592;0.697256478
159;83.38057246;31.32405888;0.684339213
161;84.27124007;31.12657728;0.639795579
163;83.46329721;31.2533544;0.672639706
165;82.55845819;31.326888;0.673346458
167;81.8310785;31.17590832;0.657656823
169;85.21571323;30.71011392;0.660356277
171;83.43656317;30.6827544;0.677473186
173;82.66799371;30.44037216;0.67118492
175;81.4913884;30.7690896;0.660492552
177;81.10419749;30.5321664;0.689671161
179;80.53766122;30.48682032;0.694353955
181;81.04415606;30.51430656;0.693132683
183;80.42931557;30.25462752;0.694864946
185;79.72050652;30.3152328;0.703640719
187;79.1997931;30.1628064;0.690356618
189;79.33143787;29.707548;0.654439115
191;80.26918906;29.87464992;0.611344855
193;76.30369321;30.04338;0.586232676
195;77.29167825;29.85808176;0.558183705
197;76.04126331;29.74530576;0.557156426
199;75.8151122;29.46300864;0.580721007
201;75.53593095;29.43014496;0.584855863
203;76.03046131;29.3020848;0.566094625
205;74.74178982;29.06931072;0.607436152
207;75.84859133;28.98260256;0.586349285
209;74.83705605;29.32864416;0.627323795
211;74.51172699;29.29061232;0.653409572
213;74.19694695;28.9291224;0.697150174
215;73.82538275;28.7939376;0.611039847
217;74.17379061;28.84933776;0.61330339
219;72.12745273;28.73726352;0.563026707
221;73.27691236;28.83757344;0.561670175
223;71.64126657;28.75445952;0.525488578
225;73.30603408;28.32542256;0.554461861
227;71.95403527;28.59908544;0.529843779
229;72.17148701;28.43474016;0.527106799
231;70.93486911;28.38959376;0.532844126
233;72.00004564;28.29490656;0.569951551
235;70.96102937;28.24765824;0.580809716
237;71.2596541;28.01493888;0.614583788
239;72.2338089;28.41008352;0.598643989
241;71.20694538;27.94801968;0.588137278
243;69.66522938;28.07221296;0.554826917
245;70.96279996;27.7233792;0.57078401
247;68.6976884;27.8767512;0.543082262
249;70.0637498;27.76482288;0.539819614
251;72.42778171;27.83105904;0.499629268
253;70.6197399;27.65451312;0.500771065
255;71.0779758;27.75210288;0.493231027
257;70.28886531;27.54015504;0.517062671
259;70.90638822;27.28764624;0.528902769
261;71.84486922;27.48298944;0.552156818
263;72.54141316;27.0884088;0.507555862
265;70.748802;27.27983088;0.503360603
267;71.21610635;27.09607872;0.551946669
269;71.46380691;26.83712832;0.571734324
271;71.12303605;27.03884064;0.584530057
273;71.50874024;26.6140896;0.635686822
275;73.11208617;27.06528048;0.636673233
277;72.6005147;26.79712272;0.585854096
279;70.38477021;26.65693392;0.595655146
281;71.75817291;26.50959408;0.617653313
283;71.72564393;26.4802608;0.589837634
285;72.84634233;26.57401104;0.586681295
287;71.0750398;26.30018448;0.562305418
289;71.2802964;26.2782576;0.567292981
291;71.51499286;26.24205728;0.574373564
293;71.56614955;26.0935256;0.579578991
295;71.45695309;26.01810624;0.615531191
297;70.8519603;26.03211744;0.653810999
299;71.54240101;26.31934608;0.677493714
301;71.19859503;25.81367328;0.694349097
303;72.19047504;26.0353656;0.74995072
305;72.34368758;25.68469392;0.726704165
307;69.23196823;25.67261136;0.717580448
309;71.91425354;25.8170856;0.718062103
311;71.58453336;25.70078928;0.715917569
313;70.77065368;25.3682784;0.722176946
315;71.77547041;25.58581248;0.742403894
317;72.41055847;25.45741536;0.759239992
319;72.2551309;25.7513496;0.741877789
321;71.67759734;25.33169328;0.763779268
323;72.54628731;25.65607968;0.764956313
325;71.86725598;25.1586504;0.760620679
327;71.949593;25.1568672;0.79104085
329;72.66204394;25.0665288;0.776827299
331;72.1872367;24.81220992;0.754443815
333;70.71228596;25.19382528;0.729798654
335;72.37797244;24.9449376;0.736505705
337;72.7360923;24.67474176;0.782495896
339;71.74890115;24.74819328;0.793628223
341;71.98716009;24.46845312;0.771408975
343;72.28939756;24.52600992;0.781322642
345;71.65481318;24.70389312;0.823578732
347;72.63635848;24.53037696;0.845615412
349;72.97195293;24.08100624;0.899590937
351;72.92475174;24.5812104;0.940467707
353;74.44463754;24.97791984;0.946026757
355;72.29013702;24.09146016;0.950670479
357;73.3765633;23.97370848;0.873624462
359;71.9041733;24.0468048;0.855996031
361;73.14643835;24.3044088;0.861289376
363;74.07646813;24.05093616;0.873736911
365;74.98748445;23.6850432;0.822722893
367;74.94798867;23.4499488;0.843861902
369;73.79857294;23.7593952;0.860585025
371;74.07232238;23.602584;0.904197198
373;73.13866047;23.84249088;0.903784405
375;75.13109301;23.52364608;0.948281333
377;73.89489629;23.69249472;0.954565841
379;73.16234064;23.66051328;0.972139661
381;72.92259875;23.27285712;0.968914632
383;72.93502258;23.3320608;0.984094897
385;73.21863158;23.26538688;0.978786709
387;75.25541109;23.28737808;0.95966448
389;73.62458588;22.9293648;0.918936072
391;73.55142021;22.8294456;0.938597299
393;72.23296598;22.72852608;0.982314568
395;73.24765835;22.9420296;1.000938562
397;74.0805301;23.02640832;1.046437332
399;74.54271414;23.27819808;1.043428941
401;74.03016048;23.1985416;0.974580303
403;73.36581353;22.54289088;0.918021977
405;73.74428883;22.5182616;0.89971348
407;74.21644198;22.6099008;0.900923422
409;71.95100614;22.1195328;0.89550441
411;72.46861899;22.55044272;0.866755519
413;73.66081426;22.16557104;0.852716638
415;72.54530286;22.57263408;0.812752566
417;72.26524087;22.27104;0.786377574
419;70.48205997;22.04611824;0.805938424
421;71.48646338;21.8543688;0.817189136
423;72.02835965;21.83616288;0.805848456
425;70.6907654;21.7899336;0.800717103
427;70.24253807;21.8548056;0.737133112
429;70.72471624;21.7094856;0.718157112
431;71.33722183;22.01284512;0.723318701
433;69.91257635;21.74103024;0.713057517
435;70.48606671;21.58003296;0.68243142
437;71.00642151;22.14440832;0.724952818
439;71.50234723;21.75247584;0.719695695
441;70.46292998;21.5207664;0.685147785
443;70.22779267;21.19157664;0.692245452
445;71.260992;21.3858744;0.699026157
447;70.91231945;21.36476496;0.65786526
449;71.99930187;21.42175776;0.622553407
451;71.0874428;21.07712784;0.626341623
453;71.15053356;21.08698128;0.639646338
455;71.64876922;21.38656512;0.674056063
457;72.62849562;21.3862104;0.686687505
459;73.74320858;21.19202352;0.68625119
461;73.88399588;21.24128256;0.722795365
463;73.66139416;20.80668768;0.701982164
465;75.41775847;20.7279408;0.727889879
467;74.71917507;20.9390424;0.72527514
469;75.75194809;20.69374848;0.771513362
471;74.29026001;20.86364256;0.778109009
473;77.85578164;20.3766408;0.783122694
475;75.9188946;20.43678096;0.699248504
477;76.75126944;20.4598728;0.695560755
479;78.26573791;20.61059712;0.661664063
481;76.60987133;20.19802944;0.645311708
483;79.19181072;20.42202432;0.658370328
485;79.91039971;20.11929264;0.703540857
487;81.04368315;20.20668336;0.694479009
489;81.18987402;20.35500576;0.677795107
491;81.14409464;20.05173696;0.671264575
493;80.84270398;19.76123328;0.646570271
495;79.90085725;19.86118848;0.633662691
497;80.83390314;19.93059168;0.617311709
499;82.66146724;19.66562832;0.650979241
501;81.21577274;19.5158952;0.628016734
503;84.6256162;19.51398432;0.64379599
505;81.54438761;19.44465456;0.64290389
507;83.17874893;19.553544;0.614689564
509;83.43347583;19.45827504;0.569734846
511;82.28647221;19.473132;0.560765926
513;82.06263791;19.47328704;0.555136916
515;83.48755209;19.41757776;0.558380053
517;83.73631832;19.4224992;0.562848272
519;83.17865672;19.29241008;0.542877419
521;83.6300238;18.97488432;0.517460499
523;83.93323919;18.81735504;0.464405456
525;81.89653601;19.07271216;0.476046078
527;81.77206556;18.76273056;0.486855059
529;82.92974764;18.8018616;0.510409848
531;81.33644274;19.09809696;0.512305703
533;81.69822209;18.56796;0.504059461
535;81.82847632;18.72104016;0.460783329
537;81.43058581;18.7875864;0.511874934
539;82.0166104;18.75152928;0.47312292
541;80.84543553;18.63668976;0.434859218
543;80.21582781;18.40114848;0.452980359
545;80.22963482;18.47112528;0.432442245
547;78.51236463;18.2825232;0.372165746
549;77.41888202;18.182268;0.382781055
551;78.29047153;18.11693136;0.4059036
553;77.02294245;18.25474512;0.374985879
555;76.2272086;18.43474896;0.34149814
557;75.21343705;18.35700384;0.310435975
559;73.93442839;18.02342832;0.282172989
561;76.07114092;18.07115952;0.301396456
563;74.11927845;17.91722448;0.278195623
565;72.99935177;17.98917504;0.288880735
567;72.20240263;17.62855008;0.288187985
569;71.3914667;17.64899424;0.286723007
571;71.27854186;18.17593728;0.273476446
573;69.25768056;17.45624352;0.292014872
575;69.11125636;17.68934496;0.286405262
577;67.33837181;17.87564352;0.271832849
579;67.21118334;17.3081208;0.2644933
581;66.18367863;17.4525864;0.224861823
583;65.11295055;17.24326944;0.233153498
585;63.8228519;17.18193936;0.23569716
587;64.30121765;17.58658272;0.254013603
589;62.31396969;17.2412352;0.256663986
591;61.94789677;17.18221248;0.249121847
593;59.24477882;16.9231152;0.222332055
595;60.65113329;17.3803464;0.208541242
597;58.46421634;17.10147888;0.182971644
599;58.99066786;16.85643072;0.205970727
601;58.1782353;17.41501104;0.240037535
603;57.09372638;16.88602944;0.251402757
605;55.77752172;16.729464;0.256284533
607;54.77901094;17.31765744;0.262476626
609;53.54566843;17.01208704;0.231553684
611;54.64074386;16.9011048;0.205122939
613;52.11633739;16.60629696;0.193710964
615;51.92046594;16.93479792;0.18388809
617;51.05728274;16.7022696;0.195668465
619;50.6848037;16.43136432;0.18603398
621;50.56908818;16.47906816;0.173561278
623;49.37650242;16.5808056;0.142832137
625;49.56373894;16.552992;0.170019376
627;48.11101738;16.65075504;0.154984827
629;47.89307834;16.7368632;0.167625243
631;46.72321443;16.50517296;0.162592297
633;46.26418128;17.04534576;0.171473474
635;46.0356707;16.05972336;0.131149189
637;44.86371616;16.16988672;0.146725654
639;44.17230001;16.48524768;0.143636117
641;43.75969843;16.333404;0.161681159
643;43.73429636;16.41812016;0.205923966
645;43.83205287;15.52392864;0.211055719
647;42.61055352;16.32262272;0.188851213
649;42.39459941;16.0949256;0.164347134
651;41.37056427;15.78517968;0.163391527
653;41.23442119;15.98325264;0.152084883
655;39.84448343;16.2657312;0.161721624
657;39.82918763;16.00632528;0.178688635
659;39.84289762;16.29835728;0.19224186
661;39.31526861;16.06825824;0.167104929
663;38.40018286;15.8967624;0.141759309
665;38.25202166;16.21210416;0.130915978
667;36.92531307;15.61899792;0.126550654
669;37.13584033;15.92682528;0.137849788
671;37.3673666;15.92052;0.135849744
673;37.0187099;15.90695424;0.132933006
675;36.24258524;15.14877504;0.138035559
677;35.72963561;15.67685568;0.149897799
679;34.72442665;15.88144992;0.152515617
681;34.31868696;15.86220672;0.167336443
683;34.84726779;15.882888;0.158630138
685;34.49131983;15.71057328;0.146934651
687;33.81915253;15.83235648;0.126951258
689;34.05263733;15.68934864;0.137550487
691;32.8649414;15.62072832;0.13015327
693;32.50529411;15.91688976;0.156810781
695;32.50660298;15.63408384;0.158302673
697;32.03996353;15.67964784;0.168506098
699;31.82192737;15.33087216;0.175051693
701;31.64240626;15.684408;0.200341618
703;30.61067292;15.60563424;0.196913701
705;30.97814486;15.08982816;0.192388252
707;31.01580311;15.36963984;0.172408993
709;30.59226534;15.65980704;0.157296247
711;29.58903469;15.17708256;0.153437228
713;29.42179123;15.54042864;0.165523881
715;29.56222976;15.1328208;0.176529764
717;29.28095162;15.48168912;0.162255772
719;28.86324527;15.21518688;0.13780019
721;28.26310793;14.95619088;0.130058334
723;28.47724296;15.48050448;0.11400068
725;28.51987459;15.42829968;0.134263621
727;27.29723303;15.65782512;0.135510578
729;27.14792017;15.36960672;0.138680429
731;26.99853573;15.02658768;0.115641844
733;26.33662456;15.05595744;0.118540602
735;26.8170133;15.1541928;0.111652807
737;26.33369385;15.23238576;0.134526412
739;25.28080375;15.04864224;0.131775056
741;25.48685838;15.11872848;0.152757177
743;25.87669277;14.9605608;0.136500537
745;25.22717871;15.01673424;0.144077533
747;25.12178728;14.76408144;0.148294358
749;25.28312673;15.07358208;0.139691331
751;24.05306724;14.95643088;0.115246992
753;24.89357428;14.90719056;0.119270168
755;24.08858321;14.83846944;0.11062863
757;23.11479282;14.66227056;0.120859093
759;23.99406883;14.97917616;0.134458819
761;23.39994745;14.90747136;0.153191116
763;23.14938424;14.9163072;0.144308562
765;22.84695431;14.7547656;0.122379853
767;23.00570979;14.95985376;0.131521051
769;23.02949787;14.31280176;0.142781206
771;22.0921304;14.6093832;0.135943285
773;22.47739028;14.83672224;0.135637837
775;22.40726037;14.49064608;0.151529101
777;21.62120882;14.91609696;0.130335624
779;21.42055287;15.06112464;0.147475175
781;21.56952773;14.57472384;0.136060376
783;20.60697396;14.847324;0.155751367
785;20.92410617;14.71032912;0.161884333
787;20.57834154;14.69919264;0.149538814
789;20.54142392;14.77267152;0.148999522
791;20.16811254;14.61376704;0.196086308
793;20.08486209;14.363388;0.176960602
795;20.34888212;14.84653248;0.158473491
797;19.91086642;14.54903376;0.170722108
799;19.71680274;14.63610528;0.168466017
801;19.36008134;14.74687728;0.143599938
803;19.78770325;14.4843168;0.178254278
805;19.29944693;14.61484224;0.18142924
807;19.23089731;14.52990768;0.180078925
809;18.81735756;14.41623456;0.164589714
811;18.4249515;14.46356448;0.190408301
813;17.76721254;14.6557224;0.164865878
815;18.72764447;14.12526768;0.171560179
817;18.42958041;14.12163696;0.171157602
819;18.45535857;14.4905592;0.175034323
821;18.23667801;13.86832944;0.154946932
823;17.5997847;15.03579984;0.173494257
825;17.75033373;14.45696368;0.185971837
827;17.408505;13.64360832;0.183335479
829;17.07951607;13.95909408;0.168833189
831;16.71931347;13.92458208;0.161906092
833;16.79111017;14.50607904;0.17415351
835;16.58451994;14.37144;0.173126892
837;16.6067274;14.105268;0.162772233
839;16.70134893;14.05597296;0.164589729
841;16.08319168;13.97406;0.166188613
843;16.24819051;13.8192336;0.174465327
845;16.23669872;14.4758472;0.175112897
847;16.02976686;14.18340624;0.183938892
849;15.55996077;13.83866784;0.180689788
851;15.24730147;14.20958256;0.20221785
853;14.86823425;14.17058544;0.185411472
855;15.33340471;13.96876464;0.182031893
857;15.70058075;14.12410992;0.165924119
859;15.21586439;14.28850896;0.168836239
861;14.82486688;13.87099344;0.140639996
863;14.5101433;14.22948864;0.132257669
865;14.41068021;14.0506776;0.113802752
867;14.44775249;14.21127456;0.136358476
869;14.93937536;13.83006192;0.143478102
871;14.21620806;14.07637344;0.142083624
