Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polycarbonate (blue);Polycarbonate (black);;;F1E-2;Back shell of passenger seat F1A-1-2;;ISO 5660;TRANSFEU;Distance sample-cone :60 mm;TRANSFEU;1;2011-03-28 11:21:37
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;52;232.2;162.4;;;77.9;61.8;20.5;;4789.4;;130.0;0.008836;Intumesing
Huge conical intumescence, reaching the cone heater despite the 60 mm distance.
Mass loss data as been linearised on some parts, to smooth the disturbances as much as possible.;2010-11-17;c_LNE_F1E-2_50b;6.1;2.8;3.3;;;;;;;;7.82;3.35;4.43;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;3.2;77.8;0.2
5;3.7;77.8;0.2
10;4.0;77.8;0.2
15;4.3;77.8;0.2
20;4.5;77.8;0.2
25;5.0;77.8;0.2
30;4.5;77.8;0.3
35;3.8;77.8;0.3
40;6.9;77.8;0.5
45;14.6;77.8;1.1
50;29.7;77.8;2.8
55;51.4;77.8;5.2
60;76.8;77.8;8.0
65;104.7;77.7;11.1
70;132.6;77.4;13.1
75;156.9;77.0;15.3
80;177.5;76.5;16.9
85;190.2;76.0;16.9
90;195.6;75.5;16.1
95;195.6;75.0;14.9
100;192.8;74.5;13.5
105;189.1;74.0;12.7
110;184.5;73.6;11.6
115;177.3;73.2;10.8
120;170.5;72.7;10.0
125;162.2;72.4;9.4
130;154.9;72.0;8.8
135;147.7;71.6;7.7
140;144.8;71.3;7.5
145;146.1;71.0;7.3
150;150.3;70.7;7.3
155;156.0;70.3;7.9
160;164.4;70.0;8.5
165;173.3;69.6;9.4
170;182.5;69.2;10.6
175;187.6;68.8;11.6
180;188.4;68.4;12.0
185;186.7;68.0;12.2
190;184.3;67.5;11.9
195;180.8;67.1;11.5
200;178.1;66.8;10.9
205;176.4;66.5;10.5
210;174.9;66.1;9.8
215;173.1;65.8;9.2
220;170.5;65.6;8.7
225;165.9;65.4;8.2
230;160.6;65.2;7.7
235;153.8;64.9;7.1
240;145.2;64.7;6.6
245;135.5;64.6;5.9
250;126.0;64.3;5.4
255;117.2;64.0;4.9
260;108.0;63.6;4.4
265;98.6;63.2;3.9
270;90.3;62.8;3.5
275;82.7;62.4;2.8
280;76.3;62.0;2.4
285;71.3;61.7;2.2
290;67.5;61.6;2.0
295;65.9;61.5;1.8
300;66.0;61.4;1.8
305;66.4;61.3;1.8
310;67.6;61.1;1.8
315;69.3;61.0;1.9
320;71.0;60.9;2.0
325;73.9;60.8;2.1
330;77.6;60.6;2.1
335;80.1;60.5;2.2
340;82.7;60.4;2.3
345;85.1;60.2;2.3
350;87.4;60.0;2.3
355;89.1;59.9;2.2
360;89.8;59.7;2.2
365;89.8;59.5;2.2
370;90.8;59.4;2.1
375;91.3;59.2;2.0
380;91.3;59.1;1.9
385;90.6;58.9;1.8
390;90.7;58.7;1.8
