Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polycarbonate (blue);Polycarbonate (black);;;F1E-2;Back shell of passenger seat F1A-1-2;;ISO 5660;TRANSFEU;Distance sample-cone :60 mm;TRANSFEU;1;2011-03-28 11:24:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;37;170.5;158.8;;;78.0;64.9;21.6;;4103.4;;129.4;0.008836;Intumesing
Huge conical intumescence, reaching the cone heater despite the 60 mm distance.
Mass loss data as been linearised on some parts, to smooth the disturbances as much as possible.;2010-11-17;c_LNE_F1E-2_50c;6.1;2.8;3.3;;;;;;;;7.82;3.35;4.43;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;1.5;78.0;0.3
5;2.4;78.0;0.3
10;2.6;78.0;0.3
15;2.7;78.0;0.4
20;3.1;78.0;0.4
25;4.3;78.0;0.5
30;9.2;78.0;0.9
35;17.4;77.9;1.7
40;29.7;77.9;3.3
45;45.7;77.8;4.9
50;65.4;77.6;6.8
55;87.2;77.4;8.7
60;109.4;77.1;10.8
65;128.0;76.7;12.0
70;143.7;76.3;13.1
75;155.3;75.8;13.2
80;163.7;75.3;12.9
85;167.3;74.8;12.2
90;168.6;74.3;11.3
95;167.4;73.9;10.1
100;164.1;73.4;9.5
105;158.5;73.0;8.2
110;152.6;72.6;7.2
115;146.7;72.3;6.5
120;142.5;72.0;6.0
125;139.6;71.6;5.7
130;138.7;71.3;5.8
135;140.8;71.0;5.9
140;146.1;70.7;6.5
145;152.3;70.3;7.2
150;158.0;69.9;7.8
155;162.6;69.5;8.2
160;166.2;69.1;8.7
165;169.2;68.7;8.9
170;170.5;68.3;8.9
175;168.7;67.8;8.5
180;165.5;67.4;8.0
185;162.6;67.0;7.8
190;159.6;66.6;7.8
195;157.2;66.2;7.7
200;155.3;65.8;7.6
205;154.7;65.4;7.6
210;154.7;65.0;7.8
215;155.6;64.6;7.9
220;156.6;64.3;7.8
225;159.5;63.9;7.7
230;161.2;63.6;7.6
235;160.5;63.3;7.2
240;158.7;62.9;6.9
245;157.7;62.6;6.6
250;156.4;62.2;6.3
255;154.2;61.9;6.2
260;150.1;61.6;5.9
265;145.2;61.2;5.5
270;139.3;60.9;5.1
275;132.3;60.5;4.6
280;124.6;60.2;4.1
285;116.5;59.8;3.6
290;109.4;59.5;3.2
295;102.6;59.3;2.6
300;96.0;59.1;2.3
305;91.9;58.9;2.1
310;89.7;58.7;1.9
315;87.9;58.6;1.8
320;86.3;58.4;1.7
325;84.8;58.3;1.7
330;83.5;58.1;1.6
335;83.4;58.0;1.6
340;84.0;57.8;1.5
345;84.4;57.6;1.5
350;85.1;57.4;1.5
355;86.2;57.2;1.6
360;87.4;57.0;1.6
365;89.2;56.8;1.6
370;90.5;56.6;1.6
375;92.3;56.4;1.7
380;96.6;56.2;2.0
385;102.4;56.1;2.3
390;108.7;55.8;2.6
395;115.3;55.6;2.8
400;122.3;55.4;3.1
405;129.8;55.1;3.3
410;136.7;54.9;3.6
415;142.2;54.6;3.6
420;146.8;54.3;3.6
425;150.6;54.0;3.8
430;154.6;53.7;3.9
435;157.7;53.4;4.0
440;161.9;53.0;4.1
445;165.0;52.7;4.3
450;166.6;52.3;4.3
455;167.5;52.0;4.3
460;167.4;51.6;4.1
465;166.2;51.3;3.9
470;163.6;51.0;3.7
475;159.1;50.7;3.5
480;154.8;50.4;3.2
485;150.6;50.2;3.0
490;145.6;50.0;2.8
495;140.9;49.9;2.6
500;136.9;49.8;2.4
505;134.5;49.7;2.3
