Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polycarbonate;;;;E7A-2;Supply line system and high power devices.;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 13:47:34
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;144;123.49;62.15;;;40.1;22.5;24.39;;11.9;;72.31;0.0884;The sample deforms and rises.;2011-02-16;c_CID_E7A-2_25a;3.04;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;3.732553719;40.1;-0.017191475
2;2.617479478;40.100789;-0.003396286
4;1.881327161;40.18804;-0.016851264
6;0.025228109;40.190023;-0.011403967
8;-0.584503976;40.300522;-0.004620144
10;-1.230173038;40.208192;-0.008282679
12;-1.826197578;40.01202;0.001058093
14;-1.424752425;39.989961;-0.00410172
16;-0.823860102;40.075699;-0.005104154
18;-0.361749298;39.988114;-0.006895764
20;0.874612979;39.982411;-0.010491425
22;2.803208547;40.076916;-0.0115884
24;2.634627324;40.009719;-0.01583812
26;1.981158118;40.07949;-0.00753723
28;0.662481667;40.099506;-0.00465705
30;0.060726827;40.09789;-0.010828879
32;0.231178785;40.079157;-0.005635493
34;-0.229406178;40.011986;-0.004373904
36;-0.950381004;39.975822;-0.013292238
38;-0.581553393;40.103128;-0.010149582
40;0.709196584;39.994442;-0.016237986
42;1.125451396;39.992699;-0.010229658
44;1.08062703;40.008821;-0.005090025
46;1.924043831;39.990387;-0.006019434
48;2.691750225;40.007966;-0.002993954
50;4.167570921;40.007171;-0.007755607
52;4.416196775;39.986734;-0.008291033
54;3.694909951;39.978023;-0.008925098
56;2.775350785;40.075962;0.001964949
58;2.607194075;39.999218;-0.006767559
60;3.4231445;40.09324;0.006948457
62;5.081020015;39.980663;-0.005476744
64;5.414391009;39.985972;-0.00191117
66;5.148147685;40.074643;-5.06E-05
68;3.580559989;40.008595;-0.000482862
70;2.133160989;39.986174;0.003142714
72;1.549548484;39.974441;0.002011323
74;2.731937307;40.009384;0.009467651
76;2.915673366;39.988246;-0.003220295
78;1.808885463;40.079392;0.00382328
80;2.037349494;40.011231;0.001652587
82;1.782857091;39.990224;0.003551425
84;1.700839513;39.991313;0.001964787
86;2.428500362;40.094561;0.003994069
88;1.046032108;40.04737;0.005140987
90;0.638434478;39.987785;-0.002282248
92;1.114863184;40.072177;0.016404316
94;0.625325874;39.986926;0.015024232
96;0.51778261;40.078701;0.0029134
98;1.166860261;40.098679;0.009030814
100;1.870297022;40.008788;0.003168396
102;2.769462346;39.988114;0.012167253
104;3.085700191;39.987983;0.007062296
106;2.994644556;39.989171;0.010797143
108;2.584324243;39.924213;0.008922892
110;2.01242561;39.992268;0.001233503
112;2.37339651;39.988114;0.012706985
114;2.799504367;39.977115;0.001518515
116;4.226682652;39.990224;0.023895397
118;3.973046198;39.989565;0.00839331
120;3.174157429;39.930672;0.015533987
122;3.213106901;39.9832;0.005454987
124;3.33196795;39.995005;0.015763796
126;4.181759371;39.993588;0.005631164
128;3.106612726;39.989725;0.022785931
130;1.443765224;39.929746;0.013858862
132;1.819325982;39.915082;0.033541254
134;1.832807044;40.098548;0.032035778
136;2.371893051;40.01248;0.033543026
138;2.355157436;39.990289;0.040607618
140;2.691750537;39.990387;0.055313577
142;3.728084678;39.913897;0.128269412
144;5.880183473;39.914358;0.097638342
146;8.276564421;39.729102;0.147772665
148;8.785138235;39.687662;0.149982349
150;8.981965149;39.799114;0.216051167
152;8.243885445;39.689936;0.452152624
154;7.70457789;39.69188;0.626210321
156;8.024412374;39.638722;0.600425812
158;7.408899261;39.783322;0.61951905
160;11.68761187;39.804884;0.968025755
162;18.92941455;39.920917;1.721096056
164;26.93109367;39.799773;1.768514964
166;34.53170554;39.8005;1.706057337
168;38.53230569;39.794764;1.820740029
170;42.7640937;39.70701;2.417927213
172;49.23033524;39.688714;2.191946028
174;56.62295862;39.623632;2.445185745
176;61.22211241;39.685382;2.180008158
178;65.75862503;39.590893;3.093745882
180;69.64120393;39.387533;2.517644854
182;73.10643616;39.385785;2.333848884
184;74.80744325;39.38687;2.609435669
186;77.61085134;39.220888;2.633900515
188;79.67570289;39.20045;2.873312332
190;80.43727047;39.186897;2.773229883
192;82.29557569;39.111183;2.500929875
194;82.38869948;39.025841;2.570150469
196;81.67999225;39.013785;2.602338075
198;79.75493733;39.013785;1.810266539
200;80.90687161;38.921093;2.043967371
202;77.11856325;38.787017;1.614387568
204;71.32742633;38.72387;1.589252471
206;64.93077856;38.712275;1.411734837
208;60.93605435;38.710659;1.431599865
210;56.81427766;38.599633;1.296514305
212;53.95268797;38.602898;1.141729789
214;51.7296832;38.602635;1.097855236
216;48.84656237;38.624399;1.106635203
218;47.58066416;38.490881;1.221724476
220;47.22957916;38.3759;1.199022438
222;46.09147637;38.464153;1.260771808
224;47.27707486;38.368845;1.332048654
226;49.19559882;38.318819;1.352108375
228;49.02345559;38.377483;1.24592524
230;49.67894779;38.320633;1.265479274
232;49.80670239;38.302638;1.202411099
234;48.73182332;38.191678;1.161527572
236;50.67498807;38.192373;1.501096415
238;52.32267759;38.082695;1.356066826
240;52.33231164;38.085895;1.627325255
242;52.40644734;38.080784;1.6420268
244;54.48270707;38.020569;1.43449061
246;55.09616369;37.920237;1.342158277
248;55.40870104;37.98985;1.647858662
250;55.51676067;37.919645;1.312117752
252;55.65310916;37.897487;1.602265858
254;58.30323651;37.726773;1.632287643
256;56.98560769;37.781849;1.399376157
258;56.83423897;37.750319;1.657310379
260;58.8610117;37.624562;1.640291064
262;60.54942418;37.689683;1.868052384
264;60.45854194;37.689396;1.762957075
266;60.49416532;37.605208;1.83836726
268;61.47560787;37.490847;1.776766811
270;60.30406183;37.429482;1.395752309
272;61.72130593;37.417721;1.84887841
274;60.72543879;37.416866;1.64349053
276;57.03074296;37.302377;1.828379417
278;60.348436;37.304751;1.896713717
280;60.93114357;37.213342;1.744360209
282;63.31320226;37.095955;1.64497994
284;65.85972449;37.08161;1.69955142
286;66.78150044;37.189277;2.238263741
