Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polycarbonate;;;;E7A-2;Supply line system and high power devices.;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 13:52:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;159;149.98;63.65;;;40.2;23;24.5;;13.3;;74.3;0.0884;The sample deforms and rises.;2011-02-16;c_CID_E7A-2_25b;3.03;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;4.585337128;40.2;0.004573674
2;4.669866071;40.112171;0.003193339
4;4.467253772;40.092122;0.001873386
6;3.539247977;40.128978;0.003039069
8;3.087884353;40.098026;-0.000319929
10;2.410530977;40.204145;0.00130249
12;1.054539923;40.207125;-0.012507365
14;0.77099938;40.1177;-0.01385474
16;1.172442332;40.097575;-0.006922876
18;0.166632162;40.092634;-0.008367873
20;0.906041586;40.120335;-0.003716255
22;0.197652506;40.1851;-0.001672201
24;0.75140697;40.206853;0.00024275
26;-0.047439995;40.096908;-0.002869084
28;0.078964813;40.016628;-0.002836263
30;-0.301766168;40.095706;-0.001692918
32;-0.240022805;40.101036;-0.005124498
34;-0.326447415;40.209054;-0.000806252
36;-0.515129327;40.115936;0.000321553
38;-0.100141596;40.099585;-0.00135055
40;-1.271922971;40.04706;-0.005882206
42;-1.501319963;40.098977;-0.002260326
44;-0.314823608;40.097271;0.006344109
46;-1.317324645;40.097221;0.000341395
48;-3.052977517;40.10005;-0.003493905
50;-2.739969888;40.098417;-0.005096192
52;-2.267761114;40.035439;0.009066529
54;-1.744304437;40.025196;0.008914846
56;0.101081627;40.099913;-0.006130968
58;-0.097084256;40.206567;0.001421669
