Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polycarbonate;;;;E7A-2;Supply line system and high power devices.;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 13:55:29
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;124;126.83;64.77;;;40.2;17.7;25.59;;14.2;;73.98;0.0884;The sample deforms and rises.;2011-02-16;c_CID_E7A-2_25c;3.03;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;1.812551284;0.003416911;40.2
2;1.997490024;0.00587536;40.200841
4;1.673608966;0.010208558;40.177896
6;1.453590278;0.005272845;40.277574
8;2.161285879;0.006139293;40.383002
10;2.123408729;0.014666941;40.294699
12;2.193508987;-0.001112323;40.276026
14;3.479883716;0.001363025;40.383761
16;4.815398993;-0.000245621;40.359679
18;5.811220644;0.005872264;40.213546
20;5.691203493;-0.001458149;40.271181
22;5.484029916;0.000442197;40.272204
24;4.509670492;0.003913836;40.285377
26;2.559291815;0.00853364;40.272132
28;1.051138271;0.001677617;40.209523
30;1.437913371;0.00907331;40.272566
32;0.413883536;0.004089217;40.271479
34;0.850214282;0.012582696;40.217727
36;1.704655069;0.006679451;40.272699
38;2.265528028;0.006261991;40.268874
40;1.163428713;0.012106056;40.271411
42;1.633554995;0.00532267;40.269435
44;1.01868581;0.016554023;40.255621
46;1.865133903;0.005952887;40.271742
48;3.67316498;0.009136062;40.212524
50;4.363959719;0.006292426;40.197756
52;3.63366576;0.003217511;40.274179
54;2.118115966;0.005146967;40.269171
56;0.274291126;0.008712465;40.215522
58;0.238496342;0.00352056;40.209167
60;1.14234225;0.008732937;40.272664
62;0.851147212;0.012850075;40.205031
64;1.600422982;-0.000763565;40.262311
66;2.636050223;0.008059539;40.272666
68;4.272507233;0.005187299;40.213133
70;5.739074762;-0.000442804;40.271151
72;5.143831372;0.014247948;40.275499
74;3.40224815;0.006480967;40.27204
76;2.298839361;0.011514605;40.259512
78;2.626685398;0.017216648;40.276223
80;2.880527406;0.008169396;40.270526
82;3.726693418;0.011216619;40.19815
84;3.223357332;0.014030846;40.201216
86;2.009069714;0.016920916;40.274348
88;2.170372209;0.025858207;40.194232
90;2.155976479;0.013805155;40.20299
92;1.371906612;0.021924546;40.225785
94;1.845412861;0.020939517;40.200953
96;2.397661697;0.008093387;40.260995
98;4.591891871;0.018279488;40.221799
100;6.600535178;0.009627734;40.205772
102;6.388263601;0.012710453;40.199801
104;5.689572571;0.025917551;40.25852
106;4.845876752;0.029806876;40.274637
108;3.385661241;0.027227903;40.269171
110;2.057884844;0.02571977;40.274278
112;0.516475462;0.025472968;40.27329
114;-1.493967669;0.027393108;40.272925
116;-2.262045934;0.034091026;40.270193
118;0.406783259;0.031338987;40.270983
120;2.904930832;0.042883084;40.287521
122;4.197756048;0.086200285;39.991481
124;5.462848349;0.205275935;40.055924
126;6.215012088;0.286093986;40.18903
128;8.884975683;0.451904449;40.10511
130;12.76507648;0.530786366;40.197101
132;14.09320157;0.843502448;40.199604
134;19.06914965;1.419117955;40.080044
136;26.51692743;1.206408765;40.084323
138;31.56648771;1.786511825;40.068151
