Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Composite GRP / foam / GRP;;;;EX1B-1;External wall;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 14:00:02
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;35;184.04;95.89;;;136;54.7;15.5;;24.2;;109.19;0.0884;1000s drip observed. The sample continues burning ;2011-02-17;c_CID_EX1B-1_50a;22.3;22.3;;;;;;;;;;13.11;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;0.509462384;136;-0.008198119
2;0.113783438;136.090233;0.000748393
4;1.248415384;136.004926;-0.001670212
6;1.759663076;136.000983;-0.003687151
8;2.020031747;136.001079;0.00542937
10;1.564333096;135.998691;0.006552092
12;0.870927618;135.977044;0.007232958
14;0.754204957;136.00072;0.00913406
16;2.760488455;135.941418;0.003836422
18;3.486388634;135.992027;0.00305922
20;2.660424759;135.999176;0.007358404
22;1.327098202;136.020848;0.01904337
24;0.208641843;136.096143;0.024727584
26;-0.830041108;136.132919;0.040704211
28;-1.375910103;136.225252;0.056072457
30;-2.511080799;136.11837;0.068246781
32;-2.754469599;136.11374;0.102050206
34;-4.220770563;135.961283;0.14245995
36;-4.105959001;136.000524;0.095629373
38;-1.598571805;135.997312;0.022819432
40;12.10875183;136.11351;0.013597956
42;28.35781367;136.020473;0.00909273
44;41.80670116;135.943028;0.025085841
46;47.84542294;135.725692;0.018032522
48;49.64392677;135.615657;0.067006958
50;49.39742823;135.535273;0.086933579
52;45.08816974;135.410444;0.143572903
54;37.96250986;135.409981;0.060821195
56;34.881414;135.367654;0.034065087
58;36.51942211;135.327827;0.025029882
60;39.47961653;135.240597;0.038389783
62;43.13876769;135.049082;0.01009008
64;45.49447624;134.944768;0.051389737
66;49.36497532;134.724977;0.070715329
68;57.97939456;134.641083;0.251562102
70;63.43439526;134.423322;0.437187613
72;69.67783842;134.309676;0.926509436
74;79.87230185;134.212958;1.343098616
76;95.79177187;134.124853;2.081917738
78;107.7147396;133.986621;2.699002891
80;121.0317619;133.712907;4.373253424
82;133.8293401;133.425409;4.292674405
84;144.7955988;133.138652;5.771500575
86;152.1571045;132.938595;5.726230519
88;163.2454351;132.632168;5.77004804
90;177.7399134;132.505397;6.613905618
92;183.1375707;132.33311;5.550371043
94;184.038894;132.113215;4.922803977
96;183.7863771;131.9228;6.266705037
98;182.917334;131.605773;6.876751205
100;178.3505339;131.435272;5.706745778
102;178.1223735;131.326583;6.217986398
104;178.5521533;131.1049;5.18071741
106;176.4334914;130.986435;5.211935059
108;173.5303564;130.813055;5.325728726
110;171.2655048;130.627693;5.317895092
112;166.1464043;130.439734;4.922615561
114;167.4431435;130.162819;5.843168855
116;163.5730286;130.126924;5.601863328
118;163.4381836;129.748783;5.058230132
120;161.9694085;129.432727;5.36812246
122;160.8369569;129.398856;5.981579944
124;160.0966142;129.134936;5.41975213
126;158.8261213;128.93203;5.107426344
128;154.169863;128.530507;5.573329799
130;147.5491916;128.434493;5.150343706
132;146.5717901;128.414686;5.050025742
134;143.6442997;128.14284;5.017280895
136;141.0072125;128.033009;4.845521337
138;141.0280858;127.642718;4.497456245
140;133.1209054;127.539801;4.000262063
142;131.9113734;127.526772;3.924133463
144;130.9422501;127.326672;4.344901601
146;127.7904673;127.239825;4.419479857
148;127.7776665;127.023185;4.256985534
150;125.007143;126.825978;4.186882793
152;125.2232137;126.457876;4.687845381
154;123.103606;126.157912;4.420437956
156;125.4016642;126.133893;4.792127623
158;123.2607191;126.02381;4.472261857
160;120.8204448;125.842469;3.384991753
162;123.0767468;125.71099;3.958345319
164;120.2314683;125.647594;4.733113849
166;119.9904673;125.522477;4.354087208
168;118.8027601;125.407158;4.847076906
170;119.2280957;125.234452;4.09000867
172;118.5239893;125.224162;4.35442946
174;117.35752;124.958565;4.016696057
176;114.7142095;124.822461;3.869697148
178;115.5605255;124.610115;4.443821222
180;111.9176819;124.355815;4.423488665
182;113.5115107;124.21681;4.31447637
184;111.8145778;124.04629;3.564388032
