Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Composite GRP / foam / GRP;;;;EX1B-1;External wall;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 14:17:45
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;45;185.5;89.67;;;143;52;15.25;;20.4;;102.28;0.0884;900s drip observed. The sample continues burning after end of the test.;2011-02-17;c_CID_EX1B-1_50b;22.3;;;;;;;;;;;13.11;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;7.615353949;143;0.00402096
2;6.676150674;143.083268;0.005384873
4;4.568251979;143.097359;-0.000816795
6;3.307465286;143.112982;-0.005207276
8;2.04401949;143.09493;-0.008402885
10;0.399590786;143.111902;-0.000501865
12;-0.677444899;142.931859;-0.010201417
14;-0.129378881;142.89528;0.00100506
16;-0.554483598;142.891381;-0.004771212
18;-1.629844963;142.894003;0.003855756
20;-2.327080671;142.981148;-7.64E-05
22;-3.010801264;142.910945;0.005539366
24;-1.26564521;142.884603;0.001038349
26;-0.253447247;143.007055;0.005583496
28;-0.627234836;143.006133;0.008056897
30;-0.326508051;142.820557;0.02208295
32;-1.507957734;142.895939;0.003158073
34;-1.813673924;142.825385;0.036720882
36;-1.521081122;142.892492;0.057132322
38;-2.518111401;142.988241;0.044746699
40;-3.357520138;142.980298;0.074510798
42;-2.825154926;142.896561;0.089215091
44;-3.745183988;142.918097;0.178348384
46;-6.245781656;142.827632;0.201978534
48;-6.751363358;142.774623;0.103932936
50;-6.92420814;142.796327;0.06719807
52;3.322245031;142.830824;0.056419605
54;18.7823798;142.8179;0.04135329
56;28.82869933;142.623568;0.059822292
58;32.56455135;142.601371;0.040925186
60;34.20428163;142.433819;0.012113937
62;35.4864303;142.414121;0.030115972
64;37.95260046;142.295227;0.044731086
66;39.37068869;142.411067;0.033078524
68;39.28333392;142.312045;0.045522864
70;38.54980726;142.156272;0.046943603
72;37.49378363;142.017934;0.077922751
74;36.47719756;141.828331;0.021004396
76;38.89013079;141.807529;0.03265536
78;44.32544221;141.696284;0.028995892
80;43.06587471;141.697206;0.065957779
82;47.74039132;141.419645;0.240116108
84;53.9018445;141.154523;0.626034738
86;59.99215746;141.098326;1.312781316
88;69.27487343;140.99085;2.069594293
90;84.96481944;140.928335;3.53138579
92;97.23547988;140.67862;4.078123808
94;115.0497019;140.332917;5.052482562
96;131.5245591;140.291953;5.651674238
98;142.2713907;140.104337;5.599556657
100;152.961974;139.742744;6.197921586
102;161.9003196;139.498704;5.20859308
104;171.6471178;139.385418;7.566189424
106;174.0019391;139.233286;6.925622424
108;174.4411428;138.822127;6.861666323
110;178.6289779;138.638155;6.554946577
112;179.1384152;138.398726;6.453164408
114;185.4999083;138.299134;5.806595459
116;178.7074208;138.108038;6.920207695
118;175.4845565;137.906277;5.813174105
120;175.4896783;137.624058;5.784779354
122;169.8047882;137.378788;4.383366586
124;169.0384083;137.303235;4.999478234
126;164.568273;137.035661;6.116548428
128;160.7967346;136.660663;5.221392001
130;158.657482;136.593248;5.32213517
132;156.8970148;136.499583;5.223667213
134;155.7377458;136.31617;4.905444862
136;151.2037642;135.791241;6.126971683
138;150.7302009;135.797565;5.152009133
140;148.3390702;135.707156;4.820948025
142;147.2157706;135.50041;5.453259574
144;143.535059;135.407663;5.161674155
146;138.10445;135.204723;5.006827774
148;140.4146078;135.124515;4.700966311
150;138.7629858;134.900783;5.017198339
152;135.543356;134.276385;4.224566857
154;135.3244957;134.261703;4.477582773
156;133.081156;134.283698;5.354506572
158;132.3131712;134.28445;4.594032861
160;132.9519811;133.91067;5.062233082
162;131.1600405;133.810116;4.207115724
164;132.2632071;133.55153;4.413548283
166;129.762283;133.413336;4.087509317
168;125.5110358;133.397518;4.501010786
170;127.1842571;133.132302;5.221244554
172;124.1353271;133.104441;4.216790451
174;122.7982869;132.98579;4.710075904
176;123.8198323;132.722073;4.967468837
178;120.9464326;132.518615;3.874646685
180;119.9535992;132.145775;4.309879234
182;117.7240526;131.982114;4.38460032
184;118.6519122;131.974927;4.523412913
186;117.3227707;131.944948;3.937568819
188;118.9003929;131.717948;4.718267928
190;116.6527262;131.671928;4.14265705
192;115.6750539;131.418317;4.71096825
194;113.129809;131.28515;4.408000166
196;112.0759998;131.198413;4.389795218
198;111.9585744;131.01292;4.072686627
200;113.1392627;130.915821;4.089264582
202;111.8531078;130.622654;4.006688202
204;113.3732397;130.622234;4.225747576
206;111.7195125;130.518964;3.917807532
208;112.5127653;130.314487;4.002682243
210;110.5793162;129.991616;3.993816874
212;107.6755578;129.79215;4.378667979
214;108.5446106;129.800072;3.651215293
216;110.2163865;129.689971;3.895653834
218;107.9369807;129.595467;3.997257802
220;107.0694593;129.216508;4.153864324
222;104.7411426;129.183562;3.676322314
224;104.4785752;129.076627;4.017314081
226;103.125582;128.91113;3.928087784
228;101.6391405;128.795867;3.4025154
230;101.9338021;128.720781;3.442030604
232;104.1009304;128.506955;3.871861781
234;103.1511919;128.373711;3.682145534
236;104.8547439;128.279398;3.835148453
238;103.4122647;128.080299;3.703519207
240;103.603072;128.099283;4.332941918
242;102.3364137;128.003929;3.506723735
244;103.3550778;127.779165;4.337353665
246;103.9755265;127.610787;3.725803051
248;101.4668393;127.575594;3.728287791
250;100.282755;127.41499;3.667074219
252;102.6609815;127.31117;4.306424911
254;101.5167782;127.025828;3.861832784
256;100.7316768;126.996409;3.830818119
258;101.0674106;126.873211;3.372605469
260;101.2466559;126.731866;3.76862339
262;101.3849316;126.59178;3.677408937
264;100.7357583;126.325788;3.6404886
266;103.0163104;126.387595;3.743205851
268;101.6930546;126.209001;3.963952981
270;100.3541651;126.128035;3.448841605
272;103.0156672;126.019217;3.807533391
274;103.629405;125.890826;3.776380264
276;104.6867789;125.609318;4.280361976
278;104.4731583;125.435996;4.253220353
280;105.4917265;125.301421;4.215763015
282;105.6046852;125.197662;4.513443019
284;104.7675885;125.188698;4.539299341
286;106.1257698;125.10838;5.184483314
288;106.8074631;125.01063;4.684805761
290;106.6673797;124.80762;5.390764379
292;109.374744;124.600027;4.365097335
294;108.849514;124.413194;4.623245333
296;109.7370138;124.396998;5.149177456
298;108.9866769;124.284742;5.269871508
300;111.4743966;124.203824;5.41884747
302;110.5947057;123.896762;4.75004904
304;112.017779;123.804756;5.66667308
306;112.9747486;123.688354;5.230115989
308;112.3333716;123.555188;4.939277188
310;114.8402816;123.41936;5.33173453
312;115.9021684;123.290862;4.844278892
314;115.4355202;123.100005;4.922973298
316;119.3846884;122.987225;5.756657447
318;117.8025527;122.93027;4.814516022
320;117.3342907;122.821711;5.070432089
322;119.0840198;122.690363;4.731760435
324;118.0589779;122.427259;5.398510216
326;119.4143584;122.299791;5.132751035
328;122.4663379;122.111726;5.037387891
330;120.8168795;121.988164;5.507944945
332;122.1864293;121.906975;5.183026729
334;119.9074471;121.806367;5.460669793
336;122.3129051;121.688458;5.464048185
338;120.9885903;121.614767;5.420052883
340;119.6922385;121.525207;4.636172585
342;120.0089481;120.993721;4.897715734
344;122.1589207;120.828203;5.059023593
346;120.78709;120.797863;5.16288249
348;120.7159593;120.708376;5.008910294
350;124.0940716;120.684971;5.057969081
352;128.0911885;120.61262;5.987274466
354;123.8152452;120.520179;5.28889965
356;124.1117979;120.382883;5.36728388
358;122.2070168;120.340124;4.866564221
360;123.1360223;120.22203;4.719593327
362;126.2997993;120.03094;4.694106915
364;128.3877835;119.924301;4.717770423
366;127.5870721;119.739241;4.271436931
368;128.5372033;119.721887;4.566874243
370;127.7493433;119.390029;4.165987792
372;127.5813319;119.234042;4.706714205
374;128.2321354;119.207067;4.091476304
376;125.4449828;119.09173;4.25279027
378;126.5462406;119.030489;4.264289629
380;127.4776197;118.895877;4.232923711
382;124.8273968;118.739887;4.334952762
384;124.0514893;118.51836;4.065128488
386;126.8542586;118.333578;4.288630007
388;126.2005882;118.427685;4.445792009
390;125.8124367;118.222225;4.295858539
392;124.6591938;118.036422;4.211557015
394;123.0823434;117.923552;3.903895974
396;125.7992165;117.792023;3.863266703
398;125.4413227;117.794526;3.477497878
400;122.5285312;117.625968;3.680569547
402;122.862982;117.49536;4.238419991
404;122.518698;117.426091;3.887586429
406;119.7771338;117.403052;3.90190741
408;118.7285123;117.198402;3.525786458
410;121.0854382;117.141038;3.827117972
412;121.8173626;116.908769;3.558962205
414;123.197813;116.740373;3.734388289
416;123.4884016;116.722442;3.758474053
418;122.113247;116.632973;3.754222042
420;121.6895903;116.507416;3.217884105
422;124.8006299;116.090176;3.801841957
424;123.8431965;116.130449;3.591026516
426;122.481671;116.020514;3.532946636
428;120.9738615;116.036056;3.287215941
430;119.0212969;115.902138;3.396319986
432;121.5470973;115.830981;3.472928386
434;119.8700004;115.714666;3.673913234
436;118.3947986;115.544242;3.564319553
438;118.0897281;115.349671;3.623179685
440;118.9975625;115.329385;3.371179854
442;117.8127129;115.232578;3.678780382
444;116.8387081;115.148669;3.337982938
446;117.535103;115.015347;3.104366414
448;114.351495;115.033531;3.349478069
450;115.6564426;114.90202;3.159604665
452;113.827917;114.719407;2.986650752
454;112.8321115;114.626785;3.195672908
456;111.6965051;114.547297;3.256190483
458;111.7323032;114.478663;2.911860777
460;108.8223479;114.427581;2.368118345
