Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F5;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 14:25:15
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;174;90.28;2.22;;;1.68;1.67;6.18;;0;;9.44;0.0884;;2011-02-16;c_CID_F5_25a;0.33;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;4.54272551;1.67;-0.003839516
2;2.210885548;1.744769;-0.01038067
4;-0.617689227;1.644271;0.001350346
6;-1.597116155;1.670013;-0.003851496
8;-1.718436805;1.668073;-0.001368253
10;-3.230793421;1.686666;0.020187826
12;-1.056976645;1.670559;0.013354656
14;1.325911029;1.667483;0.014136284
16;2.628719962;1.67204;0.005936031
18;0.905802805;1.644356;0.000999161
20;-0.155197263;1.665771;-0.00221331
22;-0.467866501;1.668253;-0.00326415
24;0.639809997;1.646377;0.004820496
26;0.471800152;1.557453;0.01346683
28;0.106195088;1.667299;0.010031779
30;0.867912436;1.62541;0.005893753
32;-0.352217762;1.582306;0.006747421
34;-0.594182839;1.554357;0.005068703
36;-0.168309574;1.559457;-0.000650082
38;-1.753580635;1.560904;0.002505898
40;-2.912169212;1.557107;0.006735719
42;-2.357267379;1.562895;0.001499196
44;-2.729333472;1.532037;0.03547299
46;-0.980782411;1.558914;0.040776635
48;-0.167813539;1.557812;0.048269776
50;0.783018756;1.560256;0.038823123
52;0.563250496;1.561942;0.045636655
54;1.361361122;1.556333;0.035608098
56;0.881549585;1.445893;0.026137319
58;0.882862825;1.564425;0.043816402
60;0.413228245;1.472129;0.043367628
62;-0.195139772;1.443442;0.039568802
64;-0.272364266;1.444906;0.037599335
66;-0.11536158;1.448345;0.046620863
68;-1.754126343;1.44711;0.04755679
70;-1.741642667;1.543866;0.056558951
72;-1.777411201;1.560135;0.057860478
74;-1.763066804;1.565791;0.084892744
76;-1.466933566;1.562305;0.091244668
78;-1.392841698;1.560379;0.07981111
80;-1.127782075;1.649239;0.122132246
82;-0.58252321;1.672501;0.108383461
84;-0.519154915;1.583485;0.108488644
86;-0.952721944;1.563437;0.176852071
88;-0.173856234;1.44456;0.192988285
90;-0.356418045;1.558452;0.209460618
92;-1.978880982;1.562472;0.166664725
94;-1.276018377;1.468379;0.186775892
96;-2.569702734;1.475551;0.246408959
98;-2.362009385;1.45002;0.315458702
100;-1.206945173;1.447897;0.379038704
102;-1.546572061;1.445548;0.338613143
104;-1.844094648;1.385864;0.401165776
106;-1.209225487;1.442288;0.387700319
108;-2.034115092;1.372975;0.513686646
110;-1.155649997;1.374721;0.42755879
112;-0.476040888;1.281184;0.601376135
114;-0.852397376;1.257024;0.495368045
116;-1.218845055;1.145301;0.561943299
118;0.506256716;1.14232;0.615150662
120;-0.178911525;1.145501;0.560658041
122;0.645477694;1.147023;0.676020769
124;2.559414117;1.144118;0.65239589
126;1.590386115;1.142422;0.501041006
128;-0.084335569;1.145463;0.779602426
130;-2.081726571;1.139511;0.115766608
132;0.394497249;1.026468;-0.01029421
134;21.09010426;0.9538;-0.005330553
136;53.22397972;0.837345;-0.002781483
138;74.46347654;0.6886;0.003403092
