Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F5;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 14:28:04
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;192;58.46;1.7;;;1.67;1.67;5.61;;0;;7.07;0.0884;;2011-02-16;c_CID_F5_25b;0.33;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;1.069569963;1.68;-0.012185635
2;1.296775195;1.693273;-0.011883643
4;2.225212296;1.852486;-0.011387472
6;1.900802888;1.757322;-0.013341915
8;1.578963899;1.768865;-0.005426079
10;0.544724665;1.76308;0.000373494
12;-0.592758928;1.781428;-0.00242058
14;-0.593515716;1.757421;0.00106908
16;-0.667478288;1.75861;-0.006625687
18;-2.0486795;1.759716;-0.01324193
20;-1.403575623;1.686236;-0.016585084
22;-2.713574494;1.745122;-0.008369294
24;-3.725828134;1.681119;0.001575648
26;-4.264506285;1.685245;0.002033429
28;-3.672215426;1.685987;-0.00488862
30;-1.249483746;1.690362;-0.000342384
32;0.809011088;1.56859;0.002261691
34;2.214941272;1.55254;-0.001300439
36;1.242714162;1.454423;-0.006647097
38;1.189958028;1.56928;-0.01262512
40;0.874384732;1.570366;-0.004491112
42;1.094710454;1.569509;-0.001656437
44;1.570735923;1.56997;-0.004321549
46;2.421168165;1.482237;-0.006657651
48;4.187736127;1.456621;-0.010028457
50;5.360180949;1.453914;0.006665862
52;5.035308223;1.457596;0.004028154
54;4.779349101;1.576428;-0.009175673
56;5.166784004;1.45609;0.005440575
58;4.404540622;1.551117;0.014951609
60;5.873064039;1.571292;0.012527182
62;6.899479078;1.573126;0.011890102
64;7.913407679;1.454183;0.011460991
66;9.16435173;1.457281;0.00764401
68;10.44416616;1.455754;0.009977825
70;9.925895717;1.378866;0.009525888
72;9.063029834;1.379483;0.016686186
74;7.17113824;1.385807;0.021343555
76;4.304578831;1.290499;0.017769184
78;3.58175486;1.272928;0.024324726
80;3.943903861;1.173756;0.020900232
82;3.703152526;1.269636;0.027771679
84;4.195315727;1.265841;0.028669822
86;4.158008166;1.267384;0.034099008
88;3.579811773;1.246138;0.038387257
90;4.523039606;1.155302;0.051397876
92;4.098664885;1.249395;0.049113631
94;3.229459758;1.366226;0.059686628
96;3.446451743;1.293923;0.054301441
98;2.271353727;1.269097;0.087797627
100;1.785228492;1.174195;0.07086918
102;2.292261239;1.258237;0.078541035
104;2.861394826;1.270677;0.088040443
106;2.748118794;1.174194;0.116814649
108;3.171682931;1.160545;0.099509856
110;1.753998276;1.15544;0.094442124
112;1.170648221;1.06;0.146127437
114;2.591751747;1.045418;0.128657507
116;2.732214274;0.976287;0.146789146
118;2.757219049;0.966808;0.15097738
120;3.489646088;0.967532;0.164386804
122;3.045512343;0.873035;0.140431877
124;3.392226028;0.876776;0.202479905
126;2.880418999;0.851407;0.185258127
128;1.18307365;0.949627;0.180842983
130;0.19834508;0.966555;0.267410508
132;-0.703073947;0.851203;0.181475399
134;-2.365078016;0.857778;0.280324482
136;-2.062077536;0.859396;0.1991216
138;-1.902959808;0.762117;0.219892527
140;-1.629131714;0.669179;0.272479331
142;0.677360118;0.67076;0.323088329
144;1.45957986;0.670266;0.318291229
146;1.830727587;0.660413;0.285545016
148;3.313368071;0.555389;0.358982933
150;1.834125822;0.556204;0.426112596
152;0.266579245;0.552251;0.410078526
154;0.123834785;0.553827;0.452271832
156;-0.401445893;0.55446;0.438590699
158;0.306059929;0.535848;0.420333047
160;1.257579381;0.464886;0.422927459
162;0.832261892;0.463251;0.499330191
164;0.69095553;0.384679;0.55927011
166;2.487907864;0.366391;0.43345635
168;3.515604319;0.362438;0.455321193
170;2.798415723;0.258213;0.429484606
172;0.605659887;0.145025;0.530989849
174;-6.851858035;0.069378;0.477006169
176;-11.64029046;0.064042;0.01999369
178;-2.470342329;-0.030478;-0.012496451
180;25.08460992;-0.139217;-0.012080715
182;52.56960145;-0.224058;-0.007394064
184;77.07539323;-0.339646;-0.003532633
186;88.69090185;-0.540723;-0.009240516
188;90.28063696;-0.727978;-0.000820713
190;84.73930011;-0.843075;0.014874267
192;71.74601417;-0.920683;0.014713142
194;57.80086963;-0.936263;0.013569201
196;47.87664748;-0.933795;0.026041314
198;38.73604598;-1.02937;0.051906809
200;28.75173886;-1.142104;0.234990248
202;19.50275669;-1.16664;0.197255602
204;13.03966748;-1.331664;0.158528859
206;10.83365027;-1.330667;0.136683777
208;8.889173664;-1.464573;0.093367039
210;6.853899545;-1.463654;0.093435933
212;8.559460867;-1.464542;0.087639751
214;9.420076656;-1.522753;0.073962639
216;10.32407063;-1.531508;0.090805205
218;13.13729358;-1.651398;0.079190394
220;13.08936485;-1.55152;0.067361381
222;13.27841352;-1.652122;0.069282375
224;13.33335136;-1.748091;0.052607799
226;13.42651767;-1.766895;0.071883006
