Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;IN6-1;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 15:26:48
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;38;463.9;44.56;;;22.5;18.4;21.44;;16;;230.09;0.0884;rise and touch the spark, mass error. grid used;2011-02-16;c_CID_IN6-1_50a;1.95;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;-0.367142132;22.5;0.01202152
2;-0.675749318;22.5049;0.011028695
4;-0.390177338;22.345571;0.015847714
6;-0.178309635;22.413503;0.00811582
8;-0.312205061;22.433069;0.005723826
10;0.002562148;22.508603;0.095535878
12;-0.525371698;30.059277;0.13852124
14;-0.010593754;92.073946;0.27491732
16;1.648702571;112.379503;0.513282752
18;0.601016087;91.502283;0.648498203
20;0.031254444;24.840216;0.557828533
22;0.667460633;22.322817;0.84588256
24;2.334381695;22.319439;1.885378777
26;3.071285344;22.226408;3.065118
28;4.361158486;22.110228;4.017888752
30;3.582238467;21.928598;6.456317218
32;4.58757667;21.733678;8.222235898
34;5.054953259;21.49611;14.67499996
36;0.635393468;21.442457;17.6562385
38;-7.984853722;21.228644;17.30355054
40;-12.42803064;20.778245;7.530467517
42;40.82076497;20.517004;14.54155082
44;125.2881059;20.308972;19.23007861
46;189.6675877;19.874452;29.71760106
48;249.0410409;19.132182;33.49706554
50;307.3187622;18.860049;30.0672655
52;353.8480909;18.352421;24.79647755
54;370.8023841;17.962908;21.35925842
56;358.3313086;17.534906;18.26655559
58;329.2546745;17.251841;14.77926263
60;309.0083954;17.036107;14.87605042
62;306.4067368;16.446781;14.04037589
64;323.7820671;16.283354;15.64585349
66;349.3257782;16.042554;15.66383089
68;370.8041416;15.467579;16.86196884
70;419.1395037;15.234666;17.87192956
72;437.0229647;14.952382;17.8534647
74;443.9714843;14.214803;17.29526778
76;461.0603054;14.042944;17.49390324
78;457.0194995;13.828549;14.92914568
80;462.2085983;12.876569;18.28815284
82;463.8990352;12.719368;19.0113805
84;438.6350491;12.494456;15.19267898
