Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;IN6-1;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 15:32:25
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;42;448.6;44.01;;;22.5;18.9;20.55;;16.4;;203.4;0.0884;;2011-02-16;c_CID_IN6-1_50b;1.95;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;0.987170376;22.5;-0.002227985
2;1.893859135;22.505668;-0.013070565
4;1.313259706;22.392405;-0.010142475
6;0.570189026;22.504319;-0.010733138
8;-0.717049896;22.566954;-0.009675399
10;-2.221139488;22.576221;0.002282651
12;-2.209219803;22.575585;0.009768652
14;-3.277207868;22.506105;0.050982861
16;-4.706251637;22.498892;0.090630807
18;-3.248338702;22.498749;0.215156884
20;-3.002775039;22.519695;0.371100494
22;-2.439715763;22.522029;0.661115328
24;-0.604663231;22.415681;0.788373774
26;-0.148344187;22.413529;0.832057041
28;-0.308025109;22.277867;1.099889081
30;0.207959756;22.21962;1.237029346
32;-0.25422491;22.20464;1.206767934
34;0.778509879;22.202864;1.441778029
36;1.459798332;22.093994;1.475319727
38;0.997660666;22.000527;2.142176755
40;0.408481493;21.891655;2.589839206
42;-0.761128058;21.790252;3.886346826
44;-3.224185022;21.701062;2.128155504
46;-4.535951187;21.696561;1.833173039
48;5.605558642;21.588712;5.080596516
50;27.60744226;21.491943;6.601914874
52;52.24704686;21.199954;8.726808606
54;71.88641011;21.110489;11.24275185
56;89.65973208;20.980962;12.00366709
