Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;IN6-1;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-28 15:34:54
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;44;453.54;44.19;;;22.5;18.9;20.67;;16.3;;199.29;0.0884;;2011-02-16;c_CID_IN6-1_50c;1.95;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;1.668504417;22.5;0.002232931
2;1.304954872;22.613065;0.001356895
4;2.273875944;22.616767;-0.020451814
6;1.726543318;22.639103;0.003974788
8;0.919748385;22.615195;-0.00376186
10;0.466955552;22.502891;-0.000984102
12;0.972434263;22.501483;0.004242695
14;0.378273991;22.424514;0.014584577
16;-1.041448035;22.424091;0.047101997
18;-0.591946425;22.424185;0.087258846
20;-0.336157059;22.437723;0.176992925
22;-0.175174229;22.426709;0.52759254
24;0.762815584;22.423236;0.640952669
26;0.466501534;22.335017;0.641885734
28;1.731133527;22.31069;0.713863363
30;2.906682755;22.314488;0.848467475
32;3.58716173;22.317124;1.039840818
34;4.875805396;22.198546;1.508852466
36;5.471148096;22.09346;1.08797215
38;4.934255344;21.92609;1.641838298
40;3.002952959;21.929388;2.194052981
42;0.662256687;21.792233;2.565251966
44;-2.706014872;21.735377;3.523766176
46;-3.926897772;21.716228;1.483943097
48;1.907780384;21.626083;2.659763403
50;14.41357777;21.603551;4.514732449
52;36.67721179;21.438538;7.152126844
54;58.77104988;21.352367;7.177956196
56;74.74812471;21.077941;9.908389561
58;89.54446498;20.739961;12.80516689
60;106.6560464;20.494389;12.30740983
62;119.0451751;20.432049;12.34074155
64;123.3538914;20.192841;11.36865009
66;130.0722022;20.138127;11.71508673
68;132.4364714;20.031753;11.15226073
70;129.8774784;19.916998;9.992322398
72;128.8175889;19.817151;10.51597919
74;131.256751;19.61996;10.87478716
76;142.6754886;19.197884;10.72379081
78;166.7626424;19.128672;11.09757793
80;186.3752075;18.859869;11.15318165
82;213.951944;18.622651;10.96684439
84;245.5863719;18.2613;12.85724089
86;268.293007;18.020257;12.26844777
88;290.258863;17.83518;13.02636796
90;297.7701779;17.610909;13.85555252
92;322.5762338;17.234892;14.40597054
94;354.9655458;16.781447;13.83835277
96;387.4208861;16.552835;15.53059384
98;397.2949502;16.043323;15.59746997
100;428.9651684;15.738084;16.10185564
102;452.4882029;15.395331;19.08609248
104;450.0383333;14.769631;18.30060725
106;453.5410539;14.684076;18.24217736
108;442.1287309;14.173796;17.8642905
110;434.868273;14.036653;19.50532318
112;410.251089;13.499957;18.99985763
114;407.245845;13.216229;17.46118593
116;390.1120476;12.560202;19.11859529
118;383.798653;12.210866;17.00600359
120;383.2602191;12.039381;18.48074331
122;372.7350583;11.553791;14.74750794
124;368.6417589;11.430238;16.8628936
126;369.7697598;11.211201;15.87000047
128;370.3806518;10.932364;15.54200357
130;366.8932646;10.546877;15.46607685
132;371.9204195;10.193819;15.37004123
134;357.7675238;9.921531;15.04942976
136;356.2522213;9.366891;14.03259162
138;354.1278586;9.129425;14.79826155
140;346.390024;8.928217;14.25036712
142;348.3597935;8.61785;13.83037501
144;339.2701684;8.404494;15.37013163
146;334.4268501;8.21212;16.05965939
148;325.4015615;8.084166;17.28213658
150;319.5129464;7.461436;19.28014932
152;307.2610168;7.287026;15.63697635
154;294.4379425;7.10581;15.72177402
156;288.9176815;6.971681;15.62344388
158;271.6450486;6.81268;13.77723416
160;262.5786015;6.434113;16.45466305
162;245.3049505;6.315689;15.07106791
164;227.5318118;6.189947;13.97477799
166;215.9598071;6.095765;13.54210376
168;198.8627303;6.015544;11.93437794
170;189.0460816;5.819592;11.2050203
172;175.8589537;5.774196;9.360268461
174;168.2727377;5.598564;8.899281472
176;157.1735032;5.486981;6.269180661
178;145.3762295;5.33891;5.957583591
180;133.7912037;5.353643;4.142795875
182;120.7955068;5.282771;3.409177948
184;106.9751348;5.079116;2.340371514
186;95.12911423;5.079352;1.623639605
188;83.2430956;5.056659;1.084641691
190;75.41148263;5.081785;1.36851101
192;67.1322002;5.060573;1.166958646
194;63.11652714;4.909374;0.937182824
196;59.26215983;4.876903;0.897450123
198;57.17897838;4.879862;0.604174275
200;52.36088974;4.875521;0.449644772
202;48.15194599;4.874435;0.322003933
204;45.08833167;4.789131;0.231923847
206;40.97897113;4.788609;0.154698463
208;38.45753663;4.856743;0.134559444
210;36.19188562;4.874238;0.101487325
212;34.79352826;4.765917;0.094578111
214;33.00839088;4.703802;0.074923031
216;31.48440693;4.753473;0.074580763
218;30.92063884;4.695799;0.049759158
220;31.63341445;4.69442;0.086235369
222;32.43231494;4.674557;0.046311178
224;31.39295527;4.69442;0.042776614
226;32.56690887;4.584816;0.085891111
228;32.74956154;4.578072;0.044496494
230;32.30171232;4.670216;0.035504971
232;32.66541887;4.605997;0.056520425
234;31.01627719;4.584094;0.045565708
236;29.13284571;4.562947;0.109056986
238;29.51400704;4.581199;0.023599141
240;29.3111067;4.495441;0.019774368
242;28.98388512;4.478997;0.062605035
244;28.77604502;4.473342;0.023740648
246;26.18681038;4.475281;0.028812834
248;25.88316781;4.474428;0.023121979
250;27.86375409;4.403286;0.027182796
252;26.68680169;4.401938;0.021387958
254;25.84506287;4.405228;0.023723615
256;25.45736056;4.402334;0.009823597
258;24.46107481;4.405171;0.028620081
260;25.58526867;4.400098;0.004932612
262;26.47823872;4.316013;0.011401918
264;25.60352893;4.291416;0.009490241
266;25.72635639;4.292863;0.012073536
268;27.46874188;4.402423;0.01953792
270;27.29572602;4.293686;0.003775499
272;26.67062215;4.270072;0.02928858
274;26.36807015;4.292433;0.013130045
276;24.14409008;4.20089;0.020974363
278;23.97254685;4.176815;0.008539242
280;24.43477209;4.174543;0.046163283
282;24.65421444;4.177536;0.015219369
284;24.10879572;4.083819;0.005465425
286;25.86402773;4.062601;0.029238432
288;25.01805052;4.064481;0.02545221
290;25.53166249;4.061682;0.02127006
292;25.20905116;4.06198;0.015708343
294;25.02125404;3.997195;0.019524708
296;25.18567878;4.04983;0.024775008
298;25.1271439;3.983438;0.028437629
300;25.02591109;4.059972;0.027041577
302;25.46576408;3.991455;0.029371808
304;25.37014687;3.989192;0.023792127
306;23.89623539;3.984683;0.012525273
308;23.60510544;3.984722;0.026956968
310;23.35021102;3.987353;0.00938248
312;22.62325945;3.99268;0.032896132
314;22.87106394;3.98821;0.023075632
316;22.39934274;3.987285;0.015708017
318;22.1313788;3.874787;0.033198583
320;23.03156794;3.985772;0.019059454
322;21.44737771;3.87706;0.033930998
324;20.7371052;3.894524;0.02785769
326;21.34914242;3.787057;0.033428236
328;21.27414122;3.761899;0.011920632
330;21.98286651;3.850518;0.048251699
332;22.36163987;3.84933;0.020441019
334;22.10547466;3.868636;0.017877968
336;22.72653222;3.756534;0.01483911
338;22.98402134;3.715465;0.011322938
340;22.85347123;3.698925;0.0134753
342;22.73835673;3.70116;0.028185568
344;23.16605391;3.757456;0.011028788
346;21.41390536;3.757947;0.016209867
348;20.593645;3.70199;0.019743142
350;20.58314198;3.682993;0.026439873
352;19.85747808;3.679146;0.015784114
354;19.93081837;3.677894;0.00353125
356;20.64978929;3.681154;0.013366187
358;19.52521736;3.684703;0.011893265
360;20.29809012;3.660338;0.012534269
362;19.79108522;3.682235;0.017528198
364;20.07270606;3.681316;0.023189217
366;21.40584015;3.680426;0.019331105
368;21.69996545;3.685888;0.011811729
370;21.37794628;3.575297;0.013867662
372;21.93111037;3.568918;0.023146861
374;20.60721746;3.575137;0.020059613
376;20.39679763;3.590737;0.021549811
378;21.81821303;3.575365;0.036742032
380;21.57647415;3.461618;0.010048765
382;20.7274373;3.481846;0.019761977
384;20.4514631;3.551622;0.00663771
386;19.96204891;3.479871;0.015877389
388;19.91877726;3.464215;0.019355837
390;20.62323116;3.386496;0.00745672
392;20.56282668;3.458442;0.012736379
394;19.52923175;3.462864;0.015864585
396;17.74352148;3.394172;0.001401147
398;16.76535013;3.38291;0.013835634
400;18.02258373;3.382718;0.019939275
402;18.03875257;3.461252;0.00631652
404;17.29288144;3.396408;0.02421922
406;17.25083109;3.381793;0.013358705
408;18.34017506;3.382846;0.014313456
410;18.15857934;3.381367;0.014063819
412;17.00298374;3.380186;0.029314953
414;17.11280119;3.38544;0.029910907
416;16.73143769;3.384261;0.019856599
418;17.29264837;3.38548;0.010197468
420;18.1577084;3.274128;0.017022993
422;18.39508247;3.35741;0.018728206
424;18.75241939;3.29278;0.011611735
426;17.00923479;3.274482;0.017633234
428;17.0528887;3.184719;0.018959108
430;17.09624878;3.274026;0.016049539
432;16.45069356;3.360946;0.00876831
434;16.28528229;3.292131;0.011116615
436;17.47820821;3.274445;0.016879208
438;17.44326691;3.183905;0.020293576
440;16.66128073;3.273381;0.01356786
442;16.95750569;3.268013;0.016295904
444;16.4440839;3.27176;0.01543635
446;16.76993133;3.212967;0.013361124
448;16.06055868;3.270865;0.012404142
450;15.5093597;3.269571;0.012322255
452;15.57571517;3.156018;0.01922731
454;16.14964983;3.158418;0.01040265
456;15.68610258;3.15944;0.011511474
458;14.86625346;3.159669;0.00349711
460;15.10710484;3.099323;0.020663054
462;15.81329907;3.095578;0.013586499
464;14.90225236;3.145802;0.019867937
466;15.02173994;3.154414;0.012159611
468;13.75868225;3.145195;0.018687774
470;12.87457972;3.08501;0.016845152
472;13.31497832;3.150619;0.009454715
474;13.96167608;3.087125;0.007276781
476;13.98249938;3.08525;0.015057484
478;14.20599836;3.085712;0.021754329
480;13.85566049;3.079258;0.010893064
482;13.18269478;3.084475;0.036853251
484;12.00614306;2.970875;0.025419533
486;11.6776997;2.975878;0.011751039
488;12.39946882;3.064584;0.02230378
490;12.05643363;3.085651;0.024785789
492;11.36062887;2.993968;0.026877585
494;12.37275645;3.000606;0.028224174
496;12.02645162;2.977414;0.012544535
498;12.08254465;2.97615;0.019734698
500;12.80917875;3.065225;0.019701521
502;11.59768029;3.081867;0.016829965
504;11.26366011;3.081969;0.01648749
506;10.78268093;2.995426;0.024342945
508;10.48762855;2.886991;0.005606185
510;9.686114805;2.97762;0.035988182
512;9.561336181;2.972998;0.01112845
514;9.171331952;3.08533;0.023515331
516;9.149684135;2.97981;0.029610448
518;9.950231133;2.887294;0.01742222
520;9.682010409;2.974151;0.029296662
522;9.519215317;2.979192;0.019421199
524;9.887232658;2.972989;0.025183603
526;8.620254594;2.866111;0.037257891
528;9.023639019;2.865098;0.016579547
530;9.384222999;2.977942;0.017151179
532;9.104044657;2.974998;0.02182173
534;9.005431157;2.866761;0.017388306
536;8.658111671;2.870193;0.008015506
538;8.183479443;2.892552;0.029743312
540;8.47540681;2.862024;0.021866294
542;7.771623678;2.870753;0.013858349
544;6.868886274;2.868537;0.014889146
546;7.063065245;2.870634;0.012625583
548;6.656227104;2.868132;0.023222903
550;6.369776877;2.868654;0.031745875
552;5.85314547;2.956758;0.021366499
554;4.976570809;2.865171;0.017174858
556;4.530566635;2.775692;0.024005396
558;4.364595;2.843667;0.025096409
560;3.737088584;2.866021;0.041492745
562;3.535250928;2.864762;0.028069065
564;4.461614828;2.865492;0.028986665
566;4.165368986;2.775273;0.017873637
568;3.786961515;2.842938;0.026222332
570;3.223141025;2.864637;0.022444767
572;1.79426901;2.773488;0.023201858
574;1.679863395;2.862656;0.048668066
576;1.762723594;2.866645;0.023887087
578;1.079896632;2.869392;0.027353482
580;0.974838021;2.773565;0.045786459
582;1.627235434;2.840311;0.045174134
584;1.037029933;2.865808;0.033115901
586;1.21928189;2.884653;0.02696001
588;1.86108466;2.863083;0.029414247
590;1.453772813;2.747673;0.026441063
592;1.480714793;2.867064;0.031919107
594;1.403810264;2.865067;0.033180603
596;-0.51832733;2.865171;0.022733704
598;-0.542019923;2.736286;0.031110238
600;-0.355060889;2.864121;0.027215639
602;-0.743179655;2.863696;0.031280346
604;-0.560530467;2.841242;0.037338857
606;0.42318412;2.776834;0.028680055
608;0.243122434;2.846071;0.03595628
610;-0.179220237;2.861382;0.021523498
612;-0.375316272;2.749244;0.035347117
614;-0.68743482;2.755457;0.03205244
616;-0.723938578;2.867593;0.030963453
618;-1.734706374;2.954851;0.025370759
620;-2.497738133;2.861115;0.035877538
622;-1.398997779;2.862434;0.025088832
624;-0.539327206;2.842929;0.027169353
626;-0.804872385;2.866111;0.02234554
628;-0.533424496;2.863395;0.03646799
630;-1.38730004;2.771703;0.034846087
