Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-2;Curtain and sunblind in driver's cab;;ISO 5660;TRANSFEU;sample prepared according ISO 5660 like test a, but a grid is inserted on the top to maintain the sample.;TRANSFEU;1;2011-03-28 15:44:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;8;103.6;3.0;;;3.1;2.7;9.7;;214;;68.7;0.00884;Retracting;;C_LNE_IN8-2_1b;0.74;;;;;;;;;;0.30;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;1.6;0.0;0.0
2;1.2;0.1;0.0
4;6.9;0.2;0.0
6;28.5;0.6;0.1
8;58.6;0.9;0.8
10;84.5;2.0;5.1
12;96.6;2.3;9.2
14;102.8;2.5;7.5
16;103.6;3.4;5.7
18;101.9;3.0;6.9
20;97.0;3.1;8.5
22;92.8;3.8;8.7
24;84.6;3.0;10.6
26;67.6;2.0;7.7
28;47.7;1.8;7.8
30;33.9;1.8;6.5
32;27.5;1.3;5.5
34;24.6;1.1;3.7
36;22.8;1.0;3.0
38;22.0;0.8;3.5
40;21.3;0.7;2.9
42;19.8;0.5;2.7
44;18.2;0.5;2.3
46;16.9;0.4;1.8
48;17.3;0.3;1.3
50;17.0;0.3;1.2
52;18.0;0.3;0.9
54;17.6;0.2;0.6
56;15.3;0.2;0.6
58;14.9;0.2;0.6
60;14.1;0.1;0.4
62;11.4;0.1;0.2
64;10.9;0.1;0.2
66;11.1;0.1;0.2
68;9.9;0.1;0.1
70;9.6;0.1;0.2
72;8.7;0.1;0.1
74;8.2;0.1;0.1
76;8.1;0.1;0.1
78;6.9;0.1;0.1
80;6.2;0.1;0.1
82;6.4;0.0;0.1
84;5.2;0.1;0.1
86;3.7;0.0;0.0
88;4.5;0.0;0.0
