Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-2;Curtain and sunblind in driver's cab;;ISO 5660;TRANSFEU;sample prepared according ISO 5660 like test a, but a grid is inserted on the top to maintain the sample.;TRANSFEU;1;2011-03-28 15:49:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;12;106.2;3.2;;;3.0;2.7;10.5;;207;;61.4;0.00884;Retracting;;C_LNE_IN8-2_1c;0.74;;;;;;;;;;0.30;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;6.7;2.99;0.0
2;6.3;1.40;0.0
4;7.2;1.48;0.0
6;8.0;1.40;0.1
8;9.3;1.26;0.2
10;24.4;1.40;0.5
12;52.0;1.29;1.9
14;79.1;1.42;3.2
16;93.6;1.40;6.9
18;99.4;1.17;7.2
20;105.3;1.13;4.4
22;106.2;0.78;7.8
24;103.5;0.38;11.6
26;98.0;0.26;12.7
28;87.0;0.05;12.1
30;71.2;0.00;8.5
32;56.5;0.00;5.0
34;42.6;0.00;4.0
36;31.6;0.00;4.4
38;25.4;0.00;3.6
40;23.2;0.00;2.6
42;22.4;0.00;2.5
44;21.2;0.00;1.6
46;21.2;0.00;1.2
48;20.3;0.00;0.6
50;19.8;0.00;0.5
52;18.9;0.00;0.4
54;18.2;0.00;0.2
56;17.7;0.00;0.2
58;17.8;0.00;0.1
60;16.7;0.00;0.2
62;15.9;0.00;0.1
64;15.1;0.00;0.1
66;14.0;0.00;0.1
68;13.5;0.00;0.1
70;12.7;0.00;0.1
72;11.5;0.00;0.0
74;11.7;0.00;0.0
76;11.0;0.00;0.0
78;9.8;0.00;0.0
80;8.9;0.00;0.0
82;8.3;0.00;0.0
84;7.9;0.00;0.1
86;6.8;0.00;0.0
88;6.9;0.00;0.0
90;5.8;0.00;0.0
92;5.8;0.00;0.0
94;5.7;0.00;0.0
96;4.5;0.00;0.0
98;6.0;0.00;0.0
100;5.8;0.00;0.0
102;4.8;0.00;0.0
104;5.8;0.00;0.0
106;4.4;0.00;0.0
108;3.8;0.00;0.0
110;4.7;0.00;0.0
112;4.2;0.00;0.0
114;3.9;0.00;0.0
116;4.4;0.00;0.0
118;3.8;0.00;0.0
120;2.8;0.00;0.0
122;2.3;0.00;0.0
124;1.8;0.00;0.0
126;1.9;0.00;0.0
128;2.2;0.00;0.0
130;2.0;0.00;0.0
132;1.4;0.00;0.0
134;0.9;0.00;0.0
136;1.4;0.00;0.0
138;1.7;0.00;0.0
140;1.9;0.00;0.0
142;1.6;0.00;0.0
144;2.5;0.00;0.0
146;3.1;0.00;0.0
148;3.3;0.00;0.0
