Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Painted GRP polyester with gelcoat handlaminated;;;;IN1-5;Wall;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 09:37:21
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;127;75.36;18.95;;;80.54;28.05;6.27;;838.87;;40.30;0.0088;End flame at 443s;2011-07-15;c_LSFIRE_IN-1-5_25a;4.8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.888119159;80.54;0.006494469
3;5.383584002;80.7298217;0.006012572
5;5.966585273;80.2970266;0.005530674
7;6.182349786;80.534441;0.009735638
9;5.988313688;80.4510436;0.00699209
11;4.919500898;80.5174782;0.006355869
13;4.059421107;80.6367057;0.006355869
15;2.919851733;80.5215299;0.006355869
17;2.650482926;80.7325562;0.001669007
19;1.921646363;80.5608004;3.46945E-19
21;1.137301602;80.556847;3.46945E-19
23;0.721659467;80.5155985;3.46945E-19
25;0.470654044;80.5364715;3.46945E-19
27;0.213275403;80.5473642;3.46945E-19
29;0.031217559;80.6123062;3.46945E-19
31;-0.218314483;80.5760337;3.46945E-19
33;-0.195388632;80.5827946;3.46945E-19
35;-0.22209729;80.6097502;0.002758014
37;-0.220395202;80.5236586;0.010005142
39;-0.221632211;80.543245;0.010005142
41;-0.227737397;80.500197;0.010005142
43;-0.221872372;80.5731286;0.010005142
45;-0.223679473;80.492594;0.012421277
47;-0.222151884;80.5031425;0.005174149
49;-0.223066622;80.4627809;0.005174149
51;-0.221775735;80.606156;0.005174149
53;-0.224190306;80.6543463;0.011393297
55;-0.222608115;80.6087019;0.006219148
57;-0.222959685;80.5291047;0.006500064
59;-0.221013868;80.6042889;0.006500064
61;-0.220533875;80.4750133;0.010239863
63;-0.223323451;80.5297256;0.008836357
65;-0.221264951;80.4403166;0.015282071
67;-0.224844798;80.5502675;0.015001155
69;-0.224489191;80.6035951;0.015001155
71;-0.222084173;80.5254785;0.018502761
73;-0.221021401;80.5212761;0.019302073
75;-0.221563894;80.5988676;0.012856359
77;-0.222060213;80.5300427;0.012856359
79;-0.223721036;80.5602048;0.025681382
81;-0.219671956;80.5117277;0.019032343
83;-0.222386474;80.5430388;0.01341739
85;-0.222554948;80.5446424;0.01341739
87;-0.220739313;80.5736162;0.01341739
89;-0.225753467;80.423578;0.000592367
91;-0.220969748;80.3958459;0.002208806
93;-0.222393901;80.7861177;0.004944696
95;-0.223332375;80.5876685;0.008142519
97;-0.221441841;80.0957524;0.016297357
99;-0.222601808;80.4819477;0.034901285
101;-0.220434398;80.4780118;0.053220289
103;-0.224381774;80.480281;0.060282082
105;-0.220759531;80.5297004;0.06821245
107;-0.223090962;80.8575191;0.089800214
109;-0.22072889;80.3666261;0.09924969
111;-0.222246265;80.4786351;0.111200643
113;-0.219673078;80.4417543;0.143931731
115;-0.220953178;80.4519961;0.165645706
117;-0.224911525;80.4633994;0.196088551
119;-0.224687421;80.4672143;0.237485528
121;-0.222752574;80.4172571;0.266031535
123;-0.223350186;80.4144774;0.276012013
125;-0.454043738;80.3132508;0.324683535
127;-0.659253792;80.3741712;0.536365622
129;5.784883793;80.3166937;0.772653205
131;29.57416187;80.3104054;1.002930655
133;53.31859245;80.2892407;1.303555884
135;67.1526382;80.051714;1.551638303
137;73.98610113;80.069214;1.596698137
139;74.68175346;80.0739289;1.627937202
141;75.36061233;79.8812049;1.613444457
143;74.98001311;79.7634303;1.489990955
145;71.26871885;79.6599213;1.377373051
147;69.70523362;79.4824428;1.252497365
149;68.19423626;79.400594;1.067432527
151;66.19862854;79.4073398;0.970476748
153;64.77079988;79.3872813;0.938357555
155;63.63979845;79.1336237;0.90956287
157;64.40650904;79.1202429;0.927725459
159;63.89344463;79.0463433;0.980816684
161;63.1388375;78.9140696;1.006778605
163;63.93791537;78.8212745;0.993663805
165;63.62353484;78.8129256;1.026328386
167;64.72586896;78.6904215;1.010674561
169;64.76592941;78.7336883;0.980802674
171;65.20875547;78.4854623;0.944194817
173;64.93964729;78.3238807;0.89103053
175;65.25118584;78.419138;0.830317784
177;65.49503975;78.2057341;0.832307898
179;66.30806089;78.0646685;0.939157427
181;68.32403628;77.9656386;0.985901184
183;68.93067195;78.0286707;1.134804375
185;69.3039794;77.4118754;1.217605457
187;68.54689771;77.6960953;1.240112604
189;67.33887594;77.6705775;1.168933709
191;67.06579405;77.2358351;1.143200075
193;66.99073553;76.757538;1.037222834
195;68.37057774;77.1926952;0.950429842
197;65.28468875;77.2210331;0.877692711
199;65.92505487;77.1909112;0.799223632
201;64.53831891;76.9413875;0.778593317
203;65.05247191;76.8988948;0.752153212
205;62.4751686;76.7272519;0.753858878
207;62.77142838;76.6566279;0.774642857
209;60.46655683;76.5175379;0.752461266
211;60.11144665;76.4023621;0.704826767
213;59.21767801;76.3439855;0.663122546
215;59.58863715;76.2598568;0.599792814
217;58.71007491;76.2253673;0.528185197
219;58.15246253;76.0190131;0.486311383
221;56.28052964;75.9726773;0.461559556
223;55.28930766;75.2837245;0.427691765
225;54.40782372;74.7523152;0.413499704
227;53.32271645;75.5065265;0.406127762
