Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Painted GRP polyester with gelcoat handlaminated;;;;;Wall;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 10:19:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;134;75.56;20.31;;;85.12;28.82;6.35;;739.10;;39.75;0.0088;End flame at 451s;2011-07-15;c_LSFIRE_IN-1-5_25c;4.8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.070693952;85.12;0
3;3.433637728;85.3729657;0
5;2.889623222;85.037945;0
7;3.247403046;85.0541736;0
9;3.258671913;85.0443592;0
11;3.303208219;85.105126;0
13;2.917186017;84.9382641;0
15;2.854175176;85.1215608;0
17;2.526883968;85.0940952;0
19;2.286717575;85.2011579;0
21;1.640082133;85.0573131;0
23;1.649743997;85.102128;0
25;1.939094465;85.1006752;0
27;1.691022285;85.0948386;0
29;1.231716523;85.1574302;0
31;0.863020847;85.0708966;0
33;0.782587979;85.1001865;0
35;0.927397013;85.066968;0
37;0.835075143;85.2899091;0
39;0.397307578;85.0844836;0
41;0.433481161;85.109046;0
43;0.496540638;85.0947005;0
45;0.462444681;85.0918377;0
47;0.3300722;85.1054824;0
49;0.419093069;85.1515537;0
51;0.606805544;85.1084805;0
53;0.857478462;85.1373989;0
55;0.661531432;85.0914905;0
57;0.637209209;85.0714067;0
59;0.568694969;85.1002143;0
61;0.840068643;85.1485649;0
63;0.753721725;85.094559;0
65;0.564789591;85.084152;0
67;0.314927875;85.0720427;0
69;0.388142105;85.110969;0
71;0.433408056;85.1471982;0
73;0.699217223;85.0473266;0
75;0.476814523;85.0164303;0
