Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Carpet;Glue;Aluminum plate 2 mm;;IN1-8-1;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 10:43:38
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;184;210.38;6.67;;;56.91;4.74;9.61;;406.01;;24.65;0.0088;End flame at 273s;2011-07-18;c_LSFIRE_IN1-8-1_25b;5.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.356438829;56.91;0.000455925
3;5.700641085;56.8966944;0.002249609
5;4.067709505;56.78534736;0.002249609
7;3.753674321;56.96860873;0.002249609
9;3.744497724;57.09309482;0.008138134
11;3.536120026;56.95270007;0.008138134
13;2.918387878;56.92916239;0.009490852
15;2.171275967;56.81427088;0.009490852
17;1.674179099;56.89054688;0.009490852
19;1.700250098;57.07150956;0.011984382
21;1.460259688;56.93590553;0.012448216
23;1.010262818;56.97861971;0.009301815
25;0.755757405;56.9353518;0.009301815
27;0.604706375;56.80403929;0.009301815
29;0.770338188;56.84776402;0.004215421
31;0.823278747;56.75595338;0.003751586
33;0.939090903;56.8316474;0.003751586
35;0.626679148;56.8539807;0.003751586
37;0.470045597;57.14149923;0.003751586
39;0.665130556;57.271621;-6.93889E-19
41;1.002221795;56.89938026;0.007282855
43;1.129061872;56.79420851;0.007282855
45;1.049559693;56.79386224;0.007282855
47;1.236174558;56.79229748;0.007282855
49;1.215481328;56.96516119;0.007282855
51;1.365833383;56.83395924;0
53;1.080192682;56.60741679;0
55;0.824877535;56.79694988;0
57;0.968602648;56.8699858;0
59;1.22892753;56.90030802;0
61;1.122631751;56.85914447;0
63;0.916995888;56.81537834;0.000873662
65;0.717124506;56.81871534;0.000873662
67;1.39626858;56.92757035;0.000873662
69;1.640273347;56.87607781;0.000873662
71;1.804670972;56.83949751;0.00222309
73;1.821155616;56.82968085;0.001349428
75;1.704003776;56.89529522;0.001349428
77;1.929983599;56.90767356;0.001349428
79;2.088225318;56.76341535;0.003918506
81;1.937188266;56.76349863;0.00865751
83;1.425901748;56.77163998;0.008886291
85;1.233531811;56.8045375;0.010592031
87;1.067767354;56.80599123;0.011657236
89;1.394436103;56.79372393;0.014897913
91;1.284213654;56.77744124;0.008809481
93;1.421813249;56.77343996;0.011255884
95;1.475207153;56.97733108;0.009550145
97;1.519793191;56.81331537;0.026883754
99;1.48038778;56.94365873;0.041600799
101;1.468915067;56.72233508;0.050033849
103;1.078503412;56.74479306;0.050288639
105;1.236347668;57.07246508;0.06327205
107;1.434804136;56.82169194;0.067014261
109;1.631673857;56.77611219;0.082350353
111;1.390724964;56.76370658;0.101735707
113;1.385985075;56.74758996;0.133109629
115;1.600433134;56.74753444;0.151115415
117;1.525799736;56.7902345;0.178546135
119;1.626579788;56.75481719;0.192521417
121;1.658526775;56.67575891;0.224278395
123;1.303063801;56.88787465;0.260180898
125;1.354243647;56.73436764;0.271378979
127;1.545312395;56.61165378;0.293489963
129;1.699168357;56.79847325;0.325490644
131;1.475681012;56.67383473;0.345025641
133;0.951707141;56.67870824;0.394319477
135;0.577126649;56.71642376;0.450651004
137;0.894633775;56.7504565;0.488601084
139;0.985516082;56.75091332;0.514487695
141;1.049686371;56.66408723;0.553016766
143;0.67563722;56.69119712;0.530116445
145;0.597956446;56.66691188;0.554717224
147;1.215353111;56.64791557;0.56991714
149;1.002989455;56.68441259;0.593117008
151;0.768277381;56.62634395;0.602461031
153;0.561833048;56.67172987;0.635952825
155;0.585130515;56.58199585;0.651967838
157;0.768856893;56.61348104;0.645823397
159;0.846091179;56.64798424;0.637353284
161;0.882706507;56.60185076;0.682372635
