Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Carpet;Glue;Aluminum plate 2 mm;;IN1-8-1;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 10:46:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;194;218.78;8.62;;;56.47;4.23;18.44;;403.23;;23.33;0.0088;End flame at 263s;2011-07-18;c_LSFIRE_IN1-8-1_25c;5.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;0.322711141;56.47;0.001707259
3;0.441087492;56.46116661;0.002227515
5;0.509050682;56.47873599;0.002227515
7;0.400526732;56.51660296;0.002227515
9;0.123936135;56.37899196;0.002227515
11;0.184108206;56.47652058;0.000520256
13;0.286213682;56.16158728;0.007891575
15;0.46341145;56.52305682;0.008830828
17;0.621070716;56.48058955;0.008830828
19;0.396470036;56.57404969;0.008830828
21;0.164841666;56.49968375;0.008830828
23;-0.10479892;56.50083358;0.000939253
25;-0.102912322;56.61460447;0.002641306
27;0.070078643;56.48887115;0.002641306
29;0.054673235;56.50207984;0.002641306
31;-0.103408143;56.36406607;0.002641306
33;-0.103700516;56.54777063;0.002641306
35;-0.101714781;56.22199503;0
37;-0.104115014;56.63537106;0
39;0.158612944;56.49586218;0
41;0.453332355;56.45091944;0
43;0.425313811;56.42435012;0
45;0.013850431;56.54429435;0
47;-0.104518588;56.49637549;0
49;-0.083549241;56.52480129;0
51;0.074819303;56.61103079;5.67696E-05
53;-0.101763758;56.48986806;5.67696E-05
55;-0.104756323;56.4380575;5.67696E-05
57;-0.104475499;56.67505313;0.004034625
59;-0.102216889;56.48576938;0.004034625
61;-0.057912379;56.39726652;0.003977855
