Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL compact ;;;;IN1-10;Ceiling panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 11:59:59
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;438;46.50;17.23;;;56.53;12.38;16.12;;302.83;;15.05;0.0088;Projection of particles and cracking of the surface. Raising. Glowing. End flame at 1018s.
;2011-07-18;c_LSFIRE_IN-1-10_25a;4.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;1.393006177;56.53;0.134486095
3;0.52638685;56.13918957;0.136353212
5;0.385722656;56.48396246;0.134439851
7;0.0606909;56.53904134;0.135426729
9;-0.021394391;56.41121729;0.13415912
11;-0.021657707;56.55500504;0.122200035
13;0.072255313;56.35305125;0.113675435
15;0.021008233;56.61639752;0.121568987
17;0.179675144;56.58005245;0.117578293
19;0.299226135;56.46773577;0.112965481
21;0.558113416;56.59155855;0.118971877
23;0.782137453;56.50567336;0.12948725
25;0.270912961;56.44664872;0.126858977
27;-0.021616798;56.62644941;0.123647555
29;-0.021599334;56.48387966;0.132143805
31;0.08850096;56.62445559;0.133992337
33;-0.021756116;56.573171;0.142055309
35;-0.021660119;56.55006286;0.13582578
37;-0.022411845;56.57564939;0.142721568
39;-0.021325837;56.39334256;0.145619011
41;-0.017748423;56.57308821;0.152749511
43;-0.021595905;56.5460611;0.141917355
45;-0.021787214;56.52378332;0.138737003
47;-0.021826746;56.6887414;0.136772889
49;-0.022131928;56.68029567;0.144078875
51;-0.022094931;56.50251656;0.132403022
53;-0.021631899;56.52803443;0.129651655
55;-0.021773491;56.56951599;0.136366121
57;0.068426998;56.64698321;0.146670226
59;0.162907799;56.46793009;0.137360374
61;-0.021568209;56.63395423;0.134900357
63;-0.021828762;56.62226843;0.137302134
65;-0.021541115;56.61479185;0.138138619
67;-0.022003655;56.62340365;0.125151778
69;-0.021895092;56.63250051;0.123583377
71;-0.021717173;56.65409989;0.136917022
73;-0.021671504;56.60843686;0.137340647
75;-0.021803159;56.54265544;0.129199763
77;-0.021747579;56.53893079;0.123091652
79;-0.021618461;56.49823818;0.132416428
81;-0.021993331;56.48018326;0.135885261
83;-0.021601261;56.4598165;0.13123712
85;-0.021917078;56.35438127;0.139939455
87;-0.021977933;56.3160005;0.156853839
89;-0.021829509;56.30848204;0.159956395
91;-0.021648573;56.27151408;0.159199957
93;-0.022000479;56.09518822;0.168217676
95;-0.021798019;56.15815861;0.185348147
97;-0.021755208;56.15664937;0.211204131
99;-0.021890577;56.19501601;0.23230267
101;-0.030284853;55.9166747;0.252300912
103;-0.061386463;55.99880748;0.284850142
105;-0.08822682;55.95095728;0.312571829
107;-0.12488046;55.87955431;0.329758763
109;-0.185835267;55.78235734;0.359895346
111;-0.239114748;55.67359876;0.438029965
113;-0.287795791;55.61191602;0.513436667
115;-0.330986832;55.60989444;0.567487407
117;-0.313762263;55.47780613;0.616820215
119;-0.375064659;55.40555868;0.662687413
121;-0.400032614;55.39326363;0.683528455
123;-0.249305594;55.27702846;0.701208874
125;-0.05134793;55.18505127;0.736694408
127;-0.058157821;55.04997223;0.742894234
129;0.111421854;54.97088521;0.796151862
131;0.134793612;54.88019518;0.798259348
133;0.353675814;54.72970617;0.811953369
135;0.274996329;54.76924943;0.822258862
137;0.138046824;54.79079378;0.860194754
139;0.202577627;54.62702596;0.833542815
141;0.410762474;54.58375755;0.833320215
143;0.45309277;54.27355799;0.832010959
145;0.420476931;54.39641114;0.826919989
147;-0.085983993;54.26187219;0.839850925
149;0.1724053;54.01738392;0.835091701
151;0.452620297;53.9328419;0.85788928
153;0.763209397;53.71097768;0.832411145
155;0.777911494;53.78559248;0.811021255
157;0.676922186;53.5533715;0.780234886
159;0.442782211;53.54757073;0.780207492
161;0.553239892;53.43033817;0.737285101
163;0.26724499;53.47998932;0.732222676
165;0.109926887;53.10065772;0.710282223
167;-0.289610446;52.94624877;0.680292659
169;0.12329732;52.89575362;0.642074731
171;0.131031779;52.78605316;0.623505655
173;0.48318943;52.57127785;0.599852647
175;0.092746314;52.5629154;0.577163253
177;-0.073196878;52.53490551;0.555344608
179;0.593436492;52.25252104;0.541498711
181;0.784897641;52.09881971;0.510915769
183;0.523183891;51.99843818;0.466067027
185;0.364735153;51.77325109;0.450274881
187;0.120142888;51.70371872;0.45571982
189;0.763182855;51.63980645;0.43577784
191;1.033757628;51.41074276;0.428707112
193;0.845799237;51.32016377;0.419434064
195;0.506188213;51.2465863;0.413490426
197;0.637319531;51.16594865;0.390556472
199;1.148394475;50.90413986;0.397925026
201;1.200791585;50.66370741;0.394156708
203;1.045283507;50.60379787;0.413790658
205;0.792636559;50.51791317;0.417395172
207;0.904157646;50.38630846;0.410987019
209;1.143867661;50.32338044;0.402491836
211;1.357031806;49.8999905;0.392572413
213;1.360888864;50.04139775;0.378888061
215;0.929523105;49.54225828;0.372257837
217;0.861709788;49.65328828;0.375310468
219;0.740219506;49.39145222;0.36830652
221;0.899886415;49.555428;0.373033758
223;0.335153148;49.36707056;0.370153412
225;0.250882902;49.35361252;0.367924964
227;0.330566183;49.10836208;0.351301832
229;0.462878421;49.13260349;0.345956015
231;0.605129321;48.73284912;0.329688653
233;0.405207419;48.80743519;0.324394254
235;0.724756181;48.65070125;0.305256482
237;1.255396881;48.501252;0.302984111
239;1.158820959;48.43242385;0.292555662
241;0.879897162;48.27744899;0.284775638
